##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=Pb_5.9_Fe_0.1_Mn_0.1_In_0.1_Cd_0.2_Ag_2.8_Sb_10.8_S_24_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
286.7747, 0.4550960
287.2569, 0.3448990
287.7390, 1.134611
288.2211, 2.371595
288.7032, 2.552295
289.1853, 1.931313
289.6674, 1.608111
290.1496, 1.586169
290.6317, 1.815814
291.1138, 2.577035
291.5959, 3.719559
292.0780, 4.150373
292.5602, 3.173257
293.0423, 1.373978
293.5244, 9.6523002E-02
294.0065, 0.6431620
294.4886, 0.7985990
294.9707, 0.1153040
295.4529, 1.773693
295.9350, 2.983205
296.4171, 3.395041
296.8992, 3.241021
297.3813, 2.717623
297.8634, 1.868803
298.3456, 1.168315
298.8277, 0.9849150
299.3098, 1.219306
299.7919, 1.709224
300.2740, 2.517496
300.7561, 3.391097
301.2383, 4.090417
301.7204, 4.597339
302.2025, 4.775547
302.6846, 4.147486
303.1667, 3.252120
303.6488, 3.059093
304.1310, 3.973583
304.6131, 4.798845
305.0952, 3.893743
305.5773, 1.868976
306.0594, 0.3776050
306.5415, 0.8266840
307.0237, 1.988467
307.5058, 2.451578
307.9879, 2.009953
308.4700, 1.380758
308.9521, 1.015453
309.4343, 0.8692630
309.9164, 0.7776230
310.3985, 0.6516250
310.8806, 0.5986130
311.3627, 0.6542790
311.8448, 0.8217640
312.3270, 1.244490
312.8091, 2.595420
313.2912, 4.036702
313.7733, 4.567666
314.2554, 2.780563
314.7375, 0.9395740
315.2197, 0.2658600
315.7018, 0.6414350
316.1839, 1.218207
316.6660, 1.882228
317.1481, 2.441336
317.6302, 2.714746
318.1124, 2.307140
318.5945, 2.051569
319.0766, 2.293520
319.5587, 2.927730
320.0408, 3.587761
320.5229, 4.345941
321.0051, 4.967263
321.4872, 5.312070
321.9693, 5.270239
322.4514, 5.111827
322.9335, 4.808488
323.4156, 4.430623
323.8978, 4.113892
324.3799, 3.977669
324.8620, 3.822870
325.3441, 3.539267
325.8262, 3.025986
326.3083, 2.704204
326.7905, 2.723339
327.2726, 2.907151
327.7547, 3.037871
328.2368, 3.077813
328.7189, 3.096097
329.2010, 3.101648
329.6832, 3.094012
330.1653, 3.088653
330.6474, 3.237266
331.1295, 3.278953
331.6116, 2.938200
332.0938, 1.500981
332.5759, 0.8316010
333.0580, 1.442322
333.5401, 3.100157
334.0222, 4.198588
334.5043, 4.752827
