##NAMES=Shandite
##RRUFFID=R070090
##IDEAL CHEMISTRY=Pb_2_Ni_3_S_2_
##LOCALITY=Nickel Reward mine, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Bright silver metallic blebs in serpentinite, chonchoidal fracture
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070090
300.6575, 90.32452
301.1396, 91.81586
301.6217, 94.44882
302.1038, 104.1161
302.5859, 119.3348
303.0680, 129.9681
303.5501, 128.8652
304.0323, 118.7862
304.5144, 112.7924
304.9965, 112.2246
305.4786, 113.5705
305.9607, 118.3517
306.4428, 123.8730
306.9250, 124.3472
307.4071, 117.2074
307.8892, 107.1652
308.3713, 103.2658
308.8534, 109.9012
309.3355, 115.1046
309.8177, 118.6755
310.2998, 120.7134
310.7819, 120.2259
311.2640, 117.5789
311.7461, 115.7690
312.2282, 118.5176
312.7104, 127.6222
313.1925, 131.1212
313.6746, 127.6281
314.1567, 120.9522
314.6388, 109.9417
315.1209, 97.01959
315.6031, 86.35205
316.0852, 80.54086
316.5673, 79.19244
317.0494, 80.54269
317.5315, 90.34467
318.0136, 94.79572
318.4958, 87.79266
318.9779, 76.69809
319.4600, 69.63495
319.9421, 69.29733
320.4242, 71.52173
320.9063, 69.28836
321.3885, 60.76080
321.8706, 54.30139
322.3527, 52.01920
322.8348, 51.17044
323.3169, 49.71384
323.7990, 47.95923
324.2812, 48.33850
324.7633, 55.63846
325.2454, 68.47568
325.7275, 73.40704
326.2096, 67.38208
326.6917, 58.06418
327.1739, 45.98831
327.6560, 34.00931
328.1381, 27.92703
328.6202, 32.38345
329.1023, 41.22379
329.5844, 45.27301
330.0666, 44.08963
330.5487, 43.09256
331.0308, 44.11136
331.5129, 46.91589
331.9950, 51.65323
332.4771, 59.39395
332.9593, 64.96881
333.4414, 63.28339
333.9235, 56.97177
334.4056, 53.65091
334.8877, 55.81833
335.3698, 59.23062
335.8520, 57.53851
336.3341, 50.73584
336.8162, 48.14053
337.2983, 54.42331
337.7804, 63.46332
338.2625, 70.36508
338.7447, 74.71786
339.2268, 77.13330
339.7089, 77.84427
340.1910, 76.87674
340.6731, 74.93399
341.1552, 70.21234
341.6374, 66.87891
342.1195, 67.21439
342.6016, 69.50653
343.0837, 71.14035
343.5658, 71.10004
344.0479, 69.87283
344.5301, 68.03305
345.0122, 61.55139
345.4943, 62.24765
345.9764, 78.82883
346.4585, 95.51093
346.9406, 99.84576
347.4228, 92.27774
347.9049, 82.88055
348.3870, 81.31155
348.8691, 87.27084
349.3512, 89.07413
349.8333, 80.93112
350.3155, 75.91342
350.7976, 80.55759
351.2797, 89.76724
351.7618, 95.72025
352.2439, 94.96194
352.7260, 90.38547
353.2082, 87.37689
353.6903, 86.74341
354.1724, 85.34647
354.6545, 77.05728
355.1366, 71.17017
355.6187, 77.87598
356.1009, 97.37778
356.5830, 112.9261
357.0651, 108.6463
357.5472, 89.18658
358.0293, 74.98636
358.5114, 68.51685
358.9936, 65.26492
359.4757, 64.55463
359.9578, 64.87149
360.4399, 62.01492
360.9220, 51.69592
361.4041, 40.12207
361.8863, 33.19888
362.3684, 30.62143
362.8505, 30.01495
363.3326, 30.91827
363.8147, 32.47968
364.2968, 32.81693
364.7790, 32.14490
365.2611, 30.10983
365.7432, 26.46423
366.2253, 21.45502
366.7074, 14.68417
