##NAMES=Bismuthinite
##RRUFFID=R070617
##IDEAL CHEMISTRY=Bi^3+^_2_S^2-^_3_
##LOCALITY=Hachita, Grants County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Steel-gray metallic massive lamellar, associated with quartz.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070617
171.2441, 344.6699
171.7262, 338.0674
172.2083, 345.9453
172.6904, 374.6064
173.1725, 449.5156
173.6546, 509.0195
174.1368, 484.9727
174.6189, 384.6484
175.1010, 299.7021
175.5831, 312.2861
176.0652, 418.9990
176.5473, 493.0684
177.0295, 487.8740
177.5116, 461.6553
177.9937, 444.9912
178.4758, 441.8115
178.9579, 451.2344
179.4400, 480.9590
179.9222, 542.3535
180.4043, 575.4268
180.8864, 542.3281
181.3685, 497.3467
181.8506, 473.7607
182.3327, 480.5908
182.8149, 502.5918
183.2970, 513.3564
183.7791, 502.6123
184.2612, 501.2578
184.7433, 519.2510
185.2254, 542.8760
185.7076, 560.1582
186.1897, 566.2705
186.6718, 565.5332
187.1539, 568.7764
187.6360, 575.3037
188.1181, 587.8613
188.6003, 615.6543
189.0824, 646.5586
189.5645, 661.4395
190.0466, 649.1260
190.5287, 621.1885
191.0108, 626.7715
191.4930, 734.0352
191.9751, 810.5254
192.4572, 810.5674
192.9393, 764.7861
193.4214, 725.4785
193.9035, 722.8066
194.3857, 754.5166
194.8678, 801.3613
195.3499, 884.6270
195.8320, 958.2900
196.3141, 1004.425
196.7962, 1026.204
197.2784, 1033.387
197.7605, 1028.101
198.2426, 1013.016
198.7247, 1017.168
199.2068, 1042.289
199.6889, 1081.372
200.1711, 1141.121
200.6532, 1217.868
201.1353, 1293.313
201.6174, 1355.087
202.0995, 1403.034
202.5816, 1444.448
203.0638, 1473.754
203.5459, 1500.255
204.0280, 1527.276
204.5101, 1554.640
204.9922, 1595.911
205.4743, 1677.428
205.9565, 1785.150
206.4386, 1866.573
206.9207, 1894.578
207.4028, 1897.212
207.8849, 1909.582
208.3671, 1933.600
208.8492, 1966.834
209.3313, 2005.561
209.8134, 2051.099
210.2955, 2110.702
210.7776, 2201.198
211.2598, 2305.975
211.7419, 2385.964
212.2240, 2429.235
212.7061, 2467.967
213.1882, 2524.681
213.6703, 2594.177
214.1525, 2664.558
214.6346, 2723.518
215.1167, 2776.622
215.5988, 2850.760
216.0809, 2971.536
216.5630, 3077.418
217.0452, 3131.380
217.5273, 3144.521
218.0094, 3148.896
218.4915, 3154.940
218.9736, 3164.794
219.4557, 3208.273
219.9379, 3316.985
220.4200, 3428.034
220.9021, 3519.784
221.3842, 3590.565
221.8663, 3641.010
222.3484, 3663.346
222.8306, 3655.694
223.3127, 3662.005
223.7948, 3672.465
224.2769, 3708.624
224.7590, 3799.382
225.2411, 3930.074
225.7233, 4053.055
226.2054, 4114.860
226.6875, 4101.609
227.1696, 4122.678
227.6517, 4235.367
228.1338, 4334.679
228.6160, 4364.929
229.0981, 4335.086
229.5802, 4297.056
230.0623, 4309.206
230.5444, 4389.971
231.0265, 4436.774
231.5087, 4411.435
231.9908, 4386.986
232.4729, 4398.975
232.9550, 4447.329
233.4371, 4509.916
233.9192, 4565.647
234.4014, 4619.132
234.8835, 4646.868
235.3656, 4632.933
235.8477, 4611.284
236.3298, 4596.771
236.8119, 4592.124
237.2941, 4594.979
237.7762, 4604.473
238.2583, 4626.711
238.7404, 4635.102
239.2225, 4620.622
239.7046, 4602.471
240.1868, 4589.146
240.6689, 4582.672
241.1510, 4584.173
241.6331, 4597.223
242.1152, 4632.574
242.5973, 4643.387
243.0795, 4627.109
243.5616, 4591.310
244.0437, 4526.858
244.5258, 4439.702
245.0079, 4360.467
245.4900, 4326.939
245.9722, 4360.338
246.4543, 4375.011
246.9364, 4374.465
247.4185, 4357.738
247.9006, 4318.381
248.3827, 4255.049
248.8649, 4177.878
249.3470, 4099.651
249.8291, 4022.442
250.3112, 3941.212
250.7933, 3851.522
251.2754, 3761.721
251.7576, 3677.313
252.2397, 3597.430
252.7218, 3516.032
253.2039, 3428.604
253.6860, 3333.797
254.1681, 3253.680
