##NAMES=Plancheite
##RRUFFID=R070233
##IDEAL CHEMISTRY=Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_&#183;H_2_O
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light blue radial fibrous, chatoyant crystals with drusy malachite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070233
184.1699, 6.333740
184.6520, 5.578857
185.1342, 4.922363
185.6163, 4.203369
186.0984, 3.670898
186.5805, 3.673096
187.0626, 4.332764
187.5447, 5.316895
188.0269, 6.095825
188.5090, 6.658569
188.9911, 7.134277
189.4732, 7.281494
189.9553, 7.395264
190.4374, 8.010498
190.9196, 9.509766
191.4017, 11.36841
191.8838, 12.39429
192.3659, 12.51257
192.8480, 12.23853
193.3301, 11.45007
193.8123, 10.36072
194.2944, 9.852905
194.7765, 10.50671
195.2586, 11.37195
195.7407, 11.24573
196.2228, 10.10596
196.7050, 9.253784
197.1871, 9.911011
197.6692, 11.99976
198.1513, 13.68396
198.6334, 14.56580
199.1155, 14.92188
199.5977, 14.83057
200.0798, 14.33167
200.5619, 13.73315
201.0440, 13.20911
201.5261, 12.70081
202.0082, 12.69873
202.4904, 13.85608
202.9725, 15.14197
203.4546, 16.05139
203.9367, 16.52625
204.4188, 16.82959
204.9009, 17.30859
205.3831, 18.08691
205.8652, 18.63049
206.3473, 18.66174
206.8294, 18.66333
207.3115, 19.03748
207.7936, 19.78284
208.2758, 20.49268
208.7579, 20.51025
209.2400, 19.17700
209.7221, 18.62122
210.2042, 19.33679
210.6863, 20.33594
211.1685, 21.16150
211.6506, 21.63135
212.1327, 21.57190
212.6148, 20.64197
213.0969, 18.05933
213.5790, 16.28943
214.0612, 15.77966
214.5433, 15.73840
215.0254, 15.52014
215.5075, 14.99573
215.9896, 14.50952
216.4717, 14.64307
216.9539, 15.91638
217.4360, 16.45520
217.9181, 15.78845
218.4002, 14.61304
218.8823, 13.50183
219.3644, 12.59583
219.8466, 11.90833
220.3287, 11.42920
220.8108, 11.09729
221.2929, 11.29883
221.7750, 12.81348
222.2571, 14.61914
222.7393, 15.32239
223.2214, 14.54578
223.7035, 13.21167
224.1856, 12.34143
224.6677, 11.89893
225.1498, 11.72131
225.6320, 11.82874
226.1141, 12.15955
226.5962, 12.66516
227.0783, 13.44641
227.5604, 14.08386
228.0425, 13.98975
228.5247, 13.33704
229.0068, 12.78674
229.4889, 12.69104
229.9710, 12.91125
230.4531, 13.00635
230.9352, 12.80945
231.4174, 12.63586
231.8995, 12.64258
232.3816, 12.81641
232.8637, 13.14966
233.3458, 14.07751
233.8279, 15.20752
234.3101, 15.07886
234.7922, 12.85657
235.2743, 10.72266
235.7564, 9.881104
236.2385, 10.01074
236.7206, 10.48584
237.2028, 10.95422
237.6849, 11.48999
238.1670, 12.53894
238.6491, 14.84143
239.1312, 16.50195
239.6133, 16.58594
240.0955, 15.63513
240.5776, 14.55591
241.0597, 13.88733
241.5418, 13.51416
242.0239, 12.89319
242.5060, 11.77246
242.9882, 10.73303
243.4703, 9.943970
243.9524, 9.334229
244.4345, 8.727905
244.9166, 7.962036
245.3987, 7.249756
245.8809, 7.407104
246.3630, 9.362183
246.8451, 10.85339
247.3272, 11.45593
247.8093, 11.37952
248.2914, 10.82227
248.7736, 9.856934
249.2557, 8.608154
249.7378, 7.582642
250.2199, 6.781982
250.7020, 6.450073
251.1841, 6.743286
251.6663, 7.277466
252.1484, 7.781982
252.6305, 8.173462
253.1126, 8.389282
253.5947, 8.201294
254.0768, 6.828613
254.5590, 6.031738
255.0411, 6.248291
255.5232, 6.940796
256.0053, 7.582520
256.4874, 7.948364
256.9695, 8.023560
257.4517, 7.765747
257.9338, 6.432007
258.4159, 5.659546
258.8980, 5.740845
259.3801, 6.259521
259.8622, 7.074463
260.3444, 8.104492
260.8265, 8.761475
261.3086, 7.738647
261.7907, 2.681885
262.2728, 0.2388920
262.7549, 0.4606930
263.2371, 2.624634
263.7192, 4.364258
264.2013, 5.141113
264.6834, 5.120972
265.1655, 4.421997
265.6476, 2.431885
266.1298, 1.332886
266.6119, 1.694336
267.0940, 2.671753
267.5761, 3.718018
268.0582, 4.689575
268.5403, 5.251343
269.0225, 4.900391
269.5046, 3.350220
269.9867, 2.280518
270.4688, 2.247803
270.9509, 2.380737
271.4330, 1.789673
271.9152, 0.4105830
272.3973, 1.003479
272.8794, 1.802002
273.3615, 1.903381
273.8436, 1.519775
274.3257, 0.5247190
274.8079, 0.8538820
275.2900, 2.812561
275.7721, 5.257141
276.2542, 7.115784
276.7363, 7.512329
277.2184, 6.462952
277.7006, 5.267578
278.1827, 3.532166
278.6648, 1.972717
279.1469, 1.237610
279.6290, 1.317139
280.1111, 1.364441
280.5933, 0.9668580
281.0754, 0.2841190
281.5575, 0.1845700
282.0396, 0.5234380
282.5217, 0.5505370
283.0038, 5.4138001E-02
283.4860, 1.163696
283.9681, 2.137207
284.4502, 2.771545
284.9323, 2.993835
285.4144, 2.721130
285.8965, 1.786499
286.3787, 0.7994380
286.8608, 0.1415410
287.3429, 0.9152220
