##NAMES=Allabogdanite
##RRUFFID=R070012
##IDEAL CHEMISTRY=(Fe,Ni)_2_P
##LOCALITY=Onello meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan, Yakutia, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Black lath embedded in epoxy, co-type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070012
211.2473, 12.25647
211.7294, 21.99109
212.2116, 29.25659
212.6937, 27.15417
213.1758, 13.68787
213.6579, 4.774536
214.1400, 4.090576
214.6221, 11.01514
215.1043, 15.76746
215.5864, 18.60046
216.0685, 19.78796
216.5506, 17.54968
217.0327, 9.592407
217.5148, 3.439819
217.9970, 0.7786870
218.4791, 1.762207
218.9612, 3.853882
219.4433, 7.893555
219.9254, 12.09827
220.4075, 13.28845
220.8897, 8.212036
221.3718, 6.813110
221.8539, 13.23828
222.3360, 29.89832
222.8181, 43.37488
223.3002, 55.48145
223.7824, 63.12085
224.2645, 57.80005
224.7466, 27.08557
225.2287, 4.879028
225.7108, 8.224243
226.1929, 54.02063
226.6750, 77.30750
227.1572, 68.92334
227.6393, 40.63379
228.1214, 21.90930
228.6035, 14.33936
229.0856, 14.21265
229.5677, 21.49646
230.0499, 42.69617
230.5320, 56.43481
231.0141, 59.92773
231.4962, 55.12500
231.9783, 50.28918
232.4604, 46.88940
232.9426, 41.55103
233.4247, 30.23071
233.9068, 2.174438
234.3889, 8.442383
234.8710, 10.13037
235.3531, 53.11670
235.8353, 74.56665
236.3174, 65.47864
236.7995, 45.14673
237.2816, 26.67224
237.7637, 7.160400
238.2458, 4.652222
238.7280, 5.238403
239.2101, 5.185181
239.6922, 12.19788
240.1743, 13.91309
240.6564, 14.08276
241.1385, 16.44092
241.6207, 23.42639
242.1028, 28.19800
242.5849, 28.59180
243.0670, 24.04736
243.5491, 22.36230
244.0313, 25.32800
244.5134, 29.65576
244.9955, 31.15552
245.4776, 27.00110
245.9597, 24.97839
246.4418, 27.55359
246.9240, 35.75415
247.4061, 42.88391
247.8882, 49.64441
248.3703, 54.55103
248.8524, 57.28821
249.3345, 61.23499
249.8167, 56.81226
250.2988, 36.51587
250.7809, 9.402100
251.2630, 30.84656
251.7451, 16.50037
252.2272, 15.74194
252.7094, 33.34070
253.1915, 28.90210
253.6736, 22.43103
254.1557, 22.03235
254.6378, 31.89185
255.1199, 33.65479
255.6021, 21.47510
256.0842, 4.005859
256.5663, 2.258789
257.0484, 26.79199
257.5305, 48.71777
258.0126, 54.36902
258.4948, 37.00781
258.9769, 21.84106
259.4590, 6.676025
259.9411, 5.307495
260.4232, 3.608521
260.9053, 19.82324
261.3875, 42.25269
261.8696, 50.17590
262.3517, 36.04578
262.8338, 31.64026
263.3159, 42.18237
263.7980, 62.64319
264.2802, 76.24780
264.7623, 83.25317
265.2444, 83.09424
265.7265, 72.93433
266.2086, 48.43225
266.6907, 30.37378
267.1729, 21.46802
267.6550, 20.22021
268.1371, 21.27893
268.6192, 24.61646
269.1013, 30.25574
269.5834, 39.20984
270.0656, 52.66479
270.5477, 64.61353
271.0298, 74.75281
271.5119, 80.59277
271.9940, 79.00317
272.4761, 60.32324
272.9583, 69.61377
273.4404, 73.73108
273.9225, 72.94983
274.4046, 52.60730
274.8867, 57.50964
275.3688, 52.24939
275.8510, 46.71338
276.3331, 55.11084
276.8152, 37.56763
277.2973, 45.79761
277.7794, 28.34985
278.2615, 25.29871
278.7437, 36.38379
279.2258, 57.08276
279.7079, 67.93323
280.1900, 67.88953
280.6721, 62.04749
281.1542, 52.84839
281.6364, 39.98230
282.1185, 30.56689
282.6006, 26.24341
283.0827, 26.42883
283.5648, 30.78052
284.0469, 40.46167
284.5291, 48.25488
285.0112, 43.85754
285.4933, 27.81628
285.9754, 18.69800
286.4575, 24.44556
286.9396, 39.77112
287.4217, 46.67236
287.9038, 44.67578
288.3860, 37.49451
288.8681, 23.40674
289.3502, 4.270142
289.8323, 3.370117
290.3144, 10.47156
290.7965, 37.38318
291.2787, 54.90857
291.7608, 62.79382
292.2429, 63.31958
292.7250, 58.01233
293.2071, 47.42773
293.6892, 37.24121
294.1714, 29.28528
294.6535, 23.03516
295.1356, 16.69873
295.6177, 10.18457
296.0998, 5.372803
296.5819, 4.781128
297.0641, 8.407227
297.5462, 14.49634
298.0283, 24.98328
298.5104, 36.37280
298.9925, 43.15320
299.4746, 45.32532
299.9568, 44.73474
300.4389, 35.89050
300.9210, 24.17908
301.4031, 20.68323
301.8852, 39.03235
302.3673, 62.04614
302.8495, 65.70557
303.3316, 50.26111
303.8137, 30.54834
304.2958, 14.05835
304.7779, 2.139160
305.2600, 2.408813
305.7422, 6.439209
306.2243, 19.89392
306.7064, 31.22852
307.1885, 40.41406
307.6706, 44.70142
308.1527, 36.75073
308.6349, 23.24622
309.1170, 13.90710
309.5991, 18.37769
310.0812, 28.22974
310.5633, 37.50793
311.0454, 46.16418
311.5276, 52.05750
312.0097, 53.95178
312.4918, 52.42529
312.9739, 48.11316
313.4560, 35.69299
313.9381, 25.11121
314.4203, 23.59302
314.9024, 30.46533
315.3845, 36.72009
315.8666, 38.89209
316.3487, 38.12219
316.8308, 35.48242
