##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
217.2717, 1.327454
217.7539, 2.492081
218.2360, 2.925674
218.7181, 1.863647
219.2002, 1.053818
219.6823, 0.9898680
220.1644, 1.406464
220.6466, 1.984528
221.1287, 2.573380
221.6108, 3.109970
222.0929, 3.211990
222.5750, 2.191772
223.0571, 1.476822
223.5393, 1.510971
224.0214, 1.957001
224.5035, 2.328110
224.9856, 2.329636
225.4677, 2.022400
225.9498, 1.790787
226.4320, 1.592682
226.9141, 1.513702
227.3962, 1.656570
227.8783, 1.915466
228.3604, 2.162552
228.8425, 2.336578
229.3247, 2.408997
229.8068, 2.201523
230.2889, 1.133636
230.7710, 0.4606320
231.2531, 0.7326810
231.7352, 1.552078
232.2174, 2.194321
232.6995, 2.250397
233.1816, 1.882095
233.6637, 1.822205
234.1458, 2.466080
234.6279, 2.871460
235.1101, 2.552948
235.5922, 1.831192
236.0743, 1.376297
236.5564, 1.556290
237.0385, 2.145187
237.5206, 2.396790
238.0028, 2.139938
238.4849, 1.900330
238.9670, 1.859406
239.4491, 1.963821
239.9312, 2.124863
240.4133, 2.349808
240.8955, 2.541321
241.3776, 2.452301
241.8597, 1.965302
242.3418, 1.545990
242.8239, 1.438736
243.3060, 1.551651
243.7882, 1.642593
244.2703, 1.634888
244.7524, 1.562759
245.2345, 1.453995
245.7166, 1.275314
246.1987, 1.203293
246.6809, 1.356796
247.1630, 1.691452
247.6451, 2.108795
248.1272, 2.706696
248.6093, 3.188782
249.0914, 3.171753
249.5736, 2.652313
250.0557, 2.086823
250.5378, 1.693237
251.0199, 1.456863
251.5020, 1.308746
251.9841, 1.238068
252.4663, 1.258423
252.9484, 1.473709
253.4305, 1.850830
253.9126, 2.047668
254.3947, 1.672913
254.8768, 0.8808140
255.3590, 0.4556880
255.8411, 0.6899110
256.3232, 1.037979
256.8053, 1.098862
257.2874, 0.9350130
257.7695, 0.7709660
258.2516, 0.6859440
258.7338, 0.6978000
259.2159, 0.9434200
259.6980, 1.655716
260.1801, 2.268036
260.6622, 2.523682
261.1443, 2.473358
261.6265, 2.222702
262.1086, 1.712250
262.5907, 1.032013
263.0728, 0.6143950
263.5549, 0.5618130
264.0370, 0.6335910
264.5192, 0.7387700
265.0013, 0.8827060
265.4834, 1.097015
265.9655, 1.462036
266.4476, 1.867554
266.9297, 1.893753
267.4119, 1.171951
267.8940, 0.6304170
268.3761, 0.7299960
268.8582, 1.110992
269.3403, 1.270416
269.8224, 0.9302060
270.3046, 0.3443910
270.7867, 0.1087950
271.2688, 0.4293980
271.7509, 0.8124540
272.2330, 1.241058
272.7151, 1.627930
273.1973, 1.870575
273.6794, 1.925171
274.1615, 1.871597
274.6436, 1.912567
275.1257, 2.253983
275.6078, 2.258865
276.0900, 1.504562
276.5721, 0.6431430
277.0542, 0.2409520
277.5363, 0.4530180
278.0184, 0.9883420
278.5005, 1.399918
278.9827, 1.743820
279.4648, 1.809982
279.9469, 1.332184
280.4290, 0.8040010
280.9111, 0.6156770
281.3932, 0.8041990
281.8754, 1.066223
282.3575, 0.9456020
282.8396, 0.1583250
283.3217, 0.1722720
283.8038, 0.3326420
284.2859, 0.9179380
284.7681, 1.160965
285.2502, 1.061523
285.7323, 0.8941350
286.2144, 0.9667210
286.6965, 1.364304
287.1786, 1.502365
287.6608, 1.057388
288.1429, 0.6791530
288.6250, 0.7751010
289.1071, 1.195175
289.5892, 1.445663
290.0714, 1.067459
290.5535, 4.5502000E-02
291.0356, 0.4625850
291.5177, 1.9989001E-02
291.9998, 0.5140230
292.4819, 0.8288570
292.9641, 0.9564360
293.4462, 0.9052730
293.9283, 0.6581570
294.4104, 0.2670750
294.8925, 7.9163000E-02
295.3746, 0.4034270
295.8568, 0.5938260
296.3389, 0.3476100
296.8210, 3.0182000E-02
297.3031, 5.1178001E-02
297.7852, 0.5260930
298.2673, 1.431396
298.7495, 1.877823
299.2316, 1.286209
299.7137, 0.9358520
300.1958, 1.051987
300.6779, 1.345749
301.1600, 1.555099
301.6422, 1.587296
302.1243, 1.472855
302.6064, 1.253769
303.0885, 0.7899930
303.5706, 0.4811860
304.0527, 0.4308170
304.5349, 0.4623110
305.0170, 0.4529720
305.4991, 0.3804320
305.9812, 0.2830810
306.4633, 0.2347870
306.9454, 0.2478030
307.4276, 0.2777400
307.9097, 0.3936610
308.3918, 0.4597170
308.8739, 0.4161990
309.3560, 0.2751310
309.8381, 0.1008910
310.3203, 6.1294999E-02
310.8024, 0.2142490
311.2845, 0.2771910
311.7666, 0.2377930
312.2487, 0.1361850
312.7308, 4.3136999E-02
313.2130, 0.2744140
313.6951, 0.5156560
314.1772, 0.7432250
314.6593, 0.9524690
315.1414, 1.104141
315.6235, 1.203506
316.1057, 1.237106
316.5878, 1.211838
317.0699, 1.115158
317.5520, 0.8909150
318.0341, 0.5124050
318.5162, 7.6935001E-02
318.9984, 0.1609190
319.4805, 7.5455002E-02
319.9626, 6.8099998E-02
320.4447, 0.3545840
320.9268, 0.6485900
321.4089, 0.8407440
321.8911, 0.8976290
322.3732, 0.8367310
322.8553, 0.6748960
323.3374, 0.3690800
323.8195, 6.4773999E-02
324.3016, 0.4884800
324.7838, 0.8472290
325.2659, 0.5030060
325.7480, 0.4239200
326.2301, 1.220642
326.7122, 1.120773
327.1943, 5.3055000E-02
327.6765, 0.6311040
328.1586, 0.1441500
328.6407, 0.3837740
329.1228, 0.5804900
329.6049, 0.5109410
330.0870, 0.3978120
330.5692, 0.3876040
331.0513, 0.4678190
331.5334, 0.5434270
332.0155, 0.6345670
332.4976, 0.6969450
332.9797, 0.7127230
333.4619, 0.7007140
333.9440, 0.6669310
334.4261, 0.6144710
334.9082, 0.5829320
335.3904, 0.6690830
335.8725, 0.9478610
336.3546, 1.245575
336.8367, 1.741318
337.3188, 2.130539
337.8009, 2.037292
338.2831, 1.442841
338.7652, 0.7730100
339.2473, 0.6557010
339.7294, 1.406906
340.2115, 1.710526
340.6936, 1.181519
341.1758, 0.6056210
341.6579, 0.3616490
342.1400, 0.4320070
342.6221, 0.6142730
343.1042, 0.7458340
343.5863, 0.8260190
344.0685, 0.9028320
344.5506, 0.9656220
345.0327, 1.034042
345.5148, 1.161560
345.9969, 1.290100
346.4790, 1.304810
346.9612, 1.111664
347.4433, 0.8155210
347.9254, 0.7207950
348.4075, 0.9039610
348.8896, 1.175369
349.3717, 1.696259
349.8539, 2.200943
350.3360, 2.460144
350.8181, 2.406555
351.3002, 2.161057
351.7823, 1.888504
352.2644, 1.586899
352.7466, 1.265945
353.2287, 0.8497770
353.7108, 0.4759060
354.1929, 0.1886290
354.6750, 5.8289999E-03
355.1571, 4.2174999E-02
355.6393, 0.1273800
356.1214, 0.5122680
356.6035, 0.7229460
357.0856, 0.5257420
357.5677, 0.4668730
358.0498, 0.9026640
358.5320, 1.517181
359.0141, 1.766663
359.4962, 1.252441
359.9783, 0.3203890
360.4604, 4.3747000E-02
360.9425, 0.4684600
361.4247, 0.8258510
361.9068, 0.4933170
362.3889, 2.2890000E-03
362.8710, 0.1025850
363.3531, 0.3380430
363.8352, 0.8880000
364.3174, 0.8569030
364.7995, 0.1259310
365.2816, 0.1499630
365.7637, 0.8094790
366.2458, 1.794769
366.7279, 1.907455
367.2101, 1.230133
367.6922, 0.5280760
368.1743, 0.3088840
368.6564, 0.4985350
369.1385, 0.8261410
369.6206, 1.424911
370.1028, 1.898972
370.5849, 1.926712
371.0670, 1.684235
371.5491, 1.484222
372.0312, 1.480438
372.5133, 1.525497
372.9955, 1.348862
373.4776, 0.9140010
373.9597, 0.6277010
374.4418, 0.8029020
374.9239, 1.140259
375.4060, 1.240570
375.8882, 1.026108
376.3703, 0.7634120
376.8524, 0.5484310
377.3345, 0.4203030
377.8166, 0.5519410
378.2987, 1.093246
378.7809, 1.694031
379.2630, 1.957001
379.7451, 1.923737
380.2272, 1.827484
380.7093, 1.777756
381.1914, 1.692032
381.6736, 1.337875
382.1557, 0.6612700
382.6378, 0.2165070
383.1199, 0.6418760
383.6020, 1.684738
384.0841, 2.132462
384.5663, 1.448273
