##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
1.714706e+002, 3.801063e+005
1.719528e+002, 3.798134e+005
1.724349e+002, 3.795401e+005
1.729170e+002, 3.792971e+005
1.733991e+002, 3.791323e+005
1.738812e+002, 3.789560e+005
1.743633e+002, 3.786915e+005
1.748455e+002, 3.783362e+005
1.753276e+002, 3.779538e+005
1.758097e+002, 3.775789e+005
1.762918e+002, 3.772016e+005
1.767739e+002, 3.768004e+005
1.772560e+002, 3.763383e+005
1.777382e+002, 3.758764e+005
1.782203e+002, 3.755279e+005
1.787024e+002, 3.753390e+005
1.791845e+002, 3.751170e+005
1.796666e+002, 3.747197e+005
1.801487e+002, 3.742420e+005
1.806309e+002, 3.738057e+005
1.811130e+002, 3.734768e+005
1.815951e+002, 3.732116e+005
1.820772e+002, 3.728836e+005
1.825593e+002, 3.724579e+005
1.830414e+002, 3.720232e+005
1.835236e+002, 3.716002e+005
1.840057e+002, 3.711901e+005
1.844878e+002, 3.707976e+005
1.849699e+002, 3.704309e+005
1.854520e+002, 3.700815e+005
1.859341e+002, 3.696967e+005
1.864163e+002, 3.692343e+005
1.868984e+002, 3.687791e+005
1.873805e+002, 3.683763e+005
1.878626e+002, 3.679894e+005
1.883447e+002, 3.675467e+005
1.888268e+002, 3.669804e+005
1.893090e+002, 3.663006e+005
1.897911e+002, 3.657686e+005
1.902732e+002, 3.656004e+005
1.907553e+002, 3.653642e+005
1.912374e+002, 3.648913e+005
1.917195e+002, 3.642518e+005
1.922017e+002, 3.636211e+005
1.926838e+002, 3.631423e+005
1.931659e+002, 3.628217e+005
1.936480e+002, 3.624094e+005
1.941301e+002, 3.618342e+005
1.946122e+002, 3.612586e+005
1.950944e+002, 3.607497e+005
1.955765e+002, 3.603036e+005
1.960586e+002, 3.598807e+005
1.965407e+002, 3.594558e+005
1.970228e+002, 3.590262e+005
1.975049e+002, 3.585790e+005
1.979871e+002, 3.580684e+005
1.984692e+002, 3.575736e+005
1.989513e+002, 3.571623e+005
1.994334e+002, 3.568297e+005
1.999155e+002, 3.564967e+005
2.003976e+002, 3.561050e+005
2.008798e+002, 3.556500e+005
2.013619e+002, 3.551699e+005
2.018440e+002, 3.546192e+005
2.023261e+002, 3.540752e+005
2.028082e+002, 3.536362e+005
2.032903e+002, 3.533147e+005
2.037725e+002, 3.529788e+005
2.042546e+002, 3.525203e+005
2.047367e+002, 3.519693e+005
2.052188e+002, 3.514083e+005
2.057009e+002, 3.508461e+005
2.061830e+002, 3.502836e+005
2.066652e+002, 3.497168e+005
2.071473e+002, 3.491384e+005
2.076294e+002, 3.485902e+005
2.081115e+002, 3.481253e+005
2.085936e+002, 3.477076e+005
2.090757e+002, 3.472808e+005
2.095579e+002, 3.468183e+005
2.100400e+002, 3.463377e+005
2.105221e+002, 3.458635e+005
2.110042e+002, 3.453826e+005
2.114863e+002, 3.449373e+005
2.119685e+002, 3.445968e+005
2.124506e+002, 3.442908e+005
2.129327e+002, 3.439098e+005
2.134148e+002, 3.433676e+005
2.138969e+002, 3.427281e+005
2.143790e+002, 3.422029e+005
2.148612e+002, 3.418652e+005
2.153433e+002, 3.415232e+005
2.158254e+002, 3.411023e+005
2.163075e+002, 3.406397e+005
2.167896e+002, 3.401842e+005
2.172717e+002, 3.397676e+005
2.177539e+002, 3.393783e+005
2.182360e+002, 3.389729e+005
2.187181e+002, 3.385420e+005
2.192002e+002, 3.381081e+005
2.196823e+002, 3.376822e+005
2.201644e+002, 3.372573e+005
2.206466e+002, 3.368254e+005
2.211287e+002, 3.363834e+005
2.216108e+002, 3.359316e+005
2.220929e+002, 3.354782e+005
2.225750e+002, 3.350132e+005
2.230571e+002, 3.345568e+005
2.235393e+002, 3.341241e+005
2.240214e+002, 3.337029e+005
2.245035e+002, 3.332770e+005
2.249856e+002, 3.328387e+005
2.254677e+002, 3.323892e+005
2.259498e+002, 3.319401e+005
2.264320e+002, 3.314995e+005
2.269141e+002, 3.310515e+005
2.273962e+002, 3.305813e+005
2.278783e+002, 3.301036e+005
2.283604e+002, 3.296326e+005
2.288425e+002, 3.291741e+005
2.293247e+002, 3.287333e+005
2.298068e+002, 3.283394e+005
2.302889e+002, 3.280787e+005
2.307710e+002, 3.277631e+005
2.312531e+002, 3.272995e+005
2.317352e+002, 3.267585e+005
2.322174e+002, 3.262733e+005
2.326995e+002, 3.259228e+005
2.331816e+002, 3.256636e+005
2.336637e+002, 3.253029e+005
2.341458e+002, 3.247453e+005
2.346279e+002, 3.242134e+005
2.351101e+002, 3.237868e+005
2.355922e+002, 3.234234e+005
2.360743e+002, 3.230463e+005
2.365564e+002, 3.226267e+005
2.370385e+002, 3.221597e+005
2.375206e+002, 3.216333e+005
2.380028e+002, 3.209869e+005
2.384849e+002, 3.203855e+005
2.389670e+002, 3.199110e+005
2.394491e+002, 3.195271e+005
2.399312e+002, 3.191463e+005
2.404133e+002, 3.187384e+005
2.408955e+002, 3.183133e+005
2.413776e+002, 3.178834e+005
2.418597e+002, 3.174368e+005
2.423418e+002, 3.170176e+005
2.428239e+002, 3.166673e+005
2.433060e+002, 3.163634e+005
2.437882e+002, 3.160448e+005
2.442703e+002, 3.157001e+005
2.447524e+002, 3.153173e+005
2.452345e+002, 3.148678e+005
2.457166e+002, 3.143345e+005
2.461987e+002, 3.138316e+005
2.466809e+002, 3.134461e+005
2.471630e+002, 3.131419e+005
2.476451e+002, 3.127891e+005
2.481272e+002, 3.123343e+005
2.486093e+002, 3.118471e+005
2.490914e+002, 3.114104e+005
2.495736e+002, 3.110269e+005
2.500557e+002, 3.106534e+005
2.505378e+002, 3.102694e+005
2.510199e+002, 3.098782e+005
2.515020e+002, 3.094897e+005
2.519841e+002, 3.091015e+005
2.524663e+002, 3.087223e+005
2.529484e+002, 3.083490e+005
2.534305e+002, 3.079841e+005
2.539126e+002, 3.076363e+005
2.543947e+002, 3.073238e+005
2.548768e+002, 3.070360e+005
2.553590e+002, 3.067294e+005
2.558411e+002, 3.063857e+005
2.563232e+002, 3.060387e+005
2.568053e+002, 3.057192e+005
2.572874e+002, 3.054189e+005
2.577695e+002, 3.051055e+005
2.582516e+002, 3.047404e+005
2.587338e+002, 3.043374e+005
2.592159e+002, 3.039883e+005
2.596980e+002, 3.037256e+005
2.601801e+002, 3.034747e+005
2.606622e+002, 3.031955e+005
2.611443e+002, 3.028961e+005
2.616265e+002, 3.025933e+005
2.621086e+002, 3.022912e+005
2.625907e+002, 3.019929e+005
2.630728e+002, 3.017241e+005
2.635549e+002, 3.015002e+005
2.640370e+002, 3.012796e+005
2.645192e+002, 3.010108e+005
2.650013e+002, 3.007364e+005
2.654834e+002, 3.005389e+005
2.659655e+002, 3.004951e+005
2.664476e+002, 3.005385e+005
2.669297e+002, 3.004216e+005
2.674119e+002, 3.000499e+005
2.678940e+002, 2.996628e+005
2.683761e+002, 2.993028e+005
2.688582e+002, 2.989843e+005
2.693403e+002, 2.987311e+005
2.698224e+002, 2.985646e+005
2.703046e+002, 2.984529e+005
2.707867e+002, 2.983022e+005
2.712688e+002, 2.980679e+005
2.717509e+002, 2.978797e+005
2.722330e+002, 2.977725e+005
2.727151e+002, 2.977126e+005
2.731973e+002, 2.976712e+005
2.736794e+002, 2.976375e+005
2.741615e+002, 2.976045e+005
2.746436e+002, 2.975597e+005
2.751257e+002, 2.975097e+005
2.756078e+002, 2.974273e+005
2.760900e+002, 2.972843e+005
2.765721e+002, 2.971263e+005
2.770542e+002, 2.969736e+005
2.775363e+002, 2.968357e+005
2.780184e+002, 2.967409e+005
2.785005e+002, 2.967576e+005
2.789827e+002, 2.969818e+005
2.794648e+002, 2.970986e+005
2.799469e+002, 2.970448e+005
2.804290e+002, 2.969322e+005
2.809111e+002, 2.968184e+005
2.813932e+002, 2.967219e+005
2.818754e+002, 2.966451e+005
2.823575e+002, 2.965937e+005
2.828396e+002, 2.965773e+005
2.833217e+002, 2.965622e+005
2.838038e+002, 2.965277e+005
2.842859e+002, 2.965116e+005
2.847681e+002, 2.965479e+005
2.852502e+002, 2.966293e+005
2.857323e+002, 2.967166e+005
2.862144e+002, 2.967708e+005
2.866965e+002, 2.967894e+005
2.871786e+002, 2.967876e+005
2.876608e+002, 2.967656e+005
2.881429e+002, 2.967257e+005
2.886250e+002, 2.966432e+005
2.891071e+002, 2.965395e+005
2.895892e+002, 2.964637e+005
2.900714e+002, 2.964550e+005
2.905535e+002, 2.965143e+005
2.910356e+002, 2.966137e+005
2.915177e+002, 2.968413e+005
2.919998e+002, 2.970186e+005
2.924819e+002, 2.970521e+005
2.929641e+002, 2.970026e+005
2.934462e+002, 2.969895e+005
2.939283e+002, 2.970929e+005
2.944104e+002, 2.972923e+005
2.948925e+002, 2.974491e+005
2.953746e+002, 2.975368e+005
2.958568e+002, 2.976065e+005
2.963389e+002, 2.976492e+005
2.968210e+002, 2.976807e+005
2.973031e+002, 2.977194e+005
2.977852e+002, 2.977737e+005
2.982673e+002, 2.978409e+005
2.987495e+002, 2.979135e+005
2.992316e+002, 2.979882e+005
2.997137e+002, 2.980712e+005
3.001958e+002, 2.981714e+005
3.006779e+002, 2.982743e+005
3.011600e+002, 2.983626e+005
3.016422e+002, 2.984309e+005
3.021243e+002, 2.984911e+005
3.026064e+002, 2.985669e+005
3.030885e+002, 2.986891e+005
3.035706e+002, 2.987687e+005
3.040527e+002, 2.987818e+005
3.045349e+002, 2.987723e+005
3.050170e+002, 2.987735e+005
3.054991e+002, 2.987908e+005
3.059812e+002, 2.988089e+005
3.064633e+002, 2.988088e+005
3.069454e+002, 2.987867e+005
3.074276e+002, 2.987611e+005
3.079097e+002, 2.987392e+005
3.083918e+002, 2.987116e+005
3.088739e+002, 2.986616e+005
3.093560e+002, 2.985987e+005
3.098381e+002, 2.985585e+005
3.103203e+002, 2.985793e+005
3.108024e+002, 2.986697e+005
3.112845e+002, 2.986981e+005
3.117666e+002, 2.986170e+005
3.122487e+002, 2.985338e+005
3.127308e+002, 2.984938e+005
3.132130e+002, 2.984806e+005
3.136951e+002, 2.984550e+005
3.141772e+002, 2.983919e+005
3.146593e+002, 2.982939e+005
3.151414e+002, 2.981835e+005
3.156235e+002, 2.980258e+005
3.161057e+002, 2.978912e+005
3.165878e+002, 2.978014e+005
3.170699e+002, 2.977365e+005
3.175520e+002, 2.976756e+005
3.180341e+002, 2.976094e+005
3.185162e+002, 2.975293e+005
3.189984e+002, 2.974148e+005
3.194805e+002, 2.972437e+005
3.199626e+002, 2.970632e+005
3.204447e+002, 2.968901e+005
3.209268e+002, 2.967013e+005
3.214089e+002, 2.964654e+005
3.218911e+002, 2.961779e+005
3.223732e+002, 2.958770e+005
3.228553e+002, 2.956165e+005
3.233374e+002, 2.954165e+005
3.238195e+002, 2.952170e+005
3.243016e+002, 2.950480e+005
3.247838e+002, 2.948582e+005
3.252659e+002, 2.946115e+005
3.257480e+002, 2.943082e+005
3.262301e+002, 2.939767e+005
3.267122e+002, 2.936393e+005
3.271943e+002, 2.932941e+005
3.276765e+002, 2.929599e+005
3.281586e+002, 2.926578e+005
3.286407e+002, 2.923413e+005
3.291228e+002, 2.919923e+005
3.296049e+002, 2.916118e+005
3.300870e+002, 2.912011e+005
3.305692e+002, 2.907573e+005
3.310513e+002, 2.902866e+005
3.315334e+002, 2.898474e+005
3.320155e+002, 2.894610e+005
3.324976e+002, 2.890813e+005
3.329797e+002, 2.887330e+005
3.334619e+002, 2.883803e+005
3.339440e+002, 2.879816e+005
3.344261e+002, 2.875180e+005
3.349082e+002, 2.870019e+005
3.353904e+002, 2.864506e+005
3.358725e+002, 2.858278e+005
3.363546e+002, 2.852367e+005
3.368367e+002, 2.847121e+005
3.373188e+002, 2.842005e+005
3.378009e+002, 2.836539e+005
3.382831e+002, 2.830667e+005
3.387652e+002, 2.824735e+005
3.392473e+002, 2.819267e+005
3.397294e+002, 2.814380e+005
3.402115e+002, 2.809532e+005
3.406936e+002, 2.805075e+005
3.411758e+002, 2.800327e+005
3.416579e+002, 2.794600e+005
3.421400e+002, 2.788156e+005
3.426221e+002, 2.781973e+005
3.431042e+002, 2.776924e+005
3.435863e+002, 2.772992e+005
3.440685e+002, 2.768835e+005
3.445506e+002, 2.764248e+005
3.450327e+002, 2.759607e+005
3.455148e+002, 2.755084e+005
3.459969e+002, 2.750543e+005
