##NAMES=Graphite
##RRUFFID=R120025
##IDEAL CHEMISTRY=C
##LOCALITY=Saint-Sauveur Graphite occurrence, Saint-Sauveur, Les Pays-d'en-Haut RCM, Laurentides, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Semi-metallic, dark gray flakes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120025
219.5331, 0.1107440
220.0153, 7.6953001E-02
220.4974, 4.4615999E-02
220.9795, 0.1170300
221.4616, 0.1164150
221.9437, 9.2817999E-02
222.4258, 0.1173800
222.9080, 0.2315840
223.3901, 0.3038330
223.8722, 0.2811940
224.3543, 0.1455090
224.8364, 7.7592999E-02
225.3185, 0.1129650
225.8007, 0.1832100
226.2828, 0.1959540
226.7649, 0.1091420
227.2470, 4.8307002E-02
227.7291, 5.9124999E-02
228.2112, 0.1564570
228.6934, 0.2096060
229.1755, 0.2091440
229.6576, 0.1732440
230.1397, 0.1136030
230.6218, 2.2839000E-02
231.1039, 8.3355002E-02
231.5861, 6.8709999E-03
232.0682, 0.2911040
232.5503, 0.4207520
233.0324, 0.3125660
233.5145, 0.1213550
233.9966, 4.9426999E-02
234.4788, 0.1818910
234.9609, 0.2776590
235.4430, 0.2672820
235.9251, 0.1284250
236.4072, 4.0282998E-02
236.8893, 2.2593999E-02
237.3715, 3.8697999E-02
237.8536, 4.2006001E-02
238.3357, 1.6849000E-02
238.8178, 5.3690001E-03
239.2999, 1.3739000E-02
239.7820, 3.9113998E-02
240.2642, 0.1090660
240.7463, 0.2567640
241.2284, 0.4208990
241.7105, 0.5279180
242.1926, 0.5670930
242.6747, 0.5685080
243.1569, 0.5328420
243.6390, 0.4499240
244.1211, 0.3709100
244.6032, 0.2902490
245.0853, 0.2175790
245.5674, 0.1664660
246.0496, 0.1508700
246.5317, 0.1282110
247.0138, 6.4277999E-02
247.4959, 5.5652000E-02
247.9780, 3.0012000E-02
248.4601, 0.2405900
248.9423, 0.5587050
249.4244, 0.7012330
249.9065, 0.5943020
250.3886, 0.4572750
250.8707, 0.3241110
251.3528, 0.1943320
251.8350, 9.5562004E-02
252.3171, 9.0410002E-03
252.7992, 2.5657000E-02
253.2813, 4.7968999E-02
253.7634, 0.2937860
254.2455, 0.5089080
254.7277, 0.6589160
255.2098, 0.7439000
255.6919, 0.7638820
256.1740, 0.6839620
256.6561, 0.5747500
257.1382, 0.4970950
257.6204, 0.4463930
258.1025, 0.4391010
258.5846, 0.4960510
259.0667, 0.6125370
259.5488, 0.6800330
260.0309, 0.6754660
260.5131, 0.6485150
260.9952, 0.6475730
261.4773, 0.6971010
261.9594, 0.7093250
262.4415, 0.6412080
262.9236, 0.5090100
263.4058, 0.4225590
263.8879, 0.3813880
264.3700, 0.3934050
264.8521, 0.4658600
265.3342, 0.6181580
265.8163, 0.7365120
266.2985, 0.7994820
266.7806, 0.8095270
267.2627, 0.8060930
267.7448, 0.8063250
268.2269, 0.7969070
268.7090, 0.7516360
269.1912, 0.6501240
269.6733, 0.6018270
270.1554, 0.6189230
270.6375, 0.6951760
271.1196, 0.8122850
271.6017, 0.9949890
272.0839, 1.149737
272.5660, 1.184546
273.0481, 1.069959
273.5302, 1.044126
274.0123, 1.172603
274.4944, 1.376643
274.9766, 1.406773
275.4587, 1.224683
275.9408, 1.019369
276.4229, 0.9115680
276.9050, 0.9059900
277.3871, 0.8950740
277.8693, 0.8714190
278.3514, 0.8464740
278.8335, 0.8407470
279.3156, 0.8560050
279.7977, 0.8788190
280.2798, 0.9185810
280.7620, 0.9754970
281.2441, 0.9604920
281.7262, 0.8472470
282.2083, 0.7004690
282.6904, 0.6473380
283.1725, 0.6945020
283.6547, 0.7352330
284.1368, 0.7129860
284.6189, 0.6332810
285.1010, 0.5502470
285.5831, 0.4580540
286.0652, 0.3822680
286.5474, 0.3851570
287.0295, 0.4644170
287.5116, 0.5068330
287.9937, 0.4211910
288.4758, 0.2397650
288.9579, 0.1655860
289.4401, 0.2124850
289.9222, 0.3165240
290.4043, 0.4417870
290.8864, 0.5807590
291.3685, 0.6500830
291.8506, 0.5614530
292.3328, 0.3813140
292.8149, 0.3054620
293.2970, 0.3415950
293.7791, 0.4104790
294.2612, 0.4288610
294.7433, 0.4128870
295.2255, 0.4225970
295.7076, 0.5212470
296.1897, 0.6333180
296.6718, 0.5638450
297.1539, 0.3185600
297.6360, 9.4639003E-02
298.1182, 0.1266110
298.6003, 0.3210820
299.0824, 0.4085010
299.5645, 0.2475320
300.0466, 1.4359000E-02
300.5287, 2.5562000E-02
301.0109, 0.1075010
301.4930, 0.2670500
301.9751, 0.3750400
302.4572, 0.4329580
302.9393, 0.4340560
303.4214, 0.3577820
303.9036, 0.2618580
304.3857, 0.2020220
304.8678, 0.1752200
305.3499, 0.1608550
305.8320, 0.1642170
306.3141, 0.1738860
306.7963, 0.1640440
307.2784, 0.1165290
307.7605, 9.1819003E-02
308.2426, 0.1716730
308.7247, 0.3159310
309.2068, 0.4279070
309.6890, 0.4290220
310.1711, 0.3929530
310.6532, 0.3954950
311.1353, 0.4626120
311.6174, 0.4902780
312.0995, 0.3356710
312.5817, 0.1090050
313.0638, 1.4348000E-02
313.5459, 0.1526340
314.0280, 0.3576430
314.5101, 0.4467260
314.9922, 0.4051540
315.4744, 0.3245760
315.9565, 0.1953740
316.4386, 6.8135999E-02
316.9207, 1.8330000E-03
317.4028, 9.7721003E-02
317.8849, 0.1810120
318.3671, 0.1500380
318.8492, 1.1369000E-02
319.3313, 6.9485001E-02
319.8134, 5.0586000E-02
320.2955, 0.2052770
320.7776, 0.2610850
321.2598, 6.1276000E-02
321.7419, 0.1036090
322.2240, 0.1576510
322.7061, 0.1161420
323.1882, 6.0826000E-02
323.6703, 1.1206000E-02
324.1525, 8.0375001E-02
324.6346, 0.1363800
325.1167, 0.1986190
325.5988, 0.2206550
326.0809, 0.1560510
326.5630, 4.4450000E-02
327.0452, 5.7120002E-03
327.5273, 9.1894999E-02
328.0094, 0.1842120
328.4915, 0.2109810
328.9736, 0.1168790
329.4557, 7.2616003E-02
329.9379, 0.1147330
330.4200, 0.1960150
330.9021, 0.2389910
331.3842, 0.2074330
331.8663, 0.1862960
332.3484, 0.2055920
332.8306, 0.2758760
333.3127, 0.3162490
333.7948, 0.3232750
334.2769, 0.3032550
334.7590, 0.2562400
335.2411, 0.1558960
335.7233, 8.7968998E-02
336.2054, 8.2010999E-02
336.6875, 0.1372520
337.1696, 0.1735690
337.6517, 0.1854140
338.1339, 0.1797050
338.6160, 0.1605450
339.0981, 0.1230200
339.5802, 9.5238999E-02
340.0623, 7.6422997E-02
340.5444, 7.2807997E-02
341.0266, 0.1157120
341.5087, 0.2159520
341.9908, 0.3106430
342.4729, 0.3616560
342.9550, 0.3689480
343.4371, 0.3589630
343.9193, 0.3284710
344.4014, 0.2914900
344.8835, 0.2666170
345.3656, 0.2539600
345.8477, 0.2690380
346.3298, 0.3720870
346.8120, 0.5218340
347.2941, 0.4995080
347.7762, 0.2734760
348.2583, 1.9298000E-02
348.7404, 2.9359000E-02
349.2225, 8.3512999E-02
349.7047, 0.1695530
350.1868, 0.1135110
350.6689, 4.9790000E-03
351.1510, 1.8525001E-02
351.6331, 0.1521070
352.1152, 0.2980210
352.5974, 0.3763960
353.0795, 0.4025440
353.5616, 0.4061980
354.0437, 0.4041470
354.5258, 0.3720820
355.0079, 0.2440890
355.4901, 4.7770001E-02
355.9722, 9.6155003E-02
356.4543, 9.6248999E-02
356.9364, 1.4256000E-02
357.4185, 0.1024840
357.9006, 0.2727760
358.3828, 0.3978860
358.8649, 0.4026580
359.3470, 0.3202760
359.8291, 0.2263890
360.3112, 0.1103760
360.7933, 2.6136000E-02
361.2755, 2.3824001E-02
361.7576, 0.1222590
362.2397, 0.1952370
362.7218, 0.1649400
363.2039, 9.4501004E-02
363.6860, 5.4361001E-02
364.1682, 8.1680998E-02
364.6503, 0.1236700
365.1324, 0.1691430
365.6145, 0.2174220
366.0966, 0.2597140
366.5787, 0.3034720
367.0609, 0.3352810
