##NAMES=Erlichmanite
##RRUFFID=R070095
##IDEAL CHEMISTRY=Os^2+^(S_2_)^2-^
##LOCALITY=placer from Philipp Massif, Kamchatka, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silver bleb in black isoferroplatinum nugget, polished and embedded in epoxy
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070095
326.6862, 51.35612
327.1683, 50.37895
327.6504, 55.52707
328.1325, 69.32796
328.6146, 92.85475
329.0967, 116.1870
329.5789, 115.2660
330.0610, 65.79778
330.5431, 32.24069
331.0252, 16.76601
331.5073, 15.11023
331.9894, 30.99298
332.4716, 61.16780
332.9537, 89.49702
333.4358, 96.74857
333.9179, 79.84262
334.4000, 66.70337
334.8821, 54.64915
335.3643, 49.61490
335.8464, 59.85870
336.3285, 78.95282
336.8106, 92.91234
337.2927, 92.96967
337.7748, 82.66867
338.2570, 70.53329
338.7391, 54.15608
339.2212, 42.73434
339.7033, 43.94795
340.1854, 49.68359
340.6675, 51.62842
341.1497, 46.96429
341.6318, 42.80432
342.1139, 49.67932
342.5960, 66.02861
343.0781, 70.25165
343.5602, 48.83046
344.0424, 24.32782
344.5245, 28.02335
345.0066, 60.77391
345.4887, 87.21684
345.9708, 90.47462
346.4529, 81.93713
346.9351, 77.06183
347.4172, 77.92276
347.8993, 79.18365
348.3814, 75.75183
348.8635, 67.61935
349.3456, 63.21799
349.8278, 64.99394
350.3099, 68.44368
350.7920, 73.96530
351.2741, 78.87572
351.7562, 76.20590
352.2383, 61.40021
352.7205, 39.65137
353.2026, 26.92233
353.6847, 22.76126
354.1668, 29.71872
354.6489, 67.61221
355.1310, 105.4634
355.6132, 111.2835
356.0953, 80.25592
356.5774, 35.40863
357.0595, 2.505127
357.5416, 19.55788
358.0237, 24.30777
358.5059, 10.86606
358.9880, 42.81232
359.4701, 53.75085
359.9522, 48.63800
360.4343, 41.69595
360.9164, 41.67114
361.3985, 46.09088
361.8806, 47.27222
362.3628, 44.61472
362.8449, 40.54385
363.3270, 34.66940
363.8091, 28.29550
364.2912, 21.86356
364.7733, 14.89362
365.2555, 11.02344
365.7376, 17.13220
366.2197, 30.76425
366.7018, 34.76245
367.1839, 19.75320
367.6660, 3.224365
368.1482, 9.144073
368.6303, 35.48935
369.1124, 53.25308
369.5945, 45.24182
370.0766, 30.15826
370.5587, 31.45184
371.0409, 49.10754
371.5230, 62.55573
372.0051, 55.96222
372.4872, 32.44788
372.9693, 18.73596
373.4514, 18.71780
373.9336, 22.19592
374.4157, 31.75778
374.8978, 41.38742
375.3799, 39.12793
375.8620, 20.85272
376.3441, 0.8231200
376.8263, 2.633118
377.3084, 30.29892
377.7905, 50.98120
378.2726, 55.67297
378.7547, 53.58066
379.2368, 47.76675
379.7190, 39.79913
380.2011, 31.86676
380.6832, 26.08975
381.1653, 21.82034
381.6474, 13.50055
382.1295, 6.624313
382.6117, 17.36430
383.0938, 5.397568
383.5759, 11.87251
384.0580, 23.86536
384.5401, 44.29602
385.0222, 50.26962
385.5044, 1.487991
385.9865, 21.36560
386.4686, 14.33588
386.9507, 6.081909
387.4328, 39.44028
387.9149, 3.878342
388.3971, 28.71045
388.8792, 30.89334
389.3613, 46.96173
389.8434, 33.02719
390.3255, 28.49203
390.8076, 54.04184
391.2898, 62.93591
391.7719, 45.65439
392.2540, 62.79269
392.7361, 18.43790
393.2182, 28.03436
393.7003, 60.92824
394.1825, 45.16801
394.6646, 62.86546
395.1467, 67.82275
395.6288, 27.22261
396.1109, 4.429565
396.5930, 9.024643
397.0752, 13.14880
397.5573, 7.219955
398.0394, 27.51558
398.5215, 54.17563
399.0036, 45.10400
399.4857, 10.94951
399.9679, 14.97725
400.4500, 6.685974
400.9321, 24.84979
401.4142, 38.57523
401.8963, 25.93291
402.3784, 15.79822
402.8605, 24.16428
403.3427, 36.80695
403.8248, 37.95609
404.3069, 22.74223
404.7890, 8.762634
405.2711, 15.85980
405.7532, 37.01817
406.2354, 43.72070
406.7175, 27.13422
407.1996, 5.456863
407.6817, 4.539719
408.1638, 3.572678
408.6459, 1.995163
409.1281, 17.24422
409.6102, 31.97453
410.0923, 39.74751
410.5744, 40.78961
411.0565, 35.59167
411.5386, 20.49586
412.0208, 3.224304
412.5029, 3.261871
412.9850, 49.42514
413.4671, 75.66797
413.9492, 71.39923
414.4313, 54.21852
414.9135, 32.12384
415.3956, 10.39828
415.8777, 1.722427
416.3598, 6.794083
416.8419, 36.30054
417.3240, 50.20847
417.8062, 34.71893
418.2883, 22.39020
418.7704, 29.99689
419.2525, 45.36987
419.7346, 49.68982
420.2167, 33.62366
420.6989, 14.47026
421.1810, 15.01236
421.6631, 33.89032
422.1452, 48.64404
422.6273, 53.97961
423.1094, 53.18324
423.5916, 47.74486
424.0737, 37.93532
424.5558, 31.33968
425.0379, 32.53360
425.5200, 36.01784
426.0021, 36.59314
426.4843, 34.43892
426.9664, 32.29550
427.4485, 31.80856
427.9306, 32.71667
428.4127, 33.97357
428.8948, 34.28563
429.3770, 36.62238
429.8591, 43.86813
430.3412, 51.74156
430.8233, 57.76012
431.3054, 60.65866
431.7875, 57.81860
432.2697, 43.75499
432.7518, 17.49207
433.2339, 2.396423
433.7160, 3.244873
434.1981, 9.920517
434.6802, 25.10457
435.1624, 41.83453
435.6445, 47.94926
436.1266, 36.57014
436.6087, 20.60049
437.0908, 15.28940
437.5729, 19.98373
438.0551, 26.13394
438.5372, 32.33063
439.0193, 38.15706
439.5014, 44.49355
439.9835, 51.20847
440.4656, 51.89706
440.9478, 39.90652
441.4299, 26.25455
441.9120, 23.50079
442.3941, 29.44308
442.8762, 33.72415
443.3583, 29.79913
443.8404, 21.75787
444.3225, 18.54056
444.8047, 31.25748
445.2868, 36.13754
445.7689, 22.49141
446.2510, 7.558121
446.7331, 7.601456
447.2152, 22.63315
447.6974, 37.83513
448.1795, 37.28462
448.6616, 22.87663
449.1437, 20.64743
449.6258, 40.84087
450.1079, 54.68161
450.5901, 40.47426
451.0722, 17.36467
451.5543, 12.05785
452.0364, 35.86931
452.5185, 60.21631
453.0006, 57.31366
453.4828, 35.35446
453.9649, 22.35812
454.4470, 24.61075
454.9291, 33.30370
455.4112, 42.76596
455.8933, 53.08356
456.3755, 52.13815
456.8576, 25.16463
457.3397, 1.334259
457.8218, 2.225723
458.3039, 9.174591
458.7860, 23.69566
459.2682, 36.21078
459.7503, 44.75014
460.2324, 41.95079
460.7145, 18.38806
461.1966, 5.899826
461.6787, 15.51843
462.1609, 26.44930
462.6430, 24.84796
463.1251, 15.48485
463.6072, 13.36433
464.0893, 34.20673
464.5714, 63.76688
465.0536, 68.41551
465.5357, 44.60561
466.0178, 26.62486
466.4999, 32.74498
466.9820, 46.26350
467.4641, 39.59958
467.9463, 7.373291
468.4284, 11.55098
468.9105, 5.105194
469.3926, 36.84596
469.8747, 67.33694
470.3568, 92.38641
470.8390, 101.3995
471.3211, 84.63272
471.8032, 46.73059
472.2853, 15.69641
472.7674, 18.97246
473.2495, 31.97443
473.7317, 1.340302
474.2138, 39.55099
474.6959, 59.50049
475.1780, 53.95346
475.6601, 40.18906
476.1422, 32.96780
476.6244, 4.093979
477.1065, 39.09952
477.5886, 58.82648
478.0707, 64.09579
478.5528, 11.60706
479.0349, 33.69952
479.5171, 25.90228
479.9992, 16.87897
480.4813, 49.57695
480.9634, 6.176468
481.4455, 38.48381
481.9276, 40.06467
482.4098, 55.53317
482.8918, 40.92764
483.3740, 35.61089
483.8561, 60.37666
484.3382, 68.48444
484.8203, 50.41492
485.3024, 66.76282
485.7845, 21.61537
486.2667, 46.58073
486.7488, 50.73006
487.2309, 43.93536
487.7130, 34.20634
488.1951, 34.15930
488.6772, 45.42307
489.1594, 48.55981
489.6415, 36.11572
490.1236, 24.52942
490.6057, 24.80327
491.0878, 31.88437
491.5699, 35.21045
492.0521, 30.10696
492.5342, 22.72763
493.0163, 16.03542
493.4984, 11.24443
493.9805, 14.47511
494.4626, 28.87721
494.9448, 43.57083
495.4269, 44.05025
495.9090, 26.23544
496.3911, 17.13684
496.8732, 23.57942
497.3553, 31.01756
497.8375, 32.07925
498.3196, 29.75156
498.8017, 31.66646
499.2838, 41.15578
499.7659, 50.04855
500.2480, 40.13634
500.7302, 5.362869
501.2123, 11.25298
501.6944, 6.509995
502.1765, 28.92705
502.6586, 40.95250
503.1407, 43.53189
503.6229, 39.56462
504.1050, 24.79834
504.5871, 9.608398
505.0692, 3.532455
505.5513, 5.443954
506.0334, 12.27310
506.5156, 24.00388
506.9977, 35.99020
507.4798, 41.86920
507.9619, 40.01814
508.4440, 37.90823
508.9261, 34.45413
509.4083, 31.85793
509.8904, 31.94240
510.3725, 33.45258
510.8546, 33.77020
511.3367, 31.64554
511.8188, 29.02382
512.3010, 30.39519
512.7831, 36.91420
513.2652, 38.20537
513.7473, 31.77817
514.2294, 21.34846
514.7115, 5.076279
515.1937, 14.06819
515.6758, 22.62903
516.1579, 12.87183
516.6400, 5.750641
517.1221, 33.66055
517.6042, 64.59424
518.0864, 80.53220
518.5685, 74.97978
519.0506, 56.81696
519.5327, 35.42401
520.0148, 5.632751
520.4969, 3.720871
520.9791, 24.73315
521.4612, 52.11333
521.9433, 63.66315
522.4254, 64.34152
522.9075, 63.64951
523.3896, 65.48128
523.8718, 65.13943
524.3539, 50.32901
524.8360, 21.84120
525.3181, 15.56897
525.8002, 46.27811
526.2823, 79.31946
526.7645, 91.80067
527.2466, 86.72733
527.7287, 72.66589
528.2108, 35.85457
528.6929, 7.824249
529.1750, 7.603851
529.6572, 24.16833
530.1393, 42.07443
530.6214, 55.24217
531.1035, 62.95770
531.5856, 65.94872
532.0677, 62.05246
532.5499, 58.45703
533.0320, 57.02768
533.5141, 53.54083
533.9962, 45.32152
534.4783, 35.23058
534.9604, 26.37637
535.4426, 19.41930
535.9247, 14.90805
536.4068, 15.85413
536.8889, 19.69521
537.3710, 15.94154
537.8531, 2.118484
538.3353, 7.798096
538.8174, 2.873413
539.2995, 13.72578
539.7816, 26.27060
540.2637, 36.67438
540.7458, 41.17087
541.2280, 32.77632
541.7101, 21.97998
542.1922, 20.82629
542.6743, 29.29823
543.1564, 36.98007
543.6385, 34.10594
544.1207, 23.58348
544.6027, 21.41225
545.0848, 30.59810
545.5670, 40.34360
546.0491, 50.99484
546.5312, 58.35129
547.0133, 56.66516
547.4954, 45.52313
547.9775, 35.64830
548.4597, 32.09561
548.9418, 32.00638
549.4239, 33.34798
549.9060, 35.44952
550.3881, 36.21890
550.8702, 34.67769
551.3524, 30.88875
551.8345, 24.64656
552.3166, 12.04149
552.7987, 4.859848
553.2808, 3.208221
553.7629, 6.055908
554.2451, 18.25369
554.7272, 34.22470
555.2093, 40.57927
555.6914, 27.52635
556.1735, 10.15099
556.6556, 12.49126
557.1378, 32.34164
557.6199, 46.27475
558.1020, 48.01863
558.5841, 45.81819
559.0662, 47.77342
559.5483, 55.63745
560.0305, 57.02859
560.5126, 43.92090
560.9947, 33.09592
561.4768, 32.04973
561.9589, 36.89088
