##NAMES=Pyrrhotite
##RRUFFID=R061127
##IDEAL CHEMISTRY=Fe^2+^_5_Fe^3+^_2_S^2-^_8_
##LOCALITY=Morro Velho Gold mine, Nova Umha, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brass colored, prismatic crystals associated with quartz and dolomite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061127
325.3961, 7.034248
325.8782, 11.36487
326.3604, 14.31270
326.8425, 12.98627
327.3246, 7.905842
327.8067, 5.145233
328.2888, 5.818678
328.7709, 7.170261
329.2531, 9.499546
329.7352, 11.87944
330.2173, 12.67050
330.6994, 11.02685
331.1815, 7.919384
331.6636, 5.958958
332.1458, 6.054981
332.6279, 6.258564
333.1100, 6.629673
333.5921, 7.025839
334.0742, 7.634275
334.5563, 8.407555
335.0385, 8.477394
335.5206, 6.299200
336.0027, 0.2266080
336.4848, 3.392267
336.9669, 0.5932600
337.4490, 3.113623
337.9312, 4.183306
338.4133, 2.628941
338.8954, 1.184599
339.3775, 2.719055
339.8596, 7.727554
340.3417, 10.15676
340.8239, 8.841333
341.3060, 6.563604
341.7881, 3.148079
342.2702, 0.4469990
342.7523, 2.406048
343.2344, 1.495522
343.7166, 1.639984
344.1987, 3.858782
344.6808, 4.813356
345.1629, 5.124949
345.6450, 4.159306
346.1271, 2.845776
346.6093, 2.370316
347.0914, 3.135679
347.5735, 4.393644
348.0556, 4.514891
348.5377, 2.220619
349.0198, 1.061350
349.5020, 2.074497
349.9841, 3.292736
350.4662, 3.235807
350.9483, 1.848755
351.4304, 0.1555330
351.9125, 0.8139270
352.3947, 1.057995
352.8768, 0.5662380
353.3589, 1.554321
353.8410, 3.516163
354.3231, 4.505295
354.8052, 4.843948
355.2874, 5.364338
355.7695, 6.699604
356.2516, 8.601028
356.7337, 9.676422
357.2158, 9.646547
357.6979, 9.062149
358.1800, 7.357870
358.6621, 5.476145
359.1443, 4.614637
359.6264, 5.221712
360.1085, 6.412310
360.5906, 6.495113
361.0727, 4.890985
361.5548, 3.687849
362.0370, 3.360407
362.5191, 3.265007
363.0012, 3.036644
363.4833, 2.713839
363.9654, 2.435429
364.4475, 2.229162
364.9297, 2.208153
365.4118, 2.046072
365.8939, 1.439560
366.3760, 1.035431
366.8581, 1.205383
367.3402, 1.759279
367.8224, 2.283901
368.3045, 2.479034
368.7866, 2.514791
369.2687, 2.881088
369.7508, 3.619968
370.2329, 4.618708
370.7151, 6.561829
371.1972, 8.389132
371.6793, 8.774593
372.1614, 7.186539
372.6435, 5.225780
373.1256, 5.142332
373.6078, 7.116827
374.0899, 8.315788
374.5720, 7.764906
375.0541, 6.565899
375.5362, 5.320866
376.0183, 4.106407
376.5005, 3.226568
376.9826, 2.836044
377.4647, 2.932560
377.9468, 3.723795
378.4289, 5.755592
378.9110, 7.269035
379.3932, 6.614491
379.8753, 4.665770
380.3574, 2.998888
380.8395, 2.021524
381.3216, 1.614557
381.8037, 1.951551
382.2859, 3.058870
382.7680, 3.594717
383.2501, 2.373320
383.7322, 0.6519030
384.2143, 0.4857330
384.6964, 2.294678
385.1786, 4.307381
385.6607, 5.774940
386.1428, 6.672125
386.6249, 6.773205
387.1070, 5.816355
387.5891, 4.641911
388.0713, 4.248947
388.5534, 4.560120
389.0355, 4.999647
389.5176, 5.804770
389.9997, 6.466784
390.4818, 6.345369
390.9640, 5.452639
391.4461, 4.428404
391.9282, 3.584074
392.4103, 3.015461
392.8924, 3.062237
393.3745, 5.043135
393.8567, 6.136538
394.3388, 4.146776
394.8209, 0.7846890
395.3030, 1.481697
395.7851, 1.720844
396.2672, 0.6335960
396.7494, 0.6677460
397.2315, 2.589207
397.7136, 3.700638
398.1957, 3.263077
398.6778, 2.577477
399.1599, 2.674326
399.6420, 3.656189
400.1241, 4.906467
400.6063, 5.879408
401.0884, 6.779751
401.5705, 6.837608
402.0526, 4.912340
402.5347, 3.325865
403.0168, 3.214014
403.4990, 3.829723
403.9811, 3.660830
404.4632, 1.956999
404.9453, 0.2255280
405.4274, 0.1858800
405.9095, 4.133648
406.3917, 7.243699
406.8738, 9.045513
407.3559, 9.674623
407.8380, 8.637860
408.3201, 6.248062
408.8022, 3.922615
409.2844, 3.135663
409.7665, 3.953688
410.2486, 4.568802
410.7307, 4.933636
411.2128, 5.241264
411.6949, 5.811241
412.1771, 6.351343
412.6592, 6.335722
413.1413, 5.441589
413.6234, 4.070011
414.1055, 3.069281
414.5876, 2.512560
415.0698, 2.094852
415.5519, 1.591066
416.0340, 1.310976
416.5161, 1.764281
416.9982, 2.891188
417.4803, 3.766816
417.9625, 3.537322
418.4446, 2.403240
418.9267, 1.851213
419.4088, 2.427619
419.8909, 2.777929
420.3730, 1.313139
420.8552, 1.001586
421.3373, 1.873093
421.8194, 3.1498000E-02
422.3015, 3.102708
422.7836, 6.033142
423.2657, 8.794827
423.7479, 9.612898
424.2300, 6.435986
424.7121, 2.132840
425.1942, 1.482832
425.6763, 5.245522
426.1584, 8.608303
426.6406, 9.184834
427.1227, 8.119622
427.6048, 7.387218
428.0869, 7.347202
428.5690, 7.117755
429.0511, 5.710821
429.5333, 3.136129
430.0154, 1.361961
430.4975, 0.3394880
430.9796, 0.1698650
431.4617, 1.483098
431.9438, 3.722363
432.4260, 5.596821
432.9081, 6.528410
433.3902, 6.592798
433.8723, 5.890532
434.3544, 3.472508
434.8365, 1.871603
435.3187, 1.134378
435.8008, 1.266070
436.2829, 2.788572
436.7650, 5.441969
437.2471, 7.907879
437.7292, 8.921243
438.2114, 8.449023
438.6935, 7.963196
439.1756, 7.534100
439.6577, 7.015207
440.1398, 6.241511
440.6219, 5.397696
441.1040, 4.756016
441.5862, 4.424777
442.0683, 4.287796
442.5504, 4.068420
443.0325, 3.546816
443.5146, 3.587744
443.9967, 4.905438
444.4789, 6.268530
444.9610, 7.236248
445.4431, 7.699913
445.9252, 7.553152
446.4073, 6.529402
446.8894, 4.856201
447.3716, 3.226069
447.8537, 1.248623
448.3358, 0.3085740
448.8179, 1.986127
449.3000, 4.600767
449.7821, 6.330435
450.2643, 6.681008
450.7464, 6.714155
451.2285, 7.500963
451.7106, 8.821532
452.1927, 9.522749
452.6748, 9.282276
453.1570, 8.435468
453.6391, 7.614916
454.1212, 6.817818
454.6033, 5.370602
455.0854, 1.777301
455.5675, 1.631126
456.0497, 2.409499
456.5318, 0.8706460
457.0139, 0.9007700
457.4960, 1.989560
457.9781, 2.459660
458.4602, 2.355087
458.9424, 1.179255
459.4245, 0.5504820
459.9066, 1.335716
460.3887, 2.477369
460.8708, 2.781765
461.3529, 2.137609
461.8351, 1.325936
462.3172, 1.011281
462.7993, 1.158886
463.2814, 1.927053
463.7635, 4.707211
464.2456, 6.513042
464.7278, 5.953554
465.2099, 4.196871
465.6920, 2.918709
466.1741, 2.754994
466.6562, 3.011742
467.1383, 2.348929
467.6205, 0.1100500
468.1026, 1.005906
468.5847, 0.1995620
469.0668, 1.554935
469.5489, 1.738388
470.0310, 1.223872
470.5132, 1.566387
470.9953, 4.213524
471.4774, 7.882715
471.9595, 9.143798
472.4416, 7.508926
472.9237, 5.255100
473.4059, 1.889629
473.8880, 0.9233770
474.3701, 1.161505
474.8522, 1.490263
475.3343, 4.093970
475.8164, 4.730919
476.2986, 3.909392
476.7807, 2.566842
477.2628, 0.6005360
477.7449, 0.6929620
478.2270, 9.6013002E-02
478.7091, 2.360415
479.1913, 3.773678
479.6734, 3.969819
480.1555, 3.843302
480.6376, 3.900545
481.1197, 3.973267
481.6018, 3.457626
482.0839, 2.090714
482.5660, 0.9289000
483.0482, 1.643416
