##NAMES=Bornite
##RRUFFID=R070636
##IDEAL CHEMISTRY=Cu^1+^_5_Fe^3+^S^2-^_4_
##LOCALITY=mine 65, 180 m. level, Dzheskazgan mining district, central Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Iridescent blue metallic crystal associated with calcite, malachite and hematite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070636
287.3000, 66.02246
287.7821, 73.05368
288.2643, 75.01688
288.7464, 66.70172
289.2285, 53.12918
289.7106, 46.91882
290.1927, 50.48279
290.6748, 55.64600
291.1570, 61.19147
291.6391, 66.66733
292.1212, 68.51614
292.6033, 64.48843
293.0854, 57.50125
293.5675, 53.42896
294.0497, 52.51886
294.5318, 52.94720
295.0139, 54.75552
295.4960, 57.36111
295.9781, 59.60294
296.4602, 61.30411
296.9424, 62.07300
297.4245, 60.52145
297.9066, 55.89001
298.3887, 52.86093
298.8708, 53.65958
299.3529, 56.87173
299.8351, 60.47394
300.3172, 65.02182
300.7993, 68.33163
301.2814, 64.87543
301.7635, 53.56213
302.2456, 47.01498
302.7278, 53.85666
303.2099, 65.06973
303.6920, 66.37497
304.1741, 54.07556
304.6562, 40.47418
305.1383, 41.20798
305.6205, 57.24442
306.1026, 68.81812
306.5847, 72.34476
307.0668, 70.74539
307.5489, 64.90759
308.0310, 54.99341
308.5132, 46.77509
308.9953, 45.89630
309.4774, 52.90244
309.9595, 59.31122
310.4416, 66.54330
310.9237, 71.85538
311.4059, 71.72784
311.8880, 66.52957
312.3701, 61.42569
312.8522, 60.52740
313.3343, 63.62808
313.8164, 65.00644
314.2986, 62.55804
314.7807, 60.32596
315.2628, 61.56201
315.7449, 65.41382
316.2270, 67.64508
316.7091, 64.68506
317.1913, 58.25278
317.6734, 58.23117
318.1555, 71.27243
318.6376, 83.19556
319.1197, 87.25818
319.6018, 85.77188
320.0840, 84.85809
320.5661, 87.71484
321.0482, 92.96832
321.5303, 92.19043
322.0124, 79.37967
322.4945, 69.67688
322.9767, 67.19052
323.4588, 69.50320
323.9409, 73.44717
324.4230, 77.94226
324.9051, 82.81036
325.3872, 87.92615
325.8694, 95.29330
326.3515, 99.18460
326.8336, 96.03760
327.3157, 90.69345
327.7978, 89.84790
328.2799, 94.60217
328.7621, 98.57208
329.2442, 94.93753
329.7263, 78.07983
330.2084, 69.04456
330.6905, 71.51862
331.1726, 78.72153
331.6548, 87.58765
332.1369, 96.88971
332.6190, 104.8618
333.1011, 109.8548
333.5832, 111.9021
334.0653, 110.0000
334.5475, 101.2648
335.0296, 92.13177
335.5117, 86.20667
335.9938, 82.59061
336.4759, 78.40961
336.9580, 72.75232
337.4402, 65.71875
337.9223, 63.42902
338.4044, 72.00372
338.8865, 78.52780
339.3686, 78.94397
339.8507, 75.09088
340.3329, 69.92798
340.8150, 64.89508
341.2971, 60.59125
341.7792, 59.58121
342.2613, 64.16632
342.7434, 69.48636
343.2256, 77.32690
343.7077, 84.64661
344.1898, 88.01016
344.6719, 86.09476
345.1540, 80.62289
345.6361, 74.73203
346.1183, 67.52243
346.6004, 61.76465
347.0825, 58.78989
347.5646, 56.53992
348.0467, 54.42905
348.5288, 51.13315
349.0110, 45.70862
349.4931, 36.59283
349.9752, 20.66766
350.4573, 14.84509
350.9394, 33.36765
351.4215, 50.55255
351.9037, 52.44720
352.3858, 41.03079
352.8679, 28.12384
353.3500, 22.78088
353.8321, 24.91855
354.3142, 33.12695
354.7964, 59.89511
355.2785, 76.64474
355.7606, 66.33600
356.2427, 38.96771
356.7248, 14.04520
357.2069, 2.039459
357.6891, 0.4081420
358.1712, 3.062469
358.6533, 12.14703
359.1354, 20.74240
359.6175, 27.21304
360.0996, 31.32986
360.5818, 31.82712
361.0639, 27.10220
361.5460, 21.63974
362.0281, 21.77975
362.5102, 27.96924
362.9923, 35.55701
363.4745, 48.95724
363.9566, 58.81256
364.4387, 52.91324
364.9208, 27.83411
365.4029, 3.791046
365.8850, 2.579010
366.3672, 5.896851
366.8493, 14.00195
367.3314, 19.18750
367.8135, 22.02975
368.2956, 21.93445
368.7777, 19.19537
369.2599, 18.74310
369.7420, 25.41321
370.2241, 34.86636
370.7062, 39.09308
371.1883, 36.56406
371.6704, 32.68509
372.1526, 32.63159
372.6347, 35.42783
373.1168, 35.39398
373.5989, 31.02197
374.0810, 24.15845
374.5631, 14.48419
375.0453, 2.670868
375.5274, 6.510559
376.0095, 10.17227
376.4916, 8.915619
376.9737, 6.175201
377.4558, 2.158051
377.9380, 3.356781
378.4201, 13.24380
378.9022, 24.58960
379.3843, 30.92642
379.8664, 29.05722
380.3485, 22.27798
380.8307, 17.45654
381.3128, 16.20477
381.7949, 13.99698
382.2770, 8.113342
382.7591, 2.502686
383.2412, 2.881378
383.7234, 9.537109
384.2055, 15.28189
384.6876, 10.47015
385.1697, 10.21521
385.6518, 18.06354
386.1339, 3.023529
386.6161, 13.18088
387.0982, 19.51630
387.5803, 17.61484
388.0624, 15.10239
388.5445, 17.89871
389.0266, 25.08826
389.5088, 26.58282
389.9909, 14.34854
390.4730, 5.420349
390.9551, 6.125793
391.4372, 10.60022
391.9193, 10.09531
392.4015, 0.6008000
392.8836, 11.56589
393.3657, 12.31513
393.8478, 4.659698
394.3299, 17.62033
