##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
271.1922, 10.61670
271.6743, 8.544067
272.1565, 13.12207
272.6386, 26.78296
273.1207, 32.91931
273.6028, 26.40430
274.0849, 10.45593
274.5670, 0.3480220
275.0492, 2.796753
275.5313, 3.207275
276.0134, 4.957764
276.4955, 8.571167
276.9776, 7.776855
277.4597, 0.2850340
277.9419, 13.00671
278.4240, 19.98645
278.9061, 20.43628
279.3882, 18.46851
279.8703, 17.03589
280.3524, 16.14636
280.8346, 14.85876
281.3167, 12.08630
281.7988, 9.383667
282.2809, 13.04553
282.7630, 24.08911
283.2451, 34.48450
283.7273, 36.81152
284.2094, 31.51855
284.6915, 27.70752
285.1736, 27.09705
285.6557, 28.65637
286.1378, 29.73743
286.6200, 30.26355
287.1021, 31.50366
287.5842, 35.14758
288.0663, 40.72192
288.5484, 44.97839
289.0305, 47.07642
289.5127, 48.02014
289.9948, 51.05042
290.4769, 56.09412
290.9590, 58.37061
291.4411, 50.54871
291.9232, 36.05750
292.4054, 29.66785
292.8875, 35.31287
293.3696, 46.68274
293.8517, 55.22180
294.3338, 60.83545
294.8159, 62.03125
295.2981, 54.00647
295.7802, 40.68604
296.2623, 33.13452
296.7444, 34.31860
297.2265, 38.30566
297.7086, 35.61462
298.1908, 27.83582
298.6729, 23.07666
299.1550, 29.54407
299.6371, 41.87708
300.1192, 49.97485
300.6013, 51.86292
301.0835, 51.57300
301.5656, 53.68909
302.0477, 57.35266
302.5298, 59.65222
303.0119, 56.26172
303.4940, 51.61511
303.9762, 52.38977
304.4583, 60.35315
304.9404, 69.14734
305.4225, 75.52637
305.9046, 78.23083
306.3867, 75.14001
306.8689, 56.83911
307.3510, 37.01941
307.8331, 30.11597
308.3152, 38.69214
308.7973, 50.97070
309.2794, 63.55176
309.7616, 73.53467
310.2437, 76.01587
310.7258, 60.02832
311.2079, 41.63757
311.6900, 31.53442
312.1721, 30.99792
312.6543, 35.93152
313.1364, 51.39246
313.6185, 69.28699
314.1006, 78.39282
314.5827, 64.70032
315.0648, 49.84033
315.5470, 45.09631
316.0291, 51.37012
316.5112, 57.41528
316.9933, 60.10364
317.4754, 61.17993
317.9576, 62.09253
318.4397, 61.35327
318.9218, 62.47070
319.4039, 68.27759
319.8860, 78.66125
320.3681, 85.67786
320.8503, 88.14429
321.3324, 86.17468
321.8145, 79.69006
322.2966, 55.96973
322.7787, 40.57422
323.2608, 43.75879
323.7430, 63.90881
324.2251, 78.10864
324.7072, 79.28015
325.1893, 76.75610
325.6714, 76.02832
326.1535, 80.57288
326.6357, 82.10547
327.1178, 78.30688
327.5999, 71.18213
328.0820, 68.89355
328.5641, 76.86780
329.0462, 83.38293
329.5284, 82.34717
330.0105, 62.26562
330.4926, 53.10254
330.9747, 61.07336
331.4568, 79.77295
331.9389, 89.59314
332.4211, 84.05457
332.9032, 78.09375
333.3853, 78.35999
333.8674, 87.30054
334.3495, 96.04260
334.8316, 107.1504
335.3138, 117.4712
335.7959, 117.8300
336.2780, 103.0690
336.7601, 90.45911
337.2422, 88.18555
337.7243, 98.17358
338.2065, 102.1976
338.6886, 98.57947
339.1707, 91.66272
339.6528, 87.61755
340.1349, 86.81018
340.6170, 87.12769
341.0992, 88.39246
341.5813, 90.35364
342.0634, 90.97559
342.5455, 90.31079
343.0276, 88.10144
343.5097, 82.87292
343.9919, 74.71631
344.4740, 68.46790
344.9561, 64.68286
345.4382, 64.03577
345.9203, 71.30420
346.4024, 87.16382
346.8846, 100.9354
347.3667, 100.6678
347.8488, 89.62463
348.3309, 80.44165
348.8130, 76.46948
349.2951, 75.60278
349.7773, 74.66113
350.2594, 73.75818
350.7415, 73.90405
351.2236, 77.70923
351.7057, 82.73303
352.1878, 83.93396
352.6700, 79.01318
353.1521, 73.19641
353.6342, 74.12659
354.1163, 79.21179
354.5984, 80.26611
355.0806, 64.43616
355.5627, 46.30469
356.0448, 43.54761
356.5269, 62.69397
357.0090, 80.18250
357.4911, 74.81763
357.9733, 57.24988
358.4554, 46.61853
358.9375, 58.13342
359.4196, 73.89941
359.9017, 83.92859
360.3839, 87.07678
360.8660, 86.47290
361.3481, 82.46082
361.8302, 75.67053
362.3123, 66.80896
362.7944, 50.44348
363.2766, 37.39661
363.7587, 31.72131
364.2408, 33.58569
364.7229, 37.85608
365.2050, 48.59448
365.6871, 58.44971
366.1693, 62.33911
366.6514, 51.94836
367.1335, 44.28625
367.6156, 42.99146
368.0977, 46.94641
368.5798, 48.03748
369.0620, 41.08093
369.5441, 35.91565
370.0262, 38.10120
370.5083, 58.87708
370.9904, 67.12292
371.4725, 56.09351
371.9547, 34.02759
372.4368, 21.97839
372.9189, 23.07971
373.4010, 28.33716
373.8831, 35.25830
374.3652, 44.57959
374.8474, 51.23340
375.3295, 55.19812
375.8116, 56.51501
376.2937, 53.56726
376.7758, 44.84705
377.2579, 40.84851
377.7401, 48.24402
378.2222, 64.76758
378.7043, 69.32166
379.1864, 60.22058
379.6685, 46.17676
380.1506, 34.17236
380.6328, 24.44739
381.1149, 19.96484
381.5970, 23.49170
382.0791, 30.96484
382.5612, 32.26331
383.0433, 27.76086
383.5255, 24.75146
384.0076, 32.40784
384.4897, 45.23230
384.9718, 50.32971
385.4539, 43.22937
385.9360, 32.73914
386.4182, 27.31799
386.9003, 26.60779
387.3824, 29.14001
387.8645, 37.11792
388.3466, 46.36023
388.8287, 51.45447
389.3109, 50.87805
389.7930, 52.48145
390.2751, 67.09119
390.7572, 85.88379
391.2393, 95.92395
391.7214, 80.53223
392.2036, 64.68372
392.6857, 64.94543
393.1678, 82.00671
393.6499, 93.52551
394.1320, 85.70337
394.6141, 71.71216
395.0963, 62.75195
395.5784, 66.50879
396.0605, 69.89270
396.5426, 68.19946
397.0247, 62.91748
397.5068, 62.57471
397.9890, 77.71899
398.4711, 90.50024
398.9532, 91.96216
399.4353, 70.34900
399.9174, 57.48657
400.3995, 57.35681
400.8817, 64.50818
401.3638, 67.98035
401.8459, 65.19739
402.3280, 62.80151
402.8101, 63.38135
403.2922, 67.63806
403.7744, 70.35669
404.2565, 70.90637
404.7386, 71.00671
405.2207, 73.74304
405.7028, 80.17847
406.1849, 81.75208
406.6671, 74.58533
407.1492, 61.02380
407.6313, 50.74817
408.1134, 43.40051
408.5955, 42.93811
409.0776, 57.90564
409.5598, 83.72876
410.0419, 96.53772
410.5240, 89.92712
411.0061, 73.13049
411.4882, 57.70105
411.9703, 44.43408
412.4525, 36.11047
412.9346, 37.15015
413.4167, 43.27808
413.8988, 49.27393
414.3809, 54.99500
414.8630, 56.61841
415.3452, 46.32202
415.8273, 30.52002
416.3094, 20.02393
416.7915, 21.09375
417.2736, 27.18433
417.7557, 36.69397
418.2379, 49.57312
418.7200, 56.85400
419.2021, 47.87854
419.6842, 34.97400
420.1663, 28.48804
420.6484, 38.01770
421.1306, 45.21997
421.6127, 45.32886
422.0948, 39.58838
422.5769, 31.77844
423.0590, 15.77600
423.5411, 3.725952
424.0233, 2.887573
424.5054, 20.37305
424.9875, 30.10913
425.4696, 22.60303
425.9517, 9.799561
426.4338, 8.550049
426.9160, 27.56628
427.3981, 42.46338
427.8802, 47.27185
428.3623, 42.89197
428.8444, 37.26709
429.3265, 28.16846
429.8087, 20.87817
430.2908, 21.30200
430.7729, 30.46057
431.2550, 36.61328
431.7371, 36.89575
432.2192, 34.51257
432.7014, 36.56982
433.1835, 43.00464
433.6656, 46.46472
434.1477, 39.69800
434.6298, 26.28796
435.1119, 17.86694
435.5941, 15.42017
436.0762, 15.83752
436.5583, 17.29883
437.0404, 19.08740
437.5225, 19.45593
438.0046, 16.24194
438.4868, 12.22864
438.9689, 10.65051
439.4510, 11.21179
439.9331, 11.22070
440.4152, 7.718262
440.8973, 3.557007
441.3795, 1.502075
441.8616, 3.106689
442.3437, 5.339233
442.8258, 7.487549
443.3079, 9.342041
443.7900, 10.40662
444.2722, 8.903564
444.7543, 7.988892
445.2364, 9.775146
445.7185, 15.97290
446.2006, 18.38428
446.6827, 11.47327
447.1649, 3.140137
447.6470, 1.256714
448.1291, 11.76929
448.6112, 18.97339
449.0933, 19.46545
449.5754, 14.45825
450.0576, 11.23877
450.5397, 9.549561
451.0218, 10.19360
451.5039, 15.15991
451.9860, 25.69800
452.4681, 29.99780
452.9503, 25.39941
453.4324, 18.46582
453.9145, 22.88196
454.3966, 38.36707
454.8787, 48.08594
455.3608, 42.14966
455.8430, 25.80029
456.3251, 12.91663
456.8072, 3.531738
457.2893, 2.754028
457.7714, 5.388916
458.2535, 5.206909
458.7357, 3.677368
459.2178, 0.8090820
459.6999, 2.730347
460.1820, 7.901611
460.6641, 13.59143
461.1462, 16.57983
461.6284, 11.37439
462.1105, 5.677490
462.5926, 5.537720
463.0747, 12.72180
463.5568, 19.15881
464.0389, 24.31677
464.5211, 26.31104
465.0032, 22.93835
465.4853, 5.362793
465.9674, 8.503784
466.4495, 14.21655
466.9316, 12.35754
467.4138, 9.334717
467.8959, 3.032471
468.3780, 2.182617
468.8601, 3.913818
469.3422, 0.5671390
469.8243, 2.276245
470.3065, 4.883057
470.7886, 6.722900
471.2707, 6.174683
471.7528, 2.433838
472.2349, 0.5675050
472.7170, 3.193726
473.1992, 9.092041
473.6813, 12.99780
474.1634, 15.14502
474.6455, 12.92078
475.1276, 1.009399
475.6097, 22.01599
476.0919, 33.11841
476.5740, 29.18555
477.0561, 19.40442
477.5382, 13.32214
478.0203, 10.32471
478.5024, 8.558228
478.9846, 8.566528
479.4667, 8.414063
479.9488, 6.997192
480.4309, 4.311646
480.9130, 1.484009
481.3951, 20.17200
481.8773, 38.34949
482.3594, 43.22314
482.8415, 15.08496
483.3236, 8.766235
483.8057, 19.27039
484.2878, 18.47473
484.7700, 13.93518
485.2521, 0.6130370
485.7342, 12.42407
486.2163, 16.23608
486.6984, 9.042358
487.1805, 5.855591
487.6627, 9.945923
488.1448, 14.67310
488.6269, 11.24146
489.1090, 3.590698
489.5911, 13.43079
490.0732, 13.02991
490.5554, 6.315063
491.0375, 7.985229
491.5196, 18.90149
492.0017, 29.36462
492.4838, 32.48425
492.9659, 30.10095
493.4481, 29.17798
493.9302, 30.45361
494.4123, 32.09155
494.8944, 30.14636
495.3765, 27.00000
495.8586, 28.17761
496.3408, 41.61328
496.8229, 55.54236
497.3050, 59.36401
497.7871, 54.50610
498.2692, 49.02734
498.7513, 46.03845
499.2335, 44.49133
499.7156, 43.53687
500.1977, 42.11951
500.6798, 43.52405
501.1619, 48.79810
501.6440, 57.17114
502.1262, 67.80908
502.6083, 93.02600
503.0904, 105.6174
503.5725, 94.15027
504.0546, 61.05005
504.5367, 45.95337
505.0189, 55.52234
505.5010, 71.44702
505.9831, 83.96851
506.4652, 92.80066
506.9473, 97.15674
507.4294, 95.67566
507.9116, 92.23474
508.3937, 92.64038
508.8758, 96.79492
509.3579, 102.5874
509.8400, 110.0438
510.3221, 118.1537
510.8043, 123.6949
511.2864, 126.9734
511.7685, 132.5668
512.2506, 147.3685
512.7327, 165.0698
513.2148, 177.7068
513.6970, 183.5957
514.1791, 185.0044
514.6612, 181.2042
515.1433, 173.9080
515.6254, 166.3259
516.1075, 152.3573
516.5897, 145.5649
517.0718, 155.5043
517.5539, 181.7155
518.0360, 200.2905
518.5181, 200.6337
519.0002, 198.6757
519.4824, 202.2115
519.9645, 212.8823
520.4466, 226.3291
520.9287, 246.6505
521.4108, 266.3376
521.8929, 270.6022
522.3751, 255.0059
522.8572, 245.5895
523.3393, 253.4836
523.8214, 272.2240
524.3035, 275.3702
524.7856, 262.8486
525.2678, 251.5961
525.7499, 255.6016
526.2320, 270.6776
526.7141, 288.9087
527.1962, 310.5414
527.6783, 326.6063
528.1605, 321.4474
528.6426, 305.3260
529.1247, 296.9755
529.6068, 312.4548
530.0889, 330.8389
530.5710, 340.2546
531.0532, 341.2416
531.5353, 341.0048
532.0174, 340.3208
532.4995, 340.5623
532.9816, 343.3494
533.4637, 350.1204
533.9459, 354.1273
534.4280, 353.0240
534.9101, 350.4272
535.3922, 351.8389
