##NAMES=Yarrowite
##RRUFFID=R060536
##IDEAL CHEMISTRY=Cu_9_S_8_
##LOCALITY=Yarrow Creek, southwestern Alberta, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black metallic massive, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060536
211.195, 833.592
211.678, 830.043
212.160, 845.015
212.642, 835.661
213.124, 793.667
213.606, 745.169
214.088, 709.562
214.570, 691.323
215.052, 670.605
215.535, 641.746
216.017, 607.127
216.499, 587.680
216.981, 590.687
217.463, 596.335
217.945, 586.091
218.427, 550.158
218.909, 522.110
219.391, 511.983
219.874, 517.725
220.356, 504.840
220.838, 462.014
221.320, 413.268
221.802, 384.572
222.284, 389.228
222.766, 382.935
223.248, 353.453
223.731, 299.909
224.213, 255.242
224.695, 216.572
225.177, 189.989
225.659, 183.918
226.141, 208.526
226.623, 234.331
227.105, 257.608
227.587, 279.509
228.070, 284.601
228.552, 264.692
229.034, 234.586
229.516, 212.620
229.998, 200.182
230.480, 192.747
230.962, 189.821
231.444, 191.313
231.926, 193.136
232.409, 192.749
232.891, 193.190
233.373, 200.952
233.855, 226.911
234.337, 241.287
234.819, 233.082
235.301, 195.764
235.783, 162.501
236.266, 131.534
236.748, 105.917
237.230, 90.224
237.712, 83.725
238.194, 88.866
238.676, 110.641
239.158, 159.778
239.640, 188.867
240.122, 193.123
240.605, 179.981
241.087, 160.777
241.569, 125.152
242.051, 99.616
242.533, 95.311
243.015, 116.660
243.497, 143.305
243.980, 180.141
244.462, 220.797
244.944, 251.829
245.426, 269.836
245.908, 282.670
246.390, 290.859
246.872, 286.644
247.354, 298.573
247.836, 336.076
248.318, 385.525
248.801, 415.288
249.283, 418.138
249.765, 412.290
250.247, 403.559
250.729, 387.472
251.211, 380.998
251.693, 388.950
252.176, 405.297
252.658, 415.269
253.140, 418.333
253.622, 417.251
254.104, 411.751
254.586, 391.859
255.068, 391.960
255.550, 422.656
256.032, 470.185
256.514, 492.546
256.997, 463.901
257.479, 465.817
257.961, 509.257
258.443, 542.302
258.925, 565.911
259.407, 551.783
259.889, 586.419
260.371, 601.526
260.854, 615.848
261.336, 657.381
261.818, 649.062
262.300, 687.521
262.782, 702.782
263.264, 701.357
263.746, 757.329
264.228, 803.090
264.711, 835.882
265.193, 817.085
265.675, 798.871
266.157, 839.876
266.639, 866.221
267.121, 878.717
267.603, 835.832
268.085, 865.364
268.567, 865.441
269.050, 864.279
269.532, 887.247
270.014, 911.945
270.496, 923.941
270.978, 914.969
271.460, 893.214
271.942, 877.309
272.424, 867.512
272.906, 863.723
273.389, 859.443
273.871, 849.651
274.353, 810.219
274.835, 831.984
275.317, 838.897
275.799, 831.995
276.281, 769.102
276.763, 778.808
277.246, 759.446
277.728, 738.731
278.210, 758.787
278.692, 705.691
279.174, 723.844
279.656, 713.056
280.138, 691.987
280.620, 676.630
281.103, 678.992
281.585, 698.738
282.067, 706.524
282.549, 697.992
283.031, 680.789
283.513, 670.867
283.995, 668.937
284.477, 662.326
284.959, 640.065
285.441, 604.267
285.924, 579.117
286.406, 569.577
286.888, 563.586
287.370, 536.225
287.852, 487.952
288.334, 446.070
288.816, 431.948
289.298, 439.157
289.781, 432.176
290.263, 406.493
290.745, 374.240
291.227, 353.614
291.709, 343.458
292.191, 334.771
292.673, 327.152
293.155, 317.643
293.638, 296.070
294.120, 261.227
294.602, 218.020
295.084, 166.182
295.566, 108.891
296.048, 61.116
296.530, 29.321
297.012, 12.222
297.494, 12.781
297.977, 34.549
298.459, 54.951
298.941, 41.751
299.423, 5.310
299.905, 21.996
300.387, 19.602
300.869, 0.876
301.351, 15.296
