##NAMES=Klyuchevskite
##RRUFFID=R070659
##IDEAL CHEMISTRY=K_3_Cu^2+^_3_Fe^3+^O_2_(S^6+^O_4_)_4_
##LOCALITY=Yadevitaya fumarole, Tolbachik volcano, Kamchatka Oblast', Far-Eastern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Clusters of dark green radiating prismatic crystals associated with langbeinite, co-type sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070659
190.6667, 87.99976
191.1488, 92.14612
191.6310, 94.67468
192.1131, 94.18896
192.5952, 89.69812
193.0773, 82.15173
193.5594, 71.04626
194.0415, 58.88000
194.5237, 50.24219
195.0058, 51.92834
195.4879, 82.69690
195.9700, 100.6339
196.4521, 96.17188
196.9342, 81.30615
197.4164, 71.00354
197.8985, 73.34753
198.3806, 83.00525
198.8627, 80.79797
199.3448, 44.84216
199.8270, 23.35095
200.3091, 39.84509
200.7912, 75.61523
201.2733, 95.30334
201.7554, 77.52881
202.2375, 32.37219
202.7197, 9.341797
203.2018, 10.89453
203.6839, 26.17188
204.1660, 64.15662
204.6481, 115.7837
205.1302, 152.8871
205.6124, 157.9294
206.0945, 134.5485
206.5766, 110.3512
207.0587, 73.63843
207.5408, 45.93237
208.0229, 45.67969
208.5051, 69.93835
208.9872, 94.02991
209.4693, 99.90613
209.9514, 92.03711
210.4335, 93.03760
210.9156, 114.3210
211.3978, 137.7393
211.8799, 149.1315
212.3620, 148.2697
212.8441, 136.7883
213.3262, 104.1283
213.8083, 61.03418
214.2905, 38.04382
214.7726, 56.23035
215.2547, 90.23560
215.7368, 108.6021
216.2189, 109.3890
216.7010, 102.9281
217.1832, 91.99829
217.6653, 78.83350
218.1474, 67.89502
218.6295, 59.32410
219.1116, 54.68115
219.5937, 58.22644
220.0759, 75.32019
220.5580, 87.33972
221.0401, 72.03467
221.5222, 42.45105
222.0043, 26.56067
222.4864, 47.11755
222.9686, 92.12610
223.4507, 124.8159
223.9328, 143.1459
224.4149, 150.7098
224.8970, 145.8197
225.3791, 132.9882
225.8613, 122.7792
226.3434, 126.2841
226.8255, 139.6676
227.3076, 138.6029
227.7897, 108.0560
228.2718, 82.29602
228.7540, 82.46411
229.2361, 101.2267
229.7182, 119.0073
230.2003, 120.8275
230.6824, 107.7620
231.1645, 97.26709
231.6467, 94.38599
232.1288, 88.10889
232.6109, 65.05286
233.0930, 31.23694
233.5751, 5.653076
234.0572, 6.544434
234.5394, 34.41919
235.0215, 56.19275
235.5036, 61.44104
235.9857, 68.79248
236.4678, 90.16858
236.9500, 121.4211
237.4321, 148.0054
237.9142, 155.4277
238.3963, 141.3763
238.8784, 130.1553
239.3605, 124.8317
239.8427, 119.9080
240.3248, 111.4834
240.8069, 100.9283
241.2890, 93.48926
241.7711, 95.43225
242.2532, 109.0504
242.7354, 117.9178
243.2175, 127.5422
243.6996, 127.4458
244.1817, 105.6772
244.6638, 66.92834
245.1459, 28.39062
245.6281, 6.376099
246.1102, 1.714233
246.5923, 10.62781
247.0744, 50.74585
247.5565, 88.38672
248.0386, 108.8820
248.5208, 111.8228
249.0029, 105.1804
249.4850, 97.16724
249.9671, 90.25171
250.4492, 71.25830
250.9313, 23.03223
251.4135, 21.02930
251.8956, 44.16528
252.3777, 46.41345
252.8598, 38.92639
253.3419, 33.18591
253.8240, 31.67139
254.3062, 24.50720
254.7883, 4.899902
255.2704, 13.75208
255.7525, 22.35938
256.2346, 22.10132
256.7167, 22.49878
257.1989, 35.05249
257.6810, 66.27612
258.1631, 81.24316
258.6452, 64.29529
259.1273, 47.48938
259.6094, 51.71655
260.0916, 74.89941
260.5737, 97.32666
261.0558, 98.54370
261.5379, 71.10083
262.0200, 57.16699
262.5021, 66.64038
262.9843, 77.96570
263.4664, 79.61499
263.9485, 71.57593
264.4306, 60.44824
264.9127, 52.42981
265.3948, 47.50281
265.8770, 46.37939
266.3591, 53.17761
266.8412, 59.46899
267.3233, 61.80103
267.8054, 59.63086
268.2875, 52.29126
268.7697, 36.81763
269.2518, 8.386230
269.7339, 4.260864
270.2160, 47.77112
270.6981, 89.69153
271.1802, 105.9835
271.6624, 97.26917
272.1445, 76.08325
272.6266, 50.93542
273.1087, 18.95679
273.5908, 9.199463
274.0729, 34.45520
274.5551, 64.73792
275.0372, 89.91235
275.5193, 108.1106
276.0014, 118.8845
276.4835, 120.5164
276.9656, 111.8092
277.4478, 111.4325
277.9299, 125.2063
278.4120, 139.7112
278.8941, 153.9137
279.3762, 164.8511
279.8583, 164.0232
280.3405, 141.9476
280.8226, 97.72546
281.3047, 82.08215
281.7868, 125.3168
282.2689, 161.0259
282.7510, 155.3973
283.2332, 120.7600
283.7153, 92.14209
284.1974, 95.48230
284.6795, 128.5365
285.1616, 143.1688
285.6437, 121.0573
286.1259, 102.5208
286.6080, 102.8347
287.0901, 116.1688
287.5722, 129.1759
288.0543, 133.6482
288.5364, 130.4534
289.0186, 126.8574
289.5007, 117.6179
289.9828, 113.7306
290.4649, 123.1492
290.9470, 139.2725
291.4291, 150.3965
291.9113, 149.8575
292.3934, 140.0634
292.8755, 132.7944
293.3576, 128.5275
293.8397, 126.2452
294.3218, 131.4923
294.8040, 137.3702
295.2861, 130.8702
295.7682, 104.7812
296.2503, 68.92371
296.7325, 55.18005
297.2146, 92.27710
297.6967, 118.8463
298.1788, 129.0858
298.6609, 127.0156
299.1430, 114.5648
299.6252, 92.47961
300.1073, 66.68774
300.5894, 50.89319
301.0715, 58.46814
301.5536, 59.39758
302.0357, 46.00671
302.5179, 29.35229
303.0000, 21.37744
303.4821, 25.55627
303.9642, 35.05554
304.4463, 37.48462
304.9284, 27.60266
305.4106, 18.46118
305.8927, 2.208740
306.3748, 8.637451
306.8569, 0.5885010
307.3390, 31.17932
307.8211, 67.41492
308.3033, 87.50659
308.7854, 88.88806
309.2675, 77.06738
309.7496, 33.36853
310.2317, 6.719482
310.7138, 20.22437
311.1960, 5.396240
311.6781, 24.68701
312.1602, 58.08948
312.6423, 98.19556
313.1244, 128.8511
313.6065, 158.2885
314.0887, 172.2346
314.5708, 151.7449
315.0529, 105.5439
315.5350, 63.40723
316.0171, 55.44946
316.4992, 86.02185
316.9814, 101.0524
317.4635, 80.16382
317.9456, 63.54858
318.4277, 68.01733
318.9098, 87.84167
319.3919, 107.9156
319.8741, 117.3168
320.3562, 116.6611
320.8383, 114.8198
321.3204, 111.8749
321.8025, 107.4589
322.2846, 99.90845
322.7668, 91.09607
323.2489, 83.65613
323.7310, 78.99854
324.2131, 77.10425
324.6952, 78.57043
325.1773, 88.52173
325.6595, 93.95557
326.1416, 84.43481
326.6237, 72.16467
327.1058, 74.54370
327.5879, 100.8794
328.0700, 135.1274
328.5522, 137.4500
329.0343, 81.20288
329.5164, 52.17639
329.9985, 93.83325
330.4806, 151.4979
330.9627, 177.8158
331.4449, 158.6736
331.9270, 120.0754
332.4091, 95.88037
332.8912, 87.05664
333.3733, 88.58850
333.8554, 119.6990
334.3376, 147.8314
334.8197, 143.7996
335.3018, 105.9657
335.7839, 71.11816
336.2660, 84.89233
336.7481, 149.4951
337.2303, 190.9873
337.7124, 184.1221
338.1945, 167.4264
338.6766, 167.0054
339.1587, 180.5348
339.6408, 189.9191
340.1230, 175.2635
340.6051, 140.4899
341.0872, 115.4736
341.5693, 106.5986
342.0514, 104.9501
342.5335, 105.2476
343.0157, 107.4623
343.4978, 111.7107
343.9799, 120.2917
344.4620, 130.5203
344.9441, 136.2871
345.4262, 136.5312
345.9084, 135.6736
346.3905, 135.7080
346.8726, 136.5776
347.3547, 138.3636
347.8368, 140.4937
348.3189, 144.0758
348.8011, 155.5999
349.2832, 175.5682
349.7653, 180.6923
350.2474, 147.5775
350.7295, 97.27039
351.2116, 70.47229
351.6938, 76.53638
352.1759, 93.59485
352.6580, 116.5381
353.1401, 141.2572
353.6222, 146.0280
354.1043, 114.2605
354.5865, 69.97192
355.0686, 58.68604
355.5507, 88.44299
356.0328, 116.6525
356.5149, 130.5778
356.9970, 132.5568
357.4792, 123.2544
357.9613, 100.9260
358.4434, 77.35022
358.9255, 70.14844
359.4076, 83.48718
359.8897, 89.44336
360.3719, 70.34619
360.8540, 51.10535
361.3361, 63.34436
361.8182, 108.3912
362.3003, 151.4456
362.7824, 158.5674
363.2646, 124.7207
363.7467, 103.2148
364.2288, 98.05347
364.7109, 100.0876
365.1930, 110.3486
365.6751, 124.4403
366.1573, 130.2318
366.6394, 118.0387
367.1215, 90.79883
367.6036, 75.40613
368.0857, 78.67297
368.5678, 85.17139
369.0500, 95.89282
369.5321, 105.6227
370.0142, 107.7850
370.4963, 98.72266
370.9784, 84.85535
371.4605, 83.06079
371.9427, 104.2457
372.4248, 122.0007
372.9069, 141.6028
373.3890, 153.7941
373.8711, 143.6990
374.3532, 110.7228
374.8354, 76.09106
375.3175, 72.56604
375.7996, 116.6868
376.2817, 140.6340
376.7638, 125.9918
377.2459, 107.5421
377.7281, 104.2200
378.2102, 113.6692
378.6923, 120.1349
379.1744, 106.8810
379.6566, 75.36121
380.1387, 58.40588
380.6208, 64.28088
381.1029, 75.21411
381.5850, 88.40637
382.0671, 100.9349
382.5493, 108.0864
383.0314, 107.0021
383.5135, 99.72083
383.9956, 87.72546
384.4777, 66.09814
384.9598, 54.99072
385.4420, 75.60938
385.9241, 105.0828
386.4062, 121.1260
386.8883, 117.3702
387.3704, 104.9159
387.8525, 89.62598
388.3347, 72.27490
388.8168, 68.02856
389.2989, 93.80872
389.7810, 120.1234
390.2631, 108.5536
390.7452, 56.47363
391.2274, 9.796875
391.7095, 11.59644
392.1916, 12.55530
392.6737, 2.649780
393.1558, 37.23926
393.6379, 70.05896
394.1201, 78.60889
394.6022, 64.43799
395.0843, 49.12610
395.5664, 36.97522
396.0485, 23.41846
396.5306, 2.701172
397.0128, 37.86475
397.4949, 57.75757
397.9770, 43.44141
398.4591, 0.3830570
398.9412, 32.23059
399.4233, 54.72131
399.9055, 68.52771
400.3876, 69.57703
400.8697, 63.11743
401.3518, 57.89478
401.8339, 57.02649
402.3160, 57.92590
402.7982, 55.32544
403.2803, 38.19836
403.7624, 36.02368
404.2445, 68.74792
404.7266, 102.6674
405.2087, 105.8311
405.6909, 77.04333
406.1730, 43.32886
406.6551, 36.68823
407.1372, 63.45129
407.6193, 76.94043
408.1014, 68.32947
408.5836, 54.96021
409.0657, 38.92322
409.5478, 22.96887
410.0299, 10.70374
410.5120, 5.348389
410.9941, 5.560547
411.4763, 6.063110
411.9584, 4.943237
412.4405, 8.004883
412.9226, 21.33679
413.4047, 37.04333
413.8868, 47.50525
414.3690, 50.50439
414.8511, 47.52539
415.3332, 36.04614
415.8153, 15.13782
416.2974, 5.938965
416.7795, 20.10559
417.2617, 41.86096
417.7438, 59.38000
418.2259, 72.48450
418.7080, 79.05530
419.1901, 77.05774
419.6722, 68.10303
420.1544, 49.87988
420.6365, 17.57751
421.1186, 1.059326
421.6007, 33.04431
422.0828, 103.5063
422.5649, 136.9677
423.0471, 95.95044
423.5292, 40.84863
424.0113, 10.69092
424.4934, 1.745483
424.9755, 4.234375
425.4576, 15.03687
425.9398, 25.69678
426.4219, 19.68384
426.9040, 20.20215
427.3861, 47.50146
427.8682, 43.85120
428.3503, 28.38354
428.8325, 19.76196
429.3146, 23.50793
429.7967, 41.56848
430.2788, 78.51196
430.7609, 147.0719
431.2430, 179.0482
431.7252, 156.1603
432.2073, 122.0753
432.6894, 85.00916
433.1715, 53.83545
433.6536, 44.88269
434.1357, 73.72339
434.6179, 130.5259
435.1000, 162.5769
435.5821, 154.1896
436.0642, 143.5656
436.5463, 138.6199
437.0284, 136.1865
437.5106, 132.4684
437.9927, 126.1917
438.4748, 120.3792
438.9569, 120.8169
439.4390, 128.2795
439.9211, 129.3114
440.4033, 113.4393
440.8854, 99.11829
441.3675, 101.5703
441.8496, 119.0182
442.3317, 136.8416
442.8138, 150.9395
443.2960, 159.8212
443.7781, 158.6508
444.2602, 144.8307
444.7423, 129.5518
445.2244, 120.4698
445.7065, 117.8085
446.1887, 120.8746
446.6708, 139.3569
447.1529, 152.9647
447.6350, 140.9347
448.1171, 115.1987
448.5992, 109.8188
449.0814, 141.1882
449.5635, 183.9152
450.0456, 191.9602
450.5277, 145.8029
451.0098, 106.2795
451.4919, 70.97131
451.9741, 46.22803
452.4562, 43.14758
452.9383, 58.52905
453.4204, 73.89941
453.9025, 71.97693
454.3846, 52.61816
454.8668, 42.71069
455.3489, 59.41553
455.8310, 69.93848
456.3131, 65.53699
456.7952, 50.87256
457.2773, 33.81824
457.7595, 17.35510
458.2416, 3.163330
458.7237, 4.380737
459.2058, 4.502686
459.6879, 0.1157230
460.1700, 13.51392
460.6522, 28.24475
461.1343, 39.60083
461.6164, 47.60425
462.0985, 55.61584
462.5807, 66.60303
463.0628, 79.54065
463.5449, 94.04639
464.0270, 111.2894
464.5091, 116.6542
464.9912, 93.76904
465.4734, 53.74292
465.9555, 23.97095
466.4376, 6.452026
466.9197, 1.007813
467.4018, 16.51440
467.8839, 44.75500
468.3661, 60.99512
468.8482, 54.94910
469.3303, 39.50269
469.8124, 37.24902
470.2945, 58.02380
470.7766, 66.28455
471.2588, 50.57373
471.7409, 29.27966
472.2230, 12.91931
472.7051, 3.666504
473.1872, 3.087891
473.6693, 14.24329
474.1515, 35.24768
474.6336, 43.43762
475.1157, 20.40796
475.5978, 6.629150
476.0799, 13.22595
476.5620, 30.55359
477.0442, 50.05627
477.5263, 68.71277
478.0084, 82.56555
478.4905, 86.08923
478.9726, 78.69336
479.4547, 65.18408
479.9369, 39.29932
480.4190, 14.53174
480.9011, 5.510986
481.3832, 18.51672
481.8653, 16.71851
482.3474, 19.45508
482.8296, 65.40833
483.3117, 78.58252
483.7938, 57.80786
484.2759, 39.97058
484.7580, 48.49927
485.2401, 69.34241
485.7223, 69.28125
486.2044, 37.12097
486.6865, 8.373169
487.1686, 13.22583
487.6507, 21.56384
488.1328, 2.969116
488.6150, 62.34631
489.0971, 119.4796
489.5792, 131.9257
490.0613, 91.75793
490.5434, 62.22290
491.0255, 47.40906
491.5077, 37.14856
491.9898, 26.34753
492.4719, 17.75281
492.9540, 17.62622
493.4361, 29.57288
493.9182, 47.75293
494.4004, 59.70813
494.8825, 64.43298
495.3646, 65.84900
495.8467, 61.88831
496.3288, 56.72461
496.8109, 52.29321
497.2931, 48.88977
497.7752, 46.49847
498.2573, 46.99628
498.7394, 48.60474
499.2215, 45.51459
499.7036, 36.38110
500.1858, 24.58588
500.6679, 6.368591
501.1500, 11.45801
501.6321, 13.18109
502.1142, 11.60126
502.5963, 36.13416
503.0785, 47.86603
503.5606, 50.83453
504.0427, 49.71362
504.5248, 42.54047
505.0069, 36.47510
505.4890, 38.97833
505.9712, 52.31354
506.4533, 63.83368
506.9354, 80.46924
507.4175, 88.71149
507.8996, 74.05103
508.3817, 47.22632
508.8639, 30.78912
509.3460, 37.33063
509.8281, 56.35437
510.3102, 61.14374
510.7923, 44.09338
511.2744, 32.59760
511.7566, 34.35626
512.2387, 39.55444
512.7208, 44.96674
513.2029, 49.09125
513.6851, 47.53290
514.1672, 30.67310
514.6493, 6.586670
515.1314, 2.928650
515.6135, 3.933472
516.0956, 18.01154
516.5778, 39.70111
517.0599, 63.54767
517.5420, 76.83508
518.0241, 76.40790
518.5062, 70.54224
518.9883, 62.18561
519.4705, 51.12506
519.9526, 31.99316
520.4347, 4.176514
520.9168, 15.82477
521.3989, 8.255676
521.8810, 31.73651
522.3632, 60.45520
522.8453, 78.89624
523.3274, 87.54297
523.8095, 78.75128
524.2916, 61.81860
524.7737, 50.92999
525.2559, 52.89709
525.7380, 60.16107
526.2201, 59.81787
526.7022, 50.08362
527.1843, 40.85095
527.6664, 25.71637
528.1486, 19.20917
528.6307, 36.16614
529.1128, 70.38928
529.5949, 98.45636
530.0770, 111.8287
530.5591, 110.6949
531.0413, 88.31543
531.5234, 46.10522
532.0055, 13.22791
532.4876, 1.474548
532.9697, 7.381348
533.4518, 29.25970
533.9340, 80.17700
534.4161, 107.6553
534.8982, 81.00977
535.3803, 40.26440
535.8624, 23.76373
536.3445, 32.70374
536.8267, 44.12048
537.3088, 38.80444
537.7909, 20.54333
538.2730, 22.60974
538.7551, 76.42206
539.2372, 104.6646
539.7194, 77.83411
540.2015, 35.32629
540.6836, 9.243774
541.1657, 7.288513
541.6478, 18.30377
542.1299, 40.79675
542.6121, 70.87323
543.0942, 75.86957
