##NAMES=Allanite-(Ce)
##RRUFFID=R080092
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Arendal, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Dark brown fragment from metamict sample R050043, after heating at T = 1000 C for 18 hours
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080092
223.1770, 243.6001
223.6591, 238.1738
224.1413, 229.3516
224.6234, 220.8340
225.1055, 216.4824
225.5876, 214.2041
226.0697, 210.1260
226.5518, 201.6836
227.0340, 191.6235
227.5161, 184.1812
227.9982, 179.9824
228.4803, 176.1709
228.9624, 171.2056
229.4445, 165.5068
229.9267, 159.5869
230.4088, 153.2769
230.8909, 147.0605
231.3730, 141.9468
231.8551, 138.3872
232.3372, 134.8125
232.8194, 130.5576
233.3015, 126.0254
233.7836, 121.8511
234.2657, 118.5420
234.7478, 115.3936
235.2299, 110.6338
235.7121, 103.4863
236.1942, 96.35303
236.6763, 90.03467
237.1584, 84.08398
237.6405, 77.83398
238.1227, 70.88135
238.6048, 64.03564
239.0869, 59.52148
239.5690, 59.10400
240.0511, 58.06592
240.5332, 56.12793
241.0154, 52.97217
241.4975, 47.44385
241.9796, 38.99072
242.4617, 29.52393
242.9438, 23.87744
243.4259, 24.48242
243.9081, 25.48047
244.3902, 27.64795
244.8723, 29.14355
245.3544, 27.66846
245.8365, 22.45410
246.3186, 15.32520
246.8008, 10.61963
247.2829, 10.52393
247.7650, 9.776855
248.2471, 7.417969
248.7292, 4.665039
249.2113, 2.753906
249.6935, 2.067383
250.1756, 1.908691
250.6577, 0.9355470
251.1398, 1.867676
251.6219, 4.217773
252.1040, 6.457031
252.5862, 8.210449
253.0683, 8.397461
253.5504, 6.956543
254.0325, 5.823730
254.5146, 8.421387
254.9967, 18.67480
255.4789, 25.35986
255.9610, 26.08936
256.4431, 24.67529
256.9252, 24.16504
257.4073, 25.27197
257.8894, 27.12549
258.3716, 28.50000
258.8537, 28.91553
259.3358, 30.09521
259.8179, 34.05566
260.3000, 37.50049
260.7821, 36.29785
261.2643, 29.99902
261.7464, 23.69043
262.2285, 23.33105
262.7106, 30.71143
263.1927, 35.45801
263.6748, 36.28857
264.1570, 35.22119
264.6391, 33.50586
265.1212, 31.40918
265.6033, 29.63477
266.0854, 29.23096
266.5675, 30.29932
267.0497, 30.37744
267.5318, 28.63818
268.0139, 26.51465
268.4960, 25.76953
268.9781, 26.36719
269.4602, 25.44092
269.9424, 19.45508
270.4245, 9.684570
270.9066, 4.863770
271.3887, 9.204102
271.8708, 15.41650
272.3529, 18.49316
272.8351, 18.42578
273.3172, 16.57422
273.7993, 12.76855
274.2814, 7.864258
274.7635, 4.593262
275.2456, 4.431152
275.7278, 4.365723
276.2099, 1.803711
276.6920, 2.916992
277.1741, 6.854004
277.6562, 7.987305
278.1383, 7.823730
278.6205, 9.185059
279.1026, 12.35303
279.5847, 16.69385
280.0668, 21.81299
280.5489, 27.79199
281.0310, 34.77393
281.5132, 42.94434
281.9953, 52.06348
282.4774, 62.03809
282.9595, 73.25439
283.4416, 82.97705
283.9237, 88.58496
284.4059, 90.99121
284.8880, 94.38428
285.3701, 100.1973
285.8522, 106.5737
286.3343, 111.5430
286.8164, 115.1724
287.2986, 118.6060
287.7807, 121.4858
288.2628, 124.5659
288.7449, 130.6445
289.2270, 141.7139
289.7091, 153.0293
290.1913, 160.3145
290.6734, 164.5195
291.1555, 169.5435
291.6376, 178.2827
292.1197, 188.8823
292.6018, 196.8647
293.0840, 200.7739
293.5661, 204.7554
294.0482, 211.6250
294.5303, 220.4087
295.0124, 229.8652
295.4945, 239.4580
295.9767, 249.2803
296.4588, 259.8892
296.9409, 271.8472
297.4230, 282.8691
297.9051, 289.0791
298.3872, 294.6299
298.8694, 305.2388
299.3515, 324.1465
299.8336, 345.7305
300.3157, 362.8530
300.7978, 375.2617
301.2799, 386.6074
301.7621, 396.5962
302.2442, 407.0986
302.7263, 419.9834
303.2084, 435.6689
303.6905, 452.6270
304.1726, 469.8213
304.6548, 487.2769
305.1369, 504.8003
305.6190, 521.9224
306.1011, 539.4985
306.5832, 558.5732
307.0653, 579.1792
307.5475, 599.3730
308.0296, 616.1289
308.5117, 629.9307
308.9938, 648.0298
309.4759, 673.7534
309.9580, 701.4292
310.4402, 727.8687
310.9223, 752.9917
311.4044, 776.6313
311.8865, 797.0156
312.3686, 814.9775
312.8507, 835.2568
313.3329, 858.4302
313.8150, 884.0352
314.2971, 913.4204
314.7792, 944.7402
315.2613, 974.8066
315.7434, 1001.779
316.2256, 1027.057
316.7077, 1053.811
317.1898, 1082.866
317.6719, 1111.715
318.1540, 1139.673
318.6361, 1167.121
319.1183, 1194.188
319.6004, 1220.812
320.0825, 1247.342
320.5646, 1274.701
321.0467, 1303.373
321.5288, 1331.082
322.0110, 1356.782
322.4931, 1381.512
322.9752, 1405.423
323.4573, 1428.342
323.9394, 1451.624
324.4215, 1476.470
324.9037, 1502.713
325.3858, 1530.011
325.8679, 1558.802
326.3500, 1588.030
326.8321, 1617.169
327.3142, 1646.267
327.7964, 1675.074
328.2785, 1704.007
328.7606, 1732.380
329.2427, 1757.755
329.7248, 1778.126
330.2069, 1798.596
330.6891, 1823.213
331.1712, 1850.327
331.6533, 1876.418
332.1354, 1899.095
332.6175, 1920.120
333.0996, 1943.574
333.5818, 1970.779
334.0639, 1996.683
334.5460, 2017.005
335.0281, 2035.065
335.5102, 2054.159
335.9923, 2075.062
336.4745, 2097.719
336.9566, 2123.376
337.4387, 2152.154
337.9208, 2179.463
338.4029, 2204.414
338.8850, 2226.516
339.3671, 2244.221
339.8492, 2257.189
340.3314, 2270.305
340.8135, 2289.104
341.2956, 2312.293
341.7777, 2329.666
342.2598, 2336.337
342.7419, 2341.163
343.2241, 2352.796
343.7062, 2369.910
344.1883, 2385.500
344.6704, 2395.483
345.1525, 2401.764
345.6346, 2408.350
346.1168, 2415.527
346.5989, 2422.672
347.0810, 2428.949
347.5631, 2434.850
348.0452, 2441.536
348.5273, 2450.698
349.0095, 2459.535
349.4916, 2465.384
349.9737, 2468.229
350.4558, 2467.463
350.9379, 2459.885
351.4200, 2450.125
351.9022, 2446.115
352.3843, 2450.184
352.8664, 2454.481
353.3485, 2453.498
353.8306, 2448.306
354.3127, 2443.032
354.7949, 2438.558
355.2770, 2434.751
355.7591, 2431.732
356.2412, 2429.521
356.7233, 2426.609
357.2054, 2423.346
357.6876, 2418.750
358.1697, 2410.807
358.6518, 2398.975
359.1339, 2385.774
359.6160, 2373.195
360.0981, 2361.068
360.5803, 2348.603
361.0624, 2335.357
361.5445, 2322.096
362.0266, 2309.888
362.5087, 2298.567
362.9908, 2286.833
363.4730, 2274.346
363.9551, 2260.654
364.4372, 2244.429
364.9193, 2224.441
365.4014, 2204.321
365.8835, 2185.527
366.3657, 2167.699
366.8478, 2150.018
367.3299, 2132.243
367.8120, 2114.536
368.2941, 2096.895
368.7762, 2079.121
369.2584, 2062.302
369.7405, 2047.588
370.2226, 2033.368
370.7047, 2018.784
371.1868, 2003.449
371.6689, 1986.323
372.1511, 1966.687
372.6332, 1944.336
373.1153, 1917.405
373.5974, 1882.284
374.0795, 1846.500
374.5616, 1812.425
375.0438, 1780.528
375.5259, 1750.880
376.0080, 1723.671
376.4901, 1698.890
376.9722, 1676.846
377.4543, 1662.926
377.9365, 1644.742
378.4186, 1618.285
378.9007, 1588.074
379.3828, 1558.226
379.8649, 1530.137
380.3470, 1504.575
380.8292, 1483.165
381.3113, 1468.545
381.7934, 1449.510
382.2755, 1425.234
382.7576, 1397.948
383.2397, 1366.835
383.7219, 1333.558
384.2040, 1302.767
384.6861, 1278.515
385.1682, 1260.295
385.6503, 1240.669
386.1324, 1219.650
386.6146, 1197.334
387.0967, 1172.616
387.5788, 1147.261
388.0609, 1123.160
388.5430, 1101.265
389.0251, 1081.270
389.5073, 1062.670
389.9894, 1046.522
390.4715, 1029.641
390.9536, 1012.735
391.4357, 994.5791
391.9178, 973.3369
392.4000, 949.4277
392.8821, 925.3613
393.3642, 903.3604
393.8463, 883.3506
394.3284, 864.7607
394.8105, 848.8115
395.2927, 832.5576
395.7748, 815.4736
396.2569, 797.5430
396.7390, 778.2627
397.2211, 756.8887
397.7032, 735.1592
398.1854, 717.7920
398.6675, 706.4590
399.1496, 693.9355
399.6317, 678.4590
400.1138, 660.6055
400.5959, 639.3301
401.0781, 614.7520
401.5602, 591.6836
402.0423, 575.8359
402.5244, 566.4463
403.0065, 555.6064
403.4886, 542.9219
403.9708, 527.8203
404.4529, 508.1943
404.9350, 486.0410
405.4171, 466.7393
405.8992, 454.2988
406.3813, 445.2900
406.8635, 433.8047
407.3456, 419.3213
407.8277, 405.8643
408.3098, 397.0195
408.7919, 389.4277
409.2740, 376.8076
409.7562, 356.1396
410.2383, 337.3047
410.7204, 328.6650
411.2025, 326.6455
411.6846, 320.4092
412.1667, 306.6162
412.6489, 289.1436
413.1310, 271.9512
413.6131, 255.0635
414.0952, 240.0664
414.5773, 226.5479
415.0594, 215.2354
415.5416, 208.5537
416.0237, 206.0010
416.5058, 202.5049
416.9879, 194.4912
417.4700, 182.6494
417.9521, 171.4482
418.4343, 159.0088
418.9164, 149.6904
419.3985, 146.2686
419.8806, 145.9551
420.3627, 145.0811
420.8448, 142.4209
421.3270, 138.5498
421.8091, 134.2979
422.2912, 129.8496
422.7733, 124.2979
423.2554, 116.7852
423.7375, 108.9424
424.2197, 101.5957
424.7018, 94.96973
425.1839, 89.18066
425.6660, 84.30566
426.1481, 80.20605
426.6302, 76.01562
427.1124, 72.49023
427.5945, 68.18945
428.0766, 62.36719
428.5587, 56.12695
429.0408, 50.12598
429.5229, 44.74219
430.0051, 40.50488
430.4872, 38.82617
430.9693, 41.07324
431.4514, 39.99512
431.9335, 31.24609
432.4156, 22.82129
432.8978, 17.89941
433.3799, 15.90430
433.8620, 14.76758
434.3441, 13.70703
434.8262, 12.42773
435.3083, 9.754883
435.7905, 5.137695
436.2726, 0.3525390
436.7547, 4.702148
437.2368, 9.247070
437.7189, 12.56934
438.2010, 14.56152
438.6832, 15.36523
439.1653, 14.05664
439.6474, 11.28027
440.1295, 11.00293
440.6116, 15.03564
441.0938, 19.25488
441.5759, 20.22998
442.0580, 18.64404
442.5401, 15.96973
443.0222, 11.14551
443.5043, 6.342773
443.9865, 3.337402
444.4686, 2.132324
444.9507, 3.664063
445.4328, 9.778320
445.9149, 17.64160
446.3970, 20.08154
446.8792, 14.99512
447.3613, 11.36865
447.8434, 12.21582
448.3255, 15.54639
448.8076, 19.57324
449.2897, 23.84521
449.7719, 27.22754
450.2540, 28.59961
450.7361, 27.89697
451.2182, 26.69189
451.7003, 24.72949
452.1824, 22.56348
452.6646, 18.91309
453.1467, 15.52393
453.6288, 15.77588
454.1109, 21.19336
454.5930, 29.04590
455.0751, 34.08398
455.5573, 35.62842
456.0394, 35.49902
456.5215, 33.66553
457.0036, 30.54492
457.4857, 25.26709
457.9678, 18.75977
458.4500, 13.71289
458.9321, 12.58301
459.4142, 14.51367
459.8963, 14.37598
460.3784, 11.01758
460.8605, 7.555176
461.3427, 3.724609
461.8248, 0.8056640
462.3069, 0.3754880
462.7890, 2.809082
463.2711, 6.402832
463.7532, 9.956543
464.2354, 13.41650
464.7175, 14.99023
465.1996, 13.70752
465.6817, 11.65869
466.1638, 10.33350
466.6459, 9.460938
467.1281, 8.383789
467.6102, 6.953125
468.0923, 5.193359
468.5744, 3.401855
469.0565, 1.540527
469.5386, 1.948242
470.0208, 8.650879
470.5029, 15.97412
470.9850, 18.74609
471.4671, 16.10449
471.9492, 14.67773
472.4313, 17.90332
472.9135, 22.08936
473.3956, 22.66992
473.8777, 19.60596
474.3598, 16.79932
474.8419, 17.68506
475.3240, 21.61572
475.8062, 21.98877
476.2883, 15.21045
476.7704, 9.892090
477.2525, 8.355469
477.7346, 9.022461
478.2167, 10.25049
478.6989, 11.47656
479.1810, 12.86768
479.6631, 14.47168
480.1452, 16.25488
480.6273, 18.59961
481.1094, 22.35352
481.5916, 25.75684
482.0737, 27.38184
482.5558, 28.36523
483.0379, 30.88672
483.5200, 36.12256
484.0021, 42.46729
484.4843, 46.99658
484.9664, 49.52734
485.4485, 50.89893
485.9306, 50.85107
486.4127, 49.95557
486.8948, 47.84375
487.3770, 44.92383
487.8591, 43.32861
488.3412, 45.10254
488.8233, 48.81641
489.3054, 51.73779
489.7875, 53.82520
490.2697, 55.91846
490.7518, 58.84521
491.2339, 61.85352
491.7160, 63.08350
492.1981, 61.49805
492.6802, 61.33350
493.1624, 65.88672
493.6445, 72.47754
494.1266, 76.91504
494.6087, 78.47070
495.0908, 79.33691
495.5729, 81.35010
496.0551, 84.53418
496.5372, 87.72754
497.0193, 93.10352
497.5014, 96.13379
497.9835, 92.61768
498.4656, 86.71631
498.9478, 85.01953
499.4299, 89.54053
499.9120, 95.96533
500.3941, 97.98730
500.8762, 94.46387
501.3583, 90.92090
501.8405, 84.93701
502.3226, 81.30762
502.8047, 82.55859
503.2868, 87.20410
503.7689, 93.27686
504.2510, 100.3633
504.7331, 106.9624
505.2152, 109.4800
505.6974, 107.1899
506.1795, 104.2212
506.6616, 99.48291
507.1437, 96.27148
507.6258, 97.33740
508.1079, 102.2515
508.5901, 108.4263
509.0722, 115.9668
509.5543, 123.4092
510.0364, 129.0718
510.5185, 132.9966
511.0006, 133.4365
511.4828, 127.6353
511.9649, 119.1338
512.4470, 116.4565
512.9291, 121.6694
513.4113, 124.9233
513.8934, 121.0488
514.3755, 115.7969
514.8576, 116.0420
515.3397, 121.8262
515.8218, 127.8984
516.3040, 130.2427
516.7861, 129.1167
517.2682, 127.7456
517.7503, 125.4395
518.2324, 124.1299
518.7145, 124.2632
519.1967, 125.2158
519.6788, 126.1743
520.1609, 126.9731
520.6430, 128.2764
521.1251, 131.6304
521.6072, 136.7900
522.0894, 136.8213
522.5715, 127.3350
523.0536, 120.0610
523.5357, 120.7803
524.0178, 124.7388
524.4999, 126.3281
524.9821, 123.9771
525.4642, 120.9507
525.9463, 119.7651
526.4284, 120.3789
526.9105, 122.8472
527.3926, 128.2754
527.8748, 132.9541
528.3569, 133.2690
528.8390, 130.1069
529.3211, 126.7676
529.8032, 121.9780
530.2853, 119.2314
530.7675, 122.5913
531.2496, 128.8730
531.7317, 131.7979
532.2138, 129.5005
532.6959, 124.5688
533.1780, 119.7812
533.6602, 114.5791
534.1423, 111.8574
534.6244, 112.9097
535.1065, 114.5879
535.5886, 116.9893
536.0707, 118.9893
536.5529, 118.6450
537.0350, 115.3174
537.5171, 110.7900
537.9992, 108.2002
538.4813, 108.0566
538.9634, 107.4644
539.4456, 104.4912
539.9277, 103.1606
540.4098, 106.7075
540.8919, 113.1284
541.3740, 118.5620
541.8561, 121.6855
542.3383, 122.7769
542.8204, 121.8467
543.3025, 118.9966
543.7846, 115.0229
544.2667, 109.1548
544.7488, 104.0664
545.2310, 104.1230
545.7131, 108.6006
546.1952, 110.0039
546.6773, 104.5322
547.1594, 98.35205
547.6415, 94.89160
548.1237, 93.83789
548.6058, 94.59473
549.0879, 97.13672
549.5700, 99.65039
550.0521, 98.76758
550.5342, 92.35498
551.0164, 89.51807
551.4985, 92.52783
551.9806, 96.29932
552.4627, 98.98145
552.9448, 100.6372
553.4269, 101.7139
553.9091, 102.4092
554.3912, 102.7344
554.8733, 102.6055
555.3554, 101.8237
555.8375, 101.2397
556.3196, 101.3110
556.8018, 101.1362
557.2839, 100.3579
557.7660, 98.89941
558.2481, 96.58301
558.7302, 92.39697
559.2123, 88.34668
559.6945, 87.06885
560.1766, 88.03662
560.6587, 88.64160
561.1408, 88.01953
561.6229, 87.13574
562.1050, 87.21680
562.5872, 88.56104
563.0693, 88.66602
563.5514, 86.82422
564.0335, 84.55029
564.5156, 81.90283
564.9977, 79.61963
565.4799, 78.91406
565.9620, 80.26367
566.4441, 82.60059
566.9262, 84.23340
567.4083, 84.86572
567.8904, 85.94482
568.3726, 88.89307
568.8547, 90.93408
569.3368, 90.52734
569.8189, 88.57080
570.3010, 86.65869
570.7831, 85.21680
571.2653, 84.14258
571.7474, 83.34375
572.2295, 82.83008
572.7116, 82.00635
573.1937, 80.69629
573.6758, 79.35889
574.1580, 78.53320
574.6401, 78.16455
575.1222, 77.64160
575.6043, 76.17285
576.0864, 75.08447
576.5685, 75.84424
577.0507, 77.36133
577.5328, 78.03760
578.0149, 77.43848
578.4970, 75.30664
578.9791, 70.98438
579.4612, 64.32031
579.9434, 61.16309
580.4255, 65.96191
580.9076, 68.70850
581.3897, 65.47363
581.8718, 60.31250
582.3539, 57.84766
582.8361, 59.00977
583.3182, 61.43750
583.8003, 62.79102
584.2824, 63.19873
584.7645, 63.73438
585.2466, 63.80908
585.7288, 65.50635
586.2108, 72.32861
586.6929, 80.15283
587.1750, 82.70020
587.6572, 78.25049
588.1393, 73.79102
588.6214, 72.33105
589.1035, 72.72266
589.5856, 74.01514
590.0677, 75.89307
590.5499, 77.04053
591.0320, 76.36768
591.5141, 74.45020
591.9962, 73.74219
592.4783, 76.85352
592.9604, 77.31982
593.4426, 73.03516
593.9247, 67.90381
594.4068, 64.15967
594.8889, 62.13135
595.3710, 61.38770
595.8531, 62.07764
596.3353, 63.27148
596.8174, 61.83838
597.2995, 56.94873
597.7816, 54.54395
598.2637, 57.13086
598.7458, 61.51709
599.2280, 65.15137
599.7101, 67.95605
600.1922, 70.01367
600.6743, 71.63623
