##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
368.5072, 7.711853
368.9893, 8.072388
369.4714, 8.505554
369.9536, 8.423218
370.4357, 7.161316
370.9178, 6.091919
371.3999, 5.770020
371.8820, 6.374939
372.3641, 7.320129
372.8463, 8.888306
373.3284, 10.57977
373.8105, 11.50391
374.2926, 11.08081
374.7747, 11.22760
375.2568, 12.88226
375.7390, 16.07666
376.2211, 17.49402
376.7032, 16.65186
377.1853, 15.04108
377.6674, 14.05109
378.1495, 13.74445
378.6317, 13.55231
379.1138, 13.33746
379.5959, 13.17944
380.0780, 13.48083
380.5601, 14.29456
381.0422, 15.00842
381.5244, 15.26569
382.0065, 15.09570
382.4886, 14.48730
382.9707, 13.33582
383.4528, 12.09235
383.9349, 11.32025
384.4171, 11.00586
384.8992, 11.02087
385.3813, 11.20825
385.8634, 11.71423
386.3455, 13.06927
386.8276, 15.31873
387.3098, 17.37701
387.7919, 18.22815
388.2740, 18.25397
388.7561, 18.13458
389.2382, 18.02484
389.7203, 17.91058
390.2025, 17.50073
390.6846, 16.94592
391.1667, 17.00806
391.6488, 19.29346
392.1309, 21.71985
392.6130, 22.38464
393.0952, 20.19122
393.5773, 17.81049
394.0594, 16.13068
394.5415, 15.07202
395.0236, 14.48285
395.5057, 14.81140
395.9879, 15.18884
396.4700, 15.25793
396.9521, 14.95325
397.4342, 14.65973
397.9163, 14.61597
398.3984, 14.53326
398.8806, 14.14728
399.3627, 13.38470
399.8448, 12.37042
400.3269, 10.67352
400.8090, 8.513733
401.2911, 7.633362
401.7733, 8.801208
402.2554, 10.34973
402.7375, 11.38629
403.2196, 11.72467
403.7017, 12.11554
404.1838, 12.62164
404.6660, 13.14380
405.1481, 13.63983
405.6302, 14.35730
406.1123, 14.14569
406.5944, 11.93378
407.0765, 7.916992
407.5587, 6.451721
408.0408, 8.028870
408.5229, 10.23401
409.0050, 10.20862
409.4871, 8.135498
409.9692, 6.947876
410.4514, 7.515503
410.9335, 9.052124
411.4156, 10.11871
411.8977, 10.70886
412.3798, 10.94824
412.8619, 10.70441
413.3441, 10.20898
413.8262, 9.984253
414.3083, 10.18665
414.7904, 10.30994
415.2725, 9.863770
415.7546, 8.983948
416.2368, 7.940918
416.7189, 6.528442
417.2010, 5.249451
417.6831, 4.452698
418.1652, 4.148132
418.6473, 4.268555
419.1295, 5.029907
419.6116, 6.070374
420.0937, 7.104065
420.5758, 8.575195
421.0579, 9.302002
421.5400, 8.429626
422.0222, 6.533386
422.5043, 5.021179
422.9864, 4.405090
423.4685, 4.090393
423.9506, 3.897400
424.4327, 3.864868
424.9149, 3.810852
425.3970, 3.381714
425.8791, 3.118042
426.3612, 3.623108
426.8433, 5.665527
427.3254, 7.230042
427.8076, 8.000183
428.2897, 8.027588
428.7718, 7.511841
429.2539, 6.035522
429.7360, 4.871338
430.2181, 5.094727
430.7003, 7.120483
431.1824, 7.813416
431.6645, 6.751099
432.1466, 4.817322
432.6287, 3.243042
433.1108, 2.037231
433.5930, 1.670654
434.0751, 2.871338
434.5572, 5.000488
435.0393, 5.653809
435.5214, 4.801758
436.0035, 3.924377
