##NAMES=Kyanite
##RRUFFID=R100139
##IDEAL CHEMISTRY=Al_2_OSiO_4_
##LOCALITY=Madagascar
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Blue prismatic crystal fragment, slightly water-worn
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100139
422.3015, 9396.802
422.7836, 9392.871
423.2657, 9387.385
423.7479, 9383.069
424.2300, 9381.890
424.7121, 9381.673
425.1942, 9378.580
425.6763, 9371.871
426.1584, 9366.309
426.6406, 9364.594
427.1227, 9365.202
427.6048, 9365.592
428.0869, 9365.333
428.5690, 9365.265
429.0511, 9366.375
429.5333, 9368.661
430.0154, 9369.941
430.4975, 9372.603
430.9796, 9371.985
431.4617, 9361.729
431.9438, 9345.899
432.4260, 9335.439
432.9081, 9335.995
433.3902, 9343.003
433.8723, 9345.726
434.3544, 9339.885
434.8365, 9336.629
435.3187, 9340.171
435.8008, 9343.804
436.2829, 9341.108
436.7650, 9331.993
437.2471, 9321.500
437.7292, 9314.408
438.2114, 9310.808
438.6935, 9306.042
439.1756, 9299.563
439.6577, 9292.569
440.1398, 9282.731
440.6219, 9273.467
441.1040, 9270.520
441.5862, 9276.300
442.0683, 9285.567
442.5504, 9288.458
443.0325, 9282.882
443.5146, 9277.532
443.9967, 9273.168
444.4789, 9269.268
444.9610, 9265.543
445.4431, 9262.077
445.9252, 9259.217
446.4073, 9257.779
446.8894, 9257.077
447.3716, 9254.011
447.8537, 9247.116
448.3358, 9241.401
448.8179, 9239.868
449.3000, 9240.212
449.7821, 9240.402
450.2643, 9240.199
450.7464, 9238.751
451.2285, 9233.610
451.7106, 9225.969
452.1927, 9222.873
452.6748, 9227.557
453.1570, 9233.245
453.6391, 9232.042
454.1212, 9225.480
454.6033, 9220.234
455.0854, 9218.540
455.5675, 9218.316
456.0497, 9218.990
456.5318, 9219.982
457.0139, 9217.747
457.4960, 9209.407
457.9781, 9198.035
458.4602, 9192.317
458.9424, 9194.809
459.4245, 9196.573
459.9066, 9195.965
460.3887, 9193.979
460.8708, 9192.341
461.3529, 9190.953
461.8351, 9186.752
462.3172, 9175.580
462.7993, 9156.963
463.2814, 9148.547
463.7635, 9161.460
464.2456, 9171.036
464.7278, 9170.236
465.2099, 9162.657
465.6920, 9152.114
466.1741, 9140.283
466.6562, 9130.154
467.1383, 9127.826
467.6205, 9137.027
468.1026, 9142.318
468.5847, 9141.426
469.0668, 9138.084
469.5489, 9132.288
470.0310, 9125.283
470.5132, 9119.919
470.9953, 9118.734
471.4774, 9119.647
471.9595, 9116.679
472.4416, 9108.483
472.9237, 9101.614
473.4059, 9100.878
473.8880, 9101.062
474.3701, 9096.784
474.8522, 9087.342
475.3343, 9078.027
475.8164, 9072.137
476.2986, 9068.957
476.7807, 9067.265
477.2628, 9067.341
477.7449, 9066.475
478.2270, 9061.225
478.7091, 9053.184
479.1913, 9049.125
479.6734, 9053.285
480.1555, 9057.101
480.6376, 9055.610
481.1197, 9050.609
481.6018, 9045.658
482.0839, 9041.862
482.5660, 9038.894
483.0482, 9036.405
483.5303, 9034.718
484.0124, 9032.272
484.4945, 9027.627
484.9766, 9023.614
485.4587, 9022.578
