##NAMES=Joseite-A
##RRUFFID=R060963
##IDEAL CHEMISTRY=Bi_4_TeS_2_
##LOCALITY=Tanza mine, Potosi deptmartment, Bolivia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Hexagonal, metallic gray single crystal
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060963
301.8345, 9.983047
302.3166, 13.93060
302.7987, 13.25243
303.2809, 10.65175
303.7630, 9.739517
304.2451, 10.98152
304.7272, 13.80966
305.2093, 19.04028
305.6914, 25.39857
306.1736, 29.32462
306.6557, 26.80751
307.1378, 22.27707
307.6199, 20.27849
308.1020, 21.26073
308.5841, 23.31038
309.0663, 26.41393
309.5484, 29.47968
310.0305, 30.58853
310.5126, 27.25998
310.9947, 22.87399
311.4768, 19.83328
311.9590, 18.27499
312.4411, 17.27472
312.9232, 16.81097
313.4053, 16.46559
313.8874, 15.53532
314.3695, 11.54620
314.8517, 8.772415
315.3337, 11.29628
315.8159, 18.89821
316.2980, 23.63846
316.7801, 19.23407
317.2622, 11.88229
317.7443, 7.095947
318.2264, 9.297668
318.7086, 11.53746
319.1907, 10.19760
319.6728, 7.030243
320.1549, 6.771378
320.6370, 13.99837
321.1191, 22.01291
321.6013, 26.33080
322.0834, 22.08777
322.5655, 18.44333
323.0476, 17.66240
323.5297, 18.99408
324.0118, 19.15631
324.4940, 14.79643
324.9761, 11.74510
325.4582, 12.85301
325.9403, 24.18889
326.4224, 30.91443
326.9045, 29.25092
327.3867, 22.35559
327.8688, 17.72942
328.3509, 18.28815
328.8330, 18.70906
329.3151, 16.72639
329.7972, 9.060120
330.2794, 6.038475
330.7615, 10.58149
331.2436, 18.83712
331.7257, 23.91399
332.2078, 24.17943
332.6899, 23.66786
333.1721, 23.57910
333.6542, 24.33099
334.1363, 23.35370
334.6184, 19.45088
335.1005, 14.87479
335.5826, 12.50856
336.0648, 12.82618
336.5469, 13.08395
337.0290, 13.06799
337.5111, 13.34353
337.9932, 13.20382
338.4753, 11.20387
338.9575, 9.323631
339.4396, 9.923706
339.9217, 13.50428
340.4038, 16.59670
340.8859, 18.50969
341.3680, 19.34119
341.8502, 20.09747
342.3323, 21.15049
342.8144, 21.32715
343.2965, 19.27567
343.7786, 15.05830
344.2607, 15.30782
344.7429, 22.80374
345.2250, 33.25827
345.7071, 36.78291
346.1892, 33.24147
346.6713, 27.42533
347.1534, 20.37376
347.6355, 13.14396
348.1176, 10.73691
348.5998, 14.94674
349.0819, 21.07224
349.5640, 20.99281
350.0461, 15.87808
350.5282, 12.55579
351.0103, 17.33747
351.4925, 25.51193
351.9746, 28.28146
352.4567, 24.49678
352.9388, 19.31402
353.4209, 17.20225
353.9030, 17.60158
354.3852, 19.08251
354.8673, 23.19762
355.3494, 26.67342
355.8315, 24.70158
356.3136, 17.36499
356.7957, 11.77947
357.2779, 16.12064
357.7600, 24.22426
358.2421, 28.04046
358.7242, 19.72232
359.2063, 11.11901
359.6884, 10.70421
360.1706, 16.83670
360.6527, 20.33714
361.1348, 12.65700
361.6169, 3.052864
362.0990, 1.000282
362.5811, 5.558228
363.0633, 12.76042
363.5454, 18.92299
364.0275, 23.57468
364.5096, 25.41160
364.9917, 20.61020
365.4738, 15.52605
365.9560, 13.44427
366.4381, 15.87541
366.9202, 18.86697
367.4023, 24.22192
367.8844, 29.48582
368.3665, 30.67085
368.8487, 22.14476
369.3308, 14.89096
369.8129, 11.89807
370.2950, 13.98428
370.7771, 15.62340
371.2592, 16.56570
