##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
252.5444, 14.36039
253.0265, 10.57909
253.5087, 4.944054
253.9908, 4.708275
254.4729, 13.42795
254.9550, 20.35511
255.4371, 21.53408
255.9192, 15.98171
256.4014, 13.44675
256.8835, 15.38281
257.3656, 18.89548
257.8477, 20.51273
258.3298, 19.64797
258.8120, 18.11270
259.2941, 15.72684
259.7762, 12.27634
260.2583, 11.91648
260.7404, 16.00149
261.2225, 21.48924
261.7047, 25.51318
262.1868, 28.27950
262.6689, 28.63911
263.1510, 25.96569
263.6331, 20.25539
264.1152, 16.06597
264.5974, 13.56791
265.0795, 12.38033
265.5616, 12.43293
266.0437, 14.18166
266.5258, 15.71612
267.0079, 16.89699
267.4901, 17.64821
267.9722, 16.92094
268.4543, 14.03710
268.9364, 11.02125
269.4185, 9.694275
269.9006, 10.51883
270.3828, 10.92926
270.8649, 10.16785
271.3470, 8.730026
271.8291, 8.906990
272.3112, 10.81096
272.7933, 14.05420
273.2755, 19.38748
273.7576, 27.66757
274.2397, 31.99121
274.7218, 30.56123
275.2039, 25.18677
275.6860, 21.06693
276.1682, 18.15045
276.6503, 16.53514
277.1324, 16.74567
277.6145, 18.96754
278.0966, 20.40757
278.5787, 20.58221
279.0609, 20.18335
279.5430, 21.18361
280.0251, 23.96407
280.5072, 25.76814
280.9893, 24.35011
281.4715, 19.74767
281.9536, 16.91863
282.4357, 16.40034
282.9178, 17.07008
283.3999, 17.01488
283.8820, 16.18641
284.3642, 15.47726
284.8463, 15.86514
285.3284, 17.11102
285.8105, 15.86633
286.2926, 11.40247
286.7747, 6.710876
287.2569, 6.635902
287.7390, 10.98912
288.2211, 14.79442
288.7032, 16.01524
289.1853, 15.03504
289.6674, 13.29686
290.1496, 10.67133
290.6317, 8.086060
291.1138, 6.300850
291.5959, 5.356270
292.0780, 5.605766
292.5602, 7.634995
293.0423, 10.75566
293.5244, 13.82817
294.0065, 16.90118
294.4886, 18.36334
294.9707, 14.96027
295.4529, 8.305870
295.9350, 4.453400
296.4171, 5.874619
296.8992, 10.04832
297.3813, 13.79466
297.8634, 16.92721
298.3456, 17.31086
298.8277, 9.912781
299.3098, 1.294037
