##NAMES=Brochantite
##RRUFFID=R100199
##IDEAL CHEMISTRY=Cu^2+^_4_S^6+^O_4_(OH)_6_
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Donald K Olson
##DESCRIPTION=Loose green acicular crystals, MDO1 polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100199
293.0943, 1.066040
293.5764, 1.545052
294.0586, 0.9612580
294.5407, 0.1654050
295.0228, 0.4314310
295.5049, 1.420544
295.9870, 2.614246
296.4691, 2.655357
296.9513, 2.160740
297.4334, 1.716160
297.9155, 1.523624
298.3976, 1.551201
298.8797, 1.790844
299.3618, 2.722294
299.8440, 2.881081
300.3261, 1.344250
300.8082, 0.3723110
301.2903, 0.9034350
301.7724, 5.6232002E-02
302.2545, 1.230911
302.7367, 1.884136
303.2188, 1.737591
303.7009, 1.461754
304.1830, 0.9055210
304.6651, 0.3544080
305.1472, 7.5370997E-02
305.6294, 0.3474920
306.1115, 0.4069520
306.5936, 0.1870040
307.0757, 0.3305930
307.5578, 0.8505520
308.0399, 1.580814
308.5221, 2.114525
309.0042, 2.155518
309.4863, 1.840424
309.9684, 1.544781
310.4505, 1.525597
310.9326, 1.717609
311.4148, 1.657722
311.8969, 1.035603
312.3790, 0.5592610
312.8611, 0.4024540
313.3432, 0.5010380
313.8253, 0.8430140
314.3075, 1.454704
314.7896, 2.094444
315.2717, 2.112400
315.7538, 0.6993220
316.2359, 0.1646420
316.7180, 0.1664580
317.2001, 0.9069480
317.6823, 1.142681
318.1644, 0.6188160
318.6465, 0.1906320
319.1286, 0.5922660
319.6107, 0.4437480
320.0928, 0.1406480
320.5750, 0.6714210
321.0571, 1.393002
321.5392, 1.404545
322.0213, 0.7217030
322.5034, 9.0790000E-03
322.9855, 0.1339800
323.4677, 0.4427300
323.9498, 1.008633
324.4319, 1.694206
324.9140, 2.254238
325.3961, 2.608738
325.8782, 2.739048
326.3604, 2.596863
326.8425, 2.105492
327.3246, 1.314301
327.8067, 0.7797510
328.2888, 0.5386350
328.7709, 0.4685590
329.2531, 0.6453480
329.7352, 0.9555780
330.2173, 1.241104
330.6994, 1.431789
331.1815, 1.533062
331.6636, 1.552925
332.1458, 1.399403
332.6279, 1.303032
333.1100, 1.419121
333.5921, 1.521736
334.0742, 1.285049
334.5563, 0.6265980
335.0385, 0.1100580
335.5206, 0.3567310
336.0027, 6.3400000E-02
336.4848, 0.5934940
336.9669, 1.555981
337.4490, 2.371140
337.9312, 2.575638
338.4133, 2.209270
338.8954, 1.677818
339.3775, 1.340706
339.8596, 1.200993
340.3417, 1.192402
340.8239, 1.480656
341.3060, 1.710308
341.7881, 1.723610
342.2702, 1.582821
342.7523, 1.411278
343.2344, 1.273880
343.7166, 1.183708
344.1987, 1.225109
344.6808, 1.592400
345.1629, 1.871891
345.6450, 2.062492
346.1271, 2.132322
346.6093, 1.985962
347.0914, 1.601461
347.5735, 1.145073
348.0556, 0.9484040
348.5377, 1.230028
349.0198, 1.381458
349.5020, 1.305620
349.9841, 1.173542
350.4662, 1.123730
350.9483, 1.166180
351.4304, 1.266338
351.9125, 1.412443
352.3947, 1.631674
352.8768, 1.652794
353.3589, 1.108583
353.8410, 0.7768750
354.3231, 1.189997
354.8052, 2.034689
355.2874, 2.604994
355.7695, 2.370201
356.2516, 1.526999
356.7337, 1.175747
357.2158, 1.795273
357.6979, 2.282831
358.1800, 2.458893
358.6621, 2.381815
359.1443, 2.047602
359.6264, 1.536592
360.1085, 1.031969
360.5906, 0.9824940
361.0727, 1.648354
361.5548, 2.088982
362.0370, 2.068031
362.5191, 1.913509
363.0012, 1.722038
363.4833, 1.546730
363.9654, 1.544249
364.4475, 2.024426
364.9297, 3.042130
365.4118, 3.547760
365.8939, 3.187357
366.3760, 2.657198
366.8581, 2.033922
367.3402, 1.466236
367.8224, 1.247950
368.3045, 1.677197
368.7866, 2.495464
369.2687, 2.767796
369.7508, 2.229429
370.2329, 1.796650
370.7151, 1.952873
371.1972, 2.279388
371.6793, 2.313110
372.1614, 1.888027
372.6435, 1.402496
373.1256, 1.366840
373.6078, 1.806797
374.0899, 2.297869
374.5720, 2.951218
375.0541, 3.470612
375.5362, 3.613083
376.0183, 3.395826
376.5005, 3.055170
376.9826, 2.692976
377.4647, 2.348587
377.9468, 2.025351
378.4289, 1.640675
378.9110, 1.437992
379.3932, 1.741140
379.8753, 2.323841
380.3574, 2.767410
380.8395, 2.951019
381.3216, 2.941603
381.8037, 2.688639
382.2859, 2.180698
382.7680, 1.870182
383.2501, 2.099546
383.7322, 2.550093
384.2143, 2.677616
384.6964, 2.374966
385.1786, 2.093336
385.6607, 2.174610
386.1428, 2.476036
386.6249, 2.594542
387.1070, 2.399389
387.5891, 2.115929
388.0713, 2.131104
388.5534, 2.408010
389.0355, 2.246511
389.5176, 1.045530
389.9997, 0.3724270
390.4818, 1.261723
390.9640, 1.577404
391.4461, 1.426884
391.9282, 0.7330510
392.4103, 0.3583050
392.8924, 1.045958
393.3745, 1.055893
393.8567, 1.038525
394.3388, 1.189892
394.8209, 1.462666
395.3030, 1.811853
395.7851, 2.244568
396.2672, 2.621742
396.7494, 2.670856
397.2315, 2.174101
397.7136, 1.865856
398.1957, 1.883972
398.6778, 2.029467
399.1599, 2.197279
399.6420, 2.345394
400.1241, 2.393044
400.6063, 2.260660
401.0884, 1.942533
401.5705, 1.605757
402.0526, 1.176662
402.5347, 0.8134800
403.0168, 0.4378360
403.4990, 0.1853410
403.9811, 0.3385300
404.4632, 1.039076
404.9453, 2.028961
405.4274, 2.687193
405.9095, 2.913952
406.3917, 2.936493
406.8738, 2.488646
407.3559, 2.058741
407.8380, 2.137346
408.3201, 2.686371
408.8022, 3.144974
409.2844, 2.843348
409.7665, 1.698826
410.2486, 1.155392
410.7307, 1.981176
411.2128, 2.591536
411.6949, 2.409903
412.1771, 1.730803
412.6592, 0.9936560
413.1413, 0.3722820
413.6234, 4.3938000E-02
414.1055, 4.0194001E-02
414.5876, 0.8751010
415.0698, 1.445417
415.5519, 1.220274
416.0340, 0.8393840
416.5161, 0.7203350
416.9982, 0.9136180
417.4803, 1.223967
417.9625, 1.562407
418.4446, 1.903986
418.9267, 2.082285
419.4088, 2.075365
419.8909, 1.911894
420.3730, 1.502939
420.8552, 0.9685710
421.3373, 0.5604080
421.8194, 0.3904820
422.3015, 0.3532050
422.7836, 0.2930910
423.2657, 0.2129080
423.7479, 0.3479180
424.2300, 1.020311
424.7121, 1.744665
425.1942, 1.631981
425.6763, 0.4396650
426.1584, 0.3319930
426.6406, 0.4926490
427.1227, 2.004377
427.6048, 2.501465
428.0869, 1.643333
428.5690, 0.6435570
429.0511, 0.6611670
429.5333, 1.687016
430.0154, 2.293743
430.4975, 2.153925
430.9796, 1.928818
431.4617, 1.969889
431.9438, 2.219059
432.4260, 2.543215
432.9081, 2.906664
433.3902, 3.195835
433.8723, 3.120424
434.3544, 2.301315
434.8365, 1.741829
435.3187, 1.605089
435.8008, 1.652323
436.2829, 1.727188
436.7650, 1.790989
437.2471, 1.839619
437.7292, 1.862175
438.2114, 1.856424
438.6935, 1.917439
439.1756, 2.108820
439.6577, 2.297825
440.1398, 2.529913
440.6219, 2.717741
441.1040, 2.702381
441.5862, 2.418770
442.0683, 2.045681
442.5504, 1.952194
443.0325, 2.294718
443.5146, 2.434385
443.9967, 1.952780
444.4789, 1.561493
444.9610, 1.796894
445.4431, 2.510639
445.9252, 3.063063
446.4073, 2.834488
446.8894, 2.100460
447.3716, 2.000986
447.8537, 2.788532
448.3358, 3.448357
448.8179, 3.511591
449.3000, 3.285542
449.7821, 3.013931
450.2643, 2.707350
450.7464, 2.509892
451.2285, 2.774309
451.7106, 3.354549
452.1927, 3.402597
