##NAMES=Spinel
##RRUFFID=X080013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted red gemstone, 4.40 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080013
698.4748, 1.518066
698.9569, 4.176758
699.4390, 10.35303
699.9211, 11.52100
700.4033, 6.655273
700.8854, 1.111816
701.3675, 0.1611330
701.8496, 2.008789
702.3317, 4.086426
702.8138, 6.111816
703.2960, 7.533691
703.7781, 8.488770
704.2602, 8.529785
704.7423, 7.119629
705.2244, 3.531738
705.7065, 0.3540040
706.1887, 4.398438
706.6708, 8.427246
707.1529, 12.22803
707.6350, 15.48926
708.1171, 20.26758
708.5992, 28.77979
709.0814, 36.91748
709.5635, 33.32178
710.0456, 20.70850
710.5277, 12.00391
711.0098, 19.32910
711.4919, 28.91846
711.9741, 26.46240
712.4562, 15.29150
712.9383, 8.838867
713.4204, 16.55322
713.9025, 25.76904
714.3846, 31.75391
714.8668, 34.63330
715.3489, 35.36182
715.8310, 33.28076
716.3131, 30.40381
716.7952, 27.05322
717.2773, 23.43066
717.7595, 23.57227
718.2416, 27.72754
718.7237, 30.98877
719.2058, 27.82324
719.6879, 21.75488
720.1700, 17.82666
720.6522, 16.50342
721.1343, 18.14893
721.6164, 28.51709
722.0985, 38.44775
722.5806, 39.70068
723.0627, 24.20947
723.5449, 16.12744
724.0270, 21.05957
724.5091, 29.40771
724.9912, 31.60742
725.4733, 26.02246
725.9554, 25.23633
726.4376, 31.73926
726.9197, 39.04932
727.4018, 35.24316
727.8839, 24.63184
728.3660, 22.25537
728.8481, 36.40723
729.3303, 48.97949
729.8124, 40.08545
730.2945, 20.68799
730.7766, 7.494629
731.2587, 8.380859
731.7408, 12.28906
732.2230, 20.22754
732.7051, 28.79736
733.1872, 30.83594
733.6693, 23.34424
734.1514, 17.92578
734.6335, 18.02295
735.1157, 21.18408
735.5978, 20.24609
736.0799, 15.95654
736.5620, 14.31592
737.0441, 22.11377
737.5262, 30.85645
738.0084, 27.44189
738.4905, 16.06543
