##NAMES=Brannerite
##RRUFFID=R080091
##IDEAL CHEMISTRY=U^4+^Ti^4+^_2_O_6_
##LOCALITY=Crocker's Well, South Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light brown fragment from metamict sample R060613, after heating at T = 1000 C for 18 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080091
198.1070, 72.97571
198.5891, 66.01013
199.0712, 58.89685
199.5533, 51.17651
200.0354, 43.82397
200.5176, 37.41113
200.9997, 31.68347
201.4818, 26.07178
201.9639, 20.13220
202.4460, 13.85071
202.9281, 7.804077
203.4103, 1.664185
203.8924, 3.858765
204.3745, 8.276489
204.8566, 11.76013
205.3387, 14.77551
205.8208, 17.82739
206.3030, 21.07812
206.7851, 23.31714
207.2672, 24.08752
207.7493, 24.42188
208.2314, 24.66223
208.7135, 24.81909
209.1957, 24.77966
209.6778, 24.48096
210.1599, 23.97144
210.6420, 22.59839
211.1241, 20.35400
211.6062, 17.49927
212.0884, 13.88623
212.5705, 9.698486
213.0526, 5.559937
213.5347, 2.128418
214.0168, 0.4704590
214.4989, 4.367676
214.9811, 10.36951
215.4632, 16.98816
215.9453, 23.30969
216.4274, 29.23840
216.9095, 35.00171
217.3916, 40.68542
217.8737, 46.28284
218.3559, 52.15637
218.8380, 58.59399
219.3201, 65.35083
219.8022, 72.26526
220.2843, 79.31348
220.7664, 86.39026
221.2486, 93.43567
221.7307, 100.4631
222.2128, 107.2344
222.6949, 113.7688
223.1770, 120.0189
223.6591, 125.6522
224.1413, 130.5330
224.6234, 135.7217
225.1055, 142.4817
225.5876, 150.0372
226.0697, 156.9788
226.5518, 162.8234
227.0340, 167.8735
227.5161, 172.4974
227.9982, 176.6641
228.4803, 180.4840
228.9624, 183.8755
229.4445, 186.9706
229.9267, 189.9673
230.4088, 192.9720
230.8909, 195.8551
231.3730, 198.4084
231.8551, 200.7577
232.3372, 202.4056
232.8194, 202.7095
233.3015, 202.4097
233.7836, 202.4537
234.2657, 203.4097
234.7478, 204.6467
235.2299, 204.6573
235.7121, 202.8868
236.1942, 200.9684
236.6763, 199.3164
237.1584, 197.8313
237.6405, 196.5747
238.1227, 195.6674
238.6048, 194.6567
239.0869, 192.3433
239.5690, 188.2087
240.0511, 183.5422
240.5332, 178.3365
241.0154, 172.9386
241.4975, 167.6359
241.9796, 162.5448
242.4617, 157.7729
242.9438, 153.7327
243.4259, 151.2645
243.9081, 148.1740
244.3902, 143.9445
244.8723, 139.1931
245.3544, 134.3513
245.8365, 129.5876
246.3186, 125.0945
246.8008, 121.3274
247.2829, 119.3467
247.7650, 116.5463
248.2471, 112.2323
248.7292, 107.3995
249.2113, 103.0441
249.6935, 99.48315
250.1756, 96.19080
250.6577, 92.06970
251.1398, 85.45422
251.6219, 80.52734
252.1040, 78.61133
252.5862, 77.61365
253.0683, 75.74268
253.5504, 72.47278
254.0325, 68.37329
254.5146, 64.31689
254.9967, 60.04529
255.4789, 56.44470
255.9610, 54.06580
256.4431, 52.05908
256.9252, 49.47534
257.4073, 46.14880
257.8894, 42.95520
258.3716, 41.13672
258.8537, 41.47241
259.3358, 41.27869
259.8179, 40.05176
260.3000, 38.46118
260.7821, 37.07385
261.2643, 35.91797
261.7464, 34.68616
262.2285, 33.21643
262.7106, 31.57068
263.1927, 29.76611
263.6748, 27.76550
264.1570, 25.59338
264.6391, 23.37036
265.1212, 21.18201
265.6033, 18.95166
266.0854, 16.59839
266.5675, 14.10437
267.0497, 11.46863
267.5318, 8.290649
268.0139, 5.278320
268.4960, 3.120850
268.9781, 1.880005
269.4602, 1.092651
269.9424, 0.6169430
270.4245, 0.3779300
270.9066, 0.1578370
271.3887, 1.141357
271.8708, 2.439453
272.3529, 4.160156
272.8351, 6.196533
273.3172, 7.742188
273.7993, 8.485229
274.2814, 8.305542
274.7635, 7.161255
275.2456, 4.272217
275.7278, 1.367676
276.2099, 7.6660000E-02
276.6920, 0.2532960
277.1741, 0.7852780
277.6562, 2.599976
278.1383, 5.151001
278.6205, 7.111572
279.1026, 8.170532
279.5847, 9.367188
280.0668, 11.31763
280.5489, 13.99084
281.0310, 17.15881
281.5132, 20.76477
281.9953, 24.85791
282.4774, 29.52393
282.9595, 34.89941
283.4416, 40.02698
283.9237, 44.09583
284.4059, 47.35535
284.8880, 50.90503
285.3701, 54.98926
285.8522, 59.45898
286.3343, 64.04773
286.8164, 68.75391
287.2986, 73.86902
287.7807, 79.79187
288.2628, 86.29431
288.7449, 92.52515
289.2270, 98.28125
289.7091, 103.9611
290.1913, 109.9124
290.6734, 116.0796
291.1555, 122.4960
291.6376, 129.2798
292.1197, 136.2695
292.6018, 143.2278
293.0840, 150.1288
293.5661, 156.9060
294.0482, 163.5302
294.5303, 169.9847
295.0124, 176.3130
295.4945, 182.2853
295.9767, 188.2021
296.4588, 194.6724
296.9409, 201.8618
297.4230, 209.1058
297.9051, 216.5033
298.3872, 223.6692
298.8694, 230.0085
299.3515, 235.0881
299.8336, 239.8177
300.3157, 245.5720
300.7978, 252.6102
301.2799, 259.3313
301.7621, 264.9236
302.2442, 270.0270
302.7263, 275.2744
303.2084, 280.8430
303.6905, 286.1959
304.1726, 290.7222
304.6548, 294.3748
305.1369, 298.0280
305.6190, 302.1146
306.1011, 306.1007
306.5832, 309.5792
307.0653, 312.5287
307.5475, 315.1617
308.0296, 317.6233
308.5117, 319.9097
308.9938, 322.0391
309.4759, 324.2003
309.9580, 325.9221
310.4402, 326.9120
310.9223, 327.2458
311.4044, 327.2257
311.8865, 327.1686
312.3686, 326.9355
312.8507, 325.8275
313.3329, 323.3486
313.8150, 320.7910
314.2971, 319.1533
314.7792, 317.8971
315.2613, 315.9861
315.7434, 312.7334
316.2256, 308.6609
316.7077, 305.0549
317.1898, 302.2974
317.6719, 298.8165
318.1540, 293.2831
318.6361, 286.9197
319.1183, 281.0236
319.6004, 276.0244
320.0825, 271.4231
320.5646, 266.8517
321.0467, 262.4965
321.5288, 256.9756
322.0110, 248.7056
322.4931, 239.7445
322.9752, 231.7554
323.4573, 225.0375
323.9394, 218.5867
324.4215, 211.3849
324.9037, 203.4929
325.3858, 195.9233
325.8679, 189.1132
326.3500, 182.3812
326.8321, 175.2589
327.3142, 167.7819
327.7964, 160.2640
328.2785, 152.8552
328.7606, 145.5558
329.2427, 138.3113
329.7248, 131.0114
330.2069, 123.9462
330.6891, 117.5729
331.1712, 111.5468
331.6533, 105.0463
332.1354, 97.28625
332.6175, 89.12048
333.0996, 82.33301
333.5818, 77.11780
334.0639, 72.44250
334.5460, 68.17773
335.0281, 64.01355
335.5102, 59.49280
335.9923, 54.18506
336.4745, 49.01489
336.9566, 45.32178
337.4387, 43.23547
337.9208, 40.60022
338.4029, 35.95984
338.8850, 31.01233
339.3671, 27.61780
339.8492, 26.00537
340.3314, 24.52283
340.8135, 21.73926
341.2956, 17.88574
341.7777, 14.59448
342.2598, 12.39111
342.7419, 10.48474
343.2241, 8.020752
343.7062, 5.144531
344.1883, 2.685791
344.6704, 1.049805
345.1525, 9.8389000E-02
345.6346, 0.3438720
346.1168, 0.1339110
346.5989, 9.1430999E-02
347.0810, 0.2647710
347.5631, 0.9155270
348.0452, 1.335327
348.5273, 1.050049
349.0095, 0.7789310
349.4916, 1.560547
349.9737, 3.418579
350.4558, 4.994385
350.9379, 5.593018
351.4200, 5.537109
351.9022, 5.404663
352.3843, 5.214478
352.8664, 4.953979
353.3485, 4.510864
353.8306, 3.960938
354.3127, 3.729126
354.7949, 4.214355
355.2770, 4.574341
355.7591, 3.559082
356.2412, 1.215088
356.7233, 1.037842
357.2054, 2.931152
357.6876, 4.344360
358.1697, 4.802490
358.6518, 4.093506
359.1339, 3.505005
359.6160, 4.233398
360.0981, 6.102051
360.5803, 8.106201
361.0624, 10.21680
361.5445, 12.35449
362.0266, 14.29797
362.5087, 16.11682
362.9908, 18.33459
363.4730, 21.36499
363.9551, 24.94031
364.4372, 28.26001
364.9193, 31.33289
365.4014, 34.15332
365.8835, 36.20569
366.3657, 38.03540
366.8478, 40.88733
367.3299, 45.26331
367.8120, 50.36536
368.2941, 54.92896
368.7762, 58.71545
369.2584, 63.01953
369.7405, 68.33215
370.2226, 74.03650
370.7047, 79.38428
371.1868, 84.35352
371.6689, 89.60840
372.1511, 95.76562
372.6332, 102.9023
373.1153, 110.4424
373.5974, 119.1947
374.0795, 127.5935
374.5616, 134.3445
375.0438, 140.1168
375.5259, 146.7444
376.0080, 155.2272
376.4901, 165.1548
376.9722, 175.0759
377.4543, 184.9789
377.9365, 194.8510
378.4186, 204.1898
378.9007, 213.7197
379.3828, 224.2263
379.8649, 235.9116
380.3470, 248.3545
380.8292, 260.9800
381.3113, 273.8949
381.7934, 286.8282
382.2755, 299.4530
382.7576, 312.3860
383.2397, 325.9081
383.7219, 340.0627
384.2040, 354.6619
384.6861, 369.5436
385.1682, 384.7198
385.6503, 399.8854
386.1324, 415.4424
386.6146, 430.4937
387.0967, 444.1473
387.5788, 457.3455
388.0609, 471.3926
388.5430, 486.7977
389.0251, 503.0225
389.5073, 519.1467
389.9894, 535.3931
390.4715, 551.0587
390.9536, 566.0969
391.4357, 580.6158
391.9178, 594.5615
392.4000, 608.0076
392.8821, 621.3835
393.3642, 635.3542
393.8463, 649.9961
394.3284, 663.0320
394.8105, 673.4015
395.2927, 683.3743
395.7748, 694.0339
396.2569, 704.7740
396.7390, 714.6499
397.2211, 723.1816
397.7032, 730.6021
398.1854, 737.4702
398.6675, 744.0684
399.1496, 749.3285
399.6317, 752.7559
400.1138, 754.8787
400.5959, 755.8909
401.0781, 755.8452
401.5602, 754.9199
402.0423, 753.2874
402.5244, 750.9565
403.0065, 747.7897
403.4886, 743.8289
403.9708, 738.8789
404.4529, 732.7664
404.9350, 725.6940
405.4171, 718.1216
405.8992, 710.5809
406.3813, 702.5785
406.8635, 693.1050
407.3456, 682.0115
407.8277, 670.2891
408.3098, 658.4150
408.7919, 646.0352
409.2740, 632.5846
409.7562, 617.5897
410.2383, 602.6101
410.7204, 588.6106
411.2025, 575.2361
411.6846, 561.3331
412.1667, 546.5031
412.6489, 531.2684
413.1310, 516.1069
413.6131, 500.9316
414.0952, 486.0798
414.5773, 471.1217
415.0594, 456.7267
415.5416, 444.0549
416.0237, 432.9517
416.5058, 421.7787
416.9879, 409.4523
417.4700, 396.1714
417.9521, 383.0031
418.4343, 369.0912
418.9164, 356.2065
419.3985, 345.0837
419.8806, 335.1514
420.3627, 325.8599
420.8448, 316.9567
421.3270, 308.0492
421.8091, 298.5297
422.2912, 288.1328
422.7733, 278.1971
423.2554, 269.0895
423.7375, 260.1198
424.2197, 250.7672
424.7018, 241.2288
425.1839, 232.2107
425.6660, 224.2670
426.1481, 217.2983
426.6302, 210.3325
427.1124, 203.4141
427.5945, 196.5573
428.0766, 189.2565
428.5587, 182.3021
429.0408, 176.4988
429.5229, 172.0817
430.0051, 168.4567
430.4872, 164.9166
430.9693, 161.6025
431.4514, 157.9084
431.9335, 153.2482
432.4156, 148.6836
432.8978, 144.4650
433.3799, 140.6788
433.8620, 137.4376
434.3441, 135.0919
434.8262, 133.1499
435.3083, 129.9866
435.7905, 124.9718
436.2726, 120.5137
436.7547, 117.9481
437.2368, 116.0469
437.7189, 113.7275
438.2010, 110.7585
438.6832, 107.8297
439.1653, 105.6229
439.6474, 104.0065
440.1295, 102.2054
440.6116, 100.0100
441.0938, 97.79944
441.5759, 95.85022
442.0580, 94.14050
442.5401, 92.65918
443.0222, 91.88025
443.5043, 91.00952
443.9865, 89.10083
444.4686, 86.25745
444.9507, 83.30298
445.4328, 80.52258
445.9149, 77.96765
446.3970, 75.82092
446.8792, 74.23975
447.3613, 72.55701
447.8434, 70.60278
448.3255, 68.44580
448.8076, 66.08813
449.2897, 63.53723
449.7719, 61.03125
450.2540, 58.80994
450.7361, 56.88110
451.2182, 54.88147
451.7003, 52.72144
452.1824, 50.60522
452.6646, 48.71960
453.1467, 46.89136
453.6288, 44.90149
454.1109, 42.64282
454.5930, 40.10059
455.0751, 37.13330
455.5573, 33.12732
456.0394, 29.92639
456.5215, 27.51660
457.0036, 25.76379
457.4857, 25.15601
457.9678, 25.22400
458.4500, 24.57495
458.9321, 21.90967
459.4142, 17.71228
459.8963, 14.88049
460.3784, 14.16516
460.8605, 13.53308
461.3427, 12.77246
461.8248, 11.63513
462.3069, 9.659424
462.7890, 6.734619
463.2711, 3.747681
463.7532, 1.589111
464.2354, 0.2130130
464.7175, 0.7375490
465.1996, 1.079590
465.6817, 1.342529
466.1638, 1.871460
466.6459, 2.614258
467.1281, 3.469849
467.6102, 4.607666
468.0923, 5.662720
468.5744, 6.074219
469.0565, 5.929077
469.5386, 6.015991
470.0208, 6.757080
470.5029, 7.754150
470.9850, 8.315796
471.4671, 8.465088
471.9492, 8.334717
472.4313, 7.766602
472.9135, 7.052612
473.3956, 6.498535
473.8777, 6.126831
474.3598, 5.816650
474.8419, 5.508057
475.3240, 5.172852
475.8062, 4.562622
476.2883, 3.675415
476.7704, 2.538696
477.2525, 1.303101
477.7346, 0.2561040
478.2167, 2.557739
478.6989, 5.658569
479.1810, 8.970947
479.6631, 11.75562
480.1452, 13.86157
480.6273, 16.13013
481.1094, 18.44641
481.5916, 21.02673
482.0737, 24.03564
482.5558, 27.33789
483.0379, 30.66260
483.5200, 33.86938
484.0021, 37.16528
484.4843, 41.11255
484.9664, 45.97327
485.4485, 50.31738
485.9306, 53.49902
486.4127, 56.37585
486.8948, 59.43701
487.3770, 62.70459
487.8591, 66.06653
488.3412, 69.38281
488.8233, 72.76636
489.3054, 76.65332
489.7875, 81.13867
490.2697, 84.98267
490.7518, 86.98816
491.2339, 88.25708
491.7160, 91.16846
492.1981, 96.40894
492.6802, 101.2449
493.1624, 104.0941
493.6445, 105.9641
494.1266, 108.3274
494.6087, 111.4637
495.0908, 114.8038
495.5729, 117.8442
496.0551, 120.5920
496.5372, 123.5942
497.0193, 127.4384
497.5014, 130.8452
497.9835, 133.0510
498.4656, 134.7803
498.9478, 137.0911
499.4299, 140.2914
499.9120, 143.8219
500.3941, 146.8533
500.8762, 149.1982
501.3583, 151.8625
501.8405, 155.1299
502.3226, 158.4504
502.8047, 161.7516
503.2868, 164.9565
503.7689, 167.9401
504.2510, 170.6636
504.7331, 173.0830
505.2152, 175.0691
505.6974, 176.5422
506.1795, 177.8850
506.6616, 179.0831
507.1437, 180.3195
507.6258, 181.7582
508.1079, 183.3285
508.5901, 184.7476
509.0722, 185.8031
509.5543, 186.6652
510.0364, 187.7845
510.5185, 189.2205
511.0006, 190.3026
511.4828, 190.7499
511.9649, 190.6001
512.4470, 189.8374
512.9291, 188.2468
513.4113, 186.8633
513.8934, 185.9050
514.3755, 185.3058
514.8576, 185.2660
515.3397, 185.6510
515.8218, 185.7406
516.3040, 184.9963
516.7861, 183.4792
517.2682, 181.6506
517.7503, 179.5393
518.2324, 177.0491
518.7145, 173.7063
519.1967, 170.2289
519.6788, 167.2733
520.1609, 164.9369
520.6430, 162.9000
521.1251, 161.0024
521.6072, 159.2032
522.0894, 156.4880
522.5715, 152.3730
523.0536, 148.1722
523.5357, 144.4033
524.0178, 140.7448
524.4999, 136.7960
524.9821, 132.4244
525.4642, 127.9584
525.9463, 123.5217
526.4284, 119.2616
526.9105, 115.7899
527.3926, 113.5148
527.8748, 111.0103
528.3569, 106.9218
528.8390, 101.7029
529.3211, 96.82202
529.8032, 92.88306
530.2853, 88.86694
530.7675, 83.83215
531.2496, 78.39429
531.7317, 73.92395
532.2138, 70.81555
532.6959, 68.09888
533.1780, 64.50464
533.6602, 59.74939
534.1423, 56.02014
534.6244, 53.98083
535.1065, 52.09058
535.5886, 49.93347
536.0707, 47.55359
536.5529, 44.99377
537.0350, 42.26477
537.5171, 39.48401
537.9992, 36.87939
538.4813, 34.45361
538.9634, 32.20447
539.4456, 29.96265
539.9277, 28.13245
540.4098, 26.99951
540.8919, 26.37476
541.3740, 25.98474
541.8561, 25.89709
542.3383, 25.61926
542.8204, 24.36694
543.3025, 22.25549
543.7846, 20.38940
544.2667, 19.06372
544.7488, 18.01514
545.2310, 17.06299
545.7131, 16.18408
546.1952, 15.12183
546.6773, 13.67590
547.1594, 12.18762
547.6415, 10.76978
548.1237, 9.490479
548.6058, 8.549683
549.0879, 8.047485
549.5700, 7.641724
550.0521, 6.658691
550.5342, 4.473022
551.0164, 3.700684
551.4985, 5.687622
551.9806, 7.497070
552.4627, 7.905518
552.9448, 7.178833
553.4269, 5.940308
553.9091, 4.457764
554.3912, 2.848022
554.8733, 1.290894
555.3554, 0.2327880
555.8375, 1.670776
556.3196, 3.247681
556.8018, 4.455322
557.2839, 4.855103
557.7660, 4.668945
558.2481, 4.497681
558.7302, 4.492432
559.2123, 4.665771
559.6945, 5.070801
560.1766, 5.674805
560.6587, 6.354370
561.1408, 7.101318
561.6229, 7.804810
562.1050, 8.375732
562.5872, 8.821655
563.0693, 8.871338
563.5514, 8.113892
564.0335, 7.366943
564.5156, 7.339722
564.9977, 7.560303
565.4799, 7.116699
565.9620, 5.652222
566.4441, 3.598389
566.9262, 1.527222
567.4083, 0.7109380
567.8904, 2.331421
568.3726, 2.473633
568.8547, 2.868530
569.3368, 4.216309
569.8189, 6.184204
570.3010, 8.232788
570.7831, 10.21240
571.2653, 12.05713
571.7474, 13.58789
572.2295, 14.86267
572.7116, 16.39587
573.1937, 18.22424
573.6758, 20.40894
574.1580, 23.03186
574.6401, 26.07141
575.1222, 29.45752
575.6043, 33.76721
576.0864, 37.76379
576.5685, 40.23901
577.0507, 42.14185
577.5328, 45.18457
578.0149, 49.75354
578.4970, 54.81409
578.9791, 59.29370
579.4612, 63.17542
579.9434, 66.92749
580.4255, 69.78992
580.9076, 73.44702
581.3897, 78.75391
581.8718, 84.77075
582.3539, 90.47925
582.8361, 95.67114
583.3182, 100.7136
583.8003, 105.8464
584.2824, 111.1338
584.7645, 116.9398
585.2466, 123.2578
585.7288, 130.2043
586.2108, 138.3719
586.6929, 146.9779
587.1750, 154.6682
587.6572, 161.1031
588.1393, 167.6826
588.6214, 175.0690
589.1035, 182.9496
589.5856, 190.9236
590.0677, 198.9500
590.5499, 206.9906
591.0320, 215.0134
591.5141, 223.1168
591.9962, 231.5707
592.4783, 240.6536
592.9604, 249.6562
593.4426, 258.3805
593.9247, 267.1879
594.4068, 276.5034
594.8889, 286.1460
595.3710, 295.5615
595.8531, 304.2324
596.3353, 312.6447
596.8174, 322.0253
597.2995, 332.3693
597.7816, 343.6721
598.2637, 357.0690
598.7458, 370.1665
599.2280, 380.9392
599.7101, 389.6639
600.1922, 397.9683
600.6743, 405.2556
601.1564, 413.2469
601.6385, 424.1553
602.1207, 437.0145
602.6028, 448.9530
603.0849, 458.9236
603.5670, 468.1191
604.0491, 477.9871
604.5313, 488.5732
605.0134, 499.5177
605.4955, 511.4979
605.9776, 523.0353
606.4597, 533.5503
606.9418, 543.4384
607.4240, 552.9742
607.9061, 562.2693
608.3882, 571.5499
608.8703, 581.2817
609.3524, 591.4131
609.8345, 600.5664
610.3167, 608.1230
610.7988, 616.1094
611.2809, 626.0803
611.7630, 636.8130
612.2451, 646.7759
612.7272, 655.8224
613.2094, 664.0531
613.6915, 671.1074
614.1736, 677.5988
614.6557, 684.1367
615.1378, 690.9010
615.6199, 698.1105
616.1021, 705.9609
616.5842, 714.0321
617.0663, 720.9979
617.5484, 725.8158
618.0305, 731.3124
618.5126, 738.6691
618.9948, 745.5109
619.4769, 750.0581
619.9590, 753.0073
620.4411, 756.1322
620.9232, 760.4166
621.4053, 765.1503
621.8875, 769.1814
622.3696, 772.4736
622.8517, 775.5140
623.3338, 778.4209
623.8159, 781.1989
624.2980, 783.9805
624.7802, 786.6310
625.2623, 788.5452
625.7444, 789.0657
626.2265, 789.4550
626.7086, 790.5232
627.1907, 791.7318
627.6729, 792.3569
628.1550, 792.2526
628.6371, 791.5746
629.1192, 790.4324
629.6013, 788.8514
630.0834, 787.1011
630.5656, 785.0632
631.0477, 783.0181
631.5298, 781.3984
632.0119, 779.4902
632.4940, 776.5361
632.9761, 772.6844
633.4583, 768.9086
633.9404, 765.8337
634.4225, 763.1553
634.9046, 760.6716
635.3867, 758.2881
635.8688, 755.0115
636.3510, 750.4005
636.8331, 745.2386
637.3152, 740.4634
637.7973, 736.1134
638.2794, 731.1283
638.7615, 724.9637
639.2437, 718.6875
639.7258, 712.9122
640.2079, 707.1021
640.6900, 700.7173
641.1721, 693.6293
641.6542, 685.8843
642.1364, 677.2727
642.6185, 667.7922
643.1006, 658.7158
643.5827, 650.4738
644.0648, 641.9065
644.5469, 632.4149
645.0291, 622.4777
645.5112, 612.4940
645.9933, 602.5295
646.4754, 592.2532
646.9575, 581.2570
647.4396, 570.0695
647.9218, 559.5396
648.4039, 549.3789
648.8860, 538.3671
649.3681, 525.9635
649.8502, 512.8812
650.3323, 500.0619
650.8145, 487.5459
651.2966, 475.0997
651.7787, 462.1956
652.2608, 449.9935
652.7429, 439.5338
653.2250, 429.6969
653.7072, 419.1353
654.1893, 407.4707
654.6714, 395.5553
655.1535, 384.1128
655.6356, 373.0686
656.1177, 361.9175
656.5999, 350.5825
