##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
259.6720, 44.47266
260.1541, 28.39062
260.6362, 65.83203
261.1183, 79.41016
261.6005, 68.71875
262.0826, 33.41797
262.5647, 3.562500
263.0468, 10.25781
263.5289, 18.14453
264.0110, 39.53516
264.4932, 47.26172
264.9753, 42.48047
265.4574, 17.39453
265.9395, 27.11328
266.4216, 64.42188
266.9037, 55.98438
267.3859, 8.988281
267.8680, 11.01562
268.3501, 117.4219
268.8322, 219.2578
269.3143, 216.9062
269.7964, 130.3555
270.2786, 69.63281
270.7607, 124.0703
271.2428, 248.9961
271.7249, 322.7227
272.2070, 330.8438
272.6891, 301.6016
273.1713, 231.5781
273.6534, 138.3867
274.1355, 64.32422
274.6176, 19.74219
275.0997, 2.730469
275.5818, 24.49219
276.0640, 90.01562
276.5461, 139.7070
277.0282, 119.6250
277.5103, 60.23047
277.9924, 39.20703
278.4745, 81.56250
278.9566, 144.2461
279.4388, 207.7891
279.9209, 269.0898
280.4030, 308.1641
280.8851, 313.8008
281.3672, 293.1602
281.8493, 265.4570
282.3315, 229.5039
282.8136, 190.8633
283.2957, 148.8828
283.7778, 106.4023
284.2599, 68.28906
284.7420, 35.45312
285.2242, 12.37891
285.7063, 10.07031
286.1884, 37.52344
286.6705, 58.31641
287.1526, 80.34375
287.6347, 87.87109
288.1169, 44.56641
288.5990, 50.90625
289.0811, 130.6875
289.5632, 111.7305
290.0453, 40.69922
290.5274, 123.4258
291.0096, 83.74609
291.4917, 24.87109
291.9738, 2.109375
292.4559, 14.68359
292.9380, 36.76953
293.4201, 50.00781
293.9023, 53.80469
294.3844, 48.05859
294.8665, 1.742188
295.3486, 24.80078
295.8307, 27.59766
296.3128, 112.6055
296.7950, 156.5273
297.2771, 118.3203
297.7592, 29.59766
298.2413, 8.921875
298.7234, 37.44141
299.2055, 87.13672
299.6877, 140.6055
300.1698, 189.7734
300.6519, 226.0586
301.1340, 247.5664
301.6161, 261.0195
302.0982, 278.5312
302.5804, 307.1719
303.0625, 317.7344
303.5446, 281.3047
304.0267, 249.0391
304.5088, 249.2344
304.9909, 281.5273
305.4731, 327.1250
305.9552, 383.0273
306.4373, 447.6641
306.9194, 463.1797
307.4015, 380.9102
307.8836, 315.5391
308.3658, 329.0781
308.8479, 398.0781
309.3300, 473.7383
309.8121, 542.4531
310.2942, 596.3750
310.7763, 618.0000
311.2585, 603.4023
311.7406, 570.0312
312.2227, 505.5430
312.7048, 433.8516
313.1869, 386.1211
313.6690, 373.4688
314.1512, 373.3281
314.6333, 356.2500
315.1154, 327.9375
315.5975, 340.3008
316.0796, 439.6211
316.5617, 558.2070
317.0439, 589.0352
317.5260, 515.7617
318.0081, 453.3984
318.4902, 476.5234
318.9723, 532.5781
319.4544, 518.0312
319.9365, 406.3945
320.4186, 287.8164
320.9008, 259.0273
321.3829, 330.6953
321.8650, 404.2188
322.3471, 501.0156
322.8292, 580.6445
323.3113, 611.9883
323.7935, 597.5547
324.2756, 551.1250
324.7577, 472.5117
325.2398, 370.6250
325.7219, 348.9414
326.2040, 507.0742
326.6862, 619.4453
327.1683, 596.9531
327.6504, 501.2500
328.1325, 421.3438
328.6146, 396.0078
329.0967, 409.1719
329.5789, 427.0000
330.0610, 453.8320
330.5431, 478.4258
331.0252, 509.7305
331.5073, 533.1055
331.9894, 533.7891
332.4716, 512.2695
332.9537, 484.9844
333.4358, 469.0234
333.9179, 465.4375
334.4000, 465.7891
334.8821, 470.5156
335.3643, 479.3906
335.8464, 489.3750
336.3285, 503.3086
336.8106, 530.8828
337.2927, 592.1914
337.7748, 661.3477
338.2570, 644.7344
338.7391, 488.8945
339.2212, 390.5391
339.7033, 497.4453
340.1854, 676.9336
340.6675, 796.8555
341.1497, 825.9727
341.6318, 794.6172
342.1139, 684.2812
342.5960, 512.8906
343.0781, 444.6719
343.5602, 573.1641
344.0424, 760.0664
344.5245, 830.0664
345.0066, 782.2773
345.4887, 727.9688
345.9708, 708.4727
