##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
328.3228, 2071.791
328.8049, 2080.437
329.2870, 2089.678
329.7692, 2096.970
330.2513, 2102.454
330.7334, 2107.689
331.2155, 2113.184
331.6976, 2118.963
332.1797, 2125.244
332.6619, 2132.291
333.1440, 2139.147
333.6261, 2144.682
334.1082, 2149.381
334.5903, 2154.445
335.0724, 2159.618
335.5546, 2165.606
336.0367, 2174.329
336.5188, 2186.168
337.0009, 2196.275
337.4830, 2200.477
337.9651, 2201.467
338.4473, 2204.268
338.9294, 2209.724
339.4115, 2216.595
339.8936, 2224.972
340.3757, 2234.481
340.8578, 2241.739
341.3400, 2244.437
341.8221, 2245.363
342.3042, 2248.865
342.7863, 2255.267
343.2684, 2262.193
343.7505, 2268.478
344.2327, 2274.428
344.7148, 2280.899
345.1969, 2288.246
345.6790, 2295.661
346.1611, 2301.600
346.6432, 2306.361
347.1254, 2312.631
347.6075, 2322.319
348.0896, 2333.290
348.5717, 2342.923
349.0538, 2351.031
349.5359, 2358.211
350.0181, 2364.799
350.5002, 2370.787
350.9823, 2376.352
351.4644, 2380.193
351.9465, 2384.706
352.4286, 2392.201
352.9108, 2402.053
353.3929, 2411.437
353.8750, 2418.952
354.3571, 2425.113
354.8392, 2431.235
355.3214, 2437.302
355.8035, 2443.357
356.2856, 2449.344
356.7677, 2455.326
357.2498, 2461.225
357.7319, 2466.928
358.2141, 2473.130
358.6962, 2481.344
359.1783, 2492.141
359.6604, 2501.340
360.1425, 2507.477
360.6246, 2512.483
361.1068, 2517.542
361.5889, 2522.989
362.0710, 2529.771
362.5531, 2539.081
363.0352, 2550.890
363.5173, 2560.988
363.9995, 2568.832
364.4816, 2575.748
364.9637, 2581.888
365.4458, 2587.550
365.9279, 2593.270
366.4100, 2599.232
366.8922, 2605.629
367.3743, 2613.080
367.8564, 2622.263
368.3385, 2631.445
368.8206, 2640.748
369.3027, 2649.789
369.7849, 2658.132
370.2670, 2665.612
370.7491, 2672.220
371.2312, 2677.671
371.7133, 2680.761
372.1954, 2686.535
372.6776, 2697.584
373.1597, 2708.907
373.6418, 2717.758
374.1239, 2724.028
374.6060, 2728.639
375.0881, 2732.051
375.5703, 2734.362
376.0524, 2739.233
376.5345, 2750.242
377.0166, 2759.718
377.4987, 2764.822
377.9808, 2767.643
378.4630, 2771.324
378.9451, 2777.317
379.4272, 2784.727
379.9093, 2791.372
380.3914, 2796.347
380.8735, 2802.141
381.3557, 2810.060
381.8378, 2817.874
382.3199, 2823.334
382.8020, 2826.514
383.2841, 2829.813
383.7662, 2836.245
384.2484, 2846.546
384.7305, 2854.905
385.2126, 2859.781
385.6947, 2864.099
