##NAMES=Vlodavetsite
##RRUFFID=R070736
##IDEAL CHEMISTRY=Ca_2_Al(S^6+^O_4_)_2_F_2_Cl&#183;4H_2_O
##LOCALITY=Tolbachik volcano, Kamchatka Oblast', Far-Eastern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless vitreous massive, rarely in irregular plates associated with calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070736
259.4590, 247.5762
259.9411, 225.0938
260.4232, 230.5703
260.9053, 286.6211
261.3875, 327.3301
261.8696, 304.1172
262.3517, 171.9980
262.8338, 121.9727
263.3159, 193.2578
263.7980, 345.3906
264.2802, 437.6582
264.7623, 451.6602
265.2444, 442.4688
265.7265, 441.6562
266.2086, 450.8555
266.6907, 457.6133
267.1729, 454.0801
267.6550, 447.1055
268.1371, 470.2305
268.6192, 535.6250
269.1013, 601.5078
269.5834, 639.3711
270.0656, 645.2871
270.5477, 636.7207
271.0298, 609.4258
271.5119, 569.7617
271.9940, 552.1836
272.4761, 568.7422
272.9583, 566.3145
273.4404, 487.1094
273.9225, 308.3262
274.4046, 200.3555
274.8867, 205.3164
275.3688, 295.1426
275.8510, 343.2090
276.3331, 337.2930
276.8152, 314.7734
277.2973, 313.4824
277.7794, 337.7070
278.2615, 343.8281
278.7437, 316.7598
279.2258, 265.8574
279.7079, 229.7676
280.1900, 205.6777
280.6721, 203.9551
281.1542, 257.4492
281.6364, 370.2715
282.1185, 428.3711
282.6006, 390.0742
283.0827, 282.6699
283.5648, 217.8945
284.0469, 201.5840
284.5291, 198.5703
285.0112, 163.1426
285.4933, 97.29297
285.9754, 73.44336
286.4575, 126.5742
286.9396, 230.1602
287.4217, 293.4434
287.9038, 313.1445
288.3860, 310.8711
288.8681, 301.7793
289.3502, 285.7949
289.8323, 269.0449
290.3144, 249.9961
290.7965, 231.7578
291.2787, 230.1387
291.7608, 246.9629
292.2429, 261.4160
292.7250, 245.0840
293.2071, 203.0273
293.6892, 158.4395
294.1714, 120.7656
294.6535, 86.29297
295.1356, 37.75195
295.6177, 25.68945
296.0998, 69.74609
296.5819, 38.72266
297.0641, 43.71875
297.5462, 96.19141
298.0283, 70.27930
298.5104, 10.87695
298.9925, 6.687500
299.4746, 17.65820
299.9568, 56.28516
300.4389, 93.54688
300.9210, 126.3047
301.4031, 148.6914
301.8852, 147.9258
302.3673, 140.0859
302.8495, 147.1855
303.3316, 168.2324
303.8137, 192.1172
304.2958, 210.0586
304.7779, 223.7617
305.2600, 236.1367
305.7422, 253.2188
306.2243, 265.9258
306.7064, 256.4844
307.1885, 226.7812
307.6706, 210.2617
308.1527, 261.6016
308.6349, 334.2930
309.1170, 363.2461
309.5991, 280.0508
310.0812, 178.4062
310.5633, 127.1289
311.0454, 126.8359
311.5276, 141.9375
312.0097, 155.5820
312.4918, 167.2109
312.9739, 179.1680
313.4560, 206.0547
313.9381, 221.4102
314.4203, 193.5898
314.9024, 128.5039
315.3845, 93.06641
315.8666, 151.5742
316.3487, 236.0742
316.8308, 279.7148
317.3130, 233.0391
317.7951, 168.6328
318.2772, 93.73828
318.7593, 13.04297
319.2414, 20.72656
319.7235, 54.01562
320.2057, 160.2812
320.6878, 237.1094
321.1699, 271.4062
321.6520, 274.7930
322.1341, 225.4414
322.6162, 132.0000
323.0984, 79.04688
323.5805, 136.9844
324.0626, 209.8398
324.5447, 232.9531
325.0268, 116.0547
325.5089, 39.41016
325.9911, 46.76953
326.4732, 129.4258
326.9553, 194.0820
327.4374, 214.2930
327.9195, 227.8789
328.4016, 256.6758
328.8838, 309.1914
329.3659, 364.5586
329.8480, 434.4844
330.3301, 510.6328
330.8122, 543.7344
331.2943, 498.4453
331.7765, 446.9961
332.2586, 427.2773
332.7407, 469.5586
333.2228, 496.1562
333.7049, 500.3867
334.1870, 486.4883
334.6692, 473.0742
335.1513, 471.0273
335.6334, 453.7188
336.1155, 397.4375
336.5976, 276.1641
337.0797, 201.4570
337.5619, 193.4766
338.0440, 229.9062
338.5261, 243.5391
339.0082, 223.8203
339.4903, 212.0781
339.9724, 241.3164
340.4546, 317.8984
340.9367, 355.2891
341.4188, 341.1133
341.9009, 295.7266
342.3830, 261.6172
342.8651, 240.7930
343.3473, 218.5273
343.8294, 187.2070
344.3115, 148.0859
344.7936, 106.9883
345.2757, 60.73828
345.7578, 23.33594
346.2400, 20.46875
346.7221, 50.87500
347.2042, 88.36719
347.6863, 139.1289
348.1684, 187.9414
348.6505, 166.3438
349.1327, 55.78906
349.6148, 52.68750
350.0969, 22.31641
350.5790, 115.1367
351.0611, 239.0078
351.5432, 282.1406
352.0254, 277.2734
352.5075, 274.1484
352.9896, 274.3242
353.4717, 272.1250
353.9538, 256.5469
354.4359, 238.4180
354.9181, 230.9102
