##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
203.3410, 14.89307
203.8231, 15.07178
204.3052, 14.70483
204.7874, 13.62305
205.2695, 12.71484
205.7516, 12.50732
206.2337, 13.16357
206.7158, 13.46021
207.1979, 13.28687
207.6801, 12.84985
208.1622, 12.80176
208.6443, 13.52832
209.1264, 13.47754
209.6085, 11.41479
210.0906, 6.460449
210.5728, 3.784424
211.0549, 4.343994
211.5370, 6.604980
212.0191, 6.854980
212.5012, 4.075684
212.9833, 1.833984
213.4655, 2.528809
213.9476, 7.822510
214.4297, 9.486816
214.9118, 5.557617
215.3939, 1.121582
215.8760, 3.271729
216.3581, 0.9218750
216.8403, 5.952393
217.3224, 9.174316
217.8045, 10.03247
218.2866, 10.69189
218.7687, 11.00879
219.2508, 11.17017
219.7330, 11.81201
220.2151, 13.35205
220.6972, 14.47534
221.1793, 14.33740
221.6614, 12.10132
222.1435, 10.69775
222.6257, 10.34497
223.1078, 10.76318
223.5899, 11.35327
224.0720, 12.71167
224.5541, 13.28564
225.0362, 12.07056
225.5184, 7.905518
226.0005, 5.002930
226.4826, 3.819092
226.9647, 3.940186
227.4468, 4.251465
227.9289, 5.215820
228.4111, 5.742432
228.8932, 5.244385
229.3753, 3.023926
229.8574, 1.570068
230.3395, 1.267334
230.8216, 1.670654
231.3038, 1.547607
231.7859, 0.6481930
232.2680, 0.4677730
232.7501, 1.810547
233.2322, 3.824463
233.7143, 4.747070
234.1965, 4.116455
234.6786, 2.493408
235.1607, 0.9291990
235.6428, 0.3945310
236.1249, 1.489746
236.6070, 2.748779
237.0892, 4.760010
237.5713, 5.708740
238.0534, 5.029785
238.5355, 3.340088
239.0176, 2.322754
239.4997, 2.412842
239.9819, 2.481201
240.4640, 2.052979
240.9461, 1.016846
241.4282, 0.3269040
241.9103, 2.442139
242.3924, 4.640381
242.8746, 5.089111
243.3567, 2.344238
243.8388, 2.1729000E-02
244.3209, 0.1445310
244.8030, 3.303467
245.2851, 4.847656
245.7673, 3.626465
246.2494, 0.8151860
246.7315, 1.015381
247.2136, 1.370361
247.6957, 1.545410
248.1778, 2.172852
248.6600, 3.761230
249.1421, 4.079102
249.6242, 1.919434
250.1063, 0.8586430
250.5884, 0.2885740
251.0705, 5.895996
251.5527, 11.49731
252.0348, 14.04834
252.5169, 12.58350
252.9990, 11.54639
253.4811, 10.80615
253.9632, 10.49072
254.4454, 11.04565
254.9275, 13.22778
255.4096, 14.82520
255.8917, 14.90918
256.3738, 13.03516
256.8560, 11.72437
257.3381, 11.00439
257.8202, 10.78882
258.3023, 11.12231
258.7844, 12.56494
259.2665, 13.34302
259.7487, 12.72095
260.2308, 10.45093
260.7129, 8.634033
261.1950, 7.244141
261.6771, 6.311768
262.1592, 5.856201
262.6414, 5.809082
263.1235, 6.424072
263.6056, 8.011963
264.0877, 10.70068
264.5698, 12.67407
265.0519, 13.70337
265.5341, 14.32495
266.0162, 15.15698
266.4983, 16.23608
266.9804, 17.52197
267.4625, 19.52100
267.9446, 22.12842
268.4268, 21.65723
268.9089, 16.89917
269.3910, 11.48145
269.8731, 9.430664
270.3552, 11.71460
270.8373, 13.02637
271.3195, 11.79126
271.8016, 8.492432
272.2837, 7.274170
272.7658, 8.522217
273.2479, 10.44702
273.7300, 11.71655
274.2122, 12.56079
274.6943, 14.22778
275.1764, 17.54614
275.6585, 21.75903
276.1406, 22.20898
276.6227, 17.72070
277.1049, 13.41089
277.5870, 14.06445
278.0691, 20.19067
278.5512, 25.60205
279.0333, 29.42749
279.5154, 31.80127
279.9976, 32.82031
280.4797, 32.23926
280.9618, 31.60181
281.4439, 31.96997
281.9260, 33.33984
282.4081, 35.15088
282.8903, 37.65918
283.3724, 40.14160
283.8545, 40.31177
284.3366, 37.90137
284.8187, 36.11353
285.3008, 37.15869
285.7830, 40.88330
286.2651, 45.46826
286.7472, 51.21680
287.2293, 56.85620
287.7114, 59.80957
288.1935, 60.12476
288.6757, 60.05420
289.1578, 60.81421
289.6399, 62.19482
290.1220, 63.29590
290.6041, 64.05225
291.0862, 64.47632
291.5684, 64.59180
292.0505, 64.51733
292.5326, 64.63599
293.0147, 65.23267
293.4968, 66.13257
293.9789, 67.04028
294.4611, 68.02222
294.9432, 68.38794
295.4253, 66.63770
295.9074, 63.33203
296.3895, 60.89868
296.8716, 60.98901
297.3538, 62.51270
297.8359, 63.30469
298.3180, 63.36304
298.8001, 62.97900
299.2822, 62.15015
299.7643, 60.96143
300.2465, 59.82812
300.7286, 59.15039
301.2107, 58.82666
301.6928, 58.49365
302.1749, 58.01978
302.6570, 57.06665
303.1392, 55.36670
303.6213, 53.45264
304.1034, 52.04810
304.5855, 51.16357
305.0676, 50.76709
305.5497, 51.34424
306.0319, 52.68311
306.5140, 53.44312
306.9961, 51.85303
307.4782, 49.53027
307.9603, 48.45996
308.4424, 49.68872
308.9246, 51.51929
309.4067, 52.49023
309.8888, 52.83984
310.3709, 53.41357
310.8530, 55.19507
311.3351, 57.03052
311.8173, 58.02515
312.2994, 58.31958
312.7815, 57.46533
313.2636, 53.55640
313.7457, 48.48169
314.2278, 45.57056
314.7100, 48.60376
315.1921, 52.70630
315.6742, 55.00464
316.1563, 55.04102
316.6384, 54.44019
317.1205, 53.45728
317.6027, 52.37183
318.0848, 51.53809
318.5669, 51.55908
319.0490, 51.40356
319.5311, 50.38110
320.0132, 48.39966
320.4954, 46.99243
320.9775, 46.23901
321.4596, 46.38892
321.9417, 47.67773
322.4238, 51.85840
322.9059, 55.39014
323.3881, 57.55103
323.8702, 58.34204
324.3523, 58.22729
324.8344, 55.47632
325.3165, 53.03809
325.7986, 52.63428
326.2808, 57.75732
326.7629, 61.00342
327.2450, 60.35718
327.7271, 57.09424
328.2092, 56.23706
328.6913, 60.86768
329.1735, 65.23364
329.6556, 66.98364
330.1377, 64.11816
330.6198, 62.42505
331.1019, 62.69434
331.5840, 63.86646
332.0662, 63.82544
332.5483, 61.18262
333.0304, 59.24658
333.5125, 59.22876
333.9946, 61.50488
334.4767, 63.61011
334.9589, 65.69775
335.4410, 67.42407
335.9231, 68.23413
336.4052, 67.75684
336.8873, 67.39258
337.3694, 67.71582
337.8516, 68.65088
338.3336, 68.47290
338.8158, 66.92236
339.2979, 64.90649
339.7800, 63.22510
340.2621, 61.98853
340.7442, 60.56494
341.2263, 58.59521
341.7085, 56.55151
342.1906, 56.81445
342.6727, 59.91479
343.1548, 62.04053
343.6369, 59.51807
344.1190, 52.74292
344.6012, 48.19800
345.0833, 46.98486
345.5654, 47.47070
346.0475, 46.76611
346.5296, 44.94458
347.0117, 43.35596
347.4939, 42.94604
347.9760, 43.34961
348.4581, 43.56787
348.9402, 43.61890
349.4223, 43.09106
349.9044, 41.08057
350.3866, 37.99683
350.8687, 35.21802
351.3508, 33.71606
351.8329, 32.66089
352.3150, 30.38379
352.7971, 26.92920
353.2793, 24.00586
353.7614, 23.56323
354.2435, 24.37158
354.7256, 24.34033
355.2077, 22.14551
355.6898, 19.79663
356.1720, 19.20142
356.6541, 20.03735
357.1362, 20.90649
357.6183, 22.03809
358.1004, 22.29321
358.5826, 20.21777
359.0647, 14.44751
359.5468, 9.144287
360.0289, 6.875244
360.5110, 6.625244
360.9931, 6.457520
361.4753, 6.124756
361.9574, 5.292480
362.4395, 3.386475
362.9216, 3.8330000E-02
363.4037, 2.250732
363.8858, 1.322998
364.3680, 0.5083010
364.8501, 0.8041990
365.3322, 2.561523
365.8143, 5.795166
366.2964, 8.169678
366.7785, 9.647949
367.2607, 10.19727
367.7428, 9.686523
368.2249, 8.309570
368.7070, 6.120605
369.1891, 0.9687500
369.6712, 2.059082
370.1534, 1.483398
370.6355, 1.378662
371.1176, 2.290283
371.5997, 0.1521000
372.0818, 2.621338
372.5639, 3.506836
373.0461, 1.707275
373.5282, 1.914795
374.0103, 4.950928
374.4924, 9.141602
374.9745, 11.86377
375.4566, 12.67773
375.9388, 13.47290
376.4209, 14.93311
376.9030, 17.01318
377.3851, 18.26758
377.8672, 18.51538
378.3493, 18.73511
378.8315, 19.85107
379.3136, 21.91406
379.7957, 24.46411
380.2778, 27.48730
380.7599, 30.95752
381.2420, 35.07349
381.7242, 39.77637
382.2063, 44.34253
382.6884, 48.16650
383.1705, 51.38623
383.6526, 54.11328
384.1347, 56.03320
384.6169, 58.53369
385.0990, 64.44434
385.5811, 72.61304
386.0632, 79.14136
386.5453, 80.98047
387.0274, 80.69775
387.5096, 81.70679
387.9917, 84.05054
388.4738, 86.40234
388.9559, 86.96997
389.4380, 87.15601
389.9201, 88.84399
390.4023, 93.12793
390.8844, 98.57739
391.3665, 105.5786
391.8486, 113.3787
392.3307, 118.9272
392.8128, 117.9973
393.2950, 116.1167
393.7771, 117.1653
394.2592, 122.6577
394.7413, 128.5405
395.2234, 133.5603
395.7055, 138.0854
396.1877, 142.7043
396.6698, 149.0420
397.1519, 154.0408
397.6340, 156.2244
398.1161, 155.1550
398.5982, 155.0581
399.0804, 157.2937
399.5625, 160.0076
400.0446, 161.8584
400.5267, 161.9736
401.0088, 162.6584
401.4909, 164.5215
401.9731, 167.1941
402.4552, 168.9141
402.9373, 168.7234
403.4194, 169.1831
403.9015, 171.7854
404.3836, 177.2930
404.8658, 181.8750
405.3479, 185.4102
405.8300, 188.0671
406.3121, 189.9668
406.7942, 190.9868
407.2763, 191.8494
407.7585, 192.7708
408.2406, 193.6763
408.7227, 194.1821
409.2048, 194.2129
409.6869, 194.2339
410.1690, 194.8938
410.6512, 195.9817
411.1333, 196.2249
411.6154, 194.8228
412.0975, 193.5469
412.5796, 196.2620
413.0617, 202.0781
413.5439, 206.4023
414.0260, 205.1436
414.5081, 201.3857
414.9902, 199.7522
415.4723, 200.7424
415.9544, 201.7810
416.4366, 201.1409
416.9187, 199.1006
417.4008, 196.1006
417.8829, 190.6165
418.3650, 185.7756
418.8471, 183.7185
419.3293, 184.2344
419.8114, 185.1560
420.2935, 186.1179
420.7756, 186.6482
421.2577, 186.1956
421.7398, 183.9944
422.2220, 182.1128
422.7041, 182.3506
423.1862, 183.1580
423.6683, 181.6643
424.1504, 174.6428
424.6325, 168.1831
425.1147, 164.2498
425.5968, 163.0479
426.0789, 161.9561
426.5610, 161.4919
427.0431, 160.8447
427.5252, 159.0176
428.0074, 155.3184
428.4895, 152.0999
428.9716, 149.6755
429.4537, 147.8486
429.9358, 145.8594
430.4179, 143.7278
430.9001, 141.4189
431.3822, 139.0125
431.8643, 136.4622
432.3464, 133.3804
432.8285, 129.7285
433.3106, 125.9124
433.7928, 122.3110
434.2749, 119.0239
434.7570, 116.4534
435.2391, 115.0034
435.7212, 114.2244
436.2033, 113.3342
436.6855, 112.2788
437.1676, 110.1956
437.6497, 105.8291
438.1318, 100.2803
438.6139, 94.91626
439.0960, 89.63647
439.5782, 85.74463
440.0603, 85.63696
440.5424, 87.56079
441.0245, 88.25220
441.5066, 85.61865
441.9887, 81.91187
442.4709, 77.86035
442.9530, 73.56665
443.4351, 70.38672
443.9172, 70.61450
444.3993, 71.09106
444.8814, 69.47070
445.3636, 62.94946
445.8457, 57.49585
446.3278, 54.63037
446.8099, 53.41724
447.2920, 51.41797
447.7741, 47.36206
448.2563, 43.89551
448.7384, 42.19727
449.2205, 42.63452
449.7026, 41.82837
450.1847, 39.51685
450.6668, 36.37988
451.1490, 32.77148
451.6311, 28.27612
452.1132, 25.08154
452.5953, 23.88208
453.0774, 23.89453
453.5595, 22.74341
454.0417, 20.27783
454.5238, 17.92969
455.0059, 16.22607
455.4880, 15.19141
455.9701, 15.35083
456.4522, 16.89331
456.9344, 18.55054
457.4165, 19.05054
457.8986, 18.55591
458.3807, 17.47046
458.8628, 15.38599
459.3449, 13.35547
459.8271, 12.63477
460.3092, 13.04663
460.7913, 13.79028
461.2734, 14.96094
461.7555, 15.92090
462.2376, 15.92578
462.7198, 14.62744
463.2019, 13.58081
463.6840, 14.03662
