##NAMES=Stilpnomelane
##RRUFFID=R110195
##IDEAL CHEMISTRY=(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_&#183;nH_2_O
##LOCALITY=Broughton talc mine, Saint-Pierre-de-Broughton, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Aggregates of dark green plates, 180 deg twin around (-2 0 3) = [0 1 2].
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110195
262.6078, 3.061462
263.0900, 2.908325
263.5721, 2.560226
264.0542, 2.342583
264.5363, 2.273216
265.0184, 2.150833
265.5005, 1.823486
265.9827, 1.617096
266.4648, 2.191833
266.9469, 4.001213
267.4290, 5.248627
267.9111, 5.196609
268.3932, 3.777092
268.8754, 2.896713
269.3575, 2.471794
269.8396, 2.413521
270.3217, 2.595848
270.8038, 3.103905
271.2859, 3.517418
271.7681, 3.706276
272.2502, 3.675789
272.7323, 3.573334
273.2144, 3.361282
273.6965, 3.165749
274.1786, 3.154152
274.6608, 3.373230
275.1429, 3.538933
275.6250, 3.552269
276.1071, 3.439674
276.5892, 3.514091
277.0714, 3.852943
277.5535, 4.090157
278.0356, 3.740005
278.5177, 2.723213
278.9998, 1.999512
279.4819, 1.882782
279.9641, 2.207825
280.4462, 2.360519
280.9283, 2.279579
281.4104, 2.070816
281.8925, 1.604790
282.3746, 0.8715130
282.8568, 0.6997910
283.3389, 1.397873
283.8210, 2.608727
284.3031, 3.321152
284.7852, 3.497467
285.2673, 3.529716
285.7495, 3.685966
286.2316, 4.043526
286.7137, 4.247948
287.1958, 4.220222
287.6779, 4.041817
288.1600, 3.823059
288.6422, 3.621849
289.1243, 3.575974
289.6064, 3.821640
290.0885, 4.302444
290.5706, 4.758080
291.0527, 5.207863
291.5349, 5.524773
292.0170, 5.381340
292.4991, 4.821426
292.9812, 4.327782
293.4633, 4.272446
293.9454, 4.501892
294.4276, 4.499107
294.9097, 4.202515
295.3918, 3.837372
295.8739, 3.639595
