##NAMES=Pinakiolite
##RRUFFID=R050636
##IDEAL CHEMISTRY=(Mg,Mn^2+^)_2_(Mn^3+^,Sb^5+^)O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Dark-grey crystals embedded into matrix of calcite, dolomite and tephroite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050636
200.0195, 2.189247
200.5016, 1.857697
200.9837, 2.071636
201.4658, 2.181885
201.9479, 1.815304
202.4300, 1.472954
202.9122, 1.837173
203.3943, 3.007999
203.8764, 4.023552
204.3585, 4.014343
204.8406, 2.987804
205.3227, 1.951290
205.8048, 0.9428600
206.2870, 0.1812710
206.7691, 0.1320990
207.2512, 2.2082999E-02
207.7333, 0.4135740
208.2154, 0.8848270
208.6975, 1.482117
209.1797, 1.880184
209.6618, 1.988007
210.1439, 1.896755
210.6260, 1.615002
211.1081, 1.120319
211.5902, 0.5469550
212.0724, 2.8519001E-02
212.5545, 0.7866900
213.0366, 0.9433520
213.5187, 0.3351060
214.0008, 1.625828
214.4829, 1.899216
214.9651, 1.025581
215.4472, 0.2136310
215.9293, 0.6357310
216.4114, 0.3075030
216.8935, 0.9563710
217.3756, 1.282188
217.8578, 1.385319
218.3399, 1.237606
218.8220, 0.8777470
219.3041, 0.5019300
219.7862, 0.4235270
220.2683, 0.8440590
220.7505, 1.198963
221.2326, 1.550739
221.7147, 1.807785
222.1968, 1.932632
222.6789, 1.906052
223.1610, 1.668236
223.6432, 1.080364
224.1253, 0.3367120
224.6074, 1.044434
225.0895, 0.3434830
225.5716, 0.6725270
226.0537, 0.8321530
226.5358, 0.1078190
227.0180, 1.213722
227.5001, 1.070530
227.9822, 0.9325870
228.4643, 2.227234
228.9464, 2.081135
229.4285, 1.423847
229.9107, 1.280499
230.3928, 1.887562
230.8749, 2.718643
231.3570, 3.159237
231.8391, 3.214325
232.3212, 2.942738
232.8034, 2.001545
233.2855, 0.8680800
233.7676, 9.0255998E-02
234.2497, 0.2484890
234.7318, 0.1600420
235.2139, 0.6907770
235.6961, 2.187107
236.1782, 3.184998
236.6603, 3.102955
237.1424, 2.408642
237.6245, 1.778896
238.1066, 1.264015
238.5888, 0.9855960
239.0709, 1.264484
239.5530, 1.932304
240.0351, 2.451817
240.5172, 2.430622
240.9993, 2.176544
241.4815, 2.397861
241.9636, 3.381054
242.4457, 4.185463
242.9278, 3.829803
243.4099, 2.786953
243.8920, 2.029194
244.3742, 2.185478
244.8563, 2.870602
245.3384, 3.165943
245.8205, 2.891247
246.3026, 2.629086
246.7847, 2.809101
247.2668, 3.205544
247.7490, 3.430737
248.2311, 3.151569
248.7132, 2.666100
249.1953, 2.812855
249.6774, 4.027588
250.1595, 4.974804
250.6417, 5.066460
251.1238, 4.616558
251.6059, 3.911938
252.0880, 2.935547
252.5701, 1.963417
253.0522, 1.794395
253.5344, 2.976700
254.0165, 3.882393
254.4986, 3.853073
254.9807, 3.397350
255.4628, 3.085144
255.9449, 3.190189
256.4271, 3.479618
256.9092, 3.318222
257.3913, 2.162285
257.8734, 1.629642
258.3555, 2.482136
258.8376, 3.776169
259.3198, 4.643059
259.8019, 4.739914
260.2840, 4.342735
260.7661, 3.999413
261.2482, 3.690216
261.7303, 3.484718
262.2125, 3.376083
