##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
281.1542, 126.2812
281.6364, 134.4922
282.1185, 141.6836
282.6006, 137.1289
283.0827, 128.4648
283.5648, 156.7812
284.0469, 231.0352
284.5291, 297.6328
285.0112, 296.5078
285.4933, 229.6133
285.9754, 161.9531
286.4575, 99.36719
286.9396, 49.66797
287.4217, 47.53125
287.9038, 95.37891
288.3860, 166.7266
288.8681, 256.2070
289.3502, 353.8984
289.8323, 399.7422
290.3144, 350.6289
290.7965, 244.4648
291.2787, 192.7578
291.7608, 199.2500
292.2429, 216.6055
292.7250, 193.4883
293.2071, 139.4141
293.6892, 100.7578
294.1714, 103.7305
294.6535, 128.9844
295.1356, 137.4648
295.6177, 130.2578
296.0998, 107.2461
296.5819, 45.82031
297.0641, 35.76562
297.5462, 76.25781
298.0283, 28.48828
298.5104, 58.91016
298.9925, 108.3320
299.4746, 119.6719
299.9568, 108.4844
300.4389, 60.42578
300.9210, 1.550781
301.4031, 23.89062
301.8852, 27.69141
302.3673, 118.4805
302.8495, 229.7344
303.3316, 358.1992
303.8137, 440.2461
304.2958, 362.1602
304.7779, 201.9805
305.2600, 105.3398
305.7422, 197.3477
306.2243, 331.0391
306.7064, 345.7500
307.1885, 250.4727
307.6706, 153.9023
308.1527, 145.9727
308.6349, 182.9414
309.1170, 204.1367
309.5991, 165.4453
310.0812, 120.4492
310.5633, 114.0586
311.0454, 144.4961
311.5276, 173.5234
312.0097, 169.7031
312.4918, 155.3125
312.9739, 155.3477
313.4560, 223.4023
313.9381, 271.5938
314.4203, 227.4492
314.9024, 99.21094
315.3845, 3.367188
315.8666, 14.63281
316.3487, 17.62109
316.8308, 48.18359
317.3130, 53.23047
317.7951, 62.87109
318.2772, 98.88672
318.7593, 157.3477
319.2414, 193.5430
319.7235, 177.8086
320.2057, 141.6172
320.6878, 110.0469
321.1699, 70.37109
