##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb^2+^_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
201.9379, 8.505859
202.4200, 9.772583
202.9022, 13.78882
203.3843, 17.14380
203.8664, 18.51221
204.3485, 18.28320
204.8306, 17.29675
205.3127, 15.44971
205.7949, 13.58813
206.2770, 13.52844
206.7591, 15.89014
207.2412, 18.50232
207.7233, 20.87915
208.2054, 22.78979
208.6876, 22.38452
209.1697, 16.92224
209.6518, 10.26453
210.1339, 8.280396
210.6160, 12.36169
211.0981, 17.74756
211.5803, 20.80115
212.0624, 21.51526
212.5445, 21.64087
213.0266, 21.73547
213.5087, 21.47461
213.9908, 20.25830
214.4730, 17.80334
214.9551, 15.52515
215.4372, 15.43140
215.9193, 18.00293
216.4014, 19.77502
216.8836, 18.91162
217.3657, 17.34265
217.8478, 16.06519
218.3299, 15.30920
218.8120, 15.27722
219.2941, 16.48499
219.7763, 19.40820
220.2584, 21.97681
220.7405, 23.83899
221.2226, 25.23132
221.7047, 26.16809
222.1868, 26.66113
222.6690, 26.98389
223.1511, 27.81335
223.6332, 29.96399
224.1153, 30.65637
224.5974, 27.69397
225.0795, 24.62878
225.5617, 24.34998
226.0438, 27.56323
226.5259, 32.48010
227.0080, 36.08936
227.4901, 38.02698
227.9722, 39.12378
228.4544, 39.21729
228.9365, 38.76721
229.4186, 37.92676
229.9007, 36.81274
230.3828, 35.72925
230.8649, 35.25830
231.3471, 36.17615
231.8292, 36.43555
232.3113, 34.81604
232.7934, 33.28381
233.2755, 33.97021
233.7576, 37.29895
234.2398, 41.38916
234.7219, 43.05383
235.2040, 40.30005
235.6861, 38.48389
236.1682, 37.96130
236.6503, 38.14294
237.1325, 38.64136
237.6146, 39.32837
238.0967, 40.13721
238.5788, 41.02100
239.0609, 42.48450
239.5430, 42.30261
240.0252, 38.58801
240.5073, 34.11731
240.9894, 32.04773
241.4715, 33.12280
241.9536, 35.00854
242.4357, 34.35181
242.9179, 30.32043
243.4000, 27.71045
243.8821, 27.29529
244.3642, 28.08972
244.8463, 29.37036
245.3284, 31.07043
245.8106, 32.78394
246.2927, 34.29382
246.7748, 35.67041
247.2569, 35.61304
247.7390, 32.40002
248.2211, 28.30542
248.7033, 26.27734
249.1854, 26.92749
249.6675, 28.29834
250.1496, 28.40845
250.6317, 27.45496
251.1138, 26.72961
251.5960, 26.46387
252.0781, 26.57788
252.5602, 27.43018
253.0423, 29.34595
253.5244, 30.33301
254.0065, 27.34631
254.4887, 21.84485
254.9708, 17.89978
255.4529, 17.61414
255.9350, 19.02271
256.4171, 19.27356
256.8992, 18.00781
257.3813, 16.87048
257.8635, 17.05225
258.3456, 18.16455
258.8277, 19.78479
259.3098, 22.54736
259.7919, 25.29529
260.2740, 25.97449
260.7562, 24.04688
261.2383, 22.33032
261.7204, 23.07617
262.2025, 24.83044
262.6846, 25.84558
263.1667, 25.50110
263.6489, 24.36084
264.1310, 22.92676
264.6131, 21.01392
265.0952, 19.68274
265.5773, 20.29761
266.0594, 21.50488
266.5416, 21.92163
267.0237, 21.06873
267.5058, 19.54004
267.9879, 17.74536
268.4700, 15.52905
268.9521, 13.85559
269.4343, 13.53870
269.9164, 13.83435
270.3985, 13.97937
270.8806, 13.78748
271.3627, 13.63867
271.8448, 14.03369
272.3270, 15.18188
272.8091, 15.75525
273.2912, 14.75452
273.7733, 13.47595
274.2554, 12.73621
274.7375, 12.65564
275.2197, 12.73010
275.7018, 12.23853
276.1839, 11.08887
276.6660, 10.50818
277.1481, 12.79370
277.6302, 14.17810
278.1124, 11.38452
278.5945, 4.845581
279.0766, 1.082642
279.5587, 1.254639
280.0408, 5.262939
280.5229, 9.830200
281.0051, 11.01160
281.4872, 11.24268
281.9693, 11.42114
282.4514, 11.67749
282.9335, 11.43579
283.4156, 9.965210
283.8978, 7.396973
284.3799, 5.531494
284.8620, 4.901001
285.3441, 4.496460
285.8262, 4.154175
286.3083, 3.788818
286.7905, 3.148315
287.2726, 1.780273
287.7547, 9.4237998E-02
288.2368, 0.1127930
288.7189, 4.270508
289.2010, 7.489624
289.6832, 7.367554
290.1653, 5.314453
290.6474, 3.435669
291.1295, 3.001831
291.6116, 3.607788
292.0938, 3.500610
292.5759, 1.810303
293.0580, 0.6734620
293.5401, 1.124512
294.0222, 2.073730
294.5043, 2.132080
294.9865, 0.6501460
295.4686, 1.555054
295.9507, 2.411865
296.4328, 0.9106450
296.9149, 0.1827390
297.3970, 2.2095000E-02
297.8792, 0.4173580
298.3613, 0.3620610
298.8434, 2.620239
299.3255, 4.936035
299.8076, 4.574463
300.2897, 0.6085210
300.7719, 3.582886
301.2540, 3.086060
301.7361, 1.356689
302.2182, 0.7207030
302.7003, 2.733032
303.1824, 4.147705
303.6646, 4.126099
304.1467, 2.077881
304.6288, 0.7222900
305.1109, 0.1547850
305.5930, 0.2261960
306.0751, 1.349731
306.5573, 4.087158
307.0394, 6.415161
307.5215, 6.700806
308.0036, 4.721924
