##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
221.3260, 80.82825
221.8080, 78.13928
222.2900, 76.08765
222.7730, 74.04980
223.2550, 74.24451
223.7370, 75.72864
224.2190, 69.55884
224.7010, 47.71484
225.1830, 25.68518
225.6650, 18.80219
226.1470, 26.47888
226.6290, 36.49316
227.1120, 42.37836
227.5940, 45.29419
228.0760, 50.29425
228.5580, 61.93085
229.0400, 69.15039
229.5220, 55.64270
230.0040, 24.94067
230.4860, 4.281921
230.9690, 15.95612
231.4510, 43.47510
231.9330, 54.85828
232.4150, 42.34888
232.8970, 24.36084
233.3790, 14.78491
233.8610, 12.40173
234.3430, 11.82416
234.8250, 8.643616
235.3070, 7.508484
235.7900, 15.43713
236.2720, 36.79730
236.7540, 53.14435
237.2360, 42.85260
237.7180, 13.66565
238.2000, 7.890686
238.6820, 14.47931
239.1650, 11.53388
239.6470, 0.9229130
240.1290, 17.75714
240.6110, 30.51031
241.0930, 22.88733
241.5750, 0.7903440
242.0570, 11.35901
242.5390, 4.001648
243.0210, 8.142578
243.5030, 13.98883
243.9860, 13.91162
244.4680, 12.32849
244.9500, 11.03973
245.4320, 10.20911
245.9140, 11.31293
246.3960, 18.17535
246.8780, 23.29663
247.3610, 20.22852
247.8430, 11.37250
248.3250, 5.863708
248.8070, 9.111694
249.2890, 17.68951
249.7710, 21.22839
250.2530, 16.52991
250.7350, 12.47821
251.2170, 12.57184
251.6990, 15.53247
252.1820, 19.54297
252.6640, 24.55579
253.1460, 28.61841
253.6280, 26.30750
254.1100, 13.03735
254.5920, 3.656738
255.0740, 2.365906
255.5560, 5.715942
256.0390, 10.18677
256.5210, 14.90417
257.0030, 19.81958
257.4850, 25.29718
257.9670, 31.76587
258.4490, 36.00873
258.9310, 37.90686
259.4130, 38.34137
259.8960, 37.54749
