##NAMES=Zharchikhite
##RRUFFID=R061136
##IDEAL CHEMISTRY=Al(OH)_2_F
##LOCALITY=Zharchikha deposit, Buryatia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White granular massive, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061136
239.8546, 2934.859
240.3368, 2899.336
240.8189, 2873.891
241.3010, 2831.781
241.7831, 2753.266
242.2652, 2705.383
242.7473, 2722.781
243.2295, 2782.000
243.7116, 2733.250
244.1937, 2490.672
244.6758, 2251.961
245.1579, 2157.773
245.6400, 2313.922
246.1222, 2384.273
246.6043, 2306.211
247.0864, 2110.961
247.5685, 1998.070
248.0506, 2014.141
248.5327, 2044.266
249.0149, 2008.250
249.4970, 1872.391
249.9791, 1734.961
250.4612, 1591.289
250.9433, 1452.070
251.4254, 1397.172
251.9076, 1470.984
252.3897, 1566.594
252.8718, 1606.109
253.3539, 1562.914
253.8360, 1507.352
254.3181, 1449.820
254.8003, 1393.328
255.2824, 1336.562
255.7645, 1280.359
256.2466, 1225.609
256.7287, 1167.852
257.2108, 1097.039
257.6930, 1037.188
258.1751, 985.8984
258.6572, 942.4141
259.1393, 925.3828
259.6214, 950.9141
260.1035, 980.3047
260.5857, 981.4922
261.0678, 952.1250
261.5499, 911.9922
262.0320, 853.9453
262.5141, 784.0312
262.9962, 759.2344
263.4784, 796.8516
263.9605, 842.5000
264.4426, 856.8828
264.9247, 837.1719
265.4068, 808.3359
265.8889, 780.3516
266.3711, 749.8594
266.8532, 680.0781
267.3353, 546.3594
267.8174, 406.5234
268.2995, 304.1016
268.7816, 244.2422
269.2638, 232.6406
269.7459, 281.9453
270.2280, 374.0000
270.7101, 430.2969
271.1922, 450.3828
271.6743, 440.0547
272.1565, 393.7031
272.6386, 302.5703
273.1207, 217.8359
273.6028, 146.1719
274.0849, 90.57031
274.5670, 61.11719
275.0492, 58.85938
275.5313, 68.65625
276.0134, 86.16406
276.4955, 114.7500
276.9776, 115.5703
277.4597, 73.85156
277.9419, 6.210938
278.4240, 35.27344
278.9061, 51.02344
279.3882, 57.76562
279.8703, 64.28906
280.3524, 69.73438
280.8346, 90.64844
281.3167, 139.9453
281.7988, 200.6562
282.2809, 216.8672
282.7630, 183.1484
283.2451, 133.2891
283.7273, 89.21875
284.2094, 52.16406
284.6915, 18.25000
285.1736, 19.58594
285.6557, 46.19531
286.1378, 17.22656
286.6200, 67.76562
287.1021, 165.6641
287.5842, 257.2656
288.0663, 341.2656
288.5484, 399.7188
289.0305, 429.2891
289.5127, 430.6250
289.9948, 390.2266
290.4769, 308.3281
290.9590, 231.6953
291.4411, 194.4375
291.9232, 192.1406
292.4054, 207.7422
292.8875, 248.7969
293.3696, 286.8750
293.8517, 262.9062
294.3338, 183.3906
294.8159, 109.0000
295.2981, 89.07031
295.7802, 105.4453
296.2623, 112.7656
296.7444, 101.5391
297.2265, 84.52344
297.7086, 76.81250
298.1908, 79.88281
298.6729, 94.24219
299.1550, 131.8672
299.6371, 178.7656
300.1192, 207.7422
300.6013, 213.2969
301.0835, 207.3203
301.5656, 206.8906
302.0477, 206.5469
302.5298, 191.4922
303.0119, 118.2109
303.4940, 37.53125
303.9762, 28.67969
304.4583, 114.6797
304.9404, 212.4141
305.4225, 254.7969
305.9046, 251.3828
306.3867, 224.7812
306.8689, 156.3516
307.3510, 87.17188
307.8331, 67.61719
308.3152, 108.0547
308.7973, 154.4453
309.2794, 187.4219
309.7616, 198.8438
310.2437, 173.9062
310.7258, 41.50781
311.2079, 85.10156
311.6900, 121.7500
312.1721, 53.28125
312.6543, 41.39062
313.1364, 156.2812
313.6185, 265.0781
314.1006, 332.3047
314.5827, 339.7578
315.0648, 305.4375
315.5470, 222.7500
316.0291, 91.28906
316.5112, 31.35938
316.9933, 142.9844
317.4754, 224.6328
317.9576, 257.1406
318.4397, 188.3047
318.9218, 110.8750
319.4039, 44.26562
319.8860, 8.617188
320.3681, 24.94531
320.8503, 40.16406
321.3324, 125.3438
321.8145, 181.1875
322.2966, 184.3672
322.7787, 172.3594
323.2608, 131.5703
323.7430, 68.75781
324.2251, 54.55469
324.7072, 173.3203
325.1893, 294.7734
325.6714, 340.1875
326.1535, 185.5625
326.6357, 90.54688
327.1178, 104.5000
327.5999, 207.0547
328.0820, 276.6250
328.5641, 280.6953
329.0462, 281.3516
329.5284, 310.2891
330.0105, 417.1250
330.4926, 472.4062
330.9747, 440.6484
331.4568, 357.6641
331.9389, 332.2969
332.4211, 394.7422
332.9032, 473.3281
333.3853, 548.1719
333.8674, 645.4688
334.3495, 660.1016
334.8316, 550.0781
335.3138, 384.9375
335.7959, 305.5156
336.2780, 335.1953
336.7601, 387.2109
337.2422, 431.4922
337.7243, 468.5703
338.2065, 515.9688
338.6886, 582.1562
339.1707, 640.4688
339.6528, 647.9844
340.1349, 600.6641
340.6170, 555.1484
341.0992, 521.1797
341.5813, 499.9609
342.0634, 538.8516
342.5455, 656.2422
343.0276, 772.3672
343.5097, 770.8594
343.9919, 655.8359
344.4740, 577.6250
344.9561, 592.7969
345.4382, 668.8359
345.9203, 713.6953
346.4024, 728.8438
346.8846, 721.1484
347.3667, 681.3828
347.8488, 622.1641
348.3309, 589.1641
348.8130, 600.0859
349.2951, 631.7500
349.7773, 641.5312
350.2594, 632.0156
350.7415, 630.7969
351.2236, 659.2188
351.7057, 714.0625
352.1878, 795.3828
352.6700, 922.7812
353.1521, 1031.102
353.6342, 1021.289
354.1163, 925.6484
354.5984, 850.5625
355.0806, 877.5859
355.5627, 945.6953
356.0448, 994.0938
356.5269, 1012.664
357.0090, 1018.141
357.4911, 1024.711
357.9733, 1025.703
358.4554, 1010.000
358.9375, 959.2969
359.4196, 901.2500
359.9017, 846.1094
360.3839, 793.7266
360.8660, 767.9766
361.3481, 811.2031
361.8302, 871.6172
362.3123, 891.0234
362.7944, 790.2266
363.2766, 707.0078
363.7587, 700.6094
364.2408, 773.3906
364.7229, 839.0234
365.2050, 882.9453
365.6871, 910.1797
366.1693, 924.1797
366.6514, 911.8047
367.1335, 898.4688
367.6156, 901.0469
368.0977, 914.9453
368.5798, 897.3125
369.0620, 780.6250
369.5441, 688.1484
370.0262, 681.7891
370.5083, 843.0547
370.9904, 942.9375
371.4725, 965.3828
371.9547, 932.0312
372.4368, 891.0938
372.9189, 837.8047
373.4010, 795.0156
373.8831, 776.4141
374.3652, 786.4297
374.8474, 775.8047
375.3295, 719.0391
375.8116, 669.4219
376.2937, 741.2109
376.7758, 968.0938
377.2579, 1110.188
377.7401, 1046.883
378.2222, 810.8281
378.7043, 695.8047
379.1864, 720.1328
379.6685, 793.4062
380.1506, 828.9922
380.6328, 828.3672
381.1149, 812.3984
381.5970, 781.4141
382.0791, 743.9766
382.5612, 712.5000
383.0433, 687.2266
383.5255, 685.2500
384.0076, 737.4141
384.4897, 817.4844
384.9718, 875.5234
385.4539, 908.0781
385.9360, 907.4609
386.4182, 837.3750
386.9003, 719.8516
387.3824, 629.7422
387.8645, 625.3281
388.3466, 661.7891
388.8287, 696.4688
389.3109, 724.4375
389.7930, 744.4922
390.2751, 757.3984
390.7572, 764.3125
391.2393, 765.0547
391.7214, 762.4219
392.2036, 749.7344
392.6857, 705.7891
393.1678, 626.8516
393.6499, 587.2188
394.1320, 686.9766
394.6141, 807.2969
395.0963, 844.9062
395.5784, 620.8906
396.0605, 480.6406
396.5426, 573.3281
397.0247, 845.5391
397.5068, 992.2969
397.9890, 834.2812
398.4711, 655.7266
398.9532, 595.6562
399.4353, 779.0391
399.9174, 875.6875
400.3995, 839.1406
400.8817, 730.3750
401.3638, 669.1719
401.8459, 663.8203
402.3280, 686.3750
402.8101, 739.5859
403.2922, 833.1641
403.7744, 899.0469
404.2565, 936.3047
404.7386, 944.6094
405.2207, 916.0391
405.7028, 841.7344
406.1849, 782.3281
406.6671, 750.7734
407.1492, 748.0469
407.6313, 791.9375
408.1134, 891.9453
408.5955, 967.2266
409.0776, 939.4219
409.5598, 824.9531
410.0419, 710.0312
410.5240, 596.5312
411.0061, 510.8906
411.4882, 515.7422
411.9703, 595.5000
412.4525, 673.9531
412.9346, 704.7969
413.4167, 708.1094
413.8988, 706.2891
414.3809, 697.9531
414.8630, 704.4609
415.3452, 762.8828
415.8273, 846.3438
416.3094, 905.7266
416.7915, 921.2578
417.2736, 903.7031
417.7557, 842.0781
418.2379, 741.3594
418.7200, 662.5469
419.2021, 641.0547
419.6842, 650.7891
420.1663, 671.0469
420.6484, 727.6562
421.1306, 752.3750
421.6127, 710.2344
422.0948, 622.7031
422.5769, 551.0000
423.0590, 477.4844
423.5411, 443.0703
424.0233, 476.4219
424.5054, 622.1016
424.9875, 718.2188
425.4696, 744.9141
425.9517, 731.8281
426.4338, 714.7344
426.9160, 677.4844
427.3981, 659.8438
427.8802, 676.9922
428.3623, 731.2734
428.8444, 778.9141
429.3265, 829.4609
429.8087, 852.2891
430.2908, 803.5312
430.7729, 671.9062
431.2550, 586.3047
