##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
304.2237, 124.4587
304.7058, 124.7595
305.1880, 118.5740
305.6701, 108.2539
306.1522, 94.41455
306.6343, 81.29907
307.1164, 76.96021
307.5985, 84.12231
308.0807, 89.89673
308.5628, 92.41895
309.0449, 92.58984
309.5270, 90.48657
310.0091, 86.17065
310.4912, 80.12231
310.9734, 70.33472
311.4555, 57.66064
311.9376, 52.59009
312.4197, 60.86157
312.9018, 70.61328
313.3839, 75.87305
313.8661, 76.20605
314.3482, 70.85840
314.8303, 53.61450
315.3124, 33.48999
315.7945, 28.35010
316.2766, 40.67578
316.7588, 53.61841
317.2409, 60.35352
317.7230, 60.98267
318.2051, 54.89819
318.6872, 38.47632
319.1693, 21.53247
319.6515, 10.64453
320.1336, 5.399902
320.6157, 4.182861
321.0978, 8.014404
321.5799, 13.25391
322.0620, 13.28564
322.5442, 7.169922
323.0263, 2.927002
323.5084, 4.087891
323.9905, 7.846924
324.4726, 10.69409
324.9547, 12.02783
325.4369, 12.88525
325.9190, 14.62939
326.4011, 17.42334
326.8832, 17.18945
327.3653, 9.417236
327.8474, 2.853760
328.3296, 3.474365
328.8117, 9.651611
329.2938, 16.31079
329.7759, 20.96631
330.2580, 23.10571
330.7401, 22.30249
331.2223, 15.66235
331.7044, 9.842285
332.1865, 2.401855
332.6686, 2.483154
333.1507, 2.610352
333.6328, 19.53125
334.1150, 38.16382
334.5971, 42.31494
335.0792, 25.13184
335.5613, 14.27979
336.0434, 11.16113
336.5255, 12.26660
337.0077, 0.2468260
337.4898, 20.27197
337.9719, 31.90698
338.4540, 35.14551
338.9361, 6.686035
339.4182, 19.05249
339.9004, 15.03638
340.3825, 10.34717
340.8646, 28.46094
341.3467, 4.547119
341.8288, 22.29395
342.3109, 23.40796
342.7931, 32.13184
343.2752, 24.39062
343.7573, 26.32642
344.2394, 30.67285
344.7215, 22.90503
345.2036, 12.66943
345.6858, 7.419189
346.1679, 7.826904
346.6500, 9.763184
347.1321, 14.21753
347.6142, 19.08936
348.0963, 16.42212
348.5785, 2.827393
349.0606, 8.745117
349.5427, 4.738770
350.0248, 10.12329
350.5069, 20.86206
350.9890, 21.25073
351.4712, 19.54883
351.9533, 23.94214
352.4354, 32.92798
352.9175, 38.06787
353.3996, 34.39551
353.8817, 25.72510
354.3639, 22.71826
354.8460, 29.74756
355.3281, 32.17603
355.8102, 22.42163
356.2923, 8.313965
356.7744, 1.608643
357.2566, 5.394775
357.7387, 4.110596
358.2208, 1.903809
358.7029, 14.40308
359.1850, 21.63965
359.6671, 19.80078
360.1493, 17.31616
360.6314, 18.67578
361.1135, 22.32642
361.5956, 24.17090
362.0777, 21.65356
362.5598, 16.06934
363.0420, 11.96387
363.5241, 8.526367
364.0062, 8.291992
364.4883, 15.86865
364.9704, 23.60669
365.4525, 23.91919
365.9347, 15.73096
366.4168, 5.767334
366.8989, 1.915039
367.3810, 4.493164
367.8631, 6.594482
368.3452, 9.471924
368.8274, 9.886719
369.3095, 3.743408
369.7916, 5.955566
370.2737, 12.12915
370.7558, 11.45947
371.2379, 5.384521
371.7201, 6.061035
372.2022, 23.99854
372.6843, 37.50732
373.1664, 40.21802
373.6485, 35.82178
374.1306, 30.75049
374.6128, 24.95166
375.0949, 19.39697
375.5770, 10.73755
376.0591, 3.348633
376.5412, 8.735840
377.0233, 30.56982
377.5055, 54.77734
377.9876, 67.39429
378.4697, 66.97144
378.9518, 64.61963
379.4339, 60.58350
379.9160, 54.50757
380.3982, 43.85083
380.8803, 30.77417
381.3624, 21.19116
381.8445, 18.46582
382.3266, 20.74805
382.8087, 22.45679
383.2909, 23.05884
383.7730, 23.72314
384.2551, 26.29248
384.7372, 27.75708
385.2193, 24.53101
385.7014, 16.74292
386.1836, 8.281006
386.6657, 2.019287
387.1478, 2.360840
387.6299, 2.529053
388.1120, 30.24829
388.5941, 51.50220
389.0763, 55.84326
389.5584, 47.94678
390.0405, 33.44043
390.5226, 12.16553
391.0047, 7.307861
391.4868, 9.131592
391.9690, 8.759521
392.4511, 24.04663
392.9332, 32.77905
393.4153, 34.44189
393.8974, 25.93408
394.3795, 7.536377
394.8617, 6.189209
395.3438, 5.945557
395.8259, 2.882080
396.3080, 13.00562
396.7901, 23.93750
397.2722, 32.35474
397.7544, 35.12061
398.2365, 33.07251
398.7186, 31.89795
399.2007, 33.87256
399.6828, 34.05151
400.1649, 27.90552
400.6471, 19.16748
401.1292, 15.10278
401.6113, 18.11646
402.0934, 22.51611
402.5755, 19.02783
403.0576, 1.812500
403.5398, 5.107666
404.0219, 9.120117
404.5040, 22.09204
404.9861, 19.21216
405.4682, 5.266846
405.9503, 6.216064
406.4325, 6.755127
406.9146, 1.130615
407.3967, 12.02588
407.8788, 31.69653
408.3609, 41.87769
408.8430, 29.11108
409.3252, 12.82690
409.8073, 9.402100
410.2894, 20.89136
410.7715, 35.48120
411.2536, 44.29663
411.7357, 47.85571
412.2179, 47.62842
412.7000, 41.95312
