##NAMES=Roxbyite
##RRUFFID=R070676
##IDEAL CHEMISTRY=Cu_1.78_S
##LOCALITY=Olympic Dam mine, Roxby Downs, South Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Microscopic black-blue metallic massive associated with hematite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070676
265.3712, 14.95325
265.8533, 5.537292
266.3354, 5.385498
266.8176, 12.92670
267.2997, 14.76874
267.7818, 7.961914
268.2639, 0.6833500
268.7460, 1.263367
269.2281, 12.52826
269.7103, 21.02386
270.1924, 23.18707
270.6745, 19.86670
271.1566, 21.04077
271.6387, 29.47278
272.1208, 36.73334
272.6030, 31.62628
273.0851, 9.807129
273.5672, 3.790710
274.0493, 1.286377
274.5314, 15.45135
275.0135, 26.85657
275.4957, 31.83844
275.9778, 34.06012
276.4599, 38.11737
276.9420, 44.92255
277.4241, 47.37750
277.9063, 42.36932
278.3884, 30.80792
278.8705, 21.27740
279.3526, 13.52155
279.8347, 8.490112
280.3168, 7.257385
280.7990, 9.881714
281.2811, 15.92218
281.7632, 27.28192
282.2453, 42.56390
282.7274, 51.12048
283.2095, 51.95502
283.6917, 49.59601
284.1738, 50.06567
284.6559, 53.44556
285.1380, 53.03937
285.6201, 43.96228
286.1022, 28.81470
286.5844, 20.57043
287.0665, 19.45642
287.5486, 24.21265
288.0307, 37.07446
288.5128, 57.32849
288.9949, 72.21979
289.4771, 73.50751
289.9591, 65.47083
290.4413, 67.34100
290.9234, 80.72632
291.4055, 94.53687
291.8876, 94.04663
292.3697, 81.18640
292.8518, 69.85248
293.3340, 69.32355
293.8161, 74.10852
294.2982, 64.58990
294.7803, 38.70673
295.2624, 14.33380
295.7445, 14.13287
296.2267, 33.26990
296.7088, 50.63812
297.1909, 56.85272
297.6730, 55.82397
298.1551, 56.23083
298.6372, 58.33008
299.1194, 58.90955
299.6015, 53.51886
300.0836, 43.79047
300.5657, 34.37903
301.0478, 23.68896
301.5299, 15.84552
302.0121, 20.99823
302.4942, 40.08173
302.9763, 56.93152
303.4584, 53.10583
303.9405, 36.22528
304.4226, 22.70227
304.9048, 23.29584
305.3869, 29.10028
305.8690, 28.04913
306.3511, 19.62054
306.8332, 14.25970
307.3153, 24.93134
307.7975, 43.76923
308.2796, 57.23572
308.7617, 55.27228
309.2438, 48.52148
309.7259, 47.10382
310.2080, 51.30035
310.6902, 53.69983
311.1723, 47.98688
311.6544, 37.81274
312.1365, 28.22290
312.6186, 17.99268
313.1007, 11.32983
313.5829, 13.30646
314.0650, 24.07306
314.5471, 33.43011
315.0292, 36.35968
315.5113, 35.00726
315.9934, 31.85626
316.4756, 25.22418
316.9577, 19.13708
317.4398, 16.34082
317.9219, 17.21069
318.4040, 18.95770
318.8861, 19.10614
319.3683, 18.95050
319.8504, 20.13074
320.3325, 23.79572
320.8146, 29.30951
321.2967, 39.09424
321.7788, 52.86499
322.2610, 60.49365
322.7431, 55.20715
323.2252, 45.06116
323.7073, 36.49939
324.1894, 27.56012
324.6715, 24.24353
325.1537, 29.91278
325.6358, 44.92194
326.1179, 56.05670
326.6000, 60.62775
327.0821, 61.75653
327.5642, 61.61224
328.0464, 60.33386
328.5285, 57.69904
329.0106, 52.03589
329.4927, 43.83698
329.9748, 39.44891
330.4569, 40.93311
330.9391, 45.40009
331.4212, 50.08832
331.9033, 58.38416
332.3854, 64.74243
332.8675, 70.31329
333.3496, 74.24658
333.8318, 68.98407
334.3139, 45.73254
334.7960, 24.74402
335.2781, 19.47571
335.7602, 36.80011
336.2423, 53.83533
336.7245, 72.90918
337.2066, 89.92999
337.6887, 85.97241
338.1708, 50.23065
338.6529, 17.22882
339.1350, 9.609436
339.6172, 33.18225
340.0993, 51.85327
340.5814, 62.99414
341.0635, 67.99243
341.5456, 69.21783
342.0277, 65.80176
342.5099, 60.48151
342.9920, 53.30249
343.4741, 44.23987
343.9562, 41.67413
344.4383, 48.60913
344.9204, 57.94543
345.4026, 54.50189
345.8847, 37.92889
346.3668, 23.01929
346.8489, 16.70630
347.3310, 18.39471
347.8131, 27.48865
348.2953, 46.32910
348.7774, 64.61163
349.2595, 65.73889
349.7416, 52.14978
350.2237, 39.34155
350.7058, 37.42639
351.1880, 41.01849
351.6701, 36.97919
352.1522, 23.49829
352.6343, 11.51263
353.1164, 15.62219
353.5985, 30.62860
354.0807, 42.87274
354.5628, 44.94269
355.0449, 41.98309
355.5270, 39.98456
356.0091, 39.24524
356.4912, 37.18469
356.9734, 30.66248
357.4555, 21.71771
357.9376, 13.72864
358.4197, 5.857178
358.9018, 0.8912960
359.3839, 2.059998
359.8661, 9.251038
360.3482, 16.59082
360.8303, 20.57892
361.3124, 23.33423
361.7945, 27.05121
362.2766, 36.22650
362.7588, 42.74817
363.2409, 43.09320
363.7230, 37.73175
364.2051, 30.70605
364.6872, 17.70093
365.1693, 6.684631
365.6515, 3.182800
366.1336, 19.63898
366.6157, 31.25281
367.0978, 31.35413
367.5799, 22.18219
368.0620, 15.22253
368.5442, 12.25458
369.0263, 11.33472
369.5084, 11.64844
369.9905, 16.26831
370.4726, 17.87775
370.9547, 14.79370
371.4369, 8.711182
371.9190, 4.450745
372.4011, 2.826660
372.8832, 2.149719
373.3653, 2.458557
373.8474, 6.080200
374.3295, 3.442322
374.8116, 9.865906
375.2938, 26.26898
375.7759, 31.05402
376.2580, 21.50079
376.7401, 8.314209
377.2222, 6.573181
377.7043, 23.88910
378.1865, 32.39111
378.6686, 30.35004
379.1507, 23.49768
379.6328, 19.73816
380.1149, 19.36914
380.5970, 16.50659
381.0792, 5.805481
381.5613, 9.326782
382.0434, 11.07080
382.5255, 2.009399
383.0076, 18.17145
383.4897, 26.70447
383.9719, 28.28253
384.4540, 25.90479
384.9361, 16.96948
385.4182, 5.987244
385.9003, 6.649292
386.3824, 18.47815
386.8646, 27.39258
387.3467, 13.92682
387.8288, 8.304932
388.3109, 13.55951
388.7930, 13.78412
389.2751, 44.84686
389.7573, 47.97827
390.2394, 29.91327
390.7215, 14.48004
391.2036, 18.88538
391.6857, 29.74255
392.1678, 34.74127
392.6500, 29.83069
393.1321, 23.71265
393.6142, 17.42291
394.0963, 13.24530
394.5784, 15.68427
395.0605, 37.93591
395.5427, 57.87122
