##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
356.7745, 29.52783
357.2566, 21.32080
357.7387, 18.86816
358.2208, 20.85840
358.7029, 27.92773
359.1851, 26.95459
359.6672, 6.552246
360.1493, 10.77148
360.6314, 10.84570
361.1135, 1.088867
361.5956, 12.25195
362.0778, 13.54980
362.5599, 7.312988
363.0420, 3.741211
363.5241, 5.406250
364.0062, 5.471191
364.4883, 4.109863
364.9705, 0.6381840
365.4526, 6.026367
365.9347, 16.14648
366.4168, 28.27734
366.8989, 43.30469
367.3810, 62.20068
367.8632, 72.93359
368.3453, 68.21680
368.8274, 61.78809
369.3095, 63.62646
369.7916, 69.76270
370.2737, 69.61475
370.7559, 54.91260
371.2380, 33.09814
371.7201, 17.70361
372.2022, 9.601074
372.6843, 0.7094730
373.1664, 20.23633
373.6486, 38.41016
374.1307, 28.66260
374.6128, 19.36914
375.0949, 61.52441
375.5770, 72.02100
376.0591, 60.70508
376.5413, 43.92627
377.0234, 24.00098
377.5055, 8.057129
377.9876, 5.459961
378.4697, 18.04590
378.9518, 23.24170
379.4340, 16.03906
379.9161, 4.960449
380.3982, 6.191406
380.8803, 16.96533
381.3624, 28.32715
381.8445, 41.47607
382.3267, 53.62500
382.8088, 56.10400
383.2909, 37.93701
383.7730, 23.71973
384.2551, 8.954590
384.7372, 1.420410
385.2194, 13.45557
385.7015, 43.40381
386.1836, 72.50537
386.6657, 80.10498
387.1478, 64.95264
387.6299, 51.08545
388.1121, 33.57715
388.5942, 23.69141
389.0763, 27.06787
389.5584, 39.64746
390.0405, 55.94678
390.5226, 74.96094
391.0048, 93.32324
391.4869, 102.7212
391.9690, 101.1035
392.4511, 110.3911
392.9332, 145.0986
393.4153, 185.1611
393.8975, 210.3774
394.3796, 220.7505
394.8617, 230.5522
395.3438, 250.2070
395.8259, 272.5635
396.3080, 282.4048
396.7902, 277.4722
397.2723, 276.9463
397.7544, 296.3887
398.2365, 331.8193
398.7186, 359.9321
399.2007, 376.6494
399.6829, 390.5186
400.1650, 401.4121
400.6471, 412.3501
401.1292, 430.6499
401.6113, 458.9106
402.0934, 488.0352
402.5756, 503.8853
403.0577, 498.6919
403.5398, 503.7812
404.0219, 524.6118
404.5040, 549.2207
404.9861, 575.5171
405.4683, 600.5508
405.9504, 618.8862
406.4325, 626.6802
406.9146, 626.1318
407.3967, 623.5605
407.8788, 612.3584
408.3610, 613.4141
408.8431, 639.9258
409.3252, 673.5923
409.8073, 702.7349
410.2894, 724.8750
410.7715, 739.2329
411.2537, 741.9795
411.7358, 735.4775
412.2179, 730.6025
412.7000, 726.4556
413.1821, 727.5474
413.6642, 741.2490
414.1464, 762.1304
414.6285, 779.5249
415.1106, 791.1519
415.5927, 799.6133
416.0748, 802.6323
416.5569, 803.7856
417.0391, 816.6304
417.5212, 847.9404
418.0033, 880.7188
418.4854, 888.7871
418.9675, 862.3325
419.4496, 846.7676
419.9318, 848.1890
420.4139, 855.9014
420.8960, 864.0156
421.3781, 872.6255
421.8602, 885.1479
422.3423, 905.1084
422.8245, 927.8198
423.3066, 932.6914
423.7887, 904.6187
424.2708, 881.1562
424.7529, 865.2290
425.2350, 855.0640
425.7172, 854.4722
426.1993, 862.4492
426.6814, 866.6284
427.1635, 847.6333
427.6456, 808.5713
428.1277, 794.0562
428.6099, 818.4185
429.0920, 842.8091
429.5741, 842.4009
430.0562, 829.4810
430.5383, 822.4556
431.0204, 826.8354
431.5026, 834.5210
431.9847, 841.7207
432.4668, 846.2817
432.9489, 841.8623
433.4310, 827.4399
433.9131, 811.2197
434.3953, 801.0493
434.8774, 797.3540
435.3595, 797.8247
435.8416, 810.3921
436.3237, 818.1724
436.8058, 803.9141
437.2880, 777.2764
437.7701, 764.0293
438.2522, 778.0522
438.7343, 806.6045
439.2164, 816.7720
439.6985, 792.2666
440.1807, 778.1763
440.6628, 784.0044
441.1449, 792.1040
441.6270, 791.3579
442.1091, 781.9365
442.5912, 769.9712
443.0734, 759.4521
443.5555, 750.2495
444.0376, 741.9360
444.5197, 734.5488
445.0018, 727.9077
445.4839, 718.6011
445.9661, 711.8706
446.4482, 715.1675
446.9303, 730.7944
447.4124, 745.1636
447.8945, 749.0146
448.3766, 745.9009
448.8588, 744.3940
449.3409, 746.0674
449.8230, 742.3555
450.3051, 722.5664
450.7872, 689.8594
451.2693, 674.9116
451.7515, 684.3794
452.2336, 702.2559
452.7157, 731.3252
453.1978, 762.7891
453.6799, 785.4409
454.1620, 795.8228
454.6442, 795.6450
455.1263, 785.3735
455.6084, 762.1138
456.0905, 745.2524
456.5726, 735.1328
457.0547, 731.7305
457.5369, 736.9961
458.0190, 748.6777
458.5011, 762.7251
458.9832, 776.9775
459.4653, 795.4209
459.9474, 828.8467
460.4296, 877.5273
460.9117, 912.7568
461.3938, 923.7402
461.8759, 926.7456
462.3580, 936.7935
462.8401, 952.2397
463.3223, 964.3042
463.8044, 963.8696
464.2865, 964.4072
464.7686, 981.7661
465.2507, 1011.588
465.7328, 1034.776
