##NAMES=Litidionite
##RRUFFID=R130088
##IDEAL CHEMISTRY=KNaCu^2+^Si_4_O_10_
##LOCALITY=Mt Vesuvius, Napoli, Italy
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Blue to green glassy, massive. The two larger fragments are from the 1880 eruption. The smaller fragment is from 1873.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130088
368.8986, 1.034576
369.3807, 0.4223180
369.8628, 0.1083150
370.3449, 0.3083380
370.8271, 0.6281930
371.3092, 0.9623150
371.7913, 1.244987
372.2734, 1.362541
372.7555, 1.139721
373.2376, 0.5945470
373.7198, 0.3325500
374.2019, 0.6650700
374.6840, 0.9034270
375.1661, 0.6553420
375.6482, 0.2066080
376.1303, 3.7822999E-02
376.6125, 0.4323770
377.0946, 1.112919
377.5767, 1.450127
378.0588, 1.333393
378.5409, 1.174797
379.0230, 1.132801
379.5052, 1.078598
379.9873, 0.8731420
380.4694, 0.4943470
380.9515, 0.1182020
381.4336, 0.1156160
381.9157, 0.1908950
382.3979, 7.9585999E-02
382.8800, 0.3862760
383.3621, 0.8470610
383.8442, 1.082611
384.3263, 1.116688
384.8084, 1.046909
385.2906, 0.7984960
385.7727, 0.5042650
386.2548, 0.5270080
386.7369, 0.9696160
387.2190, 1.357998
387.7011, 1.343533
388.1833, 1.124931
388.6654, 0.9795070
389.1475, 0.9973410
389.6296, 1.028473
390.1117, 0.9088480
390.5938, 0.6654550
391.0760, 0.4955560
391.5581, 0.4497220
392.0402, 0.5080720
392.5223, 0.6950000
393.0044, 1.035480
393.4865, 1.249672
393.9687, 1.127522
394.4508, 0.8468090
394.9329, 0.7196240
395.4150, 0.8201260
395.8971, 0.8795510
396.3792, 0.5922510
396.8614, 2.3506001E-02
397.3435, 0.1883240
397.8256, 0.2664220
398.3077, 0.8361320
398.7898, 1.201210
399.2719, 1.380276
399.7540, 1.482555
400.2361, 1.566601
400.7183, 1.602432
401.2004, 1.480995
401.6825, 1.070190
402.1646, 0.7581630
402.6467, 0.7090110
403.1288, 0.7484130
403.6110, 0.6589510
404.0931, 0.3976290
404.5752, 0.1011660
405.0573, 7.5882003E-02
405.5394, 0.1171300
406.0215, 8.5529000E-02
406.5037, 5.9429999E-03
406.9858, 0.1743320
407.4679, 0.5533940
407.9500, 1.020134
408.4321, 1.273228
408.9142, 1.106262
409.3964, 0.6254350
409.8785, 0.3210070
410.3606, 0.3629150
410.8427, 0.3722110
411.3248, 0.2648890
411.8069, 0.1386870
412.2891, 9.0426996E-02
412.7712, 0.1443480
413.2533, 0.2548560
413.7354, 0.3710520
414.2175, 0.5042530
414.6996, 0.5951270
415.1818, 0.5880700
415.6639, 0.5890080
416.1460, 0.6836430
416.6281, 0.8215100
417.1102, 0.8755380
417.5923, 0.7487030
418.0745, 0.4961850
418.5566, 0.3027420
419.0387, 0.1445620
419.5208, 4.1710000E-02
420.0029, 3.0804001E-02
420.4850, 1.2218000E-02
420.9672, 0.1522640
421.4493, 0.4828190
421.9314, 0.7754590
422.4135, 0.7508810
422.8956, 0.4295230
423.3777, 0.2700420
423.8599, 0.4078790
424.3420, 0.6369630
424.8241, 0.8391270
425.3062, 1.003193
425.7883, 1.085365
426.2704, 1.039745
426.7526, 0.9145660
427.2347, 0.7348820
427.7168, 0.4912190
428.1989, 0.3652690
428.6810, 0.5049290
429.1631, 0.8044590
429.6453, 1.014702
430.1274, 1.116737
430.6095, 1.171070
431.0916, 1.225979
431.5737, 1.249935
432.0558, 1.156746
432.5380, 0.9117320
433.0201, 0.6331630
433.5022, 0.4560470
433.9843, 0.3930700
434.4664, 0.3599430
434.9485, 0.4094200
435.4307, 0.4406810
435.9128, 0.3769340
436.3949, 0.2347220
436.8770, 6.3091002E-02
437.3591, 0.1236500
437.8412, 0.2902110
438.3234, 0.2972370
438.8055, 8.1669003E-02
439.2876, 0.3249470
439.7697, 0.2774470
440.2518, 0.1645660
440.7339, 0.2247510
441.2160, 0.4802090
441.6982, 0.7329370
442.1803, 0.7375030
442.6624, 0.4415510
443.1445, 0.2822690
443.6266, 0.3784140
444.1087, 0.4897960
444.5909, 0.5590020
445.0730, 0.5909270
445.5551, 0.6168860
446.0372, 0.6578940
446.5193, 0.6728820
447.0014, 0.5433160
447.4836, 0.1907730
447.9657, 7.1387999E-02
448.4478, 0.1807670
448.9299, 0.1858790
449.4120, 0.1041560
449.8941, 6.0940001E-02
450.3763, 0.3056830
450.8584, 0.7941740
451.3405, 1.392265
451.8226, 1.401375
452.3047, 0.5276220
452.7868, 0.2291680
453.2690, 9.3258001E-02
453.7511, 0.4896280
454.2332, 0.9071920
454.7153, 0.9747280
455.1974, 0.9460530
455.6795, 1.089073
456.1617, 1.344379
456.6438, 1.500404
457.1259, 1.493008
457.6080, 1.376438
458.0901, 1.182480
458.5722, 0.9108050
459.0544, 0.6878090
459.5365, 0.4579240
460.0186, 0.3439560
460.5007, 0.5854840
460.9828, 1.102066
461.4649, 1.424755
461.9471, 1.220837
462.4292, 0.6492840
462.9113, 0.3662450
463.3934, 0.6221280
463.8755, 0.8271900
464.3576, 0.9249150
464.8398, 0.9372290
465.3219, 0.8261260
465.8040, 0.6145250
466.2861, 0.4805030
466.7682, 0.6606180
467.2503, 1.219452
467.7325, 1.468636
468.2146, 1.064007
468.6967, 0.7165370
469.1788, 0.6360740
469.6609, 0.7242700
470.1430, 0.8397330
470.6252, 0.9236220
471.1073, 0.9625470
471.5894, 0.9071540
472.0715, 0.7181630
472.5536, 0.6103970
473.0357, 0.7157440
473.5179, 0.8248520
474.0000, 0.8374060
474.4821, 0.7507820
474.9642, 0.5838580
475.4463, 0.1999280
475.9284, 0.2048300
476.4106, 7.9681002E-02
476.8927, 0.6895560
477.3748, 1.261776
477.8569, 1.105213
478.3390, 0.5828510
478.8211, 0.2466770
479.3033, 0.1132280
479.7854, 0.1838720
480.2675, 0.6583710
480.7496, 1.286442
481.2317, 1.572071
481.7138, 1.419079
482.1959, 1.165451
482.6780, 1.097687
483.1602, 1.218140
483.6423, 1.330479
484.1244, 1.542995
484.6065, 1.631287
485.0886, 1.370377
485.5707, 0.9504010
486.0529, 0.7332760
486.5350, 0.8523030
487.0171, 1.103821
487.4992, 1.130966
487.9813, 0.7636150
488.4634, 0.6352690
488.9456, 1.067322
489.4277, 1.391911
489.9098, 1.132839
490.3919, 0.5080110
490.8740, 4.8556998E-02
491.3561, 8.4251001E-02
491.8383, 0.4675520
492.3204, 0.8217430
492.8025, 1.184181
493.2846, 1.411968
493.7667, 1.389915
494.2488, 1.280842
494.7310, 1.136295
495.2131, 0.9767190
495.6952, 0.8990330
496.1773, 1.056023
496.6594, 1.370239
497.1415, 1.574635
497.6237, 1.665657
498.1058, 1.628086
498.5879, 1.322754
499.0700, 0.9351390
499.5521, 0.8408160
500.0342, 1.165092
500.5164, 1.517017
500.9985, 1.677593
501.4806, 1.735401
501.9627, 1.882950
502.4448, 2.159439
502.9269, 2.372242
503.4091, 2.313427
503.8912, 1.969967
504.3733, 1.742298
504.8554, 1.771801
505.3375, 1.744576
505.8196, 1.447071
506.3018, 1.046505
506.7839, 0.8296850
507.2660, 0.8984180
507.7481, 1.095234
508.2302, 1.174141
508.7123, 1.100365
509.1945, 1.034019
509.6766, 0.9689560
510.1587, 0.9185450
510.6408, 0.8730620
511.1229, 0.8585010
511.6050, 0.8575290
512.0872, 0.8600350
512.5693, 0.8970830
513.0514, 1.092762
513.5335, 1.500351
514.0156, 1.641525
514.4977, 1.213249
514.9799, 0.6802900
515.4620, 0.4359440
515.9441, 0.4487950
516.4262, 0.4794810
516.9083, 0.3758320
517.3904, 0.2677800
517.8726, 0.3950270
518.3547, 0.7433890
518.8368, 0.9813230
519.3189, 0.9236410
519.8010, 0.6967510
520.2831, 0.5960730
520.7653, 0.6801570
521.2474, 0.6908760
521.7295, 0.4761960
522.2116, 0.2458570
522.6937, 0.1738240
523.1758, 0.2706220
523.6580, 0.5061610
524.1401, 0.8961720
524.6222, 1.355202
525.1043, 1.421646
525.5864, 0.5842670
526.0685, 8.5674003E-02
526.5507, 0.2674370
527.0328, 0.6469190
527.5149, 0.8580060
527.9970, 0.8470190
528.4791, 0.7465780
528.9612, 0.6314740
529.4434, 0.5213660
529.9255, 0.5656930
530.4076, 0.8587070
530.8897, 1.086765
531.3718, 1.042004
531.8539, 0.8977740
532.3361, 0.8530010
532.8182, 0.9604380
533.3003, 0.9988330
533.7824, 0.7205120
534.2645, 0.2968670
534.7466, 5.6343000E-02
535.2288, 4.2068001E-02
535.7109, 0.1340290
536.1930, 0.2777820
536.6751, 0.4534870
537.1572, 0.5465130
537.6393, 0.4674490
538.1215, 0.4253770
538.6036, 0.5508080
539.0857, 0.7113270
539.5678, 0.7093540
540.0499, 0.5204510
540.5320, 0.3158070
541.0142, 0.2852630
541.4963, 0.4360280
541.9784, 0.5102350
542.4604, 0.4732210
542.9426, 0.3936310
543.4247, 0.2308270
543.9068, 5.8708001E-02
544.3889, 4.3823000E-02
