##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
221.9908, 124.2988
222.4729, 105.6172
222.9550, 94.01172
223.4371, 85.27930
223.9192, 75.39062
224.4014, 59.04688
224.8835, 56.65039
225.3656, 75.00391
225.8477, 110.5391
226.3298, 138.0156
226.8119, 155.1035
227.2941, 167.2031
227.7762, 176.5684
228.2583, 176.3555
228.7404, 185.5371
229.2225, 210.2188
229.7046, 247.0762
230.1868, 272.8496
230.6689, 292.3418
231.1510, 293.3281
231.6331, 260.5020
232.1152, 163.3281
232.5974, 97.41211
233.0795, 89.41211
233.5616, 134.4219
234.0437, 143.3496
234.5258, 98.95117
235.0079, 40.86133
235.4901, 0.8183590
235.9722, 14.81055
236.4543, 21.13867
236.9364, 12.94531
237.4185, 9.271484
237.9006, 6.738281
238.3828, 36.44922
238.8649, 84.54102
239.3470, 110.4121
239.8291, 125.5508
240.3112, 112.4414
240.7933, 57.55078
241.2755, 38.78320
241.7576, 109.5449
242.2397, 151.5391
242.7218, 171.2324
243.2039, 170.0801
243.6860, 122.9199
244.1682, 97.02539
244.6503, 116.0371
245.1324, 181.7520
245.6145, 211.1719
246.0966, 182.4570
246.5787, 139.7402
247.0609, 127.9082
247.5430, 168.3086
248.0251, 198.7129
248.5072, 206.5273
248.9893, 191.1387
249.4714, 170.0781
249.9536, 132.3379
250.4357, 101.1250
250.9178, 103.7617
251.3999, 163.0352
251.8820, 207.4590
252.3641, 217.1602
252.8463, 191.2773
253.3284, 177.0215
253.8105, 180.8262
254.2926, 189.5078
254.7747, 190.2168
255.2568, 181.4102
255.7390, 167.8340
256.2211, 146.2910
256.7032, 116.6875
257.1853, 107.1641
257.6674, 128.5898
258.1495, 157.0957
258.6317, 166.8203
259.1138, 147.9219
259.5959, 133.0156
260.0780, 130.0449
260.5601, 138.9551
261.0422, 142.5508
261.5244, 138.2754
262.0065, 131.7422
262.4886, 128.5215
262.9707, 129.7793
263.4528, 131.7188
263.9349, 134.4199
264.4171, 138.0137
264.8992, 138.2012
265.3813, 135.0879
265.8634, 128.7031
266.3455, 117.5625
266.8276, 98.57227
267.3098, 85.06641
267.7919, 81.99609
268.2740, 88.45898
268.7561, 87.87500
269.2382, 76.65039
269.7203, 64.46875
270.2025, 59.72461
270.6846, 62.14648
271.1667, 72.49023
271.6488, 93.74609
272.1309, 124.5547
272.6130, 153.7480
273.0952, 183.4238
273.5773, 202.2051
274.0594, 197.2852
274.5415, 165.8730
275.0236, 147.5293
275.5057, 158.1777
275.9879, 188.4590
276.4700, 180.7695
276.9521, 123.1191
277.4342, 64.65039
277.9163, 55.61914
278.3984, 101.4688
278.8806, 142.9922
279.3627, 169.7871
279.8448, 183.0664
280.3269, 186.1934
280.8090, 177.1074
281.2911, 164.6289
281.7733, 156.8203
282.2554, 153.3867
282.7375, 145.3984
283.2196, 128.4980
283.7017, 106.0234
284.1838, 86.53320
284.6660, 68.28125
285.1481, 62.60156
285.6302, 86.99805
286.1123, 139.1758
286.5944, 181.8223
287.0765, 212.4336
287.5587, 226.5781
288.0408, 201.7969
288.5229, 135.6348
289.0050, 73.43555
289.4871, 52.98047
289.9692, 69.02539
290.4514, 89.94922
290.9335, 114.5273
291.4156, 138.6035
291.8977, 152.0645
292.3798, 158.4980
292.8619, 160.4941
293.3441, 156.5820
293.8262, 148.0137
294.3083, 144.5898
294.7904, 154.8242
295.2726, 159.0586
295.7547, 106.4082
296.2368, 3.640625
296.7189, 81.95898
297.2010, 93.67578
297.6831, 53.97070
298.1653, 8.746094
298.6474, 44.97656
299.1295, 88.36914
299.6116, 81.18164
300.0937, 33.90430
300.5758, 7.433594
301.0580, 9.230469
301.5401, 11.02344
302.0222, 23.50000
302.5043, 22.38867
302.9864, 22.42578
303.4685, 43.80859
303.9507, 79.86133
304.4328, 110.3184
304.9149, 127.3320
305.3970, 131.8008
305.8791, 122.2676
306.3612, 97.03125
306.8434, 68.01758
307.3255, 40.32227
307.8076, 16.27539
308.2897, 0.3730470
308.7718, 11.06445
309.2539, 10.29688
309.7361, 16.65820
310.2182, 72.44141
310.7003, 123.5059
311.1824, 138.2988
311.6645, 134.5488
312.1466, 138.5547
312.6288, 174.5957
313.1109, 211.5312
313.5930, 227.6367
314.0751, 222.2480
314.5572, 215.3066
315.0393, 218.6719
315.5215, 226.2246
316.0036, 231.0254
316.4857, 218.7539
316.9678, 214.8262
317.4499, 238.1074
317.9320, 287.0527
318.4142, 328.1797
318.8963, 349.9004
319.3784, 358.0488
319.8605, 357.5684
320.3426, 325.7324
320.8247, 308.8242
321.3069, 323.8770
321.7890, 367.0332
322.2711, 415.1973
322.7532, 484.7480
323.2353, 542.4492
323.7174, 567.7891
324.1996, 532.2617
324.6817, 492.1953
325.1638, 457.4512
325.6459, 424.9160
326.1280, 384.5410
326.6101, 306.6953
327.0923, 244.4688
327.5744, 224.9141
328.0565, 316.8438
328.5386, 353.1621
329.0207, 295.6367
329.5028, 183.8008
329.9850, 108.6641
330.4671, 81.33789
330.9492, 81.26172
331.4313, 108.8301
331.9134, 190.9961
332.3955, 232.4746
332.8777, 212.7676
333.3598, 161.8711
333.8419, 125.5625
334.3240, 99.38867
334.8061, 94.56641
335.2882, 121.9160
335.7704, 190.0117
336.2525, 227.7324
336.7346, 222.8027
337.2167, 199.9297
337.6988, 189.9570
338.1809, 195.7129
338.6631, 203.5664
339.1452, 210.1992
339.6273, 215.6816
340.1094, 220.9531
340.5915, 227.7285
341.0736, 231.2090
341.5558, 225.0254
342.0379, 208.6621
342.5200, 193.6348
343.0021, 184.6777
343.4842, 178.9590
343.9663, 161.4238
344.4485, 130.6562
344.9306, 101.2246
345.4127, 89.75586
345.8948, 93.83984
346.3769, 89.12891
346.8590, 70.44336
347.3412, 43.33594
347.8233, 6.248047
348.3054, 38.47266
348.7875, 51.25586
349.2696, 26.38281
349.7517, 156.3203
350.2339, 232.0645
350.7160, 230.3242
351.1981, 200.9316
351.6802, 195.0742
352.1623, 211.0742
352.6444, 244.4688
353.1266, 327.5449
353.6087, 412.1816
354.0908, 407.4180
354.5729, 294.9238
355.0550, 182.4414
355.5371, 171.9238
356.0193, 227.6133
356.5014, 282.0859
356.9835, 316.6016
357.4656, 327.9824
357.9477, 303.1270
358.4298, 242.4980
358.9120, 186.8848
359.3941, 170.7285
359.8762, 169.8262
360.3583, 158.3340
360.8404, 99.41797
361.3225, 55.63281
361.8047, 68.30078
362.2868, 126.1602
362.7689, 169.9531
363.2510, 158.0312
363.7331, 134.7793
364.2152, 132.0703
364.6974, 187.0430
365.1795, 216.3398
365.6616, 180.2793
366.1437, 102.7832
366.6258, 48.40625
367.1079, 44.79492
367.5901, 55.48633
368.0722, 67.32812
368.5543, 83.47852
369.0364, 90.33789
369.5185, 85.31836
370.0006, 72.73828
370.4828, 58.02344
370.9649, 33.49219
371.4470, 17.72266
371.9291, 15.32617
372.4112, 26.93750
372.8933, 48.40430
373.3755, 84.08984
373.8576, 122.9980
374.3397, 154.6152
374.8218, 178.5195
375.3039, 192.0938
375.7861, 191.5723
376.2682, 173.6367
376.7503, 152.3711
377.2324, 122.7578
377.7145, 101.5430
378.1967, 111.2559
378.6788, 156.9336
379.1609, 171.7500
379.6430, 140.0117
380.1251, 82.34570
380.6072, 47.61133
381.0894, 38.15625
381.5715, 30.60938
382.0536, 5.349609
382.5357, 30.89258
383.0178, 42.09766
383.4999, 21.66602
383.9821, 9.125000
384.4642, 17.82422
384.9463, 9.955078
385.4284, 10.83984
385.9105, 45.12500
386.3926, 90.14844
386.8748, 98.10156
387.3569, 67.08008
387.8390, 44.44922
388.3211, 86.13672
388.8032, 161.3320
389.2853, 215.8750
389.7675, 224.9160
390.2496, 214.5176
390.7317, 202.9453
391.2138, 190.1035
391.6959, 174.0371
392.1780, 147.9336
392.6602, 122.3438
393.1423, 108.6074
393.6244, 118.7988
394.1065, 123.5371
394.5886, 103.3066
395.0707, 69.32617
395.5529, 45.47266
396.0350, 35.76953
396.5171, 39.98438
396.9992, 63.72656
397.4813, 116.5742
397.9634, 151.3457
398.4456, 151.0488
398.9277, 132.5801
399.4098, 115.8633
399.8919, 96.13281
400.3740, 84.53320
400.8561, 87.81836
401.3383, 105.9473
401.8204, 112.6699
402.3025, 101.4219
402.7846, 86.33594
403.2667, 77.69727
403.7488, 79.49805
404.2310, 79.05078
404.7131, 72.80273
405.1952, 64.90430
405.6773, 70.09766
406.1594, 92.12695
406.6415, 111.0352
407.1237, 114.3906
407.6058, 96.12109
408.0879, 101.2910
408.5700, 135.2266
409.0521, 181.3496
409.5342, 223.4258
410.0164, 260.1133
410.4985, 269.5293
410.9806, 227.6699
411.4627, 154.5430
411.9448, 109.0371
412.4269, 91.03711
412.9091, 91.07617
413.3912, 107.1270
413.8733, 134.3730
414.3554, 165.1719
414.8375, 209.7539
415.3196, 238.6484
415.8018, 199.8262
416.2839, 110.1777
416.7660, 34.56445
417.2481, 21.78711
417.7302, 39.95508
418.2123, 59.13281
418.6945, 74.44922
419.1766, 86.69727
419.6587, 95.87695
420.1408, 102.7734
420.6229, 107.3789
421.1050, 101.8164
421.5872, 101.0137
422.0693, 115.5430
422.5514, 146.3105
423.0335, 173.7852
423.5156, 193.6680
423.9977, 208.2773
424.4799, 219.8320
424.9620, 247.1895
425.4441, 246.8340
425.9262, 194.1719
426.4083, 106.8691
426.8904, 54.20898
427.3726, 53.33984
427.8547, 64.77344
428.3368, 71.92773
428.8189, 71.14453
429.3010, 81.07031
429.7831, 107.6680
430.2653, 139.5781
430.7474, 167.8320
431.2295, 200.2539
431.7116, 193.3496
432.1937, 108.5742
432.6758, 30.74414
433.1580, 59.36914
433.6401, 37.08789
434.1222, 156.5039
434.6043, 204.5020
435.0864, 192.6406
435.5685, 191.3242
436.0507, 213.2168
436.5328, 248.2617
437.0149, 287.1289
437.4970, 326.5781
437.9791, 354.8281
438.4612, 356.4707
438.9434, 344.8750
439.4255, 348.0137
439.9076, 372.8320
440.3897, 370.6816
440.8718, 271.9766
441.3539, 134.6348
441.8361, 37.45117
442.3182, 22.25195
442.8003, 44.53320
443.2824, 112.6289
443.7645, 214.6152
444.2466, 265.5957
444.7288, 182.3379
445.2109, 72.12305
445.6930, 3.050781
446.1751, 5.087891
446.6572, 12.98047
447.1393, 14.47461
447.6215, 15.80078
448.1036, 29.97852
448.5857, 68.25195
449.0678, 105.7734
449.5499, 138.5508
450.0320, 167.0684
450.5142, 183.0098
450.9963, 179.5840
451.4784, 173.2109
451.9605, 177.9395
452.4426, 194.8516
452.9247, 222.6152
453.4069, 266.0898
453.8890, 317.6992
454.3711, 355.7793
454.8532, 380.4434
455.3353, 389.1504
455.8174, 367.7988
456.2996, 323.7207
456.7817, 300.9238
457.2638, 301.8594
457.7459, 316.8574
458.2281, 346.1211
458.7102, 381.4844
459.1923, 400.3809
459.6744, 383.9629
460.1565, 353.9238
460.6386, 344.1582
461.1208, 350.3535
461.6029, 338.5430
462.0850, 265.9258
462.5671, 178.2012
463.0492, 121.4785
463.5313, 116.0547
464.0135, 119.4277
464.4956, 116.8438
464.9777, 110.4141
465.4598, 102.9863
465.9419, 83.22852
466.4240, 73.59766
466.9062, 85.99023
467.3883, 123.2188
467.8704, 150.6504
468.3525, 169.7109
468.8346, 173.1504
469.3167, 151.2578
469.7989, 64.51562
470.2810, 24.69727
470.7631, 60.50586
471.2452, 141.3281
471.7273, 180.4473
472.2094, 169.6660
472.6916, 143.1230
473.1737, 115.4023
473.6558, 87.46680
474.1379, 49.96289
474.6200, 0.6796880
475.1021, 45.13281
475.5843, 67.59961
476.0664, 68.83789
476.5485, 68.19141
477.0306, 73.59766
477.5127, 76.15430
477.9948, 60.18359
478.4770, 27.87500
478.9591, 9.640625
479.4412, 44.50000
479.9233, 79.63281
480.4054, 120.6836
480.8875, 169.3281
481.3697, 210.3828
481.8518, 231.0098
482.3339, 237.9609
482.8160, 240.6211
483.2981, 232.7422
483.7802, 229.8359
484.2624, 244.6367
484.7445, 273.5293
485.2266, 287.9258
485.7087, 264.8320
486.1908, 239.5684
486.6729, 231.1875
487.1551, 250.1660
487.6372, 267.4180
488.1193, 294.1621
488.6014, 313.4531
489.0835, 293.0996
489.5656, 204.6465
490.0478, 152.1230
490.5299, 179.4180
491.0120, 269.9141
491.4941, 282.0332
491.9762, 196.3945
492.4583, 108.2207
492.9405, 101.5137
493.4226, 164.3691
493.9047, 203.2949
494.3868, 202.9609
494.8689, 190.6562
495.3510, 211.1465
