##NAMES=Fergusonite-(Ce)
##RRUFFID=R110050
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_&#183;0.3H_2_O
##LOCALITY=Mount Malosa, Zomba District, Malawi
##OWNER=RRUFF
##SOURCE=Donald M Doell
##DESCRIPTION=Brown prismatic crystals on microcline, associated with zircon
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110050
229.0849, 11645.28
229.5670, 11644.70
230.0491, 11646.47
230.5312, 11645.12
231.0133, 11637.09
231.4954, 11627.04
231.9776, 11620.91
232.4597, 11619.39
232.9418, 11617.03
233.4239, 11609.44
233.9060, 11598.84
234.3881, 11588.11
234.8703, 11576.34
235.3524, 11566.11
235.8345, 11562.20
236.3166, 11566.34
236.7987, 11569.40
237.2808, 11565.87
237.7630, 11558.82
238.2451, 11551.26
238.7272, 11544.22
239.2093, 11536.85
239.6914, 11527.23
240.1735, 11514.20
240.6557, 11502.66
241.1378, 11496.26
241.6199, 11491.51
242.1020, 11484.74
242.5841, 11474.31
243.0662, 11462.83
243.5484, 11455.17
244.0305, 11453.15
244.5126, 11450.17
244.9947, 11444.59
245.4768, 11437.33
245.9589, 11428.60
246.4410, 11418.34
246.9232, 11407.88
247.4053, 11400.05
247.8874, 11397.41
248.3695, 11391.03
248.8516, 11374.83
249.3337, 11357.39
249.8159, 11346.07
250.2980, 11342.96
250.7801, 11343.38
251.2622, 11339.43
251.7443, 11329.12
252.2264, 11318.70
252.7086, 11307.89
253.1907, 11297.70
253.6728, 11289.06
254.1549, 11282.15
254.6370, 11276.02
255.1191, 11269.23
255.6013, 11261.45
256.0834, 11253.79
256.5655, 11246.74
257.0476, 11239.55
257.5297, 11231.06
258.0118, 11221.42
258.4940, 11212.29
258.9761, 11206.29
259.4582, 11205.63
259.9403, 11202.48
260.4224, 11195.98
260.9045, 11188.23
261.3867, 11179.46
261.8688, 11170.29
262.3509, 11162.78
262.8330, 11160.04
263.3151, 11165.34
263.7972, 11162.97
264.2794, 11147.04
264.7615, 11130.00
265.2436, 11118.40
265.7257, 11112.55
266.2078, 11109.27
266.6899, 11105.59
267.1721, 11101.35
267.6542, 11097.82
268.1363, 11095.71
268.6184, 11093.51
269.1005, 11092.00
269.5826, 11090.13
270.0648, 11084.51
270.5469, 11071.40
271.0290, 11050.36
271.5111, 11036.88
271.9932, 11036.61
272.4753, 11036.58
272.9575, 11030.06
273.4396, 11019.00
273.9217, 11010.24
274.4038, 11009.29
