##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
257.4313, 4.833763
257.9135, 2.298813
258.3956, 1.298393
258.8777, 1.208656
259.3598, 2.521400
259.8419, 4.764236
260.3240, 6.183838
260.8062, 5.276794
261.2883, 2.063629
261.7704, 0.6981890
262.2525, 2.225418
262.7346, 4.057091
263.2167, 5.359642
263.6989, 6.148140
264.1810, 6.556122
264.6631, 6.632881
265.1452, 6.462692
265.6273, 6.606453
266.1094, 7.463013
266.5916, 8.149132
267.0737, 8.073509
267.5558, 7.545097
268.0379, 7.454323
268.5200, 8.457756
269.0021, 10.08070
269.4843, 10.26000
269.9664, 7.869400
270.4485, 5.741226
270.9306, 4.703545
271.4127, 4.561470
271.8948, 4.954765
272.3770, 5.799202
272.8591, 6.969917
273.3412, 8.317268
273.8233, 10.41421
274.3054, 11.56364
274.7875, 10.71304
275.2697, 8.624580
275.7518, 6.527519
276.2339, 4.707458
276.7160, 3.421684
277.1981, 3.627518
277.6802, 5.820244
278.1623, 7.087486
278.6444, 5.370255
279.1266, 2.451447
279.6087, 2.065544
280.0908, 5.771523
280.5729, 10.84798
281.0550, 13.60625
281.5371, 14.20613
282.0193, 12.98956
282.5014, 7.543213
282.9835, 1.142456
283.4656, 0.7480850
283.9477, 3.353531
284.4298, 8.706879
284.9120, 9.538643
285.3941, 6.923111
285.8762, 6.353035
286.3583, 11.63696
286.8404, 18.22929
287.3225, 19.77138
287.8047, 15.23162
288.2868, 10.23360
288.7689, 9.952477
289.2510, 13.01273
289.7331, 14.57524
290.2152, 12.14772
290.6974, 8.821442
291.1795, 8.743721
291.6616, 12.30850
292.1437, 14.66673
292.6258, 11.57000
293.1079, 5.342575
293.5901, 1.570534
294.0722, 1.619453
294.5543, 3.334854
295.0364, 5.404305
295.5185, 7.793541
296.0006, 9.746292
296.4828, 10.57066
296.9649, 10.54028
297.4470, 10.29574
297.9291, 9.859047
298.4112, 9.198792
298.8933, 8.299316
299.3755, 7.151634
299.8576, 5.544853
300.3397, 2.582565
300.8218, 0.1420820
301.3039, 1.116295
301.7860, 6.062874
302.2682, 10.20384
302.7503, 10.26555
303.2324, 7.286125
303.7145, 4.888451
304.1966, 3.901939
304.6787, 3.595703
305.1609, 2.951828
305.6430, 2.051003
306.1251, 2.028526
306.6072, 4.272682
307.0893, 7.630074
307.5714, 9.506821
308.0536, 9.346519
308.5357, 8.466354
309.0178, 7.773087
309.4999, 7.226250
309.9820, 6.739189
310.4641, 5.773205
310.9463, 5.052238
311.4284, 6.276386
311.9105, 9.989182
312.3926, 12.74696
312.8747, 11.13678
313.3568, 7.198338
313.8390, 4.543068
314.3211, 4.507698
314.8032, 5.328476
315.2853, 5.100941
315.7674, 3.791840
316.2495, 2.754192
316.7317, 2.919724
317.2138, 3.545261
317.6959, 3.345528
318.1780, 1.809338
318.6601, 0.5211830
319.1422, 1.156448
319.6243, 3.368134
320.1064, 4.536350
320.5886, 3.095879
321.0707, 1.133999
321.5528, 1.634800
322.0349, 4.816700
322.5170, 7.320080
322.9991, 6.535961
323.4813, 3.655579
323.9634, 2.078320
324.4455, 2.574722
324.9276, 4.159737
325.4097, 6.786877
325.8918, 10.08226
326.3740, 11.50039
326.8561, 8.271851
327.3382, 3.253063
327.8203, 1.424835
328.3024, 3.691895
328.7845, 6.310524
329.2667, 6.132343
329.7488, 4.145081
330.2309, 2.748390
330.7130, 2.344177
331.1951, 2.756165
331.6772, 4.536560
332.1594, 7.476936
332.6415, 9.270935
333.1236, 8.223869
333.6057, 5.323456
334.0878, 2.758068
334.5699, 0.1331410
335.0521, 1.296024
335.5342, 0.3015900
336.0163, 4.083771
336.4984, 6.336929
336.9805, 5.092491
337.4626, 2.695274
337.9448, 2.868900
338.4269, 5.678589
338.9090, 8.977676
339.3911, 12.86627
339.8732, 16.49243
340.3553, 18.29765
340.8375, 17.99863
341.3196, 15.67234
341.8017, 9.823105
342.2838, 8.837632
342.7659, 4.866459
343.2480, 4.405457
343.7302, 1.226391
344.2123, 1.457966
344.6944, 3.368732
345.1765, 4.526775
345.6586, 4.965843
346.1407, 4.553543
346.6229, 4.835319
347.1050, 0.9930500
347.5871, 4.212963
348.0692, 2.736633
348.5513, 2.247040
349.0334, 6.068047
349.5156, 6.177544
349.9977, 3.835323
350.4798, 2.470837
350.9619, 2.198135
351.4440, 2.401379
351.9261, 2.899334
352.4083, 3.773510
352.8904, 5.529392
353.3725, 8.465321
353.8546, 11.19532
354.3367, 11.50534
354.8188, 8.771103
355.3010, 6.293201
355.7831, 3.683434
356.2652, 1.839489
356.7473, 2.040981
357.2294, 4.357735
357.7115, 6.929367
358.1937, 8.215950
358.6758, 8.127476
359.1579, 7.466770
359.6400, 5.447506
360.1221, 3.675690
360.6042, 2.969379
361.0863, 3.161469
361.5685, 3.802212
362.0506, 4.708942
362.5327, 5.747604
363.0148, 6.353027
363.4969, 6.641899
363.9790, 6.394192
364.4612, 4.984669
364.9433, 3.244686
365.4254, 2.160194
365.9075, 2.056892
366.3896, 2.720654
366.8717, 3.915710
367.3539, 6.358253
367.8360, 7.604630
368.3181, 6.811989
368.8002, 5.562996
369.2823, 4.855408
369.7644, 4.770569
370.2466, 4.889484
370.7287, 4.864071
371.2108, 4.698277
371.6929, 4.276428
372.1750, 3.202858
372.6571, 2.311798
373.1393, 1.799042
373.6214, 1.644619
374.1035, 1.756931
374.5856, 2.091011
375.0677, 2.678741
375.5498, 3.696049
376.0320, 6.163380
376.5141, 7.457191
376.9962, 6.345787
377.4783, 4.677742
377.9604, 4.304363
378.4425, 5.568359
378.9247, 7.083893
379.4068, 6.757076
379.8889, 3.757568
380.3710, 1.847073
380.8531, 1.562572
381.3352, 1.886623
381.8174, 2.905296
382.2995, 4.239105
382.7816, 4.976318
383.2637, 4.174286
383.7458, 2.171471
384.2279, 1.427734
384.7101, 3.073124
385.1922, 4.269928
385.6743, 3.624527
386.1564, 2.314587
386.6385, 1.936592
387.1206, 3.262306
387.6028, 1.925012
388.0849, 4.440426
388.5670, 0.9508590
389.0491, 1.087521
389.5312, 0.7864190
390.0133, 3.457386
390.4955, 5.193188
390.9776, 5.793648
391.4597, 5.512932
391.9418, 3.774181
392.4239, 1.007214
392.9060, 0.1271360
393.3882, 2.773220
393.8703, 5.202805
394.3524, 4.105347
394.8345, 1.051620
395.3166, 0.4817700
395.7987, 1.883915
396.2809, 5.547016
396.7630, 6.649261
397.2451, 5.018002
397.7272, 3.640636
398.2093, 4.090042
398.6914, 5.433979
399.1736, 6.233738
399.6557, 6.456043
400.1378, 6.095928
400.6199, 4.408283
401.1020, 2.168961
401.5841, 0.6993480
402.0662, 0.2073440
402.5483, 0.2199290
403.0305, 0.4922450
403.5126, 1.003952
403.9947, 1.215366
404.4768, 0.8190460
404.9589, 0.1296270
405.4410, 0.7826880
405.9232, 1.543854
406.4053, 1.627655
406.8874, 0.9665530
407.3695, 0.4199640
407.8516, 2.387943
408.3337, 6.652088
408.8159, 9.438457
409.2980, 8.483364
409.7801, 5.567146
410.2622, 3.687065
410.7443, 3.880066
411.2264, 1.944871
411.7086, 1.723555
412.1907, 1.015087
412.6728, 1.031784
413.1549, 2.200462
413.6370, 2.088844
414.1191, 0.6871800
414.6013, 5.346878
415.0834, 8.934837
415.5655, 8.902935
416.0476, 5.520561
416.5297, 3.492599
417.0118, 4.104866
417.4940, 4.657696
417.9761, 4.558392
418.4582, 4.210308
418.9403, 4.135231
419.4224, 4.532551
419.9045, 5.238293
420.3867, 6.117863
420.8688, 7.606647
421.3509, 8.062515
421.8330, 6.415169
422.3151, 4.631439
422.7972, 3.240894
423.2794, 2.575325
423.7615, 3.335648
424.2436, 6.828823
424.7257, 12.32910
425.2078, 14.69607
425.6899, 11.85893
426.1721, 9.468494
426.6542, 9.857800
427.1363, 11.63673
427.6184, 13.29547
428.1005, 14.41104
428.5826, 15.05659
429.0648, 15.12442
429.5469, 14.60341
430.0290, 14.41386
430.5111, 15.19492
430.9932, 15.85469
431.4753, 15.44050
431.9575, 14.04104
432.4396, 12.37743
432.9217, 9.910072
433.4038, 7.696712
433.8859, 8.034878
434.3680, 11.29295
434.8502, 14.60826
435.3323, 16.65683
435.8144, 17.24804
436.2965, 16.10282
436.7786, 11.40846
437.2607, 7.702950
437.7429, 7.924877
438.2250, 10.92746
438.7071, 14.45922
439.1892, 18.02638
439.6713, 20.89413
440.1534, 21.71669
440.6356, 19.82878
441.1177, 18.92500
441.5998, 20.10713
442.0819, 21.61076
442.5640, 21.95897
443.0461, 21.36430
443.5282, 21.21836
444.0103, 22.57951
444.4925, 25.02455
444.9746, 26.14764
445.4567, 25.19664
445.9388, 23.86639
446.4209, 21.38399
446.9030, 18.89687
447.3852, 17.98466
447.8673, 18.82290
448.3494, 20.23267
448.8315, 20.75414
449.3136, 20.26284
449.7957, 19.49860
450.2779, 17.98008
450.7600, 16.75955
451.2421, 15.89788
451.7242, 15.44602
452.2063, 15.92420
452.6884, 18.04636
453.1706, 20.40336
453.6527, 18.93005
454.1348, 11.34480
454.6169, 6.990700
455.0990, 12.01125
455.5811, 18.61801
456.0633, 21.33626
456.5454, 19.74152
457.0275, 17.60940
457.5096, 18.15553
457.9917, 20.30854
458.4738, 19.45355
458.9560, 13.75997
459.4381, 9.614418
459.9202, 13.14696
460.4023, 20.75680
460.8844, 25.52888
461.3665, 25.25375
461.8487, 23.33399
462.3308, 21.89510
462.8129, 20.85036
463.2950, 19.87081
463.7771, 18.84224
464.2592, 17.88773
464.7414, 17.18622
465.2235, 16.75129
465.7056, 16.41070
466.1877, 15.93013
466.6698, 15.68863
467.1519, 16.04041
467.6341, 16.93941
468.1162, 18.19563
468.5983, 19.79430
469.0804, 21.48732
469.5625, 22.02901
470.0446, 19.44821
470.5268, 18.18539
471.0089, 20.25828
471.4910, 22.85423
471.9731, 22.90765
472.4552, 19.99444
472.9373, 16.59146
473.4195, 15.48948
473.9016, 16.89405
474.3837, 17.80836
474.8658, 18.01662
475.3479, 17.92058
475.8300, 17.67476
476.3122, 17.32890
476.7943, 16.74582
477.2764, 15.89461
477.7585, 14.90403
478.2406, 13.35300
478.7227, 11.01060
479.2049, 10.34603
479.6870, 13.04569
480.1691, 16.33100
480.6512, 18.35790
481.1333, 19.20477
481.6154, 19.47351
482.0976, 19.10903
482.5797, 18.48431
483.0618, 18.49935
483.5439, 19.20053
484.0260, 18.87641
484.5081, 16.13093
484.9902, 12.20698
485.4724, 9.870567
485.9545, 9.697834
486.4366, 9.295155
486.9187, 6.979752
487.4008, 4.338127
487.8829, 3.736549
488.3651, 5.467556
488.8472, 7.930622
489.3293, 9.946480
489.8114, 11.53199
490.2935, 11.33809
490.7756, 7.258022
491.2578, 4.195374
491.7399, 3.530853
492.2220, 4.685997
492.7041, 7.636730
493.1862, 12.14687
493.6683, 16.14838
494.1505, 16.24608
494.6326, 11.12944
495.1147, 7.340919
495.5968, 5.461792
496.0789, 4.419094
496.5610, 4.257919
497.0432, 4.611187
497.5253, 4.894749
498.0074, 4.811104
498.4895, 4.508076
498.9716, 4.214611
499.4537, 3.910419
499.9359, 3.763027
500.4180, 4.077618
500.9001, 4.311195
501.3822, 4.008728
501.8643, 3.193985
502.3464, 2.208118
502.8286, 0.4380340
503.3107, 1.064392
503.7928, 4.0660002E-03
504.2749, 3.783463
504.7570, 6.538494
505.2391, 5.845352
505.7213, 2.928894
506.2034, 1.283833
506.6855, 1.511356
507.1676, 1.470585
507.6497, 0.1209030
508.1318, 1.891743
508.6140, 2.401951
509.0961, 1.421413
509.5782, 0.8937070
510.0603, 4.776478
510.5424, 10.03268
511.0245, 12.44782
511.5067, 9.324371
511.9888, 6.602207
512.4709, 5.765259
512.9530, 3.624629
513.4351, 2.638671
513.9172, 1.328701
514.3994, 1.148499
514.8815, 0.4650730
515.3636, 0.2219477
515.8457, 5.229599
516.3278, 0.8546680
516.8099, 1.922459
517.2921, 1.709995
517.7742, 8.232826
518.2563, 12.08931
518.7384, 11.10164
519.2205, 8.232098
519.7026, 6.229660
520.1848, 5.084465
520.6669, 4.994896
521.1490, 6.615723
521.6311, 8.054287
522.1132, 6.535114
522.5953, 2.746044
523.0775, 0.6426580
523.5596, 2.729977
524.0417, 5.079990
524.5238, 4.200226
525.0059, 1.245502
525.4880, 0.4304540
525.9702, 3.920166
526.4523, 8.935486
526.9344, 10.59298
527.4165, 6.866398
527.8986, 4.982258
528.3807, 6.549706
528.8629, 8.301769
529.3450, 8.119061
529.8271, 6.667202
530.3092, 6.028412
530.7913, 7.499397
531.2734, 9.777046
531.7556, 9.419037
532.2377, 5.294544
532.7198, 1.740501
533.2019, 1.520588
533.6840, 3.293159
534.1661, 1.887917
534.6483, 1.940037
535.1304, 5.069603
535.6125, 5.324364
536.0946, 4.047512
536.5767, 3.632397
537.0588, 4.113598
537.5410, 4.763882
538.0231, 5.472069
538.5052, 6.030174
538.9873, 5.991398
539.4694, 5.242561
