##NAMES=Bario-olgite
##RRUFFID=R060614
##IDEAL CHEMISTRY=Na(Na,Sr,Ce)_2_Ba(PO_4_)_2_
##LOCALITY=Palitra pegmatite, Kedykverpakhk Mountain, Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Grayish-green grains associated with brown manaksite R060693, and purple ussingite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060614
150.8602, 41972.49
151.3424, 42244.47
151.8245, 42535.55
152.3066, 42863.82
152.7887, 43194.85
153.2708, 43505.38
153.7529, 43784.85
154.2351, 44039.49
154.7172, 44283.01
155.1993, 44495.18
155.6814, 44719.39
156.1635, 44957.33
156.6456, 45208.44
157.1278, 45472.70
157.6099, 45750.98
158.0920, 46039.16
158.5741, 46319.58
159.0562, 46607.14
159.5383, 46872.41
160.0205, 47078.32
160.5026, 47252.87
160.9847, 47467.14
161.4668, 47772.04
161.9489, 48140.98
162.4310, 48445.53
162.9131, 48627.40
163.3953, 48804.96
163.8774, 49055.14
164.3595, 49371.13
164.8416, 49680.21
165.3237, 49932.27
165.8058, 50146.59
166.2880, 50371.76
166.7701, 50624.95
167.2522, 50882.73
167.7343, 51115.03
168.2164, 51316.64
168.6985, 51515.69
169.1807, 51717.61
169.6628, 51927.82
170.1449, 52158.45
170.6270, 52420.05
171.1091, 52700.17
171.5912, 52968.91
172.0734, 53217.50
172.5555, 53470.92
173.0376, 53754.70
173.5197, 54047.98
174.0018, 54320.77
174.4839, 54549.78
174.9661, 54743.96
175.4482, 54955.34
175.9303, 55214.88
176.4124, 55457.37
176.8945, 55643.46
177.3766, 55801.46
177.8588, 55980.13
178.3409, 56219.20
178.8230, 56519.80
179.3051, 56802.06
179.7872, 57042.16
180.2693, 57287.50
180.7515, 57557.71
181.2336, 57845.98
181.7157, 58128.98
182.1978, 58385.96
182.6799, 58612.62
183.1620, 58851.36
183.6441, 59107.32
184.1263, 59367.00
184.6084, 59629.38
185.0905, 59890.82
185.5726, 60139.79
186.0547, 60361.25
186.5368, 60549.95
187.0190, 60755.21
187.5011, 60988.61
187.9832, 61228.10
188.4653, 61459.33
188.9474, 61679.74
189.4296, 61893.28
189.9117, 62099.45
190.3938, 62298.53
190.8759, 62509.93
191.3580, 62739.44
191.8401, 62979.68
192.3223, 63224.60
192.8044, 63474.43
193.2865, 63726.62
193.7686, 63986.70
194.2507, 64250.12
194.7328, 64496.32
195.2150, 64706.88
195.6971, 64898.40
196.1792, 65102.66
196.6613, 65320.56
197.1434, 65555.09
197.6255, 65820.27
198.1077, 66105.09
198.5898, 66375.79
199.0719, 66590.98
199.5540, 66772.71
200.0361, 67020.83
200.5182, 67388.84
201.0004, 67754.95
201.4825, 68050.08
201.9646, 68291.13
202.4467, 68516.88
202.9288, 68743.41
203.4109, 68972.88
203.8930, 69236.38
204.3752, 69581.39
204.8573, 69911.41
205.3394, 70165.52
205.8215, 70370.88
206.3036, 70599.89
206.7857, 70928.05
207.2679, 71365.12
207.7500, 71711.73
208.2321, 71863.41
208.7142, 72014.98
209.1963, 72226.08
209.6784, 72489.65
210.1606, 72767.38
210.6427, 73023.80
211.1248, 73251.29
211.6069, 73511.18
212.0890, 73808.13
212.5711, 74127.98
213.0533, 74489.51
213.5354, 74875.23
214.0175, 75241.74
214.4996, 75543.30
214.9817, 75764.52
215.4638, 76033.80
215.9460, 76355.66
216.4281, 76709.54
216.9102, 77122.84
217.3923, 77572.78
217.8744, 77981.22
218.3565, 78259.98
218.8387, 78384.30
219.3208, 78622.29
219.8029, 79055.88
220.2850, 79522.54
220.7671, 79935.61
221.2492, 80288.29
221.7314, 80605.12
222.2135, 80899.11
222.6956, 81168.57
223.1777, 81458.80
223.6598, 81783.55
224.1419, 82118.88
224.6240, 82456.13
225.1062, 82793.41
225.5883, 83106.24
226.0704, 83362.13
226.5525, 83569.16
227.0346, 83805.69
227.5167, 84070.65
227.9989, 84370.55
228.4810, 84739.20
228.9631, 85180.94
229.4452, 85582.33
229.9273, 85816.59
230.4094, 85943.28
230.8916, 86131.15
231.3737, 86456.60
231.8558, 86827.27
232.3379, 87145.11
232.8200, 87407.39
233.3021, 87634.40
233.7843, 87796.02
234.2664, 87938.49
234.7485, 88138.26
235.2306, 88438.03
235.7127, 88783.21
236.1948, 89109.88
236.6770, 89422.48
237.1591, 89705.01
237.6412, 89947.48
238.1233, 90157.17
238.6054, 90340.16
239.0875, 90501.90
239.5697, 90632.42
240.0518, 90687.23
240.5339, 90618.71
241.0160, 90631.40
241.4981, 90869.66
241.9802, 91196.36
242.4624, 91490.63
242.9445, 91710.55
243.4266, 91881.53
243.9087, 92035.70
244.3908, 92153.02
244.8729, 92308.59
245.3550, 92547.63
245.8372, 92816.48
246.3193, 93078.00
246.8014, 93321.13
247.2835, 93537.80
247.7656, 93720.48
248.2477, 93874.53
248.7299, 93974.02
249.2120, 93954.02
249.6941, 93920.06
250.1762, 93964.63
250.6583, 94114.17
251.1404, 94306.05
251.6226, 94436.75
252.1047, 94483.06
252.5868, 94516.60
253.0689, 94506.34
253.5510, 94512.35
254.0331, 94596.24
254.5153, 94766.39
254.9974, 94960.52
255.4795, 95074.83
255.9616, 95040.52
256.4437, 95077.12
256.9258, 95242.48
257.4080, 95427.84
257.8901, 95558.70
258.3722, 95623.74
258.8543, 95667.30
259.3364, 95751.82
259.8185, 95906.10
260.3007, 96027.87
260.7828, 96133.64
261.2649, 96203.52
261.7470, 96196.94
262.2291, 96125.92
262.7112, 96060.25
263.1934, 96083.11
263.6755, 96223.27
264.1576, 96351.57
264.6397, 96456.69
265.1218, 96560.92
265.6039, 96676.91
266.0861, 96803.95
266.5682, 96937.52
267.0503, 97080.97
267.5324, 97248.47
268.0145, 97317.41
268.4966, 97202.48
268.9788, 97087.68
269.4609, 97077.14
269.9430, 97154.73
270.4251, 97232.04
270.9072, 97232.02
271.3893, 97150.19
271.8715, 97126.85
272.3536, 97198.30
272.8357, 97278.80
273.3178, 97342.16
273.7999, 97385.53
274.2820, 97411.45
274.7642, 97423.12
275.2463, 97418.75
275.7284, 97373.15
276.2105, 97235.12
276.6926, 97120.47
277.1747, 97083.13
277.6568, 97098.51
278.1389, 97107.49
278.6211, 97074.91
279.1032, 97015.97
279.5853, 96998.05
280.0674, 97065.02
280.5495, 97113.30
281.0316, 97124.38
281.5138, 97099.04
281.9959, 97025.39
282.4780, 96890.08
282.9601, 96731.07
283.4422, 96655.62
283.9243, 96710.27
284.4065, 96746.27
284.8886, 96714.48
285.3707, 96651.38
285.8528, 96601.02
286.3349, 96574.59
286.8170, 96586.07
287.2992, 96673.81
287.7813, 96865.89
288.2634, 97030.16
288.7455, 97120.02
289.2276, 97181.03
289.7097, 97280.66
290.1919, 97436.42
290.6740, 97582.72
291.1561, 97627.29
291.6382, 97552.98
292.1203, 97508.12
292.6024, 97503.61
293.0846, 97536.70
293.5667, 97614.62
294.0488, 97737.56
294.5309, 97873.01
295.0130, 97983.77
295.4951, 98072.02
295.9773, 98210.10
296.4594, 98418.79
296.9415, 98664.56
297.4236, 98946.23
297.9057, 99254.64
298.3878, 99525.54
298.8700, 99692.91
299.3521, 99779.84
299.8342, 99943.54
300.3163, 100230.9
300.7984, 100548.1
301.2805, 100837.7
301.7627, 101108.6
302.2448, 101410.7
302.7269, 101781.1
303.2090, 102195.6
303.6911, 102581.7
304.1732, 102936.7
304.6554, 103275.9
305.1375, 103572.9
305.6196, 103857.5
306.1017, 104216.5
306.5838, 104696.9
307.0659, 105240.1
307.5481, 105725.4
308.0302, 106140.0
308.5123, 106565.7
308.9944, 107028.9
309.4765, 107519.8
309.9586, 108014.5
310.4408, 108503.0
310.9229, 109003.5
311.4050, 109541.4
311.8871, 110117.6
312.3692, 110695.7
312.8513, 111234.5
313.3335, 111786.0
313.8156, 112434.1
314.2977, 113192.0
314.7798, 113968.8
315.2619, 114688.2
315.7440, 115352.4
316.2262, 116001.8
316.7083, 116599.5
317.1904, 117211.4
317.6725, 117900.3
318.1546, 118666.3
318.6367, 119447.8
319.1188, 120203.7
319.6010, 120942.4
320.0831, 121715.2
320.5652, 122572.0
321.0473, 123416.7
321.5294, 124174.8
322.0115, 124870.0
322.4937, 125597.8
322.9758, 126396.8
323.4579, 127257.5
323.9400, 128143.6
324.4221, 129087.7
324.9042, 129991.7
325.3864, 130779.5
325.8685, 131511.2
326.3506, 132310.4
326.8327, 133221.0
327.3148, 134196.6
327.7969, 135192.3
328.2791, 136227.5
328.7612, 137179.8
329.2433, 137968.0
329.7254, 138685.4
330.2075, 139422.8
330.6896, 140195.9
331.1718, 141017.9
331.6539, 141920.5
332.1360, 142910.5
332.6181, 143878.1
333.1002, 144794.0
333.5823, 145699.6
334.0645, 146605.1
334.5466, 147516.4
335.0287, 148508.0
335.5108, 149665.9
335.9929, 150944.6
336.4750, 151999.4
336.9572, 152660.5
337.4393, 153313.9
337.9214, 154158.7
338.4035, 155123.4
338.8856, 156020.4
339.3677, 156756.1
339.8499, 157385.5
340.3320, 158048.5
340.8141, 158742.3
341.2962, 159464.0
341.7783, 160238.1
342.2604, 161031.7
342.7426, 161816.1
343.2247, 162580.5
343.7068, 163286.6
344.1889, 163865.3
344.6710, 164245.3
345.1531, 164705.4
345.6353, 165313.8
346.1174, 165953.9
346.5995, 166530.0
347.0816, 167036.4
347.5637, 167554.5
348.0458, 168174.3
348.5280, 168909.8
349.0101, 169404.5
349.4922, 169458.4
349.9743, 169517.1
350.4564, 169798.3
350.9385, 170234.0
351.4207, 170650.4
351.9028, 170946.1
352.3849, 171141.2
352.8670, 171319.2
353.3491, 171433.7
353.8312, 171589.3
354.3134, 171835.7
354.7955, 172115.2
355.2776, 172370.9
355.7597, 172581.4
356.2418, 172744.0
356.7239, 172850.6
357.2061, 172851.8
357.6882, 172897.3
358.1703, 173070.4
358.6524, 173220.8
359.1345, 173231.3
359.6166, 173102.4
360.0987, 172919.8
360.5808, 172762.0
361.0630, 172629.5
361.5451, 172512.1
362.0272, 172421.7
362.5093, 172332.3
362.9914, 172256.7
363.4735, 172173.5
363.9557, 172047.8
364.4378, 171857.6
364.9199, 171611.1
365.4020, 171338.7
365.8841, 170985.5
366.3662, 170686.4
366.8484, 170483.6
367.3305, 170327.4
367.8126, 170183.3
368.2947, 170037.1
368.7768, 169869.6
369.2589, 169657.6
369.7411, 169418.8
370.2232, 169080.7
370.7053, 168513.5
371.1874, 167958.2
371.6695, 167543.8
372.1516, 167266.8
372.6338, 167037.0
373.1159, 166787.3
373.5980, 166517.8
374.0801, 166223.2
374.5622, 165876.2
375.0443, 165534.8
375.5265, 165202.9
376.0086, 164891.1
376.4907, 164624.6
376.9728, 164423.9
377.4549, 164251.3
377.9370, 164015.0
378.4192, 163688.2
378.9013, 163374.3
379.3834, 163077.8
379.8655, 162819.4
380.3476, 162630.4
380.8297, 162516.3
381.3119, 162426.0
381.7940, 162319.5
382.2761, 162196.6
382.7582, 162041.4
383.2403, 161811.2
383.7224, 161598.5
384.2046, 161462.5
384.6867, 161393.5
385.1688, 161350.9
385.6509, 161321.3
386.1330, 161302.4
386.6151, 161295.1
387.0973, 161307.5
387.5794, 161300.6
388.0615, 161228.6
388.5436, 161127.6
389.0257, 161042.5
389.5078, 160965.6
389.9900, 160934.1
390.4721, 160991.3
390.9542, 161129.6
391.4363, 161294.4
391.9184, 161476.9
392.4005, 161667.4
392.8827, 161873.4
393.3648, 162105.0
393.8469, 162259.3
394.3290, 162244.7
394.8111, 162145.1
395.2932, 162083.2
395.7754, 162075.6
396.2575, 162118.4
396.7396, 162236.5
397.2217, 162418.6
397.7038, 162530.0
398.1859, 162490.0
398.6681, 162445.6
399.1501, 162487.1
399.6323, 162605.5
400.1144, 162770.6
400.5965, 162982.3
401.0786, 163205.7
401.5607, 163326.6
402.0428, 163257.9
402.5250, 163253.5
403.0071, 163387.3
403.4892, 163593.3
403.9713, 163825.7
404.4534, 164065.3
404.9355, 164252.9
405.4177, 164308.8
405.8998, 164196.0
406.3819, 164128.4
406.8640, 164128.6
407.3461, 164147.0
407.8282, 164144.0
408.3104, 164138.5
408.7925, 164197.4
409.2746, 164374.9
409.7567, 164621.1
410.2388, 164706.4
410.7209, 164480.0
411.2031, 164277.9
411.6852, 164168.5
412.1673, 164073.4
412.6494, 163887.7
413.1315, 163596.6
413.6136, 163312.1
414.0958, 163216.8
414.5779, 163399.6
415.0600, 163410.7
415.5421, 163108.3
416.0242, 162761.4
416.5063, 162458.8
416.9885, 162194.5
417.4706, 161931.5
417.9527, 161635.7
418.4348, 161331.4
418.9169, 161110.9
419.3990, 161029.4
419.8812, 160911.7
420.3633, 160700.4
420.8454, 160433.8
421.3275, 160157.1
421.8096, 159883.3
422.2917, 159548.2
422.7739, 159050.9
423.2560, 158401.1
423.7381, 157789.0
424.2202, 157235.6
424.7023, 156738.3
425.1844, 156325.7
425.6666, 155968.5
426.1487, 155554.9
426.6308, 154998.9
427.1129, 154376.1
427.5950, 153810.6
428.0771, 153304.1
428.5593, 152777.4
429.0414, 152174.6
429.5235, 151534.9
430.0056, 150955.1
430.4877, 150473.3
430.9698, 149967.2
431.4520, 149361.8
431.9341, 148695.2
432.4162, 148038.0
432.8983, 147412.5
433.3804, 146791.1
433.8625, 146138.5
434.3447, 145449.5
434.8268, 144780.8
435.3089, 144154.1
435.7910, 143530.8
436.2731, 142904.8
436.7552, 142265.3
437.2374, 141571.2
437.7195, 140788.0
438.2016, 139955.1
438.6837, 139238.3
439.1658, 138768.6
439.6479, 138246.4
440.1301, 137630.8
440.6122, 136969.0
441.0943, 136303.1
441.5764, 135647.1
442.0585, 134993.0
442.5406, 134339.6
443.0227, 133689.2
443.5049, 133014.4
443.9870, 132243.2
444.4691, 131525.3
444.9512, 130933.1
445.4333, 130425.4
445.9154, 129931.9
446.3976, 129424.6
446.8797, 128895.1
447.3618, 128314.6
447.8439, 127653.3
448.3260, 127029.3
448.8081, 126462.1
449.2903, 125936.6
449.7724, 125461.3
450.2545, 125028.3
450.7366, 124592.5
451.2187, 124124.0
451.7008, 123624.5
452.1830, 123113.5
452.6651, 122595.7
453.1472, 122060.3
