##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
239.1380, 21.03235
239.6201, 26.68286
240.1022, 27.83899
240.5843, 17.16772
241.0665, 7.532471
241.5486, 6.153320
242.0307, 12.64795
242.5128, 21.18042
242.9949, 26.44141
243.4770, 28.24207
243.9592, 28.10364
244.4413, 24.15662
244.9234, 20.00146
245.4055, 16.58521
245.8876, 13.96362
246.3697, 11.97168
246.8519, 9.677246
247.3340, 7.619995
247.8161, 11.24341
248.2982, 26.43872
248.7803, 39.65564
249.2624, 47.31946
249.7446, 49.92261
250.2267, 47.99536
250.7088, 40.79248
251.1909, 30.35632
251.6730, 21.64490
252.1551, 12.06531
252.6373, 10.01624
253.1194, 25.63098
253.6015, 46.21497
254.0836, 57.24329
254.5657, 52.40356
255.0478, 40.25867
255.5300, 34.29114
256.0121, 36.06323
256.4942, 38.06995
256.9763, 36.76782
257.4584, 35.74316
257.9406, 39.00110
258.4227, 47.56995
258.9048, 55.28674
259.3869, 55.31372
259.8690, 47.36255
260.3511, 37.68811
260.8333, 21.87085
261.3154, 9.900391
261.7975, 11.18799
262.2796, 25.14233
262.7617, 39.17163
263.2438, 45.02649
263.7260, 43.33508
264.2081, 36.63916
264.6902, 20.41211
265.1723, 6.623657
265.6544, 5.376221
266.1365, 13.72217
266.6187, 22.24536
267.1008, 26.95251
267.5829, 28.68127
268.0650, 28.37146
268.5471, 25.04480
269.0292, 22.71741
269.5114, 27.14758
269.9935, 34.33887
270.4756, 37.05176
270.9577, 29.17908
271.4398, 18.37976
271.9219, 14.56628
272.4041, 17.97778
272.8862, 18.79321
273.3683, 8.753052
273.8504, 5.359497
274.3325, 10.30750
274.8146, 2.184082
275.2968, 8.852417
275.7789, 18.75159
276.2610, 26.62964
276.7431, 28.02600
277.2252, 19.15820
277.7073, 5.975098
278.1895, 2.478394
278.6716, 6.860352
279.1537, 5.872437
279.6358, 5.866333
280.1179, 22.21667
280.6000, 31.84119
281.0822, 31.70447
281.5643, 28.37585
282.0464, 31.10120
282.5285, 40.98584
283.0106, 42.39404
283.4927, 22.53003
283.9749, 0.4012450
284.4570, 4.963013
284.9391, 7.069336
285.4212, 22.58362
285.9033, 31.38452
286.3854, 33.22583
286.8676, 32.39392
287.3497, 25.37964
287.8318, 19.26514
288.3139, 18.50073
288.7960, 21.21680
289.2781, 23.68970
289.7603, 23.59375
290.2424, 21.75623
290.7245, 21.62891
291.2066, 24.67053
291.6887, 27.52087
292.1708, 29.47913
292.6530, 31.23621
293.1351, 33.66113
293.6172, 36.39893
294.0993, 39.02551
294.5814, 40.45984
295.0635, 39.91699
295.5457, 39.48987
296.0278, 39.47620
296.5099, 39.38989
296.9920, 38.90088
297.4741, 37.98877
297.9562, 36.80701
298.4384, 35.50732
298.9205, 34.15015
299.4026, 32.27759
299.8847, 26.18396
300.3668, 23.33337
300.8489, 29.43726
301.3310, 40.79089
301.8131, 49.32227
302.2953, 49.27087
302.7774, 42.99182
303.2595, 40.38269
303.7416, 45.98999
304.2237, 48.08972
304.7058, 43.03516
305.1880, 34.13879
305.6701, 22.71289
306.1522, 9.214600
306.6343, 0.1640630
307.1164, 8.894043
307.5985, 44.48376
308.0807, 66.06506
308.5628, 48.31226
309.0449, 26.75964
309.5270, 25.01074
310.0091, 44.03674
310.4912, 64.18652
310.9734, 68.58264
311.4555, 58.35986
311.9376, 45.30481
312.4197, 26.28210
312.9018, 10.40051
313.3839, 3.893799
313.8661, 4.528198
314.3482, 6.773193
314.8303, 8.809326
315.3124, 10.63647
315.7945, 12.24268
316.2766, 13.61548
316.7588, 14.86658
317.2409, 16.64050
317.7230, 18.07166
318.2051, 17.65674
318.6872, 14.65967
319.1693, 10.70276
319.6515, 4.386230
320.1336, 2.598267
320.6157, 1.664673
321.0978, 13.09656
321.5799, 32.33777
322.0620, 40.01245
322.5442, 34.44275
323.0263, 30.82727
