##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
146.5045, 2533322.
146.9866, 2533170.
147.4688, 2533319.
147.9509, 2533678.
148.4330, 2534260.
148.9151, 2535120.
149.3972, 2535858.
149.8793, 2535914.
150.3615, 2535750.
150.8436, 2535988.
151.3257, 2537062.
151.8078, 2538561.
152.2899, 2539504.
152.7720, 2539596.
153.2542, 2539614.
153.7363, 2539738.
154.2184, 2540016.
154.7005, 2540576.
155.1826, 2541609.
155.6647, 2543026.
156.1469, 2543892.
156.6290, 2543356.
157.1111, 2543061.
157.5932, 2543611.
158.0753, 2544756.
158.5574, 2545919.
159.0396, 2546608.
159.5217, 2546762.
160.0038, 2546961.
160.4859, 2547491.
160.9680, 2547808.
161.4501, 2547431.
161.9323, 2546510.
162.4144, 2545703.
162.8965, 2545743.
163.3786, 2546944.
163.8607, 2547661.
164.3428, 2547716.
164.8250, 2547471.
165.3071, 2547051.
165.7892, 2546508.
166.2713, 2546080.
166.7534, 2546095.
167.2355, 2546622.
167.7177, 2547168.
168.1998, 2547652.
168.6819, 2548146.
169.1640, 2548837.
169.6461, 2549847.
170.1282, 2550736.
170.6104, 2550797.
171.0925, 2550139.
171.5746, 2549487.
172.0567, 2549107.
172.5388, 2548947.
173.0209, 2548870.
173.5031, 2548900.
173.9852, 2548940.
174.4673, 2548846.
174.9494, 2548639.
175.4315, 2548539.
175.9136, 2548786.
176.3958, 2549364.
176.8779, 2549808.
177.3600, 2550058.
177.8421, 2550132.
178.3242, 2549946.
178.8063, 2549536.
179.2885, 2549154.
179.7706, 2549150.
180.2527, 2549693.
180.7348, 2549880.
181.2169, 2549327.
181.6990, 2548660.
182.1812, 2548132.
182.6633, 2547812.
183.1454, 2547691.
183.6275, 2547802.
184.1096, 2548402.
184.5917, 2548672.
185.0738, 2548384.
185.5560, 2547979.
186.0381, 2547780.
186.5202, 2547862.
187.0023, 2548061.
187.4844, 2548092.
187.9665, 2547717.
188.4487, 2547551.
188.9308, 2547802.
189.4129, 2548148.
189.8950, 2548218.
190.3771, 2547892.
190.8592, 2547460.
191.3414, 2547518.
191.8235, 2548464.
192.3056, 2549148.
192.7877, 2549254.
193.2698, 2549085.
193.7519, 2549119.
194.2341, 2549578.
194.7162, 2550104.
195.1983, 2549789.
195.6804, 2548318.
196.1625, 2547269.
196.6446, 2547524.
197.1268, 2548544.
197.6089, 2549052.
198.0910, 2548466.
198.5731, 2547420.
199.0552, 2546975.
199.5373, 2547228.
200.0195, 2547450.
200.5016, 2547183.
200.9837, 2546520.
201.4658, 2545904.
201.9479, 2545306.
202.4300, 2545010.
202.9122, 2545414.
203.3943, 2546607.
203.8764, 2547733.
204.3585, 2548041.
204.8406, 2547542.
205.3227, 2547039.
205.8048, 2546485.
206.2870, 2546207.
206.7691, 2546626.
207.2512, 2547777.
207.7333, 2548939.
208.2154, 2549239.
208.6975, 2548499.
209.1797, 2547971.
209.6618, 2548049.
210.1439, 2548267.
210.6260, 2548318.
211.1081, 2548170.
211.5902, 2548092.
212.0724, 2548532.
212.5545, 2549779.
213.0366, 2550626.
213.5187, 2550739.
214.0008, 2550636.
214.4829, 2550617.
214.9651, 2550742.
215.4472, 2550883.
215.9293, 2550813.
216.4114, 2550281.
216.8935, 2550076.
217.3756, 2550458.
217.8578, 2550935.
218.3399, 2551143.
218.8220, 2551017.
219.3041, 2550778.
219.7862, 2550774.
220.2683, 2551206.
220.7505, 2551502.
221.2326, 2551454.
221.7147, 2551418.
222.1968, 2551854.
222.6789, 2552809.
223.1610, 2553697.
223.6432, 2553583.
224.1253, 2551507.
224.6074, 2550437.
225.0895, 2551175.
225.5716, 2552451.
226.0537, 2553127.
226.5358, 2552935.
227.0180, 2552348.
227.5001, 2552021.
227.9822, 2552089.
228.4643, 2551965.
228.9464, 2551380.
229.4285, 2550693.
229.9107, 2550329.
230.3928, 2550392.
230.8749, 2550608.
231.3570, 2550715.
231.8391, 2550764.
232.3212, 2550376.
232.8034, 2548958.
233.2855, 2547289.
233.7676, 2546411.
234.2497, 2546570.
234.7318, 2547191.
235.2139, 2547868.
235.6961, 2548585.
236.1782, 2548882.
236.6603, 2548247.
237.1424, 2547242.
237.6245, 2546732.
238.1066, 2546877.
238.5888, 2547307.
239.0709, 2547760.
239.5530, 2548218.
240.0351, 2548655.
240.5172, 2549197.
240.9993, 2549666.
241.4815, 2549622.
241.9636, 2548816.
242.4457, 2548039.
242.9278, 2548029.
243.4099, 2548465.
243.8920, 2548696.
244.3742, 2548255.
244.8563, 2547450.
245.3384, 2547012.
245.8205, 2547071.
246.3026, 2547225.
246.7847, 2547352.
247.2668, 2547415.
247.7490, 2547342.
248.2311, 2547096.
248.7132, 2546707.
249.1953, 2546227.
249.6774, 2545643.
250.1595, 2545013.
250.6417, 2544222.
251.1238, 2543450.
251.6059, 2543001.
252.0880, 2543159.
252.5701, 2543551.
253.0522, 2543130.
253.5344, 2541356.
254.0165, 2539839.
254.4986, 2539083.
254.9807, 2538795.
255.4628, 2538705.
255.9449, 2538729.
256.4271, 2538801.
256.9092, 2538744.
257.3913, 2538434.
257.8734, 2538256.
258.3555, 2538356.
258.8376, 2538568.
259.3198, 2538718.
259.8019, 2538737.
260.2840, 2538722.
260.7661, 2538905.
261.2482, 2539483.
261.7303, 2539856.
262.2125, 2539695.
262.6946, 2539457.
263.1767, 2539549.
263.6588, 2540086.
264.1409, 2540831.
264.6230, 2541405.
265.1052, 2541875.
265.5873, 2541953.
266.0694, 2541253.
266.5515, 2540458.
267.0336, 2540089.
267.5157, 2540251.
267.9979, 2540673.
268.4800, 2540936.
268.9621, 2540848.
269.4442, 2541058.
269.9263, 2542209.
270.4084, 2543161.
270.8906, 2543095.
271.3727, 2541958.
