##NAMES=Cohenite
##RRUFFID=R100076
##IDEAL CHEMISTRY=Fe_3_C
##LOCALITY=Asuk, Disko, West Greenland, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Polished thick section associated with native iron
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100076
##MEASURED CHEMISTRY=Fe_2.96_Ni_.02_C, normalized to 1 carbon
564.9718, 2.603740
565.4539, 2.455900
565.9360, 1.939641
566.4182, 1.591970
566.9003, 1.434910
567.3824, 1.411742
567.8645, 1.648546
568.3466, 1.897461
568.8287, 1.919908
569.3109, 1.767437
569.7930, 1.787968
570.2751, 2.289412
570.7572, 2.985948
571.2393, 3.276656
571.7214, 3.144062
572.2036, 2.778215
572.6857, 1.975158
573.1678, 1.257084
573.6499, 1.434536
574.1320, 2.478631
574.6141, 3.067701
575.0963, 2.359313
575.5784, 1.433033
576.0605, 1.283427
576.5426, 1.743318
577.0247, 2.171182
577.5068, 2.285748
577.9890, 2.113103
578.4711, 1.657377
578.9532, 0.6328260
579.4353, 7.0237003E-02
579.9174, 0.2091520
580.3995, 0.5070670
580.8817, 0.8121300
581.3638, 1.063059
581.8459, 1.163687
582.3280, 1.052681
582.8101, 0.9051090
583.2922, 1.077412
583.7744, 1.624547
584.2565, 1.977785
584.7386, 1.813570
585.2207, 1.542170
585.7029, 1.449462
586.1850, 1.445372
586.6671, 1.317842
587.1492, 1.153497
587.6313, 0.9539310
588.1135, 0.5369630
588.5956, 0.1042270
589.0777, 0.3207140
589.5598, 1.378690
590.0419, 2.339388
590.5240, 2.088218
591.0062, 0.5463340
591.4883, 0.2496660
591.9704, 0.1776870
592.4525, 0.6736870
592.9346, 1.060812
593.4167, 1.312626
593.8989, 1.404727
594.3810, 1.340419
594.8631, 1.171972
595.3452, 0.8901750
595.8273, 0.5226570
596.3094, 0.4478560
596.7916, 0.8972660
597.2737, 1.109119
597.7558, 0.2125330
598.2379, 0.8155140
598.7200, 0.8038050
599.2021, 0.5777520
599.6843, 1.804783
600.1664, 1.697017
600.6485, 1.066892
601.1306, 1.241448
601.6127, 2.204938
602.0948, 2.792576
602.5770, 2.227259
603.0591, 1.019600
603.5412, 0.5966030
604.0233, 1.876078
604.5054, 2.436208
604.9875, 1.630211
605.4697, 0.6856380
605.9518, 0.3689530
606.4339, 0.5830820
606.9160, 0.9284250
607.3981, 1.215739
607.8802, 1.357047
608.3624, 1.023126
608.8445, 9.0202004E-02
