##NAMES=Wooldridgeite
##RRUFFID=R100005
##IDEAL CHEMISTRY=Na_2_CaCu^2+^_2_(P_2_O_7_)_2_&#183;10H_2_O
##LOCALITY=Judkins Quarry, Nuneaton, Warwickshire, England
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Pale green equant rhombic-dipyramidal crystals, co-type sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100005
162.0521, 1.639203
162.5342, 1.308314
163.0164, 0.9802520
163.4985, 0.9240450
163.9806, 1.479826
164.4627, 1.939638
164.9448, 2.144361
165.4269, 2.093740
165.9091, 1.775120
166.3912, 1.096938
166.8733, 6.2508002E-02
167.3554, 0.3119460
167.8375, 0.4433840
168.3196, 1.380616
168.8018, 2.013433
169.2839, 2.345003
169.7660, 2.410773
170.2481, 2.162619
170.7302, 1.608533
171.2123, 1.165740
171.6945, 0.7633910
172.1766, 0.5293640
172.6587, 0.6674810
173.1408, 1.234212
173.6229, 1.867314
174.1050, 2.325070
174.5872, 2.648275
175.0693, 2.747838
175.5514, 2.342769
176.0335, 1.729452
176.5156, 1.598314
176.9977, 2.269138
177.4799, 2.846251
177.9620, 2.539902
178.4441, 1.645360
178.9262, 0.8841660
179.4083, 0.7767190
179.8904, 1.211044
180.3726, 1.443303
180.8547, 1.279893
181.3368, 1.120064
181.8189, 1.136285
182.3010, 1.309072
182.7831, 1.571851
183.2653, 1.992431
183.7474, 2.614620
184.2295, 2.734247
184.7116, 1.695366
185.1937, 0.6700160
185.6758, 6.7291997E-02
186.1580, 0.4470060
186.6401, 0.4379720
187.1222, 9.0940997E-02
187.6043, 1.372366
188.0864, 2.146503
188.5685, 2.035870
189.0507, 1.809196
189.5328, 1.870334
190.0149, 2.226145
190.4970, 2.606734
190.9791, 2.706852
191.4612, 2.463505
191.9434, 2.070477
192.4255, 1.022192
192.9076, 0.1932430
193.3897, 0.4389810
193.8718, 1.799520
194.3539, 3.331889
194.8361, 3.806161
195.3182, 2.593773
195.8003, 1.966631
196.2824, 2.428493
196.7645, 3.219688
197.2466, 3.647236
197.7288, 3.554059
198.2109, 3.167080
198.6930, 2.679281
199.1751, 2.034464
199.6572, 1.679223
200.1393, 1.928283
200.6215, 2.436253
201.1036, 2.735406
201.5857, 2.714743
202.0678, 2.492841
202.5499, 2.059726
203.0320, 1.424047
203.5142, 1.086219
203.9963, 1.443184
204.4784, 2.224885
204.9605, 2.860759
205.4426, 3.286479
205.9247, 3.328686
206.4069, 2.617452
206.8890, 1.273106
207.3711, 0.3130370
207.8532, 0.6470250
208.3353, 1.972965
208.8174, 2.721970
209.2996, 2.360834
209.7817, 1.731838
210.2638, 1.469494
210.7459, 1.528048
211.2280, 1.588243
211.7101, 1.257862
212.1923, 0.5594250
212.6744, 0.3930690
213.1565, 1.575085
213.6386, 2.605361
214.1207, 2.596079
214.6028, 1.676731
215.0850, 0.5872480
215.5671, 8.2020000E-02
216.0492, 0.2506110
216.5313, 0.2164230
217.0134, 8.8344999E-02
217.4955, 0.1869330
217.9777, 0.8374510
218.4598, 1.733418
218.9419, 2.439527
219.4240, 2.386543
219.9061, 1.308397
220.3882, 0.8277420
220.8704, 1.575581
221.3525, 2.344549
221.8346, 2.543561
222.3167, 2.211865
222.7988, 1.809317
223.2809, 1.888282
223.7631, 1.460567
224.2452, 1.176610
224.7273, 1.138146
225.2094, 0.3897120
225.6915, 0.6817000
226.1736, 0.1864080
226.6558, 1.438153
227.1379, 2.287871
227.6200, 2.647861
228.1021, 2.926524
228.5842, 3.390226
229.0663, 3.581008
229.5485, 2.935593
230.0306, 1.592641
230.5127, 0.3983220
230.9948, 0.2624370
231.4769, 1.461233
231.9590, 2.220258
232.4412, 2.361454
232.9233, 2.251616
233.4054, 2.051015
233.8875, 1.800189
234.3696, 1.550838
234.8517, 1.338844
235.3339, 1.168663
235.8160, 1.120399
236.2981, 1.229697
236.7802, 1.429712
237.2623, 1.697873
237.7444, 2.026138
238.2266, 2.387455
238.7087, 2.864156
239.1908, 3.396928
239.6729, 3.415724
240.1550, 2.257947
240.6371, 1.004624
241.1193, 0.6243680
241.6014, 1.160475
242.0835, 1.962339
242.5656, 2.695675
243.0477, 3.304207
243.5298, 3.616858
244.0120, 3.410354
244.4941, 3.036811
244.9762, 2.835595
245.4583, 2.791456
245.9404, 2.735272
246.4225, 2.444708
246.9047, 2.092158
247.3868, 2.072103
247.8689, 2.753291
248.3510, 3.526220
248.8331, 3.694650
249.3152, 3.208582
249.7974, 2.603015
250.2795, 2.032536
250.7616, 1.553011
251.2437, 1.276207
251.7258, 1.255945
252.2079, 1.392395
252.6901, 1.699298
253.1722, 2.239826
253.6543, 2.460527
254.1364, 1.727665
254.6185, 0.7789860
255.1006, 0.1718560
255.5828, 7.1514003E-02
256.0649, 4.5556001E-02
256.5470, 0.5202950
257.0291, 1.422934
257.5112, 2.244817
257.9933, 3.027852
258.4755, 3.571100
258.9576, 3.521904
259.4397, 2.764966
259.9218, 1.851215
260.4039, 1.500839
260.8860, 1.071874
261.3682, 0.6414732
261.8503, 0.7211560
262.3324, 0.4009270
262.8145, 0.3707380
263.2966, 0.9635490
263.7787, 2.545354
264.2609, 3.085849
264.7430, 2.356996
265.2251, 1.863185
265.7072, 2.132885
266.1893, 2.474847
266.6714, 2.544829
267.1536, 2.308755
267.6357, 1.936856
268.1178, 1.498277
268.5999, 0.9107410
269.0820, 0.7546960
269.5641, 1.513387
270.0463, 2.363270
270.5284, 3.150674
271.0105, 3.760589
271.4926, 3.955495
271.9747, 3.350338
272.4568, 1.800453
272.9390, 0.7038860
273.4211, 0.2449420
273.9032, 0.1164130
274.3853, 0.4274300
274.8674, 1.038356
275.3495, 1.588125
275.8317, 1.741735
