##NAMES=Caryochroite
##RRUFFID=R070008
##IDEAL CHEMISTRY=(Na,Sr)_3_(Fe^3+^,Mg)_10_Ti^4+^_2_Si_12_O_37_(H_2_O,O,OH)_17_
##LOCALITY=Umbozero mine, Alluaiv Mt., Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dark brown massive, very fine grained
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070008
290.4780, 128.9390
290.9601, 112.8560
291.4423, 103.9087
291.9244, 135.9946
292.4065, 196.2764
292.8886, 229.9917
293.3707, 216.1738
293.8528, 178.9922
294.3350, 166.7046
294.8171, 179.0249
295.2992, 193.6045
295.7813, 192.5298
296.2634, 180.3804
296.7455, 165.7573
297.2277, 147.6396
297.7098, 131.1274
298.1919, 125.4663
298.6740, 129.9170
299.1561, 137.3164
299.6382, 141.3970
300.1204, 144.1445
300.6025, 149.7935
301.0846, 162.9541
301.5667, 174.4961
302.0488, 170.0688
302.5309, 152.2109
303.0131, 136.2476
303.4952, 135.6782
303.9773, 142.6499
304.4594, 146.6392
304.9415, 146.9854
305.4236, 140.9102
305.9058, 115.4131
306.3879, 77.58643
306.8700, 55.43115
307.3521, 85.35303
307.8342, 131.5703
308.3163, 152.1206
308.7985, 125.4624
309.2806, 98.18213
309.7627, 111.0591
310.2448, 151.6694
310.7269, 184.3506
311.2090, 180.6616
311.6912, 166.4917
312.1733, 165.1787
312.6554, 189.6401
313.1375, 206.0757
313.6196, 184.3096
314.1017, 140.8442
314.5839, 112.7192
315.0660, 139.2612
315.5481, 169.7227
316.0302, 167.9404
316.5123, 114.3755
316.9944, 72.25830
317.4766, 78.08887
317.9586, 109.6455
318.4408, 128.5879
318.9229, 106.6758
319.4050, 82.75928
319.8871, 75.83447
320.3692, 93.55859
320.8513, 107.6528
321.3335, 113.3433
321.8156, 111.3496
322.2977, 102.6602
322.7798, 75.39746
323.2619, 52.54248
323.7440, 41.35986
324.2262, 43.80127
324.7083, 50.52832
325.1904, 66.43359
325.6725, 84.07617
326.1546, 95.22803
326.6367, 99.54883
327.1189, 97.11865
327.6010, 80.57617
328.0831, 45.30127
328.5652, 36.50195
329.0473, 78.15674
329.5294, 131.3892
330.0116, 161.5088
330.4937, 157.9497
330.9758, 145.5381
331.4579, 121.0537
331.9400, 84.95898
332.4221, 75.11182
332.9043, 116.2896
333.3864, 156.0610
333.8685, 148.2124
334.3506, 65.13135
334.8327, 0.5185550
335.3148, 36.79053
335.7970, 45.52148
336.2791, 38.06055
336.7612, 7.960449
337.2433, 25.53223
337.7254, 49.30762
338.2076, 61.51270
338.6897, 73.21094
339.1718, 86.75928
339.6539, 100.0840
340.1360, 106.6304
340.6181, 104.9624
341.1003, 103.0488
341.5824, 106.9717
342.0645, 116.7812
342.5466, 124.0269
343.0287, 129.5903
343.5108, 129.8408
343.9930, 111.4512
344.4751, 74.27539
344.9572, 46.23730
345.4393, 49.49219
345.9214, 76.50293
346.4035, 91.30762
346.8857, 90.15479
347.3678, 83.34912
347.8499, 88.74951
348.3320, 102.5947
348.8141, 105.5732
349.2962, 76.36963
349.7784, 32.51855
350.2605, 8.564941
350.7426, 5.876953
351.2247, 17.14551
351.7068, 52.73779
352.1889, 97.41406
352.6710, 117.1050
353.1531, 68.58936
353.6353, 4.551270
354.1174, 9.262695
354.5995, 25.02100
355.0816, 57.33398
355.5637, 42.09229
356.0458, 6.325195
356.5280, 15.20117
357.0101, 0.8930660
357.4922, 21.13574
357.9743, 34.66162
358.4564, 40.83643
358.9385, 44.59326
359.4207, 43.93213
359.9028, 46.84131
360.3849, 61.21338
360.8670, 103.7222
361.3491, 135.0332
361.8312, 135.3535
362.3134, 113.4434
362.7955, 93.59863
363.2776, 81.60059
363.7597, 71.91650
364.2418, 62.21924
364.7239, 48.13770
365.2061, 42.36816
365.6882, 55.98389
366.1703, 78.07129
366.6524, 89.24268
367.1345, 65.05762
367.6166, 50.79199
368.0988, 66.24756
368.5809, 128.4443
369.0630, 159.7886
369.5451, 137.6060
370.0272, 97.58057
370.5093, 84.45361
370.9915, 109.8560
371.4736, 135.6948
371.9557, 157.7935
