##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
301.1772, 25.84376
301.6593, 25.49263
302.1414, 25.40723
302.6235, 25.58327
303.1057, 25.81149
303.5878, 25.95290
304.0699, 26.02004
304.5520, 26.03240
305.0341, 25.99236
305.5162, 25.90506
305.9984, 25.75727
306.4805, 25.55725
306.9626, 25.35131
307.4447, 25.08779
307.9268, 24.86421
308.4089, 24.84502
308.8911, 25.23328
309.3732, 25.58707
309.8553, 25.47625
310.3374, 25.01444
310.8195, 24.58130
311.3016, 24.29756
311.7838, 24.19190
312.2659, 24.31747
312.7480, 24.75828
313.2301, 25.25554
313.7122, 25.80532
314.1943, 26.30643
314.6765, 26.53224
315.1586, 26.17277
315.6407, 25.65482
316.1228, 25.18310
316.6049, 24.74215
317.0870, 24.54330
317.5692, 24.94097
318.0513, 25.58089
318.5334, 25.96519
319.0155, 25.62768
319.4976, 25.26336
319.9797, 25.23687
320.4619, 25.60993
320.9440, 25.84028
321.4261, 25.66072
321.9082, 25.30786
322.3903, 25.00574
322.8724, 24.72788
323.3546, 24.57944
323.8367, 24.66200
324.3188, 24.96351
324.8009, 25.16470
325.2830, 25.15136
325.7651, 25.05961
326.2473, 24.97739
326.7294, 24.91620
327.2115, 24.86200
327.6936, 24.71752
328.1757, 24.54486
328.6578, 24.64589
329.1400, 25.28759
329.6221, 25.98283
330.1042, 26.54853
330.5863, 27.10763
331.0684, 27.32590
331.5505, 27.03610
332.0327, 26.43548
332.5148, 25.95545
332.9969, 25.61519
333.4790, 25.36794
333.9611, 25.19258
334.4432, 25.08442
334.9254, 25.08158
335.4075, 25.27480
335.8896, 25.49548
336.3717, 25.42906
336.8538, 24.79938
337.3359, 24.58415
337.8180, 25.29193
338.3001, 26.89345
338.7823, 27.46033
339.2644, 26.62155
339.7465, 25.47259
340.2286, 25.14028
340.7107, 25.78177
341.1928, 26.32174
341.6750, 26.53617
342.1571, 26.50170
342.6392, 26.49992
343.1213, 26.54238
343.6034, 26.55803
344.0855, 26.54632
344.5677, 26.50062
345.0498, 26.18242
345.5319, 25.46682
346.0140, 24.62872
346.4961, 24.22542
346.9782, 24.24387
347.4604, 24.34041
347.9425, 24.27848
348.4246, 24.13086
348.9067, 24.18424
