##NAMES=Minasragrite
##RRUFFID=R130365
##IDEAL CHEMISTRY=V^4+^O(S^6+^O_4_)&#183;5H_2_O
##LOCALITY=Minas Ragra mine, Pasco, Peru
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Glassy blue crystals on patronite, associated with R130366 retgersite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130365
226.6743, 0.4241600
227.1564, 0.2328570
227.6385, 6.3153997E-02
228.1206, 6.4380001E-03
228.6027, 2.8542001E-02
229.0849, 0.1466820
229.5670, 0.3902940
230.0491, 0.7066890
230.5312, 0.9497430
231.0133, 1.083650
231.4954, 1.139622
231.9776, 1.120677
232.4597, 1.011331
232.9418, 0.9389600
233.4239, 1.020228
233.9060, 1.185566
234.3881, 1.335522
234.8703, 1.433708
235.3524, 1.516991
235.8345, 1.648795
236.3166, 1.848599
236.7987, 2.018962
237.2808, 2.040771
237.7630, 2.026526
238.2451, 2.115606
238.7272, 2.385723
239.2093, 2.727044
239.6914, 2.946906
240.1735, 2.997372
240.6557, 3.084424
241.1378, 3.362210
241.6199, 3.683169
242.1020, 3.884805
242.5841, 3.891113
243.0662, 3.830538
243.5484, 3.930928
244.0305, 4.249833
244.5126, 4.574080
244.9947, 4.835488
245.4768, 5.114068
245.9589, 5.450352
246.4410, 5.826997
246.9232, 6.195776
247.4053, 6.446547
247.8874, 6.503509
248.3695, 6.638102
248.8516, 7.029738
249.3337, 7.443303
249.8159, 7.649557
250.2980, 7.591115
250.7801, 7.402606
251.2622, 7.297075
251.7443, 7.304401
252.2264, 7.331424
252.7086, 7.440395
253.1907, 7.515707
253.6728, 7.470105
254.1549, 7.285654
254.6370, 7.013258
255.1191, 6.725573
255.6013, 6.428122
256.0834, 6.099675
256.5655, 5.577712
257.0476, 5.141635
257.5297, 5.086525
258.0118, 5.409984
258.4940, 5.764617
258.9761, 5.638751
259.4582, 4.708762
259.9403, 4.118877
260.4224, 4.088540
260.9045, 4.155409
261.3867, 4.011190
261.8688, 3.639751
262.3509, 3.252355
262.8330, 3.102091
263.3151, 3.284073
263.7972, 3.361883
264.2794, 3.356213
264.7615, 3.251477
265.2436, 2.965806
265.7257, 2.566149
266.2078, 2.190161
266.6899, 1.957205
267.1721, 1.890937
267.6542, 1.909896
268.1363, 2.131873
268.6184, 2.335188
269.1005, 2.445093
269.5826, 2.468597
270.0648, 2.366993
270.5469, 2.066533
271.0290, 1.566679
271.5111, 1.397770
271.9932, 1.909492
272.4753, 2.360498
272.9575, 2.328049
273.4396, 1.943802
273.9217, 1.647904
274.4038, 1.755113
274.8859, 2.219920
275.3680, 2.464916
275.8501, 2.370542
276.3322, 2.244560
276.8144, 2.156119
277.2965, 2.114495
277.7786, 2.139897
278.2607, 2.255882
278.7428, 2.416474
279.2249, 2.487961
279.7071, 2.477393
280.1892, 2.385113
280.6713, 2.126435
281.1534, 1.788146
281.6355, 1.532682
282.1176, 1.438840
282.5998, 1.442045
283.0819, 1.376731
283.5640, 1.196450
284.0461, 1.045323
284.5282, 0.9486470
285.0103, 0.9005410
285.4925, 0.9252730
285.9746, 1.045737
286.4567, 1.157826
286.9388, 1.044568
287.4209, 0.6034360
287.9030, 0.3115970
288.3852, 0.3200970
288.8673, 0.4889900
289.3494, 0.6937270
289.8315, 0.9066680
290.3136, 1.049836
290.7957, 1.025095
291.2779, 0.8089070
291.7600, 0.6348270
292.2421, 0.5269770
292.7242, 0.4746330
293.2063, 0.5022260
293.6884, 0.5989290
294.1706, 0.7037710
294.6527, 0.7605900
295.1348, 0.7645520
295.6169, 0.7173710
296.0990, 0.5819230
296.5811, 0.4331430
297.0633, 0.2987150
297.5454, 0.1742830
298.0275, 6.6701002E-02
298.5096, 1.0030000E-02
298.9917, 3.6803000E-02
