##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=(Cu^2+^,Zn^2+^)_15_(CO_3_)_4_(As^5+^O_4_)_2_(S^6+^O_4_)(OH)_14_&#183;7H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
201.5261, 4.536444
202.0082, 4.464220
202.4904, 4.245077
202.9725, 3.913624
203.4546, 3.375309
203.9367, 2.653065
204.4188, 1.957901
204.9009, 1.578844
205.3831, 1.651712
205.8652, 1.630707
206.3473, 1.565804
206.8294, 1.358301
207.3115, 0.6613710
207.7936, 0.4459570
208.2758, 1.304407
208.7579, 0.7685380
209.2400, 2.565729
209.7221, 4.564024
210.2042, 5.433525
210.6863, 5.505070
211.1685, 4.570570
211.6506, 2.777071
212.1327, 0.9932860
212.6148, 0.4977420
213.0969, 2.215668
213.5790, 3.321228
214.0612, 3.489080
214.5433, 3.299383
215.0254, 3.204798
215.5075, 3.315077
215.9896, 3.476685
216.4717, 3.424038
216.9539, 2.982592
217.4360, 2.740364
217.9181, 2.462488
218.4002, 2.274939
218.8823, 2.350981
219.3644, 2.822371
219.8466, 3.331041
220.3287, 3.702061
220.8108, 3.926239
221.2929, 4.185629
221.7750, 4.870235
222.2571, 5.470484
222.7393, 5.137644
223.2214, 3.565283
223.7035, 1.750519
224.1856, 1.046436
224.6677, 1.354088
225.1498, 1.692471
225.6320, 1.778639
226.1141, 1.752666
226.5962, 1.987495
227.0783, 2.609861
227.5604, 3.077696
228.0425, 2.292524
228.5247, 0.6395190
229.0068, 2.8107001E-02
229.4889, 2.358860
229.9710, 6.136190
230.4531, 7.839560
230.9352, 6.456709
231.4174, 4.345232
231.8995, 3.041811
232.3816, 2.432070
232.8637, 2.327822
233.3458, 2.918240
233.8279, 4.034134
234.3101, 5.019039
234.7922, 5.781727
235.2743, 5.986441
235.7564, 5.275093
236.2385, 4.023178
236.7206, 2.967403
237.2028, 2.527882
237.6849, 2.620468
238.1670, 2.919378
238.6491, 3.616734
239.1312, 4.219004
239.6133, 4.534750
240.0955, 4.651075
240.5776, 4.727318
241.0597, 4.897074
241.5418, 5.086075
242.0239, 4.878712
242.5060, 3.659258
242.9882, 2.923685
243.4703, 3.646240
243.9524, 4.971811
244.4345, 5.574583
244.9166, 4.572948
245.3987, 2.423418
245.8809, 1.154066
246.3630, 1.161047
246.8451, 1.644016
247.3272, 3.263245
247.8093, 5.009981
248.2914, 5.329874
248.7736, 3.252401
249.2557, 0.3459300
249.7378, 1.832718
250.2199, 1.065351
250.7020, 3.375673
251.1841, 4.201639
251.6663, 4.190048
252.1484, 4.119762
252.6305, 4.355820
253.1126, 4.736725
253.5947, 4.717995
254.0768, 3.874458
254.5590, 3.109262
255.0411, 2.279041
255.5232, 1.627970
256.0053, 1.511015
256.4874, 2.075474
256.9695, 3.016920
257.4517, 3.600275
257.9338, 3.532993
258.4159, 3.416422
258.8980, 2.991339
259.3801, 2.631813
259.8622, 2.884378
260.3444, 3.920830
260.8265, 5.215048
261.3086, 5.768057
261.7907, 5.237520
262.2728, 4.398849
262.7549, 2.513294
263.2371, 0.6864600
263.7192, 0.3820040
264.2013, 1.931511
264.6834, 3.897123
265.1655, 4.013481
265.6476, 0.9009800
266.1298, 0.8273050
266.6119, 1.1198000E-02
267.0940, 1.797831
267.5761, 3.348297
268.0582, 4.363489
268.5403, 4.617105
269.0225, 3.563084
269.5046, 0.6466870
269.9867, 0.7801700
270.4688, 0.4889350
270.9509, 2.601709
271.4330, 3.976377
271.9152, 4.422100
272.3973, 4.688730
272.8794, 5.654541
273.3615, 7.361959
273.8436, 7.882446
274.3257, 6.247719
274.8079, 4.079918
275.2900, 2.506655
275.7721, 1.604483
276.2542, 1.175463
276.7363, 1.115671
277.2184, 1.460987
277.7006, 2.051003
278.1827, 3.477470
278.6648, 4.671888
279.1469, 4.578007
279.6290, 3.361946
280.1111, 2.420719
280.5933, 2.818317
281.0754, 4.033981
281.5575, 4.327423
282.0396, 2.856798
282.5217, 1.531618
283.0038, 1.854342
283.4860, 3.496233
283.9681, 4.694414
284.4502, 4.487051
284.9323, 3.484829
285.4144, 3.032459
285.8965, 3.278631
286.3787, 3.654724
286.8608, 3.862303
287.3429, 3.980791
287.8250, 4.173195
288.3071, 4.560575
288.7892, 4.957294
289.2714, 5.271524
289.7535, 5.613302
290.2356, 5.228367
290.7177, 2.794909
291.1998, 0.6637690
291.6819, 2.297436
292.1641, 1.050259
292.6462, 1.348120
293.1283, 3.394623
293.6104, 5.095463
294.0925, 5.897598
294.5746, 4.960140
295.0568, 3.070822
295.5389, 1.829094
296.0210, 1.537222
296.5031, 1.545002
296.9852, 1.276236
297.4673, 0.8479940
297.9495, 0.6023350
298.4316, 0.4515990
298.9137, 0.6222530
299.3958, 1.760098
299.8779, 4.152340
300.3600, 6.165686
300.8422, 6.331032
301.3243, 5.411821
301.8064, 4.630758
302.2885, 4.292974
302.7706, 4.158777
303.2527, 3.858908
303.7349, 3.355961
304.2170, 3.229652
304.6991, 4.338055
305.1812, 5.685434
305.6633, 5.767790
306.1454, 3.951925
306.6276, 1.978048
307.1097, 1.592207
307.5918, 2.640360
308.0739, 3.202381
308.5560, 1.823427
309.0381, 8.3316997E-02
309.5203, 5.0393999E-02
310.0024, 1.623171
310.4845, 3.291479
310.9666, 3.535868
311.4487, 2.654991
311.9308, 2.164335
312.4130, 2.419464
312.8951, 2.924850
313.3772, 3.299494
313.8593, 3.552385
314.3414, 3.693987
314.8235, 3.639551
315.3057, 3.478868
315.7878, 3.541277
316.2699, 4.044569
316.7520, 4.300531
317.2341, 3.282064
317.7162, 1.623390
318.1984, 0.7760490
318.6805, 1.999113
319.1626, 3.986748
319.6447, 4.465761
320.1268, 3.080471
320.6089, 1.982496
321.0911, 3.107574
321.5732, 5.074938
322.0553, 5.871761
322.5374, 4.579388
323.0195, 2.836031
323.5016, 2.499899
323.9838, 3.523758
324.4659, 4.291937
324.9480, 3.862169
325.4301, 2.961384
325.9122, 2.562441
326.3943, 2.808878
326.8765, 3.046286
327.3586, 2.719463
327.8407, 1.877340
328.3228, 1.162174
328.8049, 0.4903390
329.2870, 0.1589340
329.7692, 0.6529640
330.2513, 1.886383
330.7334, 2.876709
331.2155, 2.977787
331.6976, 2.510042
332.1797, 2.172480
332.6619, 2.003668
333.1440, 2.059914
333.6261, 2.700106
334.1082, 3.634167
334.5903, 4.113873
335.0724, 3.668520
335.5546, 2.772581
336.0367, 1.970894
336.5188, 1.264067
337.0009, 0.7004130
337.4830, 0.1008340
337.9651, 0.3454880
338.4473, 3.7136000E-02
338.9294, 1.644472
339.4115, 3.325609
339.8936, 3.815844
340.3757, 3.247763
340.8578, 2.468822
341.3400, 1.593822
341.8221, 0.8630910
342.3042, 0.6879040
342.7863, 1.177404
343.2684, 1.572975
343.7505, 1.278023
344.2327, 0.6223510
344.7148, 0.4595760
345.1969, 1.071915
345.6790, 1.930071
346.1611, 2.457592
346.6432, 2.704828
347.1254, 2.883562
347.6075, 2.969553
348.0896, 3.053864
348.5717, 3.281685
349.0538, 3.609636
349.5359, 3.819445
350.0181, 3.996830
350.5002, 4.123938
350.9823, 4.096149
351.4644, 3.752611
351.9465, 3.380146
352.4286, 3.188583
352.9108, 3.144922
353.3929, 3.070173
353.8750, 2.851355
354.3571, 2.637686
354.8392, 2.720751
355.3214, 3.084402
355.8035, 3.239885
356.2856, 2.855707
356.7677, 2.139013
357.2498, 1.373886
357.7319, 0.6556090
358.2141, 0.2113570
358.6962, 0.3025050
359.1783, 1.036139
359.6604, 1.540630
360.1425, 1.608950
360.6246, 1.465931
361.1068, 1.098080
361.5889, 0.5741040
362.0710, 0.5253560
362.5531, 1.657568
363.0352, 3.937550
363.5173, 5.310417
363.9995, 5.087240
364.4816, 4.739237
364.9637, 4.970510
365.4458, 5.641649
365.9279, 6.417751
366.4100, 7.204554
366.8922, 7.787642
367.3743, 7.432777
367.8564, 5.485176
368.3385, 3.628258
368.8206, 1.403940
369.3027, 0.3392620
369.7849, 0.1325510
370.2670, 2.328253
370.7491, 5.302601
371.2312, 6.291973
371.7133, 4.298088
372.1954, 3.272806
372.6776, 3.957861
373.1597, 4.910862
373.6418, 5.475716
374.1239, 5.516281
374.6060, 4.902887
375.0881, 3.358448
375.5703, 0.9548150
376.0524, 2.3662999E-02
376.5345, 2.210041
377.0166, 3.957695
377.4987, 4.336174
377.9808, 3.817665
378.4630, 2.993933
378.9451, 2.132671
379.4272, 1.457888
379.9093, 1.535191
380.3914, 3.054811
380.8735, 4.210171
381.3557, 5.163754
381.8378, 5.622217
382.3199, 5.065790
382.8020, 3.600510
383.2841, 2.089899
383.7662, 1.504278
384.2484, 1.947155
384.7305, 2.580858
385.2126, 4.014297
385.6947, 5.046841
386.1768, 5.189508
386.6589, 4.631908
387.1411, 3.723642
387.6232, 2.574839
388.1053, 1.386129
388.5874, 0.9286370
389.0695, 1.599434
389.5516, 2.276913
390.0338, 2.541412
390.5159, 2.780172
390.9980, 3.482788
391.4801, 4.775032
391.9622, 6.044840
392.4443, 6.693306
392.9265, 6.755392
393.4086, 5.805677
393.8907, 2.426867
394.3728, 0.6870820
394.8549, 1.841174
395.3370, 1.323895
395.8192, 0.4884360
396.3013, 0.2013320
396.7834, 0.2033020
397.2655, 0.4990220
397.7476, 2.285866
398.2297, 3.814312
398.7119, 3.965818
399.1940, 3.607697
399.6761, 3.939665
400.1582, 5.539970
400.6403, 7.296171
401.1224, 8.291842
401.6046, 8.520681
402.0867, 7.609476
402.5688, 4.556868
403.0509, 1.328781
403.5330, 0.4339710
404.0151, 1.904205
404.4973, 3.343880
404.9794, 3.754442
405.4615, 3.443188
405.9436, 2.699856
406.4257, 1.460545
406.9078, 0.6352420
407.3900, 1.355234
407.8721, 3.232037
408.3542, 4.189611
408.8363, 3.049866
409.3184, 1.883345
409.8005, 2.613096
410.2827, 4.568010
410.7648, 5.133799
411.2469, 2.799767
411.7290, 0.8504830
412.2111, 2.013889
412.6932, 0.3605940
413.1754, 2.157967
413.6575, 2.578985
414.1396, 2.141102
414.6217, 0.8903560
415.1038, 0.9925210
415.5859, 2.219461
416.0681, 1.291581
416.5502, 2.111311
417.0323, 4.121307
417.5144, 3.768791
417.9965, 3.276234
418.4786, 3.650385
418.9608, 4.531967
419.4429, 5.080601
419.9250, 4.850145
420.4071, 4.160145
420.8892, 3.912880
421.3713, 4.871719
