##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
161.4668, 12.99014
161.9489, 10.59573
162.4310, 9.673599
162.9131, 11.74533
163.3953, 13.72435
163.8774, 13.69519
164.3595, 11.81229
164.8416, 9.541672
165.3237, 7.427162
165.8058, 5.659401
166.2880, 4.650459
166.7701, 5.413254
167.2522, 6.177406
167.7343, 4.302048
168.2164, 0.9477690
168.6985, 5.304573
169.1807, 5.443771
169.6628, 3.403549
170.1449, 1.444115
170.6270, 0.4004060
171.1091, 3.3606999E-02
171.5912, 0.6745220
172.0734, 2.023163
172.5555, 2.591118
173.0376, 1.328743
173.5197, 0.8579330
174.0018, 2.674309
174.4839, 3.303955
174.9661, 2.222534
175.4482, 1.372192
175.9303, 0.8587340
176.4124, 0.4889220
176.8945, 0.4160230
177.3766, 0.4314040
177.8588, 0.1814580
178.3409, 0.6285250
178.8230, 2.000694
179.3051, 3.116982
179.7872, 4.092331
180.2693, 4.657097
180.7515, 4.326675
181.2336, 3.442322
181.7157, 2.835953
182.1978, 3.262482
182.6799, 4.866035
183.1620, 6.116600
183.6441, 6.487450
184.1263, 7.040222
184.6084, 8.593407
185.0905, 10.97267
185.5726, 13.23698
186.0547, 14.59949
186.5368, 14.95039
187.0190, 14.41034
187.5011, 11.51322
187.9832, 8.798027
188.4653, 8.603569
188.9474, 11.09140
189.4296, 13.89002
189.9117, 14.50251
190.3938, 12.99449
190.8759, 12.23299
191.3580, 12.83276
191.8401, 14.18098
192.3223, 15.96852
192.8044, 18.36870
193.2865, 20.09491
193.7686, 18.98621
194.2507, 15.94075
194.7328, 13.70943
195.2150, 13.30936
195.6971, 14.27331
196.1792, 15.82426
196.6613, 18.19453
197.1434, 20.47983
197.6255, 22.03239
198.1077, 23.00734
198.5898, 23.71336
199.0719, 24.38477
199.5540, 24.94049
200.0361, 24.85175
200.5182, 23.17153
201.0004, 22.19077
201.4825, 23.62025
201.9646, 26.68624
202.4467, 29.43673
202.9288, 30.04123
203.4109, 28.70599
203.8930, 29.09898
204.3752, 33.43473
204.8573, 37.28585
205.3394, 38.75848
205.8215, 38.35158
206.3036, 37.47366
