##NAMES=Opal
##RRUFFID=X080017
##IDEAL CHEMISTRY=SiO_2_&#183;<i>n</i>H_2_O
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Polished Gilson cabachon, 1.58 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080017
248.0606, 8.727295
248.5428, 10.94165
249.0249, 13.07544
249.5070, 13.01147
249.9891, 10.24365
250.4712, 9.144043
250.9533, 11.44116
251.4355, 13.98413
251.9176, 14.29443
252.3997, 12.44702
252.8818, 10.65063
253.3639, 10.91211
253.8460, 13.29028
254.3282, 14.75366
254.8103, 14.49341
255.2924, 13.98804
255.7745, 14.60327
256.2566, 16.21118
256.7387, 17.15942
257.2209, 15.84106
257.7030, 12.75269
258.1851, 11.34326
258.6672, 12.76685
259.1493, 14.91602
259.6314, 16.45898
260.1136, 17.41772
260.5957, 18.17993
261.0778, 18.64844
261.5599, 19.20532
262.0420, 20.85376
262.5241, 24.69092
263.0063, 28.30420
263.4884, 29.78149
263.9705, 29.32056
264.4526, 28.63989
264.9347, 28.35742
265.4168, 28.68115
265.8990, 29.73755
266.3811, 31.91479
266.8632, 33.61621
267.3453, 33.25708
267.8274, 31.23071
268.3095, 30.13013
268.7917, 31.62256
269.2738, 33.89502
269.7559, 34.38062
270.2380, 32.70850
270.7201, 30.97388
271.2022, 31.25269
271.6844, 33.10571
272.1665, 33.43604
272.6486, 31.20972
273.1307, 27.23804
273.6128, 21.54419
274.0949, 14.10498
274.5771, 8.546631
275.0592, 8.580322
275.5413, 13.12012
276.0234, 15.79712
276.5055, 14.98193
276.9876, 12.89062
277.4698, 10.43994
277.9519, 7.929932
278.4340, 7.027100
278.9161, 9.888428
279.3982, 15.52295
279.8803, 19.15942
280.3625, 19.65845
280.8446, 19.21777
281.3267, 19.20703
281.8088, 19.53833
282.2909, 19.70215
282.7730, 19.06592
283.2552, 18.17871
283.7373, 19.31079
284.2194, 24.01025
284.7015, 27.68042
285.1836, 27.78149
285.6658, 25.64893
286.1479, 23.21094
286.6300, 21.26855
287.1121, 19.66382
287.5942, 18.06860
288.0764, 16.43457
288.5585, 14.93335
289.0406, 13.32715
