##NAMES=Gadolinite-(Y)
##RRUFFID=R080129
##IDEAL CHEMISTRY=Fe^2+^Be_2_Y^3+^_2_(SiO_4_)_2_O_2_
##LOCALITY=Ytterøya mine, Røvika, Ytterøya (island), Levanger, Nord-Trøndelag, Norway
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown fragment from metamict sample R070340, after heating at T = 1000 C for 23 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080129
276.0234, 57.62451
276.5055, 64.18384
276.9876, 70.86450
277.4698, 75.99133
277.9519, 79.82776
278.4340, 83.77625
278.9161, 88.66541
279.3982, 94.35474
279.8803, 100.4336
280.3625, 107.0768
280.8446, 113.7487
281.3267, 120.0959
281.8088, 126.1777
282.2909, 132.1871
282.7730, 137.9449
283.2552, 143.6865
283.7373, 150.4028
284.2194, 158.9067
284.7015, 166.8164
285.1836, 172.7307
285.6658, 177.5328
286.1479, 182.6598
286.6300, 189.0735
287.1121, 195.8501
287.5942, 200.8286
288.0764, 203.6219
288.5585, 205.4312
289.0406, 206.7925
289.5227, 207.4785
290.0048, 207.0858
290.4869, 205.4059
290.9691, 202.9000
291.4512, 200.3663
291.9333, 197.9387
292.4154, 195.0781
292.8975, 191.1128
293.3796, 187.0026
293.8618, 183.4984
294.3439, 180.7908
294.8260, 178.5192
295.3081, 176.3599
295.7902, 174.4340
296.2723, 172.0511
296.7545, 168.0750
297.2366, 164.3260
297.7187, 162.1305
298.2008, 161.4734
298.6829, 161.0707
299.1650, 159.5066
299.6472, 156.6224
300.1293, 154.0017
300.6114, 151.8232
301.0935, 149.8502
301.5756, 147.9976
302.0577, 146.2626
302.5399, 144.6887
303.0220, 143.4816
303.5041, 142.5981
303.9862, 141.0135
304.4683, 137.9838
304.9504, 135.1038
305.4326, 132.9233
305.9147, 131.3188
306.3968, 130.0514
306.8789, 129.0726
307.3610, 128.2788
307.8431, 127.1628
308.3253, 125.4779
308.8074, 123.8669
309.2895, 122.5134
309.7716, 121.2397
310.2537, 119.9078
310.7358, 118.4242
311.2180, 116.8446
311.7001, 115.3497
312.1822, 114.0387
312.6643, 112.6383
313.1464, 111.1832
313.6285, 109.5314
314.1107, 107.4825
314.5928, 105.0179
315.0749, 102.4447
315.5570, 100.1854
316.0391, 98.29382
316.5212, 96.49573
317.0034, 94.67065
317.4855, 92.99915
317.9676, 91.89087
318.4497, 91.21985
318.9318, 90.20959
319.4139, 87.72754
319.8961, 83.52832
320.3782, 80.48083
320.8603, 79.39380
321.3424, 78.72998
321.8245, 78.23633
322.3066, 77.70435
322.7888, 76.74890
323.2709, 74.98254
323.7530, 72.56348
324.2351, 70.43811
324.7172, 68.27368
325.1993, 66.93689
325.6815, 67.32532
326.1636, 68.43103
326.6457, 68.79736
327.1278, 67.60352
327.6099, 65.52502
328.0920, 64.16418
328.5742, 63.65063
329.0563, 63.61621
329.5384, 64.39258
330.0205, 65.31042
330.5026, 65.67090
330.9847, 65.28235
331.4669, 64.77734
331.9490, 65.17224
332.4311, 66.76758
332.9132, 67.95215
333.3953, 68.14795
333.8774, 68.12610
334.3596, 68.04846
334.8417, 68.04517
335.3238, 68.49817
335.8059, 69.97449
336.2880, 72.50208
336.7701, 74.62402
337.2523, 75.79309
337.7344, 77.13965
338.2165, 79.29260
338.6986, 82.01270
339.1807, 84.76526
339.6628, 87.31006
340.1450, 89.60925
340.6271, 91.43762
341.1092, 92.37341
341.5913, 93.64954
342.0735, 96.29993
342.5556, 99.32288
343.0377, 101.4200
343.5198, 101.9785
344.0019, 101.8313
344.4840, 102.3026
344.9662, 103.5320
345.4483, 104.7860
345.9304, 105.9442
346.4125, 106.9908
346.8946, 107.9767
347.3767, 108.9161
347.8589, 109.5216
348.3410, 109.4155
348.8231, 108.6130
349.3052, 107.7767
349.7873, 107.0726
350.2694, 106.2379
350.7516, 105.0526
351.2337, 103.5736
351.7158, 102.0779
352.1979, 100.6265
352.6800, 99.27173
353.1621, 98.26196
353.6443, 97.76575
354.1264, 97.24268
354.6085, 96.42200
355.0906, 95.37073
355.5727, 94.17163
356.0548, 92.91687
356.5370, 91.46436
357.0191, 89.36316
357.5012, 86.51331
357.9833, 84.29065
358.4654, 83.83435
358.9475, 84.00024
359.4297, 83.30750
359.9118, 81.43384
360.3939, 79.64050
360.8760, 78.95837
361.3581, 79.19971
361.8402, 79.51111
362.3224, 79.95471
362.8045, 79.96863
363.2866, 78.54163
363.7687, 75.86304
364.2508, 73.93347
364.7329, 74.07019
365.2151, 75.27893
365.6972, 75.88013
366.1793, 75.66711
366.6614, 75.26660
367.1435, 75.11523
367.6256, 75.15088
368.1078, 75.17822
368.5899, 75.36829
369.0720, 75.38928
369.5541, 74.71252
370.0362, 73.55066
370.5183, 73.05383
371.0005, 73.99329
371.4826, 75.72083
371.9647, 76.71497
372.4468, 76.67480
372.9289, 76.68079
373.4110, 77.21667
373.8932, 78.06482
374.3753, 78.75098
374.8574, 79.09839
375.3395, 79.54712
375.8216, 80.78760
376.3037, 82.93433
376.7859, 84.61462
377.2680, 85.23413
377.7501, 85.66467
378.2322, 86.79382
378.7143, 88.57654
379.1964, 90.06555
379.6786, 90.42334
380.1607, 89.81067
380.6428, 90.11584
381.1249, 92.00647
381.6070, 93.90198
382.0891, 95.21021
382.5713, 96.14099
383.0534, 97.08008
383.5355, 98.20496
384.0176, 99.44727
384.4997, 100.6288
384.9818, 101.3940
385.4640, 102.7405
385.9461, 105.6637
386.4282, 108.5393
386.9103, 109.7421
387.3924, 109.1699
387.8745, 108.0999
388.3567, 107.9742
388.8388, 109.0051
389.3209, 109.5096
389.8030, 109.0486
390.2851, 108.6042
390.7672, 108.6534
391.2494, 108.9980
391.7315, 109.1331
392.2136, 108.7299
392.6957, 108.0198
393.1778, 107.9174
393.6599, 108.9192
394.1421, 109.8546
394.6242, 110.7721
395.1063, 111.4902
395.5884, 111.6385
396.0706, 111.2114
396.5527, 110.8083
397.0348, 111.4396
397.5169, 113.6222
397.9990, 114.7321
398.4811, 113.8921
398.9633, 112.7213
399.4454, 111.8459
399.9275, 111.1665
400.4096, 110.2705
400.8917, 108.8546
401.3738, 107.0206
401.8560, 105.1738
402.3381, 103.2313
402.8202, 101.4647
403.3023, 100.3691
403.7844, 99.28381
404.2665, 97.55225
404.7487, 94.98706
405.2308, 91.75769
405.7129, 87.79431
406.1950, 83.00183
406.6771, 78.89319
407.1592, 76.31873
407.6414, 73.94495
408.1235, 70.83313
408.6056, 67.05139
409.0877, 63.08826
409.5698, 59.05908
410.0519, 55.08459
410.5341, 51.39099
411.0162, 47.96826
411.4983, 44.93115
411.9804, 42.64490
412.4625, 40.73535
412.9446, 38.64453
413.4268, 36.32849
413.9089, 33.72900
414.3910, 30.51331
414.8731, 26.87720
415.3552, 23.83472
415.8373, 21.83496
416.3195, 20.35950
416.8016, 18.56970
417.2837, 16.40759
417.7658, 14.71423
418.2479, 14.22205
418.7300, 14.04956
419.2122, 13.03552
419.6943, 11.09595
420.1764, 9.124756
420.6585, 7.779053
421.1406, 7.048828
421.6227, 6.615967
422.1049, 6.750610
422.5870, 6.838379
423.0691, 6.636719
423.5512, 6.217529
424.0333, 5.726440
424.5154, 5.225708
424.9976, 4.648438
425.4797, 3.877197
425.9618, 2.886230
426.4439, 1.736572
426.9260, 0.3131100
427.4081, 1.164673
427.8903, 2.651489
428.3724, 4.067139
428.8545, 5.197876
429.3366, 5.845947
429.8187, 6.030029
430.3008, 6.224854
430.7830, 6.290283
431.2651, 6.513184
431.7472, 7.177124
432.2293, 7.929077
432.7114, 8.292725
433.1935, 8.104248
433.6757, 7.669678
434.1578, 7.548584
434.6399, 7.955200
435.1220, 7.965454
435.6041, 6.855957
436.0862, 5.925537
436.5684, 5.980347
437.0505, 6.823120
437.5326, 7.660645
438.0147, 7.925903
438.4968, 7.780151
438.9789, 7.878540
439.4611, 8.510986
439.9432, 8.646729
440.4253, 7.309082
440.9074, 5.495117
441.3895, 4.277344
441.8716, 3.941162
442.3538, 3.766235
442.8359, 3.123779
443.3180, 2.070068
443.8001, 0.9871830
444.2822, 1.2210000E-03
444.7643, 1.123047
445.2465, 2.785156
445.7286, 4.854614
446.2107, 6.669556
446.6928, 7.625366
447.1749, 8.530518
447.6570, 10.28430
448.1392, 12.82690
448.6213, 15.51978
449.1034, 18.10559
449.5855, 20.53662
450.0677, 22.62439
450.5498, 24.05481
451.0319, 25.84094
451.5140, 28.13342
451.9961, 30.96484
452.4782, 34.50854
452.9604, 38.75806
453.4425, 43.27417
453.9246, 47.68091
454.4067, 52.01624
454.8888, 55.77515
455.3709, 57.99976
455.8531, 60.77100
456.3352, 65.04993
456.8173, 70.34253
457.2994, 75.93262
457.7815, 81.48157
458.2636, 86.84607
458.7458, 91.62720
459.2279, 95.08215
459.7100, 99.57849
460.1921, 105.7677
460.6742, 112.3876
461.1563, 118.8531
461.6385, 125.0953
462.1206, 131.1523
462.6027, 136.9771
463.0848, 142.6543
463.5669, 148.6743
464.0490, 155.1097
464.5312, 161.6492
465.0133, 168.1693
465.4954, 174.6919
465.9775, 181.3203
466.4596, 188.1223
466.9417, 194.7991
467.4239, 200.9727
467.9060, 206.7407
468.3881, 212.8715
468.8702, 219.5989
469.3523, 226.5229
469.8344, 233.3616
470.3166, 240.1454
470.7987, 246.8484
471.2808, 253.4219
471.7629, 259.9784
472.2450, 266.5365
472.7271, 273.1312
473.2093, 279.9246
473.6914, 287.0603
474.1735, 294.3030
474.6556, 301.2390
475.1377, 307.8971
475.6198, 314.2526
476.1020, 320.2064
476.5841, 325.9293
477.0662, 331.6687
477.5483, 337.3627
478.0304, 342.6842
478.5125, 347.2435
478.9947, 351.2164
479.4768, 356.0808
479.9589, 362.9547
480.4410, 369.3986
480.9231, 375.1396
481.4052, 380.2745
481.8874, 384.8730
482.3695, 388.9751
482.8516, 392.5586
483.3337, 395.5308
483.8158, 397.8207
484.2979, 400.1182
484.7801, 402.6489
485.2622, 404.8021
485.7443, 406.5166
486.2264, 407.7037
486.7085, 408.2010
487.1906, 407.9054
487.6728, 407.1538
488.1549, 406.4182
488.6370, 405.7311
489.1191, 404.6530
489.6012, 402.9230
490.0833, 400.8845
490.5655, 399.2269
491.0476, 397.8011
491.5297, 395.3594
492.0118, 390.4989
492.4939, 384.8019
492.9760, 380.5658
493.4582, 377.8026
