##NAMES=Katoite
##RRUFFID=R070646
##IDEAL CHEMISTRY=Ca_3_Al_2_(OH)_12_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=White to colorless powder mixed with small trapezohedral crystals, sample from Lager et al (2002) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070646
214.7261, 37.63943
215.2082, 41.25931
215.6903, 44.51462
216.1725, 47.22830
216.6546, 49.67911
217.1367, 52.39844
217.6188, 55.97147
218.1009, 58.39252
218.5830, 58.59222
219.0652, 56.26093
219.5473, 55.75403
220.0294, 57.86139
220.5115, 60.86267
220.9936, 62.73605
221.4757, 63.07559
221.9579, 63.21783
222.4400, 63.33774
222.9221, 63.38538
223.4042, 64.01105
223.8863, 65.28119
224.3684, 67.05630
224.8506, 69.43030
225.3327, 73.20233
225.8148, 75.80545
226.2969, 76.40015
226.7790, 74.81418
227.2611, 73.36298
227.7433, 71.69696
228.2254, 70.48633
228.7075, 70.64532
229.1896, 73.01312
229.6717, 75.11081
230.1538, 76.45740
230.6360, 77.02966
231.1181, 76.99731
231.6002, 76.10550
232.0823, 74.84631
232.5644, 73.70337
233.0465, 72.44189
233.5287, 71.71671
234.0108, 71.85147
234.4929, 72.95584
234.9750, 73.49463
235.4571, 73.05283
235.9392, 72.42606
236.4214, 72.61539
236.9035, 74.54114
237.3856, 75.54709
237.8677, 74.76636
238.3498, 72.00687
238.8319, 70.14526
239.3141, 69.85916
239.7962, 69.84982
240.2783, 68.65662
240.7604, 65.41040
241.2425, 62.64594
241.7246, 61.09756
242.2068, 60.85452
242.6889, 59.84674
243.1710, 57.66949
243.6531, 55.10944
244.1352, 52.89484
244.6173, 51.10129
245.0995, 49.50769
245.5816, 48.17545
246.0637, 47.11395
246.5458, 45.64600
247.0279, 43.45068
247.5100, 41.16595
247.9922, 39.49716
248.4743, 38.97855
248.9564, 37.95807
249.4385, 35.97971
249.9206, 33.06180
250.4027, 30.22308
250.8848, 27.16025
251.3670, 24.64734
251.8491, 23.62665
252.3312, 25.32639
252.8133, 25.78342
253.2954, 23.92471
253.7775, 19.89536
254.2597, 16.75348
254.7418, 14.88385
255.2239, 13.55951
255.7060, 12.13834
256.1881, 10.44131
256.6703, 8.890930
257.1524, 7.779846
257.6345, 7.114441
258.1166, 5.908264
258.5987, 3.529633
259.0808, 1.446136
259.5630, 1.036346
260.0451, 3.374573
260.5272, 4.353210
261.0093, 3.023743
261.4914, 9.2499003E-02
261.9735, 2.115295
262.4557, 2.670258
262.9378, 2.784210
263.4199, 3.125854
263.9020, 3.804688
264.3841, 4.298645
264.8662, 4.445007
265.3484, 4.401154
265.8305, 4.866119
266.3126, 6.155914
266.7947, 7.247131
267.2768, 7.406647
267.7589, 6.320343
268.2411, 5.482971
268.7232, 5.031433
269.2053, 4.846893
269.6874, 4.575378
270.1695, 4.170593
270.6516, 3.785278
271.1338, 3.487488
271.6159, 3.263763
272.0980, 3.238647
272.5801, 3.544525
273.0622, 3.957886
273.5443, 3.890991
274.0265, 3.231323
274.5086, 2.566010
274.9907, 2.442352
275.4728, 3.057526
275.9549, 2.412598
276.4370, 4.3976001E-02
276.9192, 3.016083
277.4013, 4.868591
277.8834, 5.375916
278.3655, 5.479736
278.8476, 5.538635
279.3297, 5.567841
279.8118, 5.514374
280.2939, 5.356659
280.7761, 5.194458
281.2582, 4.962128
281.7403, 4.593445
282.2224, 5.014648
282.7045, 7.166412
283.1866, 10.78961
283.6688, 12.53131
284.1509, 12.03000
284.6330, 10.77545
285.1151, 10.51135
285.5972, 11.22800
286.0793, 12.27847
286.5615, 13.63931
287.0436, 15.16342
287.5257, 16.03870
288.0078, 16.16180
288.4899, 16.21832
288.9720, 17.02338
289.4542, 18.50574
289.9363, 19.88431
290.4184, 20.79279
290.9005, 21.50131
291.3826, 22.90240
291.8647, 25.04193
292.3469, 27.32178
292.8290, 29.00543
293.3111, 30.30197
293.7932, 32.34927
294.2753, 35.69644
294.7574, 39.66455
295.2396, 43.07184
295.7217, 45.93018
296.2038, 48.08203
296.6859, 48.33313
297.1680, 47.68787
297.6501, 49.16418
298.1323, 53.91711
298.6144, 59.95483
299.0965, 64.66095
299.5786, 68.20770
300.0607, 71.36725
300.5428, 74.37134
301.0250, 77.44141
301.5071, 81.11963
301.9892, 85.59528
302.4713, 90.36884
302.9534, 94.81049
303.4355, 99.06793
303.9177, 103.8510
304.3998, 109.8165
304.8819, 116.3371
305.3640, 122.3231
305.8461, 127.6281
306.3282, 133.0862
306.8104, 139.7506
307.2925, 147.1689
307.7746, 154.2407
308.2567, 159.4899
308.7388, 164.7126
309.2209, 172.1284
309.7031, 181.9263
310.1852, 191.4567
310.6673, 198.5349
311.1494, 204.3442
311.6315, 210.5918
312.1136, 217.5602
312.5958, 225.5693
313.0779, 235.5557
313.5600, 247.2772
314.0421, 258.5538
314.5242, 267.6468
315.0063, 275.7900
315.4885, 284.1554
315.9706, 293.0481
316.4527, 302.3453
316.9348, 312.4108
317.4169, 323.0637
317.8990, 333.4196
318.3812, 342.5958
318.8633, 351.5330
319.3454, 360.8214
319.8275, 371.6108
320.3096, 381.3640
320.7917, 389.0540
321.2739, 395.2023
321.7560, 401.1055
322.2381, 407.0079
322.7202, 412.9135
323.2023, 418.7360
323.6844, 424.1299
324.1666, 430.1564
324.6487, 438.6204
325.1308, 447.5578
325.6129, 453.8195
326.0950, 454.2533
326.5771, 454.3977
327.0593, 456.0538
327.5414, 459.8880
328.0235, 462.7186
328.5056, 464.1163
328.9877, 464.4828
329.4698, 464.2255
329.9520, 463.6151
330.4341, 462.0118
330.9162, 459.1091
331.3983, 454.9089
331.8804, 450.6490
