##NAMES=Zincolibethenite
##RRUFFID=R060763
##IDEAL CHEMISTRY=Cu^2+^Zn^2+^P^5+^O_4_(OH)
##LOCALITY=Kabwe mine, Kabwe, Zambia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale greenish-blue botryoidal groups of radiating crystals, associated with colorless tarbuttite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060763
255.4795, 9.352051
255.9616, 10.46155
256.4437, 11.22363
256.9258, 11.47754
257.4080, 11.52759
257.8901, 11.46133
258.3722, 11.35379
258.8543, 11.38525
259.3364, 11.87451
259.8185, 13.39313
260.3007, 13.87186
260.7828, 12.53226
261.2649, 10.98056
261.7470, 10.17953
262.2291, 10.24023
262.7112, 10.70441
263.1934, 11.06772
263.6755, 11.21240
264.1576, 11.71609
264.6397, 13.11685
265.1218, 14.26965
265.6039, 14.36575
266.0861, 13.53021
266.5682, 12.54471
267.0503, 12.14578
267.5324, 12.41296
268.0145, 12.86923
268.4966, 14.08072
268.9788, 14.92599
269.4609, 14.62350
269.9430, 13.39584
270.4251, 12.10666
270.9072, 11.50076
271.3893, 11.59164
271.8715, 11.45334
272.3536, 11.23389
272.8357, 10.80197
273.3178, 9.586182
273.7999, 8.045166
274.2820, 7.455505
274.7642, 8.833893
275.2463, 11.97150
275.7284, 14.02841
276.2105, 14.41873
276.6926, 14.66519
277.1747, 15.23120
277.6568, 16.03192
278.1389, 16.88635
278.6211, 17.76627
279.1032, 18.57297
279.5853, 18.78845
280.0674, 17.62695
280.5495, 16.89252
281.0316, 17.19745
281.5138, 18.23383
281.9959, 19.60379
282.4780, 21.23486
282.9601, 22.79932
283.4422, 23.30246
283.9243, 22.12363
284.4065, 21.22818
284.8886, 21.17755
285.3707, 21.61200
285.8528, 21.89224
286.3349, 21.75439
286.8170, 21.72324
287.2992, 22.96698
287.7813, 26.17404
288.2634, 28.25452
288.7455, 28.05038
289.2276, 26.72900
289.7097, 25.61716
290.1919, 25.00961
290.6740, 24.61920
291.1561, 24.09738
291.6382, 23.42996
292.1203, 22.79410
292.6024, 22.02884
293.0846, 21.41400
293.5667, 21.60419
294.0488, 22.63925
294.5309, 23.06046
295.0130, 21.05396
295.4951, 16.62030
295.9773, 13.92413
296.4594, 14.03653
296.9415, 15.28400
297.4236, 16.82336
297.9057, 18.48587
298.3878, 19.63855
298.8700, 19.99957
299.3521, 19.35725
299.8342, 17.37007
300.3163, 12.47412
300.7984, 7.702927
