##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=Cu^2+^O
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla. Sample is a pseudomorph.
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R060978
481.1813, 92.72266
481.6635, 103.2568
482.1456, 131.2861
482.6277, 153.3936
483.1098, 152.2441
483.5919, 129.0430
484.0740, 115.7676
484.5562, 126.2930
485.0382, 144.3223
485.5204, 160.7852
486.0025, 187.1777
486.4846, 193.1621
486.9667, 162.9219
487.4488, 117.7891
487.9309, 100.2617
488.4131, 132.8926
488.8952, 151.5938
489.3773, 133.6016
489.8594, 80.18359
490.3415, 36.33398
490.8236, 1.015625
491.3058, 19.08398
491.7879, 9.441406
492.2700, 81.50195
492.7521, 116.0195
493.2342, 91.63281
493.7163, 42.51367
494.1985, 22.59570
494.6806, 28.09961
495.1627, 38.93359
495.6448, 53.78711
496.1269, 63.14453
496.6090, 45.24805
497.0912, 1.320313
497.5733, 37.08594
498.0554, 21.68555
498.5375, 15.43555
499.0196, 40.31445
499.5017, 29.73242
499.9839, 16.73828
500.4660, 13.08398
500.9481, 18.57227
501.4302, 32.82031
501.9123, 82.41211
502.3944, 117.1953
502.8766, 109.7812
503.3587, 39.52734
503.8408, 0.2246090
504.3229, 9.109375
504.8050, 34.49609
505.2871, 45.93359
505.7693, 35.21484
506.2514, 31.38477
506.7335, 40.43164
507.2156, 58.27930
507.6977, 74.83203
508.1798, 91.80664
508.6620, 98.13281
509.1441, 79.22461
509.6262, 41.74805
510.1083, 28.27539
510.5904, 42.82422
511.0725, 62.48828
511.5547, 62.15820
512.0368, 48.19141
512.5189, 35.04883
513.0010, 21.91211
513.4832, 17.96680
513.9653, 40.17773
514.4474, 80.95508
514.9295, 113.6523
515.4116, 119.7559
515.8937, 115.3828
516.3758, 110.3125
516.8579, 104.7363
517.3400, 103.2559
517.8221, 114.5078
518.3043, 126.5000
518.7864, 127.1797
519.2685, 93.94727
519.7506, 72.32031
520.2327, 71.77539
520.7148, 88.72461
521.1970, 108.7871
521.6791, 135.9414
522.1612, 154.9414
522.6433, 156.6074
523.1254, 139.0684
523.6075, 127.7480
524.0897, 123.0859
524.5718, 123.6641
525.0539, 130.2344
525.5360, 141.7520
526.0181, 149.6562
526.5002, 149.8281
526.9824, 147.6387
527.4645, 157.3164
527.9466, 174.5215
528.4287, 179.4980
528.9108, 142.1875
529.3929, 99.39648
529.8751, 99.07227
530.3572, 150.3047
530.8393, 182.2500
531.3214, 135.9707
531.8035, 61.28906
532.2856, 7.136719
532.7678, 4.855469
533.2499, 3.798828
533.7320, 5.828125
534.2141, 21.55078
534.6962, 35.26562
535.1783, 47.86914
535.6605, 56.36133
536.1426, 60.90234
536.6247, 62.36328
537.1068, 51.96484
537.5889, 23.22852
538.0710, 6.263672
538.5532, 17.96289
539.0353, 10.50391
539.5174, 10.56445
539.9995, 24.91016
540.4816, 43.11328
540.9637, 41.50977
541.4459, 23.69922
541.9280, 13.82812
542.4101, 29.18750
542.8922, 57.13281
543.3743, 84.55664
543.8564, 110.2344
544.3386, 127.1016
