##NAMES=Apachite
##RRUFFID=R060694
##IDEAL CHEMISTRY=Cu^2+^_9_Si_10_O_29_&#183;11H_2_O
##LOCALITY=Christmas mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Spherical aggregates of pale blue fibers, associated with yellowish-orange andradite and colorless calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060694
285.9295, 85.06738
286.4116, 75.41455
286.8937, 59.06543
287.3758, 20.88965
287.8579, 0.4970700
288.3401, 7.244141
288.8222, 23.42188
289.3043, 32.90283
289.7864, 32.34717
290.2685, 26.90283
290.7506, 23.19043
291.2328, 22.73779
291.7149, 19.04639
292.1970, 7.131836
292.6791, 3.259277
293.1612, 5.528320
293.6433, 1.484375
294.1255, 1.226563
294.6076, 5.926758
295.0897, 22.23486
295.5718, 25.17725
296.0539, 3.746582
296.5360, 18.82959
297.0182, 37.70068
297.5003, 52.29639
297.9824, 62.02002
298.4645, 65.86426
298.9466, 65.39258
299.4287, 64.22998
299.9109, 61.64990
300.3930, 59.92578
300.8751, 58.89697
301.3572, 60.42920
301.8393, 66.69678
302.3214, 75.18652
302.8036, 83.07568
303.2857, 90.94043
303.7678, 99.34668
304.2499, 101.5010
304.7320, 89.94385
305.2141, 76.54736
305.6963, 72.14404
306.1784, 77.35010
306.6605, 87.05322
307.1426, 98.37695
307.6247, 108.1118
308.1068, 107.9868
308.5890, 94.15283
309.0711, 80.53125
309.5532, 88.56738
310.0353, 111.4961
310.5174, 116.9150
310.9995, 75.44727
311.4817, 23.54492
311.9638, 6.602539
312.4459, 26.45996
312.9280, 52.62939
313.4101, 68.04492
313.8922, 72.51318
314.3744, 70.83350
314.8565, 59.68701
315.3386, 45.95361
315.8207, 26.77783
316.3028, 7.259766
316.7849, 2.886230
317.2671, 23.08203
317.7492, 56.24023
318.2313, 73.83301
318.7134, 68.85400
319.1955, 61.53662
319.6776, 51.56152
320.1598, 41.66992
320.6419, 34.75684
321.1240, 31.46338
321.6061, 30.56885
322.0882, 29.95801
322.5703, 27.15625
323.0525, 33.90625
323.5346, 60.22266
324.0167, 85.55908
324.4988, 96.66846
324.9809, 96.39453
325.4630, 96.50586
325.9452, 106.6924
326.4273, 125.8804
326.9094, 139.4976
327.3915, 139.2617
327.8736, 142.9102
328.3557, 165.3745
328.8379, 189.9897
329.3200, 191.0400
329.8021, 156.0664
330.2842, 106.4062
330.7663, 86.59619
331.2484, 109.2700
331.7306, 126.1030
332.2127, 124.7886
332.6948, 117.3130
333.1769, 110.9287
333.6590, 106.8140
334.1411, 102.2666
334.6233, 93.74561
335.1054, 81.84033
335.5875, 73.26709
336.0696, 70.87744
336.5517, 69.04150
337.0338, 60.66113
337.5160, 49.06543
337.9981, 44.90283
338.4802, 59.85059
338.9623, 81.94580
339.4444, 91.83643
339.9265, 88.45898
340.4087, 82.77393
340.8908, 80.55078
341.3729, 80.28613
341.8550, 77.91553
342.3371, 71.00195
342.8192, 65.18701
343.3014, 64.04199
343.7835, 66.39893
344.2656, 69.53662
344.7477, 72.77393
345.2298, 75.45508
345.7119, 76.09912
346.1941, 73.55127
346.6762, 72.56396
347.1583, 73.02930
347.6404, 75.61035
348.1225, 83.91113
348.6046, 96.82910
349.0868, 105.4551
349.5689, 100.2505
350.0510, 79.67432
350.5331, 67.19385
351.0152, 62.37061
351.4973, 65.17578
351.9795, 82.39209
352.4616, 105.5850
352.9437, 120.9219
353.4258, 122.1763
353.9079, 114.2627
354.3900, 105.1221
354.8722, 91.51123
355.3543, 82.34424
355.8364, 81.41309
356.3185, 82.73779
356.8006, 85.83057
357.2827, 88.95508
357.7649, 82.77539
358.2470, 47.12158
358.7291, 19.79688
359.2112, 54.46436
359.6933, 35.87891
360.1754, 5.517090
360.6576, 17.80225
361.1397, 34.34912
361.6218, 45.94287
362.1039, 56.85254
362.5860, 61.36621
363.0681, 42.97217
363.5503, 2.295898
364.0324, 36.70947
364.5145, 39.44092
364.9966, 20.71631
365.4787, 1.372070
365.9608, 31.03320
366.4430, 52.59229
366.9251, 48.80615
367.4072, 31.03027
367.8893, 25.84814
368.3714, 41.25977
368.8535, 66.08984
369.3357, 89.36621
369.8178, 112.9658
370.2999, 121.4819
370.7820, 98.81348
371.2641, 72.63721
371.7462, 65.40137
372.2284, 74.33203
372.7105, 81.19629
373.1926, 72.44482
373.6747, 50.95410
374.1568, 38.93408
374.6389, 43.85791
375.1211, 49.73633
375.6032, 54.47559
376.0853, 58.99170
376.5674, 63.12695
377.0495, 67.17188
377.5316, 74.58496
378.0138, 95.64014
378.4959, 141.6089
378.9780, 160.2974
379.4601, 115.6772
379.9422, 71.55566
380.4243, 61.41260
380.9065, 77.59619
381.3886, 89.50488
381.8707, 72.48779
382.3528, 38.17236
382.8349, 22.65430
383.3170, 31.35010
383.7992, 41.25586
384.2813, 40.02881
384.7634, 34.43896
385.2455, 32.52246
385.7276, 35.69727
386.2097, 42.23242
386.6919, 55.62646
387.1740, 72.08301
387.6561, 76.23682
388.1382, 61.09082
388.6203, 42.34082
389.1024, 41.07275
389.5846, 58.78271
390.0667, 73.39355
390.5488, 84.55029
391.0309, 90.12451
391.5130, 84.02344
391.9951, 69.31055
392.4773, 58.31934
392.9594, 59.18555
393.4415, 70.26465
393.9236, 83.25098
394.4057, 109.0142
394.8878, 122.9302
395.3700, 112.0933
395.8521, 93.44922
396.3342, 85.07275
396.8163, 91.23096
397.2984, 101.5801
397.7805, 101.3267
398.2627, 86.91748
398.7448, 80.90283
399.2269, 88.57764
399.7090, 99.57617
400.1911, 115.2051
400.6732, 130.8066
401.1554, 137.7251
401.6375, 127.0620
402.1196, 105.9858
402.6017, 87.11133
403.0838, 70.10449
403.5659, 57.48535
404.0481, 52.49561
404.5302, 51.00049
405.0123, 46.43555
405.4944, 37.24121
405.9765, 33.02686
406.4586, 43.42725
406.9408, 60.77393
407.4229, 70.69482
407.9050, 70.74463
408.3871, 68.52295
408.8692, 71.64600
409.3513, 79.99902
409.8335, 80.28711
410.3156, 61.68701
410.7977, 46.81445
411.2798, 45.73975
411.7619, 55.21680
412.2440, 71.46240
412.7262, 93.13672
413.2083, 113.5239
413.6904, 117.3877
414.1725, 89.46289
414.6546, 74.96729
415.1367, 79.98975
415.6189, 91.10059
416.1010, 105.8481
416.5831, 119.1904
417.0652, 120.9795
417.5473, 103.0322
418.0294, 72.82324
418.5116, 61.47900
418.9937, 77.03809
419.4758, 91.35498
419.9579, 90.35791
420.4400, 83.64209
420.9221, 81.46484
421.4043, 86.57471
421.8864, 90.39209
422.3685, 88.33838
422.8506, 83.28418
423.3327, 80.83594
423.8148, 80.96240
424.2970, 85.39502
424.7791, 96.26367
425.2612, 113.3906
425.7433, 125.8442
426.2254, 134.3711
426.7076, 136.7373
427.1897, 129.5898
427.6718, 115.2100
428.1539, 96.68262
428.6360, 74.37646
429.1181, 54.71387
429.6003, 53.50586
430.0824, 88.33301
430.5645, 112.6484
431.0466, 125.2324
431.5287, 129.6860
432.0108, 125.8174
432.4930, 115.5576
432.9751, 103.7788
433.4572, 94.35010
433.9393, 86.73145
434.4214, 77.77197
434.9035, 65.82324
435.3857, 56.21143
435.8678, 49.63623
436.3499, 46.96191
436.8320, 50.62598
437.3141, 62.04834
437.7962, 74.07715
438.2784, 81.04053
438.7605, 84.30713
439.2426, 88.61914
439.7247, 95.39697
440.2068, 100.6470
440.6889, 102.2109
441.1711, 99.43457
441.6532, 86.98926
442.1353, 46.84326
442.6174, 14.82764
443.0995, 13.97900
443.5816, 34.26514
444.0638, 56.07959
444.5459, 71.39648
445.0280, 81.60205
445.5101, 89.59180
445.9922, 98.13770
446.4743, 97.47900
446.9565, 74.14551
447.4386, 55.01758
447.9207, 60.26904
448.4028, 82.32666
448.8849, 97.87988
449.3670, 90.34229
449.8492, 68.46826
450.3313, 55.77539
450.8134, 54.75146
451.2955, 53.56348
451.7776, 49.62061
452.2597, 43.02490
452.7419, 30.92969
453.2240, 12.37158
453.7061, 2.053711
454.1882, 18.26123
454.6703, 43.64111
455.1524, 43.21533
455.6346, 13.87793
456.1167, 5.048340
456.5988, 21.72021
457.0809, 83.41943
457.5630, 101.1938
458.0451, 28.38818
458.5273, 23.26660
459.0093, 12.59473
459.4915, 24.61523
459.9736, 46.30957
460.4557, 42.93506
460.9378, 35.03564
461.4199, 49.52148
461.9020, 90.24170
462.3842, 108.8882
462.8663, 88.84131
463.3484, 65.43604
463.8305, 44.32910
464.3126, 29.16309
464.7947, 26.79883
465.2769, 42.30127
465.7590, 60.53467
466.2411, 63.31787
466.7232, 52.21387
467.2053, 40.95020
467.6874, 30.76025
468.1696, 24.02637
468.6517, 25.43848
469.1338, 33.85791
469.6159, 39.62939
470.0980, 41.86133
470.5801, 40.54102
471.0623, 33.51318
471.5444, 22.86719
472.0265, 12.92285
472.5086, 5.409668
472.9907, 1.259766
473.4728, 2.767090
473.9550, 12.95898
474.4371, 22.35742
474.9192, 32.40234
475.4013, 40.42529
475.8834, 42.86816
476.3655, 42.00195
476.8477, 45.25293
477.3298, 60.35889
477.8119, 76.71826
478.2940, 65.81104
478.7761, 21.87402
479.2582, 16.43359
479.7404, 46.42383
480.2225, 57.98145
480.7046, 32.65039
481.1867, 30.04102
481.6688, 76.23438
482.1509, 71.69727
482.6331, 48.20898
483.1152, 41.75439
483.5973, 52.36475
484.0794, 63.35400
484.5615, 65.50635
485.0436, 60.88379
485.5258, 56.94824
486.0079, 46.18848
486.4900, 41.86426
486.9721, 49.08105
487.4542, 59.04785
487.9363, 66.04590
488.4185, 69.22363
488.9006, 69.28467
489.3827, 64.80615
489.8648, 58.61865
490.3469, 66.47412
490.8290, 98.05420
491.3112, 118.0728
491.7933, 104.0679
492.2754, 78.83447
492.7575, 60.73389
493.2396, 51.45801
493.7217, 49.58643
494.2039, 65.12109
494.6860, 83.16406
495.1681, 73.75928
495.6502, 36.14600
496.1323, 5.067871
496.6144, 5.903809
497.0966, 30.14160
497.5787, 39.32812
498.0608, 11.94238
498.5429, 0.8046880
499.0250, 21.37549
499.5071, 50.61426
499.9893, 59.08105
500.4714, 46.23682
500.9535, 33.56592
501.4356, 41.53320
501.9177, 65.83545
502.3998, 77.11621
502.8820, 72.13135
503.3641, 61.47510
503.8462, 39.21631
504.3283, 18.16016
504.8104, 13.30273
505.2925, 27.65674
505.7747, 41.88574
506.2568, 42.18115
506.7389, 36.19434
507.2210, 39.43848
507.7031, 52.85400
508.1852, 60.30078
508.6674, 47.75732
509.1495, 22.37939
509.6316, 17.75928
510.1137, 57.75098
510.5958, 85.46045
511.0779, 91.85303
511.5601, 87.36523
512.0422, 74.27686
512.5243, 55.13232
513.0064, 39.08838
513.4885, 35.20557
513.9706, 41.40039
514.4528, 46.51074
514.9349, 49.09521
515.4170, 52.79492
515.8991, 62.00391
516.3812, 69.51123
516.8633, 69.12305
517.3455, 59.41357
517.8276, 52.09375
518.3097, 52.42188
518.7918, 59.03223
519.2739, 73.99902
519.7560, 95.84082
520.2382, 111.4487
520.7203, 111.8950
521.2024, 101.6196
521.6845, 95.16895
522.1666, 98.21387
522.6487, 97.58643
523.1309, 90.86572
523.6130, 81.96777
524.0951, 68.40039
524.5772, 54.21436
525.0593, 53.08936
525.5414, 78.93066
526.0236, 117.3110
526.5057, 123.6836
526.9878, 91.19141
527.4699, 64.56055
527.9520, 59.98633
528.4341, 64.34131
528.9163, 63.62891
529.3984, 57.89551
529.8805, 49.78857
530.3626, 32.27539
530.8447, 18.83105
531.3268, 28.68164
531.8090, 54.65576
532.2911, 69.14014
532.7732, 57.19482
533.2553, 32.45264
533.7374, 22.51123
534.2195, 36.31152
534.7017, 44.36230
535.1838, 40.29492
535.6659, 36.98486
536.1480, 39.98682
536.6301, 48.38086
537.1122, 59.47803
537.5944, 73.08643
538.0765, 84.49854
538.5586, 86.06201
539.0407, 79.03906
539.5228, 75.33301
540.0049, 79.59424
540.4871, 83.55078
540.9692, 79.69336
541.4513, 67.86670
541.9334, 50.78125
542.4155, 8.987305
542.8976, 17.04834
543.3798, 5.199707
543.8619, 50.02051
544.3440, 79.85986
544.8261, 83.26318
545.3082, 71.21387
545.7903, 53.76514
546.2725, 30.12500
546.7546, 18.67920
547.2367, 25.09033
547.7188, 35.40674
548.2009, 49.82959
548.6830, 62.52734
549.1652, 63.72119
549.6473, 49.17236
550.1294, 37.21826
550.6115, 44.40674
551.0936, 60.81152
551.5757, 65.69775
552.0579, 57.53906
552.5400, 56.32910
553.0221, 79.88477
553.5042, 118.7881
553.9863, 129.7109
554.4684, 71.54492
554.9506, 38.97656
555.4327, 53.93262
555.9148, 80.49072
556.3969, 92.84766
556.8790, 90.88184
557.3611, 87.95215
557.8433, 94.37891
558.3254, 104.2075
558.8075, 105.8428
559.2896, 98.46729
559.7717, 95.71631
560.2538, 105.7310
560.7360, 116.4341
561.2181, 110.3501
561.7002, 88.19922
562.1823, 69.77588
562.6644, 55.19824
563.1465, 47.97314
563.6287, 58.11523
564.1108, 75.88379
564.5929, 80.78564
565.0750, 65.59912
565.5571, 43.07129
566.0392, 32.80811
566.5214, 35.59131
567.0035, 35.76172
567.4856, 37.88623
567.9677, 33.23730
568.4498, 10.71777
568.9319, 17.25342
569.4141, 31.86279
569.8962, 26.87207
570.3783, 18.26758
570.8604, 19.78906
571.3425, 23.62988
571.8246, 14.08008
572.3068, 9.866211
572.7889, 36.45557
573.2710, 59.56641
573.7531, 77.24854
574.2352, 80.96289
574.7173, 51.57617
575.1995, 36.95361
575.6816, 54.95117
576.1637, 74.25049
576.6458, 69.34033
577.1279, 45.39795
577.6100, 26.41016
578.0922, 29.38721
578.5743, 40.89648
579.0564, 33.54395
579.5385, 9.347168
580.0206, 4.176758
580.5027, 34.80225
580.9849, 68.61963
581.4670, 64.97559
581.9491, 19.75195
582.4312, 1.815918
582.9133, 22.17920
583.3954, 45.09326
583.8776, 48.41504
584.3597, 40.27686
584.8418, 30.24414
585.3239, 21.69922
585.8060, 16.23779
586.2881, 14.71387
586.7703, 17.50586
587.2524, 32.25195
587.7345, 68.20801
588.2166, 86.65137
588.6987, 52.75244
589.1808, 3.745117
589.6630, 1.669922
590.1451, 47.51416
590.6272, 79.93994
591.1093, 56.32715
591.5914, 21.02734
592.0735, 14.54199
592.5557, 31.13232
593.0378, 45.44189
593.5199, 45.20898
594.0020, 36.87207
594.4841, 31.68213
594.9662, 29.31152
595.4484, 31.88379
595.9305, 46.50342
596.4126, 57.12598
596.8947, 49.89893
597.3768, 35.38428
597.8589, 34.11914
598.3411, 55.99316
598.8232, 76.53564
599.3053, 77.68799
599.7874, 67.89258
600.2695, 61.41309
600.7516, 58.42627
601.2338, 53.13184
601.7159, 37.19336
602.1980, 15.02588
602.6801, 5.764160
603.1622, 19.86621
603.6443, 27.80859
604.1265, 20.53369
604.6086, 13.23779
605.0907, 18.81396
605.5728, 32.66650
606.0549, 38.25146
606.5370, 22.09082
607.0192, 3.762207
607.5013, 9.407227
607.9834, 31.67041
608.4655, 44.95898
608.9476, 43.26416
609.4297, 32.95850
609.9119, 18.05811
610.3940, 1.033203
610.8761, 10.80664
611.3582, 7.159180
611.8403, 0.7290040
612.3224, 19.33691
612.8046, 36.41406
613.2867, 40.10156
613.7688, 30.60498
614.2509, 17.42432
614.7330, 1.460449
615.2151, 10.14258
615.6973, 0.1547850
616.1794, 30.17725
616.6615, 55.95703
617.1436, 70.81201
617.6257, 75.17188
618.1078, 66.49951
618.5900, 41.74658
619.0721, 30.39111
619.5542, 45.54102
620.0363, 57.35840
620.5184, 55.03516
621.0005, 45.33350
621.4827, 36.29395
621.9648, 29.58350
622.4469, 21.50098
622.9290, 2.811523
623.4111, 18.87305
623.8932, 19.50781
624.3754, 1.635254
624.8575, 30.74805
625.3396, 69.31201
625.8217, 102.1665
626.3038, 102.6753
626.7859, 58.30078
627.2681, 28.72900
627.7502, 21.74609
628.2323, 24.97803
628.7144, 42.47021
629.1965, 62.05664
629.6786, 65.13867
630.1608, 47.64453
630.6429, 27.59766
631.1250, 27.48193
631.6071, 42.01221
632.0892, 47.91162
632.5714, 44.29541
633.0535, 34.84229
633.5356, 17.64990
634.0177, 0.9067380
634.4998, 9.423828
634.9819, 7.025391
635.4641, 1.257813
635.9462, 18.45996
636.4283, 37.94189
636.9104, 60.91357
637.3925, 82.29102
637.8746, 94.25391
638.3568, 94.35449
638.8389, 86.60938
639.3210, 69.99268
639.8031, 48.02295
640.2852, 43.87891
640.7673, 62.47168
641.2495, 79.84912
641.7316, 84.85449
642.2137, 81.62793
642.6958, 77.64990
643.1779, 71.67383
643.6600, 69.05029
644.1422, 70.34229
644.6243, 75.04053
645.1064, 86.57422
645.5885, 100.3916
646.0706, 108.5576
646.5527, 108.2241
647.0349, 103.9878
647.5170, 101.1045
647.9991, 99.62842
648.4812, 93.65967
648.9633, 81.28174
649.4454, 77.36816
649.9276, 94.24951
650.4097, 119.8247
650.8918, 125.8667
651.3739, 98.63184
651.8560, 91.86670
652.3381, 132.4790
652.8203, 170.1006
653.3024, 173.2764
653.7845, 155.2856
654.2666, 140.0469
654.7487, 136.0293
655.2308, 138.5859
