##NAMES=Mackinawite
##RRUFFID=R070302
##IDEAL CHEMISTRY=(Fe,Ni)_1-1.07_S
##LOCALITY=Wannaway Prospect, near Kalgoorlie, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Bronze metallic massive, drill core
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070302
297.4741, 10.97489
297.9562, 10.88139
298.4384, 10.26348
298.9205, 8.998375
299.4026, 8.027916
299.8847, 6.639931
300.3668, 6.225883
300.8489, 7.922279
301.3311, 10.99129
301.8132, 14.02562
302.2953, 16.25745
302.7774, 17.54165
303.2595, 16.91647
303.7416, 11.97870
304.2238, 8.709305
304.7059, 8.863586
305.1880, 10.90282
305.6701, 13.56432
306.1522, 16.43021
306.6343, 18.75818
307.1165, 18.98656
307.5986, 16.38174
308.0807, 14.41512
308.5628, 13.86105
309.0449, 14.05104
309.5270, 15.13304
310.0092, 16.94515
310.4913, 18.24439
310.9734, 17.72804
311.4555, 15.54599
311.9376, 13.36307
312.4197, 10.95879
312.9019, 9.114937
313.3840, 8.950081
313.8661, 9.711189
314.3482, 9.363342
314.8303, 5.155167
315.3124, 9.3131997E-02
315.7946, 0.6203990
316.2767, 7.899628
316.7588, 13.85120
317.2409, 12.54235
317.7230, 7.593880
318.2051, 5.129204
318.6873, 6.909447
319.1694, 9.477646
319.6515, 10.71075
320.1336, 10.64738
320.6157, 9.269958
321.0978, 6.025475
321.5800, 2.355225
322.0621, 0.6385270
322.5442, 1.019020
323.0263, 1.745972
323.5084, 2.589806
323.9905, 3.367416
324.4727, 3.943802
324.9548, 4.312119
325.4369, 4.263901
325.9190, 3.479263
326.4011, 1.851479
326.8832, 0.5070420
327.3654, 1.112640
327.8475, 1.942581
328.3296, 0.5341420
328.8117, 2.293121
329.2938, 3.991081
329.7759, 2.902245
330.2581, 0.1933140
330.7402, 1.682343
331.2223, 0.6869430
331.7044, 0.8615950
332.1865, 3.845451
332.6686, 6.795616
333.1508, 7.892357
333.6329, 6.667313
334.1150, 4.430809
334.5971, 2.984161
335.0792, 2.151054
335.5613, 2.713600
336.0435, 5.820732
336.5256, 9.130379
337.0077, 12.06268
337.4898, 14.18532
337.9719, 14.64924
338.4540, 12.18387
338.9362, 7.388718
339.4183, 5.741646
339.9004, 9.825378
340.3825, 13.27738
340.8646, 14.14970
341.3467, 13.45339
341.8289, 12.35522
342.3110, 11.22859
342.7931, 10.15071
343.2752, 8.941010
343.7573, 7.388443
344.2394, 7.268990
344.7216, 10.83547
345.2037, 14.51520
345.6858, 15.12070
346.1679, 12.59676
346.6500, 9.935310
347.1321, 8.663857
347.6143, 8.669434
348.0964, 9.995110
348.5785, 13.08871
349.0606, 16.12749
349.5427, 17.81626
350.0248, 18.33292
350.5070, 17.98116
350.9891, 15.84863
351.4712, 13.60157
351.9533, 12.78444
352.4354, 13.14912
352.9175, 13.23750
353.3997, 12.10909
353.8818, 10.57573
354.3639, 11.06327
354.8460, 14.82767
355.3281, 17.53013
355.8102, 17.40320
356.2924, 16.07148
356.7745, 15.38557
357.2566, 15.74632
357.7387, 16.53910
358.2208, 17.01807
358.7029, 16.97492
359.1851, 17.87943
359.6672, 21.78567
360.1493, 24.47948
360.6314, 22.73819
361.1135, 18.34936
361.5956, 15.45482
362.0778, 16.63279
362.5599, 20.58987
363.0420, 22.49740
363.5241, 20.46066
364.0062, 19.45057
364.4883, 20.76572
364.9705, 22.70971
365.4526, 23.88138
365.9347, 23.99644
366.4168, 23.73840
366.8989, 23.89608
367.3810, 24.51129
367.8632, 24.78820
368.3453, 24.04108
368.8274, 23.77232
369.3095, 25.41168
369.7916, 28.08735
370.2737, 29.62014
370.7559, 28.22592
371.2380, 25.73709
371.7201, 25.82261
372.2022, 28.88319
372.6843, 30.54637
373.1664, 27.72701
373.6486, 23.19907
374.1307, 21.18432
374.6128, 22.22942
375.0949, 24.23100
375.5770, 26.85468
376.0591, 29.54373
376.5413, 31.07446
377.0234, 31.13622
377.5055, 30.54671
377.9876, 30.33193
378.4697, 30.57108
378.9518, 29.09023
379.4340, 23.42275
379.9161, 18.30573
380.3982, 17.51486
380.8803, 19.51233
381.3624, 20.25869
381.8445, 17.52222
382.3267, 12.81580
382.8088, 10.16308
383.2909, 10.19891
383.7730, 10.98406
384.2551, 13.31127
384.7372, 16.08161
385.2194, 18.83352
385.7015, 21.14000
386.1836, 22.15135
386.6657, 20.62167
387.1478, 16.35950
387.6299, 13.43837
388.1121, 12.62661
388.5942, 12.33839
389.0763, 12.85019
389.5584, 13.37573
390.0405, 12.50613
390.5226, 9.451168
391.0048, 6.008934
391.4869, 4.755257
391.9690, 5.577057
392.4511, 7.030174
392.9332, 9.964485
393.4153, 12.40581
393.8975, 11.86893
394.3796, 8.159981
394.8617, 5.135593
395.3438, 5.231758
395.8259, 7.177841
396.3080, 9.136696
396.7902, 10.99170
397.2723, 12.12923
397.7544, 12.07144
398.2365, 10.87153
398.7186, 9.215744
399.2007, 6.430325
399.6829, 3.969833
400.1650, 1.793995
400.6471, 0.4547580
401.1292, 1.581787
401.6113, 5.737488
402.0934, 10.22254
402.5756, 10.85563
403.0577, 5.716682
403.5398, 2.505116
404.0219, 1.120605
404.5040, 1.426804
404.9861, 4.994942
405.4683, 10.21441
405.9504, 13.37368
406.4325, 11.90511
406.9146, 7.146187
407.3967, 3.725658
407.8788, 1.712173
408.3610, 0.9896430
408.8431, 2.163857
409.3252, 4.127934
409.8073, 6.359608
410.2894, 8.588451
410.7715, 10.05868
411.2537, 9.544250
411.7358, 7.503662
412.2179, 6.371983
412.7000, 6.547062
413.1821, 7.061092
413.6642, 7.574368
414.1464, 7.930611
414.6285, 7.653610
415.1106, 5.640289
415.5927, 4.210590
416.0748, 6.053211
416.5569, 9.986938
417.0391, 12.07238
417.5212, 10.70524
418.0033, 8.010098
418.4854, 7.335148
418.9675, 9.850109
419.4496, 10.26280
419.9318, 6.417774
420.4139, 2.177937
420.8960, 0.3066520
421.3781, 0.9746930
421.8602, 0.7521820
422.3423, 0.1999020
422.8245, 0.6542090
423.3066, 1.698837
423.7887, 3.577366
424.2708, 4.618141
424.7529, 4.108978
425.2350, 3.142067
425.7172, 2.540607
426.1993, 2.444458
426.6814, 2.572609
427.1635, 2.701900
427.6456, 2.837635
428.1277, 2.971439
428.6099, 3.100330
429.0920, 3.227322
429.5741, 3.534367
430.0562, 3.796085
430.5383, 3.538883
431.0204, 2.293491
431.5026, 1.284718
431.9847, 1.873943
432.4668, 3.602436
432.9489, 4.835617
433.4310, 5.139824
433.9131, 4.886719
434.3953, 4.326206
434.8774, 3.391399
435.3595, 3.020668
435.8416, 4.533428
436.3237, 5.482353
436.8058, 3.321846
437.2880, 0.6614990
437.7701, 2.792694
438.2522, 1.040318
438.7343, 2.701797
439.2164, 3.425251
439.6985, 2.036621
440.1807, 4.846977
440.6628, 2.946434
441.1449, 0.2531740
441.6270, 0.6762700
442.1091, 5.5080000E-02
442.5912, 0.8248180
443.0734, 0.3773080
443.5555, 0.9671020
444.0376, 1.950825
444.5197, 2.438416
445.0018, 2.951420
445.4839, 4.276138
445.9661, 5.406895
446.4482, 5.256451
446.9303, 3.609314
447.4124, 1.386356
447.8945, 2.131042
448.3766, 5.579021
448.8588, 5.161011
449.3409, 7.0210002E-02
449.8230, 4.543255
450.3051, 4.189308
450.7872, 0.5223350
451.2693, 2.864731
451.7515, 1.572029
452.2336, 0.4066620
452.7157, 2.705402
453.1978, 4.899689
453.6799, 6.195087
454.1620, 6.435459
454.6442, 6.559830
455.1263, 7.958866
455.6084, 11.09296
456.0905, 12.85836
456.5726, 12.15640
457.0547, 11.13335
457.5369, 10.09531
458.0190, 9.235935
458.5011, 8.808529
458.9832, 8.950729
459.4653, 9.410442
459.9474, 10.21309
460.4296, 11.38082
460.9117, 10.96196
461.3938, 7.337116
461.8759, 3.731503
462.3580, 3.327145
462.8401, 5.570477
463.3223, 7.704994
463.8044, 9.375874
464.2865, 10.32485
464.7686, 10.23390
465.2507, 9.196365
465.7328, 7.231518
466.2150, 4.067852
466.6971, 0.9931070
467.1792, 0.6913220
467.6613, 5.313141
468.1434, 8.229671
468.6255, 7.913383
469.1077, 7.255573
469.5898, 8.540936
470.0719, 11.11232
470.5540, 12.60124
471.0361, 11.36922
471.5182, 8.456627
472.0004, 6.888725
472.4825, 7.051899
472.9646, 7.541870
473.4467, 9.107662
473.9288, 10.13752
474.4109, 8.991173
474.8931, 5.884399
475.3752, 3.271461
475.8573, 3.245441
476.3394, 4.336224
476.8215, 3.437550
477.3036, 0.4608690
477.7858, 0.8759380
478.2679, 2.062874
478.7500, 7.136433
479.2321, 8.830006
479.7142, 5.176754
480.1964, 3.682209
480.6785, 8.709503
481.1606, 14.50325
481.6427, 15.03056
482.1248, 10.59873
482.6069, 6.096462
483.0891, 5.256790
483.5712, 7.304302
484.0533, 7.818348
484.5354, 5.289074
485.0175, 3.707840
485.4996, 4.125557
485.9818, 5.248825
486.4639, 5.951508
486.9460, 6.179497
487.4281, 6.804253
487.9102, 9.256123
488.3923, 12.59629
488.8745, 13.47016
489.3566, 11.32027
489.8387, 9.840374
490.3208, 11.42062
490.8029, 14.57909
491.2850, 16.29066
491.7672, 16.48376
492.2493, 15.51360
492.7314, 12.39595
493.2135, 8.792599
493.6956, 6.285709
494.1777, 5.173534
494.6599, 5.728790
495.1420, 8.449974
495.6241, 12.64317
496.1062, 14.37348
496.5883, 11.20890
497.0704, 8.788033
497.5526, 7.788925
498.0347, 7.335869
498.5168, 6.993092
498.9989, 6.738651
499.4810, 6.893250
499.9631, 8.085621
500.4453, 9.875011
500.9274, 10.73173
501.4095, 10.65974
501.8916, 9.632854
502.3737, 6.186905
502.8558, 2.692955
503.3380, 3.396996
503.8201, 9.743980
504.3022, 14.42120
504.7843, 13.30028
505.2664, 9.850021
505.7485, 7.809227
506.2307, 7.372940
506.7128, 7.203125
507.1949, 6.519436
507.6770, 5.234879
508.1591, 4.404270
508.6412, 3.749939
509.1234, 3.738823
509.6055, 5.856915
510.0876, 7.912743
510.5697, 7.909298
511.0518, 6.000126
511.5339, 3.874657
512.0161, 2.575645
512.4982, 2.047470
512.9803, 2.253220
513.4624, 3.288551
513.9445, 4.538521
514.4266, 6.248695
514.9088, 7.654373
515.3909, 7.524815
515.8730, 5.696426
516.3551, 4.494183
516.8372, 5.402924
517.3193, 6.665359
517.8015, 6.576839
518.2836, 5.437515
518.7657, 4.171436
519.2478, 3.012665
519.7299, 2.142910
520.2120, 1.752846
520.6942, 1.939976
521.1763, 2.469013
521.6584, 4.022720
522.1405, 5.242218
522.6226, 4.953117
523.1047, 3.726273
523.5869, 3.119335
524.0690, 4.096134
524.5511, 5.710995
525.0332, 6.646629
525.5153, 6.979984
525.9974, 6.700802
526.4796, 5.461685
526.9617, 4.205864
527.4438, 3.996086
527.9259, 4.716068
528.4080, 5.950966
528.8901, 8.683189
529.3723, 10.79398
529.8544, 10.80011
530.3365, 9.369457
530.8186, 7.461433
531.3007, 5.733368
531.7828, 4.562840
532.2650, 4.619122
532.7471, 6.227989
533.2292, 7.024708
533.7113, 6.586845
534.1934, 5.797050
534.6755, 4.253845
535.1577, 2.694988
535.6398, 2.414848
536.1219, 4.136070
536.6040, 6.037354
537.0861, 6.033009
537.5682, 4.884323
538.0504, 5.417225
538.5325, 8.220379
539.0146, 10.74631
539.4967, 10.95918
539.9788, 9.413818
540.4609, 8.896297
540.9431, 10.40361
541.4252, 11.44584
541.9073, 11.11491
542.3894, 10.35405
542.8715, 10.08370
543.3536, 10.36485
543.8358, 10.64450
544.3179, 10.42540
544.8000, 9.892521
545.2821, 10.06488
545.7642, 11.59001
546.2463, 12.02411
546.7285, 9.218987
547.2106, 6.236603
547.6927, 5.537025
548.1748, 7.070156
548.6569, 9.006317
549.1390, 11.54142
549.6212, 13.38091
550.1033, 12.45233
550.5854, 9.365047
551.0675, 6.804806
551.5496, 5.831734
552.0317, 5.819759
552.5139, 5.769779
552.9960, 5.569988
553.4781, 5.718605
553.9602, 6.950859
554.4423, 7.697208
554.9244, 6.935314
555.4066, 5.394653
555.8887, 4.175114
556.3708, 3.664810
556.8529, 3.670689
557.3350, 4.248596
557.8171, 5.270500
558.2993, 5.575127
558.7814, 4.835224
559.2635, 4.059223
559.7456, 3.715355
560.2277, 3.895741
560.7098, 4.795811
561.1920, 7.152237
561.6741, 8.972980
562.1562, 10.03806
562.6383, 10.00713
563.1204, 7.709164
563.6025, 3.634933
564.0847, 0.2934230
564.5668, 0.4323230
565.0489, 0.8524930
565.5310, 1.744762
566.0131, 1.996288
566.4952, 2.482086
566.9774, 3.492485
567.4595, 4.682739
567.9416, 6.112022
568.4237, 7.607002
568.9058, 8.482086
569.3879, 8.206276
569.8701, 7.404110
570.3522, 6.411129
570.8343, 5.398773
571.3164, 5.067974
571.7985, 5.694569
572.2806, 6.485897
572.7628, 6.427795
573.2449, 5.376808
573.7270, 4.836796
574.2091, 6.238071
574.6912, 6.411476
575.1733, 2.701733
575.6555, 1.670261
576.1376, 2.854347
576.6197, 0.1355130
577.1018, 3.754452
577.5839, 7.085682
578.0660, 9.590611
578.5482, 10.07498
579.0303, 8.302731
579.5124, 6.473930
579.9945, 5.574009
580.4766, 5.206245
580.9587, 4.507805
581.4409, 3.189548
581.9230, 2.721508
582.4051, 4.651279
582.8872, 6.278645
583.3693, 5.552994
583.8514, 3.078579
584.3336, 0.4965740
584.8157, 1.463348
585.2978, 2.720524
585.7799, 2.915405
586.2620, 1.917435
