##NAMES=Wurtzite
##RRUFFID=R130069
##IDEAL CHEMISTRY=Zn^2+^S^2+^
##LOCALITY=Merelani Hills (Mererani), Lelatema Mountains, Arusha Region, Tanzania
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Reddish brown blocky crystals, polytype wurtzite-4H
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130069
484.2152, 35354.21
484.6973, 35359.96
485.1794, 35238.82
485.6616, 35190.32
486.1437, 35300.21
486.6258, 35447.77
487.1079, 35539.47
487.5900, 35527.20
488.0721, 35544.94
488.5543, 35617.61
489.0364, 35722.93
489.5185, 35792.63
490.0006, 35812.48
490.4827, 35838.23
490.9648, 35905.77
491.4470, 36010.95
491.9291, 36054.47
492.4112, 36024.78
492.8933, 35988.04
493.3754, 36006.17
493.8575, 36074.29
494.3397, 36178.70
494.8218, 36332.86
495.3039, 36490.21
495.7860, 36575.71
496.2681, 36606.07
496.7502, 36637.30
497.2324, 36713.28
497.7145, 36795.95
498.1966, 36840.48
498.6787, 36844.69
499.1608, 36863.41
499.6429, 36949.47
500.1251, 37049.86
500.6072, 37117.05
501.0893, 37085.86
501.5714, 37093.89
502.0535, 37206.02
502.5356, 37376.45
503.0178, 37501.51
503.4999, 37561.88
503.9820, 37589.07
504.4641, 37569.33
504.9462, 37498.00
505.4283, 37515.13
505.9105, 37674.74
506.3926, 37840.50
506.8747, 37888.60
507.3568, 37790.91
507.8389, 37778.05
508.3210, 37890.22
508.8032, 38062.01
509.2853, 38188.72
509.7674, 38271.26
510.2495, 38325.71
510.7316, 38336.53
511.2137, 38332.93
511.6959, 38396.74
512.1780, 38520.73
512.6601, 38623.66
513.1422, 38611.25
513.6243, 38555.84
514.1064, 38558.11
514.5886, 38652.05
515.0707, 38744.15
515.5528, 38751.23
516.0349, 38726.80
516.5170, 38748.14
516.9991, 38893.45
517.4813, 39035.15
517.9634, 39135.63
518.4455, 39196.87
518.9276, 39240.22
519.4097, 39227.08
519.8918, 39232.88
520.3740, 39291.70
520.8561, 39423.10
521.3382, 39546.60
521.8203, 39673.61
522.3024, 39778.11
522.7845, 39811.26
523.2667, 39748.77
523.7488, 39755.87
524.2309, 39890.52
524.7130, 40089.77
525.1951, 40185.20
525.6772, 40179.36
526.1594, 40176.92
526.6415, 40250.48
527.1236, 40368.46
527.6057, 40461.08
528.0878, 40526.15
528.5699, 40577.75
529.0521, 40612.26
529.5342, 40645.27
530.0163, 40700.17
530.4984, 40797.75
530.9805, 40890.83
531.4626, 40946.83
531.9448, 40979.74
532.4269, 41016.41
532.9090, 41061.25
533.3911, 41113.85
533.8732, 41168.01
534.3553, 41222.13
534.8375, 41309.36
535.3196, 41464.47
535.8017, 41616.14
536.2838, 41722.67
536.7659, 41767.60
537.2480, 41812.39
537.7302, 41854.46
538.2123, 41899.81
538.6944, 41963.05
539.1765, 42047.39
539.6586, 42110.82
540.1407, 42128.88
540.6229, 42130.79
541.1050, 42200.24
541.5871, 42330.18
542.0692, 42443.66
542.5513, 42479.35
543.0334, 42475.43
543.5156, 42487.14
543.9977, 42518.97
544.4798, 42560.57
544.9619, 42599.75
545.4440, 42646.58
545.9261, 42713.46
546.4083, 42823.51
546.8904, 42923.88
547.3725, 42979.62
547.8546, 43012.14
548.3367, 43069.16
548.8188, 43166.16
549.3010, 43278.57
549.7831, 43411.26
550.2652, 43563.17
550.7473, 43677.32
551.2294, 43747.37
551.7115, 43790.63
552.1937, 43806.82
552.6758, 43789.51
553.1579, 43817.94
553.6400, 43905.18
554.1221, 44014.12
554.6042, 44098.54
555.0864, 44161.09
555.5685, 44215.55
556.0506, 44261.48
556.5327, 44306.02
557.0148, 44361.20
557.4969, 44423.69
557.9791, 44482.36
558.4612, 44517.57
558.9433, 44554.02
559.4254, 44616.29
559.9075, 44706.46
560.3896, 44790.17
560.8718, 44848.62
561.3539, 44897.30
561.8360, 44947.52
562.3181, 45003.75
562.8002, 45058.95
563.2823, 45120.81
563.7645, 45179.47
564.2466, 45214.66
564.7287, 45204.72
565.2108, 45222.11
565.6929, 45288.58
566.1750, 45394.48
566.6572, 45502.09
567.1393, 45611.29
567.6214, 45716.99
568.1035, 45815.42
568.5856, 45907.20
569.0677, 46007.19
569.5499, 46116.43
570.0320, 46204.25
570.5141, 46211.23
570.9962, 46183.49
571.4783, 46199.17
571.9604, 46292.70
572.4426, 46401.59
572.9247, 46500.29
