##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
251.1841, 131.5234
251.6663, 63.91406
252.1484, 45.68750
252.6305, 204.7656
253.1126, 386.2109
253.5947, 503.2969
254.0768, 550.7109
254.5590, 527.2500
255.0411, 361.8047
255.5232, 153.4375
256.0053, 24.28906
256.4874, 26.44531
256.9695, 90.07812
257.4517, 46.99219
257.9338, 237.5781
258.4159, 476.4922
258.8980, 674.7891
259.3801, 823.8984
259.8622, 894.7422
260.3444, 879.4688
260.8265, 838.8281
261.3086, 889.2734
261.7907, 1132.875
262.2728, 1310.516
262.7549, 1388.633
263.2371, 1414.992
263.7192, 1427.672
264.2013, 1438.562
264.6834, 1449.664
265.1655, 1463.984
265.6476, 1481.906
266.1298, 1501.930
266.6119, 1514.773
267.0940, 1536.414
267.5761, 1581.773
268.0582, 1654.945
268.5403, 1746.641
269.0225, 1853.859
269.5046, 1986.320
269.9867, 2079.320
270.4688, 2117.656
270.9509, 2124.141
271.4330, 2110.180
271.9152, 2078.875
272.3973, 2042.445
272.8794, 2001.469
273.3615, 1957.578
273.8436, 1972.656
274.3257, 2123.336
274.8079, 2280.680
275.2900, 2310.828
275.7721, 2217.578
276.2542, 2147.016
276.7363, 2223.281
277.2184, 2429.664
277.7006, 2579.047
278.1827, 2663.758
278.6648, 2694.406
279.1469, 2645.781
279.6290, 2529.992
280.1111, 2435.742
280.5933, 2414.852
281.0754, 2461.016
281.5575, 2529.820
282.0396, 2646.195
282.5217, 2753.992
283.0038, 2815.125
283.4860, 2836.375
283.9681, 2852.312
284.4502, 2880.703
284.9323, 2911.172
285.4144, 2922.352
285.8965, 2909.852
286.3787, 2882.438
286.8608, 2817.828
287.3429, 2738.391
287.8250, 2721.211
288.3071, 2795.531
288.7892, 2938.969
289.2714, 3131.688
289.7535, 3381.984
290.2356, 3612.219
290.7177, 3780.227
291.1998, 3902.953
291.6819, 4039.227
292.1641, 4228.242
292.6462, 4369.055
293.1283, 4280.797
293.6104, 3996.352
294.0925, 3834.359
294.5746, 3998.328
295.0568, 4358.062
295.5389, 4658.828
296.0210, 4866.492
296.5031, 5037.750
296.9852, 5196.711
297.4673, 5348.477
297.9495, 5520.648
298.4316, 5793.148
298.9137, 6065.250
299.3958, 6131.117
299.8779, 5932.406
300.3600, 5792.023
300.8422, 6020.375
301.3243, 6439.977
301.8064, 6745.422
302.2885, 6824.406
302.7706, 6809.398
303.2527, 6839.594
303.7349, 6919.883
304.2170, 7042.023
304.6991, 7212.516
305.1812, 7406.109
305.6633, 7591.516
306.1454, 7760.125
306.6276, 7931.344
307.1097, 8149.961
307.5918, 8409.391
308.0739, 8586.625
308.5560, 8587.266
309.0381, 8529.516
309.5203, 8553.570
310.0024, 8669.008
310.4845, 8792.898
310.9666, 8878.359
311.4487, 8927.602
311.9308, 8933.664
312.4130, 8851.227
312.8951, 8798.125
313.3772, 8889.016
313.8593, 9103.047
314.3414, 9326.750
314.8235, 9535.406
315.3057, 9712.180
315.7878, 9804.586
316.2699, 9785.984
316.7520, 9732.375
317.2341, 9687.367
317.7162, 9650.648
318.1984, 9622.922
318.6805, 9610.492
319.1626, 9605.359
319.6447, 9587.219
320.1268, 9549.367
320.6089, 9535.609
321.0911, 9597.531
321.5732, 9693.328
322.0553, 9771.312
322.5374, 9836.680
323.0195, 9856.914
323.5016, 9758.930
323.9838, 9540.422
324.4659, 9390.883
324.9480, 9429.016
325.4301, 9542.961
325.9122, 9582.508
326.3943, 9523.086
326.8765, 9478.414
