##NAMES=Kosmochlor
##RRUFFID=R120015
##IDEAL CHEMISTRY=NaCr^3+^Si_2_O_6_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=George Harlow
##DESCRIPTION=Green fragments. Sample was synthesized by Harlow (1997) and used in the Origlieri et al (2003) study
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R120015
##MEASURED CHEMISTRY=Na_1.00_(Cr_0.99_Fe^3+^_0.01_)Si_2.00_O_6_ ;after normalization to four total cations, using data of Harlow (1997).
308.0739, 1501620.
308.5560, 1500627.
309.0381, 1499607.
309.5203, 1499051.
310.0024, 1499022.
310.4845, 1498883.
310.9666, 1497995.
311.4487, 1496550.
311.9308, 1495546.
312.4130, 1495321.
312.8951, 1495381.
313.3772, 1495430.
313.8593, 1495423.
314.3414, 1495019.
314.8235, 1493672.
315.3057, 1491812.
315.7878, 1490632.
316.2699, 1490485.
316.7520, 1490411.
317.2341, 1489556.
317.7162, 1488244.
318.1984, 1487164.
318.6805, 1486857.
319.1626, 1486803.
319.6447, 1486053.
320.1268, 1484450.
320.6089, 1482981.
321.0911, 1482452.
321.5732, 1482340.
322.0553, 1481919.
322.5374, 1480943.
323.0195, 1479787.
323.5016, 1478899.
323.9838, 1478279.
324.4659, 1477424.
324.9480, 1475866.
325.4301, 1474181.
325.9122, 1473081.
326.3943, 1472647.
326.8765, 1472503.
327.3586, 1472591.
327.8407, 1472817.
328.3228, 1472630.
328.8049, 1471775.
329.2870, 1470625.
329.7692, 1469507.
330.2513, 1468426.
330.7334, 1467476.
331.2155, 1466816.
331.6976, 1466311.
332.1797, 1465611.
332.6619, 1464598.
333.1440, 1463615.
333.6261, 1462949.
334.1082, 1462525.
334.5903, 1462201.
335.0724, 1462046.
335.5546, 1461919.
336.0367, 1461615.
336.5188, 1461116.
337.0009, 1460639.
337.4830, 1460459.
337.9651, 1460330.
338.4473, 1459751.
338.9294, 1458406.
339.4115, 1457032.
339.8936, 1456390.
340.3757, 1456356.
340.8578, 1455967.
341.3400, 1454657.
341.8221, 1453026.
342.3042, 1452016.
342.7863, 1451712.
343.2684, 1451464.
343.7505, 1450983.
344.2327, 1450320.
344.7148, 1449587.
345.1969, 1448795.
345.6790, 1447971.
346.1611, 1447097.
346.6432, 1446184.
347.1254, 1445396.
347.6075, 1444955.
348.0896, 1444574.
348.5717, 1443853.
349.0538, 1442746.
349.5359, 1441615.
350.0181, 1440716.
350.5002, 1440021.
350.9823, 1439354.
351.4644, 1438772.
351.9465, 1438165.
352.4286, 1437414.
352.9108, 1436555.
353.3929, 1435760.
353.8750, 1435132.
354.3571, 1434603.
354.8392, 1433981.
355.3214, 1433143.
355.8035, 1432487.
356.2856, 1432469.
356.7677, 1432676.
357.2498, 1432271.
357.7319, 1430952.
358.2141, 1429334.
358.6962, 1428273.
359.1783, 1427886.
359.6604, 1427341.
360.1425, 1426402.
360.6246, 1425356.
361.1068, 1424522.
361.5889, 1423908.
362.0710, 1423249.
362.5531, 1422308.
363.0352, 1421085.
363.5173, 1419940.
363.9995, 1418789.
364.4816, 1417784.
364.9637, 1417020.
365.4458, 1416462.
365.9279, 1416039.
366.4100, 1415728.
366.8922, 1415489.
367.3743, 1415196.
367.8564, 1414661.
368.3385, 1414324.
368.8206, 1414577.
369.3027, 1414906.
369.7849, 1414665.
370.2670, 1413688.
370.7491, 1412334.
371.2312, 1411074.
371.7133, 1409903.
372.1954, 1408893.
372.6776, 1408262.
373.1597, 1407605.
373.6418, 1406589.
374.1239, 1405284.
374.6060, 1404027.
375.0881, 1403078.
375.5703, 1402437.
376.0524, 1401855.
376.5345, 1401625.
377.0166, 1401130.
377.4987, 1400027.
377.9808, 1398628.
378.4630, 1397335.
378.9451, 1396333.
379.4272, 1395614.
379.9093, 1395193.
380.3914, 1395414.
380.8735, 1395352.
381.3557, 1394921.
381.8378, 1394266.
382.3199, 1393346.
382.8020, 1392234.
383.2841, 1391233.
383.7662, 1390709.
384.2484, 1390721.
384.7305, 1390734.
385.2126, 1391058.
385.6947, 1391054.
386.1768, 1390223.
386.6589, 1388912.
387.1411, 1387840.
387.6232, 1387480.
388.1053, 1387591.
388.5874, 1387281.
389.0695, 1386278.
389.5516, 1385360.
390.0338, 1384760.
390.5159, 1384282.
390.9980, 1383787.
391.4801, 1383236.
391.9622, 1382591.
392.4443, 1381726.
392.9265, 1380601.
393.4086, 1379713.
393.8907, 1379403.
394.3728, 1379097.
394.8549, 1378358.
395.3370, 1377304.
395.8192, 1376433.
396.3013, 1376213.
396.7834, 1376417.
397.2655, 1376253.
397.7476, 1375585.
398.2297, 1374909.
398.7119, 1374587.
399.1940, 1374378.
399.6761, 1373951.
400.1582, 1373156.
400.6403, 1372257.
401.1224, 1371487.
401.6046, 1370836.
402.0867, 1370286.
402.5688, 1369838.
403.0509, 1369481.
403.5330, 1369215.
404.0151, 1369041.
404.4973, 1368850.
404.9794, 1368660.
405.4615, 1368404.
405.9436, 1367915.
406.4257, 1367151.
406.9078, 1366375.
407.3900, 1365846.
407.8721, 1365509.
408.3542, 1365030.
408.8363, 1364269.
409.3184, 1363479.
409.8005, 1362782.
410.2827, 1362189.
410.7648, 1361781.
411.2469, 1361651.
411.7290, 1361610.
412.2111, 1361172.
412.6932, 1360109.
413.1754, 1359271.
413.6575, 1358974.
414.1396, 1358875.
414.6217, 1358602.
415.1038, 1358094.
415.5859, 1357537.
416.0681, 1357130.
416.5502, 1356902.
417.0323, 1356451.
417.5144, 1355550.
417.9965, 1354696.
418.4786, 1354002.
418.9608, 1353512.
419.4429, 1353356.
419.9250, 1353624.
420.4071, 1354085.
420.8892, 1354091.
421.3713, 1353325.
421.8535, 1352558.
422.3356, 1351818.
422.8177, 1351086.
423.2998, 1350363.
423.7819, 1349641.
424.2640, 1348894.
424.7462, 1348067.
425.2283, 1347142.
425.7104, 1346379.
426.1925, 1345971.
426.6746, 1345520.
427.1567, 1344818.
427.6389, 1344016.
428.1210, 1343363.
428.6031, 1342985.
429.0852, 1342774.
429.5673, 1342546.
430.0494, 1342339.
430.5316, 1341995.
431.0137, 1341323.
431.4958, 1340613.
431.9779, 1340086.
432.4600, 1339743.
432.9421, 1339364.
433.4243, 1338662.
433.9064, 1337762.
434.3885, 1337262.
434.8706, 1337371.
435.3527, 1337461.
435.8348, 1337047.
436.3170, 1336354.
436.7991, 1335746.
437.2812, 1335378.
437.7633, 1335024.
438.2454, 1334396.
438.7275, 1333543.
439.2097, 1332914.
439.6918, 1332794.
440.1739, 1332763.
440.6560, 1331948.
441.1381, 1330213.
441.6202, 1329232.
442.1024, 1330274.
442.5845, 1331870.
443.0666, 1332267.
443.5487, 1331345.
444.0308, 1330127.
444.5129, 1329364.
444.9951, 1328995.
445.4772, 1328371.
445.9593, 1327125.
446.4414, 1326097.
446.9235, 1325724.
447.4056, 1325680.
447.8878, 1325473.
448.3699, 1324936.
448.8520, 1324239.
449.3341, 1323641.
449.8162, 1323217.
450.2983, 1322677.
450.7805, 1321863.
451.2626, 1321098.
451.7447, 1320591.
452.2268, 1320279.
452.7089, 1319967.
453.1910, 1319532.
453.6732, 1318988.
454.1553, 1318381.
454.6374, 1317592.
455.1195, 1316941.
455.6016, 1316431.
456.0837, 1316082.
456.5659, 1316020.
457.0480, 1316223.
457.5301, 1316378.
458.0122, 1316058.
458.4943, 1315274.
458.9764, 1314838.
459.4586, 1315042.
459.9407, 1315194.
460.4228, 1314928.
460.9049, 1314375.
461.3870, 1313768.
461.8691, 1313216.
462.3513, 1312598.
462.8334, 1311624.
463.3155, 1310322.
463.7976, 1309412.
464.2797, 1309298.
464.7618, 1309462.
465.2440, 1309244.
465.7261, 1308649.
466.2082, 1307992.
466.6903, 1307284.
467.1724, 1306622.
467.6545, 1306160.
468.1367, 1305902.
468.6188, 1305679.
469.1009, 1305423.
469.5830, 1305102.
470.0651, 1304547.
470.5472, 1303448.
471.0294, 1302541.
471.5115, 1302096.
471.9936, 1301904.
472.4757, 1301751.
472.9578, 1301567.
473.4399, 1301304.
473.9221, 1300909.
474.4042, 1300379.
474.8863, 1299712.
475.3684, 1298809.
475.8505, 1297882.
476.3326, 1296907.
476.8148, 1295983.
477.2969, 1295329.
477.7790, 1295073.
478.2611, 1294924.
478.7432, 1294176.
479.2253, 1292464.
479.7075, 1291216.
480.1896, 1291051.
480.6717, 1291020.
481.1538, 1290569.
481.6359, 1289760.
482.1180, 1289033.
482.6002, 1288782.
483.0823, 1288804.
483.5644, 1288492.
484.0465, 1287778.
484.5286, 1286976.
485.0107, 1286139.
485.4929, 1285330.
485.9750, 1284621.
486.4571, 1284039.
486.9392, 1283497.
487.4213, 1282913.
487.9034, 1282334.
488.3856, 1281931.
488.8677, 1281751.
489.3498, 1281500.
489.8319, 1280832.
490.3140, 1279805.
490.7961, 1279170.
491.2783, 1279351.
491.7604, 1279467.
492.2425, 1278992.
492.7246, 1278196.
493.2067, 1277631.
493.6888, 1277497.
494.1710, 1277472.
494.6531, 1277037.
495.1352, 1275970.
495.6173, 1275208.
496.0994, 1275050.
496.5815, 1274862.
497.0637, 1274226.
497.5458, 1273327.
498.0279, 1272644.
498.5100, 1272468.
498.9921, 1272538.
499.4742, 1272140.
499.9564, 1271018.
500.4385, 1270063.
500.9206, 1269488.
501.4027, 1269030.
501.8848, 1268551.
502.3669, 1268043.
502.8491, 1267563.
503.3312, 1267167.
503.8133, 1266827.
504.2954, 1266514.
