##NAMES=Kosmochlor
##RRUFFID=R120015
##IDEAL CHEMISTRY=NaCr^3+^Si_2_O_6_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=George Harlow
##DESCRIPTION=Green fragments. Sample was synthesized by Harlow (1997) and used in the Origlieri et al (2003) study
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R120015
##MEASURED CHEMISTRY=Na_1.00_(Cr_0.99_Fe^3+^_0.01_)Si_2.00_O_6_ ;after normalization to four total cations, using data of Harlow (1997).
674.0005, 1059237.
674.4826, 1058811.
674.9647, 1058537.
675.4468, 1058316.
675.9290, 1058066.
676.4111, 1057486.
676.8932, 1056479.
677.3753, 1055374.
677.8574, 1054540.
678.3395, 1053982.
678.8217, 1053641.
679.3038, 1054010.
679.7859, 1053966.
680.2680, 1053070.
680.7501, 1051866.
681.2322, 1050798.
681.7144, 1049934.
682.1965, 1049126.
682.6786, 1048196.
683.1607, 1047336.
683.6428, 1047025.
684.1249, 1047174.
684.6071, 1047002.
685.0892, 1046211.
685.5713, 1045218.
686.0534, 1044430.
686.5355, 1043838.
687.0176, 1043610.
687.4998, 1044421.
687.9819, 1044706.
688.4640, 1043751.
688.9461, 1042283.
689.4282, 1040895.
689.9103, 1039752.
690.3925, 1038891.
690.8746, 1038426.
691.3567, 1038192.
691.8388, 1037813.
692.3209, 1037291.
692.8030, 1036687.
693.2852, 1035962.
693.7673, 1035290.
694.2494, 1034993.
694.7315, 1035017.
695.2136, 1034518.
695.6957, 1032941.
696.1779, 1031481.
696.6600, 1030566.
697.1421, 1029967.
697.6242, 1029483.
698.1063, 1029049.
698.5884, 1028614.
699.0706, 1028115.
699.5527, 1027617.
700.0348, 1027356.
700.5169, 1027390.
700.9990, 1027251.
701.4811, 1026798.
701.9633, 1026209.
702.4454, 1025512.
702.9275, 1024781.
703.4096, 1024284.
703.8917, 1024323.
704.3738, 1024230.
704.8560, 1023506.
705.3381, 1022617.
705.8202, 1022129.
706.3023, 1022069.
706.7844, 1022161.
707.2665, 1022244.
707.7487, 1022228.
708.2308, 1021793.
708.7129, 1020803.
709.1950, 1020036.
709.6771, 1019735.
710.1592, 1019475.
710.6414, 1019006.
711.1235, 1018385.
711.6056, 1017702.
712.0877, 1016904.
712.5698, 1016215.
713.0519, 1015824.
713.5341, 1015564.
714.0162, 1015295.
714.4983, 1014979.
714.9804, 1014559.
715.4625, 1014001.
715.9446, 1013322.
716.4268, 1012439.
716.9089, 1011143.
717.3910, 1010626.
717.8731, 1011620.
718.3552, 1012428.
718.8373, 1012136.
719.3195, 1011233.
719.8016, 1010383.
720.2837, 1009682.
720.7658, 1009000.
721.2479, 1008141.
721.7300, 1007363.
722.2122, 1006989.
722.6943, 1006959.
723.1764, 1007091.
723.6585, 1007313.
724.1406, 1007376.
724.6227, 1006807.
725.1049, 1005480.
725.5870, 1004699.
726.0691, 1004911.
726.5512, 1004942.
727.0333, 1004115.
727.5154, 1003090.
727.9976, 1002568.
728.4797, 1002598.
728.9618, 1002648.
729.4439, 1002537.
729.9260, 1002310.
730.4081, 1002036.
730.8903, 1001676.
731.3724, 1001057.
731.8545, 1000152.
732.3366, 999293.9
732.8187, 998888.7
733.3008, 998871.0
733.7830, 998374.1
734.2651, 997042.3
734.7472, 996011.2
735.2293, 995653.9
735.7114, 995597.4
736.1935, 995785.4
736.6757, 996097.1
737.1578, 996053.7
737.6399, 995305.4
738.1220, 994429.4
738.6041, 993888.3
739.0862, 993440.5
739.5684, 992579.7
740.0505, 991317.5
740.5326, 990229.5
741.0147, 989743.0
741.4968, 989698.1
741.9789, 989673.0
742.4611, 989765.6
742.9432, 989474.6
743.4253, 988337.6
743.9074, 987333.1
744.3895, 987268.6
744.8716, 987645.4
745.3538, 987474.9
745.8359, 986396.3
746.3180, 985464.4
746.8001, 985237.8
747.2822, 985337.0
747.7643, 985562.4
748.2465, 985765.9
748.7286, 985546.9
749.2107, 984724.3
749.6928, 983778.8
750.1749, 983552.8
750.6570, 984110.0
751.1392, 983965.9
751.6213, 982726.1
752.1034, 981699.6
752.5855, 981702.7
753.0676, 981968.4
753.5497, 981470.6
754.0319, 980168.4
754.5140, 979104.6
754.9961, 978561.3
755.4782, 978279.8
755.9603, 978316.3
756.4424, 978424.2
756.9246, 978180.6
757.4067, 977538.3
757.8888, 976877.9
758.3709, 976541.4
758.8530, 976410.8
759.3351, 976055.5
759.8173, 975437.6
760.2994, 974954.4
760.7815, 974749.8
761.2636, 974611.8
761.7457, 974445.6
762.2278, 974211.3
762.7100, 973715.8
763.1921, 972737.7
763.6742, 971854.4
764.1563, 971260.9
764.6384, 970776.9
765.1205, 970275.7
765.6027, 969752.9
766.0848, 969248.3
766.5669, 968780.4
767.0490, 968316.7
767.5311, 967840.7
768.0132, 967336.1
768.4954, 966626.7
768.9775, 965643.4
769.4596, 964950.4
769.9417, 964854.3
770.4238, 965141.6
770.9059, 965514.6
771.3881, 966094.4
771.8702, 966208.9
772.3523, 965350.9
772.8344, 964639.6
773.3165, 964714.7
773.7986, 964984.9
774.2808, 964646.1
774.7629, 963682.3
775.2450, 962906.9
775.7271, 963031.1
776.2092, 963492.3
776.6913, 963454.3
777.1735, 963019.4
777.6556, 962580.6
778.1377, 962223.6
778.6198, 961947.6
779.1019, 961766.7
779.5840, 961654.8
780.0662, 961489.3
780.5483, 961320.4
781.0304, 960994.3
781.5125, 960254.6
781.9946, 959608.2
782.4767, 959446.1
782.9589, 959515.5
783.4410, 959291.6
783.9231, 958580.7
784.4052, 957912.3
784.8873, 957704.7
785.3694, 957649.5
785.8516, 957371.7
786.3337, 956902.6
786.8158, 956391.3
787.2979, 955902.4
787.7800, 955570.7
788.2621, 955675.0
788.7443, 956186.6
789.2264, 956026.2
789.7085, 954865.8
790.1906, 953962.2
790.6727, 953834.8
791.1548, 953953.9
791.6370, 953775.3
792.1191, 953345.5
792.6012, 953004.3
793.0833, 952792.4
793.5654, 952677.4
794.0475, 952755.9
794.5297, 952844.6
795.0118, 952715.5
795.4939, 952404.5
795.9760, 952152.0
796.4581, 952109.1
796.9402, 952044.4
797.4224, 951491.0
797.9045, 950550.7
798.3866, 950042.9
798.8687, 950103.3
799.3508, 949918.4
799.8329, 948975.9
800.3151, 947698.3
800.7972, 946901.2
801.2793, 946756.1
801.7614, 946412.4
802.2435, 945741.3
802.7256, 945055.3
803.2078, 944300.6
803.6899, 943677.4
804.1720, 943347.3
804.6541, 943348.6
805.1362, 943719.2
805.6183, 944871.3
806.1005, 945955.1
806.5826, 945908.9
807.0647, 945157.4
807.5468, 944672.4
808.0289, 944599.0
808.5110, 944495.8
808.9932, 944045.9
809.4753, 943366.1
809.9574, 942760.3
810.4395, 942250.7
810.9216, 941690.6
811.4037, 941019.4
811.8859, 940386.3
812.3680, 939896.1
812.8501, 939473.9
813.3322, 938955.4
813.8143, 938279.3
814.2964, 937913.9
814.7786, 938149.3
815.2607, 938524.9
815.7428, 938946.1
816.2249, 939255.5
816.7070, 939220.8
817.1891, 938827.7
817.6713, 938254.4
818.1534, 937545.1
818.6355, 936877.2
819.1176, 936669.5
819.5997, 936857.5
820.0818, 937002.8
820.5640, 937043.4
821.0461, 936831.3
821.5282, 936174.6
822.0103, 935279.3
822.4924, 934801.7
822.9745, 935000.6
823.4567, 935027.0
823.9388, 934842.6
824.4209, 934536.4
824.9030, 934190.8
825.3851, 933721.6
825.8672, 932875.4
826.3494, 931641.1
826.8315, 930797.3
827.3136, 931142.9
827.7957, 931628.8
828.2778, 931306.3
828.7599, 930515.1
829.2421, 929869.0
829.7242, 929496.1
830.2063, 929229.8
830.6884, 928950.9
831.1705, 928656.4
831.6526, 928319.8
832.1348, 927933.8
832.6169, 927630.8
833.0990, 927471.8
833.5811, 927180.3
834.0632, 926429.1
834.5453, 925544.7
835.0275, 925325.4
835.5096, 926175.7
835.9917, 926439.9
836.4738, 925580.3
836.9559, 924746.0
837.4380, 924400.3
837.9202, 924275.4
838.4023, 924091.9
838.8844, 923802.7
839.3665, 923449.9
839.8486, 923066.6
840.3307, 922631.9
840.8129, 922117.8
841.2950, 921550.6
841.7771, 920970.1
842.2592, 920390.9
842.7413, 919806.9
843.2234, 919213.4
843.7056, 918661.7
844.1877, 918260.4
844.6698, 918016.8
845.1519, 917857.6
845.6340, 917842.2
846.1161, 917716.5
846.5983, 917300.7
847.0804, 916778.3
847.5625, 916444.4
848.0446, 916315.6
848.5267, 915982.9
849.0089, 915238.8
849.4910, 914527.0
849.9731, 913886.6
850.4552, 913393.7
850.9373, 913274.2
851.4194, 913368.4
851.9016, 913158.4
852.3837, 912344.6
852.8658, 911447.6
853.3479, 910985.0
853.8300, 910741.3
854.3121, 910278.2
854.7943, 909641.5
855.2764, 909250.5
855.7585, 909290.8
856.2406, 909399.9
856.7227, 909046.8
857.2048, 908289.4
857.6870, 907905.3
858.1691, 907934.7
858.6512, 908251.8
859.1333, 909211.9
859.6154, 909815.6
860.0975, 908869.0
860.5797, 906727.6
861.0618, 905433.4
861.5439, 905611.3
862.0260, 905577.5
862.5081, 905027.3
862.9902, 904355.6
863.4724, 903856.7
863.9545, 903380.7
864.4366, 902533.9
864.9187, 901239.4
865.4008, 900222.3
865.8829, 900223.9
866.3651, 900541.6
866.8472, 900389.0
867.3293, 899894.2
867.8114, 899352.1
868.2935, 898845.1
868.7756, 898399.5
869.2578, 898038.7
869.7399, 897739.1
870.2220, 897456.9
870.7041, 897189.6
871.1862, 896880.1
871.6683, 896476.3
872.1505, 896192.1
872.6326, 896192.5
873.1147, 896309.4
873.5968, 896259.4
874.0789, 896008.9
874.5610, 895761.7
875.0432, 895685.1
875.5253, 895394.0
876.0074, 894701.4
876.4895, 893843.1
876.9716, 892932.4
877.4537, 892030.4
877.9359, 891251.3
878.4180, 890622.4
878.9001, 890147.6
879.3822, 889902.6
879.8643, 889761.1
880.3464, 889669.4
880.8286, 889546.0
881.3107, 889158.8
881.7928, 888447.4
882.2749, 887739.9
882.7570, 887458.3
883.2391, 887431.6
883.7213, 887064.9
884.2034, 886386.6
884.6855, 885904.9
885.1676, 885781.3
885.6497, 885546.3
886.1318, 884795.7
886.6140, 883688.9
887.0961, 882769.9
887.5782, 882101.6
888.0603, 881440.9
888.5424, 880649.6
889.0245, 880049.5
889.5067, 879936.9
889.9888, 879971.8
890.4709, 879671.6
890.9530, 879022.0
891.4351, 878716.6
891.9172, 879412.9
892.3994, 879830.4
892.8815, 879190.1
893.3636, 878223.3
893.8457, 877758.8
894.3278, 877632.9
894.8099, 877091.5
895.2921, 875778.9
895.7742, 874312.5
896.2563, 873146.0
896.7384, 872290.0
897.2205, 871921.8
897.7026, 871917.2
898.1848, 871816.6
898.6669, 871475.6
899.1490, 871003.6
899.6311, 870476.5
900.1132, 869939.9
900.5953, 869571.1
901.0775, 869376.4
901.5596, 869301.3
902.0417, 869405.3
902.5238, 869389.5
903.0059, 869034.0
903.4880, 868477.3
903.9702, 867976.4
904.4523, 867478.3
904.9344, 867227.1
905.4165, 867499.9
905.8986, 867646.9
906.3807, 867545.1
906.8629, 867236.8
907.3450, 866647.4
907.8271, 865870.4
908.3092, 865266.3
908.7913, 865011.7
909.2734, 864758.1
909.7556, 864345.2
910.2377, 863872.4
910.7198, 863381.1
911.2019, 862917.2
911.6840, 862605.6
912.1661, 862459.9
912.6483, 862221.3
913.1304, 861604.3
913.6125, 860828.1
914.0946, 860219.0
914.5767, 859757.6
915.0588, 859428.1
915.5410, 859207.9
916.0231, 858940.4
916.5052, 858521.9
916.9873, 858011.3
917.4694, 857482.2
917.9515, 856926.3
918.4337, 856599.9
918.9158, 856601.3
919.3979, 856311.5
919.8800, 855322.7
920.3621, 854385.0
920.8442, 854490.8
921.3264, 855463.7
921.8085, 855421.9
922.2906, 853345.3
922.7727, 851927.0
923.2548, 851706.3
923.7369, 851682.4
924.2191, 851511.4
924.7012, 851192.5
925.1833, 850718.6
925.6654, 850084.9
926.1475, 849464.3
926.6296, 848780.2
927.1118, 848277.2
927.5939, 848280.1
928.0760, 848383.8
928.5581, 848054.9
929.0402, 847397.1
929.5223, 846961.8
930.0045, 847024.2
930.4866, 847106.4
930.9687, 846658.5
931.4508, 846014.9
931.9329, 845775.1
932.4150, 845806.6
932.8972, 845604.6
933.3793, 845043.6
933.8614, 844401.6
934.3435, 843933.8
934.8256, 843530.3
935.3077, 842795.3
935.7899, 841782.3
936.2720, 841387.6
936.7541, 841779.9
937.2362, 841927.4
937.7183, 841267.3
938.2004, 840283.4
938.6826, 839707.1
939.1647, 839549.9
939.6468, 839287.4
940.1289, 838900.9
940.6110, 838460.9
941.0931, 837989.9
941.5753, 837460.3
942.0574, 836738.9
942.5395, 835967.4
943.0216, 835551.7
943.5037, 835685.9
943.9858, 835598.6
944.4680, 835187.7
944.9501, 834605.4
945.4322, 833571.3
945.9143, 832636.9
946.3964, 832550.8
946.8785, 833142.4
947.3607, 833398.6
947.8428, 832850.2
948.3249, 832194.1
948.8070, 831737.6
949.2891, 831395.2
949.7712, 831071.4
950.2534, 830797.9
950.7355, 830725.1
951.2176, 830850.6
951.6997, 830861.3
952.1818, 830454.9
952.6639, 829887.0
953.1461, 829538.0
953.6282, 829294.2
954.1103, 828852.1
954.5924, 828220.4
955.0745, 827716.1
955.5566, 827499.6
956.0388, 827257.9
956.5209, 826473.6
957.0030, 825298.4
957.4851, 824482.3
957.9672, 824023.8
958.4493, 823798.6
958.9315, 823806.8
959.4136, 823850.6
959.8957, 823842.6
960.3778, 823647.9
960.8599, 822811.3
961.3420, 821089.8
961.8242, 820014.9
962.3063, 819850.4
962.7884, 819695.9
963.2705, 819318.4
963.7526, 818751.0
964.2347, 817877.4
964.7169, 816796.6
965.1990, 816235.9
965.6811, 816672.3
966.1632, 816903.9
966.6453, 817034.9
967.1274, 816841.8
967.6096, 815899.9
968.0917, 814774.3
968.5738, 814263.9
969.0559, 814381.0
969.5380, 814275.3
970.0201, 813556.8
970.5023, 812828.0
970.9844, 812287.1
971.4665, 811830.9
971.9486, 811328.8
972.4307, 810854.1
972.9128, 810616.5
973.3950, 810663.5
973.8771, 810620.9
974.3592, 810239.9
974.8413, 809702.4
975.3234, 809054.6
975.8055, 808416.0
976.2877, 807996.8
976.7698, 807764.9
977.2519, 807540.3
977.7340, 807242.0
978.2161, 806831.4
978.6982, 806095.5
979.1804, 805308.2
979.6625, 805112.3
980.1446, 805335.8
980.6267, 805394.4
981.1088, 805156.4
981.5909, 804707.3
982.0731, 804072.6
982.5552, 803445.3
983.0373, 803279.8
983.5194, 802872.8
984.0015, 802552.4
984.4836, 802556.1
984.9658, 802100.0
985.4479, 802122.8
985.9300, 802131.1
986.4121, 801630.4
986.8942, 800816.1
987.3763, 800414.4
987.8585, 800481.6
988.3406, 800621.9
988.8227, 800878.1
989.3048, 800996.4
989.7869, 800903.4
990.2690, 800551.2
990.7512, 799795.8
991.2333, 798690.3
991.7154, 797948.3
992.1975, 797735.6
992.6796, 797527.2
993.1617, 797193.8
993.6439, 796994.4
994.1260, 797267.3
994.6081, 797620.7
995.0902, 797460.3
995.5723, 796770.9
996.0544, 796103.7
996.5366, 795340.1
997.0187, 794801.4
997.5008, 794769.8
997.9829, 794747.5
998.4650, 794422.2
998.9471, 793900.8
999.4293, 793363.8
999.9114, 792829.9
1000.393, 792355.0
1000.876, 791974.1
1001.358, 791629.4
1001.840, 791315.3
1002.322, 791016.1
1002.804, 790740.6
1003.286, 790463.7
1003.768, 790102.4
1004.250, 789627.7
1004.733, 789251.8
1005.215, 789295.7
1005.697, 789264.5
1006.179, 788640.9
1006.661, 787817.9
1007.143, 787210.5
1007.625, 786908.7
1008.107, 787010.0
1008.589, 787593.4
1009.072, 788054.6
1009.554, 787850.8
1010.036, 787270.6
1010.518, 786378.1
1011.000, 785471.3
1011.482, 785258.9
1011.964, 785680.1
1012.446, 785891.9
1012.929, 785415.6
1013.411, 784740.1
1013.893, 784503.8
1014.375, 784059.2
1014.857, 783664.8
1015.339, 783488.7
1015.821, 783068.8
1016.303, 782918.1
1016.785, 782836.8
1017.268, 782702.5
1017.750, 782482.3
1018.232, 782116.2
1018.714, 781614.4
1019.196, 780892.0
1019.678, 780011.6
1020.160, 779560.3
1020.642, 779694.0
1021.125, 779890.6
1021.607, 779745.0
1022.089, 779325.2
1022.571, 778705.8
1023.053, 777903.0
1023.535, 777313.1
1024.017, 776948.3
1024.499, 776929.4
1024.981, 777358.5
1025.464, 777663.6
1025.946, 777278.7
1026.428, 776460.4
1026.910, 776066.7
1027.392, 776176.9
1027.874, 775879.6
1028.356, 775010.4
1028.838, 774416.6
1029.321, 774473.9
1029.803, 774649.2
1030.285, 774400.1
1030.767, 773837.8
1031.249, 773457.7
1031.731, 773251.4
1032.213, 773285.9
1032.695, 773753.0
1033.177, 773940.4
1033.660, 773498.4
1034.142, 772804.5
1034.624, 772179.8
1035.106, 771648.4
1035.588, 771411.8
1036.070, 771666.6
1036.552, 771748.2
1037.034, 771603.3
1037.516, 771365.2
1037.999, 771120.4
1038.481, 770769.0
1038.963, 770127.3
1039.445, 769257.0
1039.927, 768633.9
1040.409, 768580.4
1040.891, 768207.4
1041.373, 767253.8
1041.855, 766316.8
1042.338, 765579.4
1042.820, 765001.1
1043.302, 764572.3
1043.784, 764280.3
1044.266, 764002.7
1044.748, 763766.4
1045.230, 763502.9
1045.712, 763263.3
1046.195, 762935.8
1046.677, 762340.8
1047.159, 761731.4
1047.641, 761410.9
1048.123, 761346.3
1048.605, 761233.7
1049.087, 760954.7
1049.569, 760774.1
1050.052, 760887.9
1050.534, 760914.3
1051.016, 760571.8
1051.498, 760120.3
1051.980, 759915.1
1052.462, 759899.2
1052.944, 759606.4
1053.426, 758569.1
1053.908, 758028.6
1054.391, 758975.8
1054.873, 759662.0
1055.355, 758837.6
1055.837, 757532.4
1056.319, 756955.8
1056.801, 757076.6
1057.283, 757137.6
1057.765, 756988.6
1058.248, 756718.4
1058.730, 756276.8
1059.212, 755813.3
1059.694, 755363.9
1060.176, 754975.1
1060.658, 754688.8
1061.140, 754506.0
1061.622, 754417.6
1062.104, 754462.4
1062.587, 754488.4
1063.069, 754417.5
1063.551, 754338.9
1064.033, 754432.8
1064.515, 754456.1
1064.997, 754019.1
1065.479, 753241.0
1065.961, 752650.9
1066.443, 752429.6
1066.926, 752295.9
1067.408, 752263.8
1067.890, 752134.3
1068.372, 751782.1
1068.854, 751267.2
1069.336, 750515.6
1069.818, 749675.1
1070.300, 749166.6
1070.782, 749151.8
1071.265, 749252.9
1071.747, 749546.1
1072.229, 749624.1
1072.711, 749059.6
1073.193, 748292.5
1073.675, 747808.1
1074.157, 747563.3
1074.639, 747257.9
1075.122, 746791.9
1075.604, 746407.4
1076.086, 746418.5
1076.568, 746305.8
1077.050, 745620.5
1077.532, 744775.6
1078.014, 744181.3
1078.496, 743809.1
1078.979, 743431.2
1079.461, 742975.9
1079.943, 742769.0
1080.425, 743297.5
1080.907, 743701.3
1081.389, 743515.4
1081.871, 742973.3
1082.353, 742014.8
1082.835, 740973.4
1083.318, 740551.1
1083.800, 740896.1
1084.282, 741175.6
1084.764, 741132.1
1085.246, 740808.4
1085.728, 739862.1
1086.210, 738982.1
1086.692, 738872.1
1087.175, 739225.3
1087.657, 739499.4
1088.139, 739574.4
1088.621, 739424.1
1089.103, 738845.1
1089.585, 738303.4
1090.067, 738125.3
1090.549, 737928.5
1091.031, 737172.1
1091.514, 736325.8
1091.996, 736227.6
1092.478, 736881.9
1092.960, 737391.1
1093.442, 737520.8
1093.924, 737339.3
1094.406, 736740.6
1094.888, 735981.6
1095.370, 735000.4
1095.853, 734113.7
1096.335, 733851.6
1096.817, 734099.4
1097.299, 734061.3
1097.781, 733419.9
1098.263, 732783.3
1098.745, 732169.8
1099.227, 731827.9
1099.709, 732242.1
1100.192, 732730.9
1100.674, 732503.1
1101.156, 731705.3
1101.638, 730994.4
1102.120, 730460.1
1102.602, 730122.6
1103.084, 730207.3
1103.566, 730183.6
1104.049, 729735.9
1104.531, 729170.4
1105.013, 728649.1
1105.495, 728234.8
1105.977, 728087.6
1106.459, 728288.8
1106.941, 728288.6
1107.423, 727853.3
1107.906, 727405.0
1108.388, 727032.1
1108.870, 726715.3
1109.352, 726502.9
1109.834, 726322.8
1110.316, 726020.9
1110.798, 725581.9
1111.280, 725293.5
1111.762, 725486.8
1112.245, 725381.5
1112.727, 724651.1
1113.209, 723876.6
1113.691, 723265.7
1114.173, 722815.1
1114.655, 722553.6
1115.137, 722465.8
1115.619, 722350.1
1116.102, 722151.9
1116.584, 722012.1
1117.066, 722011.6
1117.548, 721938.3
1118.030, 721715.0
1118.512, 721376.8
1118.994, 720871.6
1119.476, 720288.5
1119.958, 720026.5
1120.441, 719689.5
1120.923, 719314.1
1121.405, 719414.8
1121.887, 718943.3
1122.369, 719108.1
1122.851, 719496.1
1123.333, 719919.1
1123.815, 720239.6
1124.297, 720106.2
1124.780, 719472.5
1125.262, 719046.4
1125.744, 718910.8
1126.226, 718653.5
1126.708, 718113.9
1127.190, 717776.0
1127.672, 717979.1
1128.154, 718330.4
1128.636, 718221.3
1129.119, 717732.0
1129.601, 717606.0
1130.083, 717889.6
1130.565, 717955.8
1131.047, 717718.4
1131.529, 717441.8
1132.011, 717220.3
1132.493, 717067.6
1132.976, 716996.3
1133.458, 717009.3
1133.940, 717200.2
1134.422, 717532.4
1134.904, 717494.9
1135.386, 717080.4
1135.868, 716551.1
1136.350, 715983.9
1136.833, 715437.8
1137.315, 714938.3
1137.797, 714586.1
1138.279, 714736.9
1138.761, 715139.9
1139.243, 714711.2
1139.725, 713717.6
1140.207, 713417.1
1140.689, 713899.9
1141.172, 714263.6
1141.654, 714078.9
1142.136, 713643.3
1142.618, 713166.8
1143.100, 712758.3
1143.582, 712625.6
1144.064, 712689.9
1144.546, 712890.4
1145.029, 713120.3
1145.511, 713058.4
1145.993, 712656.6
1146.475, 712343.7
1146.957, 712469.4
1147.439, 712639.7
1147.921, 712369.6
1148.403, 712003.2
1148.885, 712095.0
1149.368, 712337.3
1149.850, 712111.7
1150.332, 711427.8
1150.814, 710744.7
1151.296, 710241.4
1151.778, 709855.7
1152.260, 709571.3
1152.742, 709378.9
1153.224, 709335.1
1153.707, 709330.4
1154.189, 709359.4
1154.671, 709303.0
1155.153, 708839.8
1155.635, 707898.6
1156.117, 707204.9
1156.599, 707143.6
1157.081, 707141.6
1157.563, 707080.6
1158.046, 706959.3
1158.528, 706865.2
1159.010, 706337.4
1159.492, 706541.7
1159.974, 706209.0
1160.456, 705938.5
1160.938, 706082.5
1161.420, 705472.8
1161.903, 705706.4
1162.385, 706078.6
1162.867, 706670.9
1163.349, 707003.6
1163.831, 706544.9
1164.313, 705640.0
1164.795, 705153.1
1165.277, 705146.7
1165.760, 704997.4
1166.242, 704630.4
1166.724, 704375.3
1167.206, 704326.4
1167.688, 704242.9
1168.170, 703956.9
1168.652, 703736.0
1169.134, 704002.3
1169.616, 703729.2
1170.099, 703505.1
1170.581, 703529.5
1171.063, 702938.4
1171.545, 702698.3
1172.027, 702593.1
1172.509, 702554.3
1172.991, 702662.6
1173.473, 703009.9
1173.956, 703354.8
1174.438, 703254.6
1174.920, 702816.7
1175.402, 702372.1
1175.884, 701910.5
1176.366, 701325.6
1176.848, 700652.4
1177.330, 700119.5
1177.813, 699827.8
1178.295, 699756.6
1178.777, 699995.3
1179.259, 700285.9
1179.741, 700388.9
1180.223, 700281.6
1180.705, 699831.0
1181.187, 699178.8
1181.669, 698574.4
1182.151, 698088.8
1182.634, 697752.3
1183.116, 697629.6
1183.598, 697467.4
1184.080, 697011.4
1184.562, 696587.7
1185.044, 696413.6
1185.526, 696379.4
1186.008, 696437.8
1186.490, 696509.7
1186.973, 696461.6
1187.455, 696270.7
1187.937, 695958.8
1188.419, 695264.3
1188.901, 694841.8
1189.383, 695013.5
1189.865, 695252.7
1190.347, 695415.3
1190.830, 695413.8
1191.312, 695083.8
1191.794, 694503.3
1192.276, 694061.7
1192.758, 693810.8
1193.240, 693499.6
1193.722, 693037.0
1194.204, 692828.6
1194.687, 693065.0
1195.169, 693277.3
1195.651, 693188.8
1196.133, 692847.4
1196.615, 692281.5
1197.097, 691551.9
1197.579, 690988.4
1198.061, 690590.6
1198.543, 690475.3
1199.026, 690621.4
1199.508, 690508.4
1199.990, 689978.6
1200.472, 689511.1
1200.954, 689512.6
1201.436, 689662.1
1201.918, 689474.6
1202.400, 689082.9
1202.883, 688770.6
1203.365, 688471.1
1203.847, 687901.9
1204.329, 687170.6
1204.811, 686814.4
1205.293, 687016.8
1205.775, 687186.4
1206.257, 686908.1
1206.740, 686472.5
1207.222, 686021.1
1207.704, 685577.9
1208.186, 685020.1
1208.668, 684576.0
1209.150, 684757.0
1209.632, 685406.6
1210.114, 685573.4
1210.596, 684878.6
1211.078, 684262.9
1211.561, 683793.4
1212.043, 683580.1
1212.525, 684067.9
1213.007, 684362.6
1213.489, 683710.9
1213.971, 682643.4
1214.453, 681898.4
1214.935, 681481.3
1215.417, 681637.3
1215.900, 682638.8
1216.382, 683156.3
1216.864, 683075.7
1217.346, 682652.1
1217.828, 681912.8
1218.310, 681111.8
1218.792, 680413.7
1219.274, 679873.9
1219.757, 679684.4
1220.239, 679722.7
1220.721, 679239.1
1221.203, 678401.9
1221.685, 678106.4
1222.167, 678359.8
1222.649, 678579.7
1223.131, 678540.4
1223.614, 678208.8
1224.096, 677469.0
1224.578, 676705.4
1225.060, 676279.4
1225.542, 676118.3
1226.024, 676321.9
1226.506, 676615.1
1226.988, 676516.6
1227.470, 676130.0
1227.953, 675959.9
1228.435, 676155.9
1228.917, 676203.6
1229.399, 675828.6
1229.881, 675378.6
1230.363, 674837.0
1230.845, 674392.5
1231.327, 674183.8
1231.810, 674106.9
1232.292, 674133.1
1232.774, 674180.4
1233.256, 673884.2
1233.738, 673055.3
1234.220, 672737.7
1234.702, 673147.7
1235.184, 673391.8
1235.667, 673335.8
1236.149, 672958.4
1236.631, 672192.1
1237.113, 671375.8
1237.595, 670922.9
1238.077, 670718.5
1238.559, 670502.5
1239.041, 670216.2
1239.523, 669371.8
1240.005, 668126.7
1240.488, 667385.9
1240.970, 667262.8
1241.452, 667126.9
1241.934, 666661.8
1242.416, 666369.3
1242.898, 667047.5
1243.380, 667729.2
1243.862, 667254.7
1244.344, 666410.1
1244.827, 665930.7
1245.309, 665820.3
1245.791, 666076.9
1246.273, 666586.9
1246.755, 666948.9
1247.237, 667125.3
1247.719, 666922.4
1248.201, 665832.2
1248.684, 665011.7
1249.166, 665117.7
1249.648, 665214.6
1250.130, 664569.8
1250.612, 663845.9
1251.094, 664048.9
1251.576, 664969.5
1252.058, 665219.1
1252.541, 664718.7
1253.023, 664031.6
1253.505, 663117.1
1253.987, 662750.3
1254.469, 663119.3
1254.951, 663519.8
1255.433, 663544.8
1255.915, 663714.6
1256.397, 663493.1
1256.880, 663574.9
1257.362, 663284.9
1257.844, 662837.2
1258.326, 662621.8
1258.808, 662633.0
1259.290, 662874.5
1259.772, 663245.8
1260.254, 663357.6
1260.737, 663009.4
1261.219, 662756.4
1261.701, 663174.1
1262.183, 663383.9
1262.665, 662498.1
1263.147, 661740.6
1263.629, 662255.8
1264.111, 663287.9
1264.594, 663904.0
1265.076, 664032.3
1265.558, 663424.9
1266.040, 661610.3
1266.522, 660823.6
1267.004, 661381.6
1267.486, 661866.4
1267.968, 662038.1
1268.450, 661949.5
1268.932, 661605.1
1269.415, 661151.9
1269.897, 660710.4
1270.379, 660373.6
1270.861, 660497.4
1271.343, 660230.1
1271.825, 660210.8
1272.307, 660249.1
1272.789, 660157.0
1273.271, 660428.8
1273.754, 660432.8
1274.236, 659937.3
