##NAMES=Ktenasite
##RRUFFID=R090002
##IDEAL CHEMISTRY=Zn^2+^Cu^2+^_4_(S^6+^O_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Radial aggregates of bluish green tabular crystals associated with serpierite, R060475
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090002
482.8516, 4.067032
483.3337, 2.704880
483.8158, 1.239288
484.2979, 0.7022020
484.7801, 1.847435
485.2622, 3.118874
485.7443, 4.256805
486.2264, 5.145714
486.7085, 5.414360
487.1906, 4.931679
487.6728, 4.083763
488.1549, 3.320000
488.6370, 2.710060
489.1191, 2.426094
489.6012, 2.662842
490.0833, 3.001228
490.5655, 2.699814
491.0476, 1.953987
491.5297, 2.135101
492.0118, 5.091553
492.4939, 8.708115
492.9760, 10.39089
493.4582, 10.11537
493.9403, 8.448639
494.4224, 5.026154
494.9045, 0.9798580
495.3866, 0.5815120
495.8687, 1.178413
496.3509, 2.780930
496.8330, 3.154297
497.3151, 3.138695
497.7972, 3.685799
498.2793, 4.857155
498.7614, 6.117752
499.2436, 7.123901
499.7257, 7.824074
500.2078, 7.291458
500.6899, 3.506454
501.1720, 0.9353870
501.6541, 0.7504880
502.1363, 1.909599
502.6184, 3.711243
503.1005, 5.782059
503.5826, 7.296539
504.0647, 6.879539
504.5468, 4.227524
505.0290, 2.764420
505.5111, 3.691818
505.9932, 4.349281
506.4753, 3.033272
506.9575, 0.9282380
507.4396, 0.1190640
507.9217, 1.665390
508.4038, 3.840317
508.8859, 4.220665
509.3680, 2.944824
509.8502, 2.780869
510.3323, 5.294022
510.8144, 7.528091
511.2965, 5.353065
511.7786, 0.2273640
512.2607, 3.532486
512.7429, 1.317947
513.2250, 2.267586
513.7071, 4.080879
514.1892, 4.201027
514.6713, 3.146324
515.1534, 0.8719940
515.6356, 1.667160
516.1177, 2.510063
516.5998, 0.6179430
517.0819, 0.6800610
517.5640, 0.5040360
518.0461, 0.3619540
518.5283, 1.766006
519.0104, 4.224556
519.4925, 5.905479
519.9746, 5.533653
520.4567, 3.677689
520.9388, 2.472275
521.4210, 2.160049
521.9031, 1.982704
522.3852, 2.155281
522.8673, 2.322998
523.3494, 2.182060
523.8315, 1.756264
524.3137, 1.323143
524.7958, 0.9817350
525.2779, 0.8166890
525.7600, 1.374519
526.2421, 3.032272
526.7242, 3.967987
527.2064, 2.661026
527.6885, 0.5649950
528.1706, 0.3506930
528.6527, 0.2919240
529.1348, 0.7601170
529.6169, 0.5310210
530.0991, 2.318413
530.5812, 2.210648
531.0633, 2.952499
531.5454, 2.485840
532.0275, 3.753281
532.5096, 3.934105
532.9918, 3.529938
533.4739, 1.425217
533.9560, 0.2526470
534.4381, 1.321457
534.9202, 3.178535
535.4023, 4.390251
535.8845, 4.621582
536.3666, 4.105827
536.8487, 2.846916
537.3308, 0.8469390
537.8129, 0.4657440
538.2950, 3.687103
538.7772, 5.937889
539.2593, 5.492126
539.7414, 3.961601
540.2235, 3.085617
540.7056, 3.308098
541.1877, 3.774300
541.6699, 3.685593
542.1520, 3.091217
542.6341, 2.168114
543.1162, 0.5780410
543.5983, 0.4667050
544.0804, 0.6376270
544.5626, 0.4449230
545.0447, 0.7405973
545.5268, 1.113312
546.0089, 0.9025190
546.4910, 0.9279790
546.9731, 0.1743770
547.4553, 0.5023500
547.9374, 0.3590470
548.4195, 0.8103640
548.9016, 0.9966510
549.3837, 5.158615
549.8658, 7.168930
550.3480, 5.758163
550.8301, 4.131256
551.3122, 2.994659
551.7943, 2.205536
552.2764, 1.477585
552.7585, 0.7598880
553.2407, 0.2938080
553.7228, 0.4577030
554.2049, 1.261078
554.6870, 2.248581
555.1691, 3.787704
555.6512, 4.969994
556.1334, 5.486687
556.6155, 5.493172
557.0976, 5.106598
557.5797, 4.312027
558.0618, 3.477730
558.5439, 2.625854
559.0261, 1.970467
559.5082, 2.619362
559.9903, 5.062172
560.4724, 7.286079
560.9545, 7.763618
561.4366, 6.649948
561.9188, 5.239449
562.4009, 3.030708
562.8830, 1.174118
563.3651, 6.9610998E-02
563.8472, 0.4235610
564.3293, 0.3992000
564.8115, 8.0360003E-02
565.2936, 0.7562180
565.7757, 1.336349
566.2578, 1.821304
566.7399, 2.809502
567.2220, 5.427925
567.7042, 7.169113
568.1863, 7.375824
568.6684, 6.642540
569.1505, 5.255974
569.6326, 3.401207
570.1147, 1.605362
570.5969, 1.000153
571.0790, 1.399872
571.5611, 1.999107
572.0432, 2.917801
572.5253, 3.667091
573.0074, 4.045769
573.4896, 3.959412
573.9717, 3.338631
574.4538, 2.082939
574.9359, 1.338814
575.4180, 2.050499
575.9001, 3.387268
576.3823, 4.407661
576.8644, 4.940887
577.3465, 4.527359
577.8286, 2.502953
578.3107, 0.4785770
578.7928, 1.184029
579.2750, 3.228683
579.7571, 6.226776
580.2392, 6.341576
580.7213, 5.759727
581.2034, 6.418495
581.6855, 8.190849
582.1677, 9.456879
582.6498, 8.823044
583.1319, 6.937729
583.6140, 6.097176
584.0961, 6.572685
584.5782, 7.170441
585.0604, 7.962341
585.5425, 8.421272
586.0246, 7.696693
586.5067, 5.992210
586.9889, 4.971550
587.4710, 5.936806
587.9531, 7.445457
588.4352, 8.156204
588.9174, 8.213570
589.3995, 7.609009
589.8816, 6.172218
590.3637, 4.708740
590.8458, 4.746132
591.3279, 7.255424
591.8101, 8.482597
592.2922, 7.501740
592.7743, 6.205856
593.2564, 5.295525
593.7385, 4.880173
594.2206, 5.035477
594.7028, 5.798439
595.1849, 6.942284
595.6670, 8.260490
596.1491, 9.882210
596.6312, 10.70929
597.1133, 10.18190
597.5955, 9.476883
598.0776, 8.954247
598.5597, 8.766617
599.0418, 9.349037
599.5239, 11.24575
600.0060, 12.95231
600.4882, 13.05416
600.9703, 12.13683
601.4524, 11.19387
601.9345, 10.58427
602.4166, 10.54543
602.8987, 11.46600
603.3809, 13.25775
603.8630, 14.48503
604.3451, 15.16529
604.8272, 15.58889
605.3093, 15.23519
605.7914, 14.84103
606.2736, 15.54423
606.7557, 17.33535
607.2378, 18.74044
607.7199, 18.54088
608.2020, 16.97690
608.6841, 14.98603
609.1663, 11.99591
609.6484, 10.24531
610.1305, 11.24137
610.6126, 13.18639
611.0947, 14.79691
