##NAMES=Jimkrieghite
##RRUFFID=R220012
##IDEAL CHEMISTRY=Ca(C_2_H_3_O_3_)^1-^_2_
##LOCALITY=Western end of Pusch Ridge in the Santa Catalina Mountains, north of Tucson, Pima County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Warren Lazar
##DESCRIPTION=Colorless short prismatic or pseudo-cubic crystals, associated with blue lazaraskeite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220012
244.2700, 3.313675
244.7521, 3.619125
245.2342, 2.645325
245.7164, 1.725281
246.1985, 1.091652
246.6806, 0.6136320
247.1627, 2.0088000E-02
247.6448, 0.8199540
248.1269, 1.553177
248.6091, 1.421722
249.0912, 0.1522290
249.5733, 0.8629230
250.0554, 1.249741
250.5375, 1.257782
251.0196, 1.282837
251.5018, 1.450691
251.9839, 1.516563
252.4660, 0.9957200
252.9481, 0.1525650
253.4302, 1.068504
253.9123, 1.350510
254.3945, 1.306000
254.8766, 1.461304
255.3587, 2.058586
255.8408, 2.572250
256.3229, 1.941818
256.8051, 0.3099060
257.2872, 0.6764910
257.7693, 3.8054999E-02
258.2514, 1.390182
258.7335, 2.196350
259.2156, 2.099380
259.6978, 1.772469
260.1799, 1.947342
260.6620, 2.439468
261.1441, 2.624153
261.6262, 2.029015
262.1083, 1.096123
262.5905, 0.5072940
263.0726, 0.3278810
263.5547, 0.3877640
264.0368, 0.7564320
264.5189, 1.294518
265.0010, 1.701897
265.4832, 1.697235
265.9653, 1.521629
266.4474, 1.528008
266.9295, 1.737930
267.4116, 2.050941
267.8937, 2.623886
268.3759, 3.229225
268.8580, 3.475883
269.3401, 2.978180
269.8222, 2.302773
270.3043, 2.476807
270.7864, 3.785965
271.2686, 4.741753
271.7507, 4.104324
272.2328, 2.877403
272.7149, 2.102203
273.1970, 2.124611
273.6791, 2.542015
274.1613, 2.835564
274.6434, 2.967079
275.1255, 3.154510
275.6076, 3.567276
276.0897, 4.036514
276.5718, 4.439369
277.0540, 4.750420
277.5361, 4.982643
278.0182, 5.162033
278.5003, 5.297195
278.9824, 5.321068
279.4645, 5.158928
279.9467, 4.908409
280.4288, 4.512894
280.9109, 3.977066
281.3930, 3.650116
281.8751, 4.066475
282.3572, 5.316193
282.8394, 6.200439
283.3215, 6.411156
283.8036, 6.267349
284.2857, 5.741188
284.7678, 4.928543
285.2499, 4.258049
285.7321, 4.167542
286.2142, 4.670609
286.6963, 5.205490
287.1784, 5.792137
287.6605, 6.355927
288.1426, 6.948669
288.6248, 7.506790
289.1069, 7.844826
289.5890, 7.753456
290.0711, 7.271362
290.5532, 6.908028
291.0353, 6.747353
291.5175, 6.613274
291.9996, 6.251610
292.4817, 5.865265
292.9638, 5.909683
293.4459, 6.873154
293.9280, 8.413864
294.4102, 8.896812
294.8923, 7.608421
295.3744, 6.343178
295.8565, 5.597366
296.3386, 5.214584
296.8207, 5.017029
297.3029, 4.937294
297.7850, 4.939949
298.2671, 4.948273
298.7492, 5.062866
299.2313, 5.106842
299.7134, 5.069061
300.1956, 4.870110
300.6777, 4.341118
301.1598, 3.395569
301.6419, 2.327667
302.1240, 1.731682
302.6061, 1.876831
303.0883, 1.951584
303.5704, 1.708733
304.0525, 1.416382
304.5346, 1.200516
305.0167, 1.100311
305.4988, 1.144012
305.9810, 1.510818
306.4631, 2.366302
306.9452, 2.743446
307.4273, 2.159637
307.9094, 1.383240
308.3915, 0.6716080
308.8737, 8.1832998E-02
309.3558, 0.3786160
309.8379, 0.7077790
310.3200, 0.8898470
310.8021, 0.7825550
311.2842, 0.1555330
311.7664, 0.7674100
312.2485, 0.3554460
312.7306, 0.7052920
313.2127, 1.588371
313.6948, 1.712898
314.1769, 1.191002
314.6591, 0.6498950
315.1412, 9.8830998E-02
315.6233, 0.5814210
316.1054, 0.4519580
316.5875, 3.6819000E-02
317.0696, 0.2275700
317.5518, 0.1225130
318.0339, 0.2264330
318.5160, 0.4771880
318.9981, 0.4815060
319.4802, 0.6993560
319.9623, 1.710808
320.4445, 2.696182
320.9266, 2.747459
321.4087, 1.600739
321.8908, 8.3618000E-02
322.3729, 0.5140990
322.8550, 7.2555996E-02
323.3372, 0.6349180
323.8193, 1.110527
324.3014, 1.445862
324.7835, 1.574615
325.2656, 1.503906
325.7477, 1.330620
326.2299, 1.042656
326.7120, 0.5904010
327.1941, 0.5423890
327.6762, 1.317627
328.1583, 2.137375
328.6404, 2.808014
329.1226, 3.261086
329.6047, 3.382240
330.0868, 2.970650
330.5689, 2.133278
331.0510, 1.545784
331.5331, 1.048752
332.0153, 1.109932
332.4974, 2.163628
332.9795, 3.730240
333.4616, 5.160446
333.9437, 6.191116
334.4258, 6.841560
334.9080, 7.049248
335.3901, 6.565971
335.8722, 6.304260
336.3543, 6.751488
336.8365, 7.392632
337.3186, 7.769951
337.8007, 7.750694
338.2828, 7.662895
338.7649, 7.985893
339.2470, 8.795486
339.7292, 9.337624
340.2113, 9.223816
340.6934, 8.982262
341.1755, 9.102089
341.6576, 9.534393
342.1397, 9.627419
342.6219, 8.417450
343.1040, 6.134262
343.5861, 5.090546
344.0682, 6.341194
344.5503, 7.507813
345.0324, 6.950325
345.5146, 5.252708
345.9967, 3.859222
346.4788, 3.728477
346.9609, 4.373932
347.4430, 4.536339
347.9251, 3.973938
348.4073, 3.391640
348.8894, 3.105118
349.3715, 3.047104
349.8536, 3.221535
350.3357, 3.778267
350.8178, 4.305038
351.3000, 4.097961
351.7821, 3.047417
352.2642, 2.212769
352.7463, 2.068466
353.2284, 2.238365
353.7105, 2.354744
354.1927, 2.399559
354.6748, 2.374146
355.1569, 2.226707
355.6390, 1.995354
356.1211, 1.867661
356.6032, 1.943810
357.0854, 2.013870
357.5675, 1.761436
358.0496, 1.277565
358.5317, 1.058113
359.0138, 1.535049
359.4959, 2.297188
359.9781, 2.697212
360.4602, 2.680161
360.9423, 2.439064
361.4244, 1.798355
361.9065, 1.081398
362.3886, 1.089180
362.8708, 2.496040
363.3529, 4.015625
363.8350, 4.391190
364.3171, 3.821953
364.7992, 3.634682
365.2813, 4.526848
365.7635, 6.016663
366.2456, 7.171112
366.7277, 7.972961
367.2098, 8.499390
367.6919, 8.677574
368.1740, 8.632591
368.6562, 8.505180
369.1383, 8.304718
369.6204, 8.328766
370.1025, 9.209076
370.5846, 11.00166
371.0667, 12.10814
371.5489, 11.72042
372.0310, 11.01077
372.5131, 11.06276
372.9952, 11.91367
373.4773, 12.87507
373.9594, 13.54015
374.4416, 13.88656
374.9237, 13.86689
375.4058, 13.38763
375.8879, 12.72163
376.3700, 11.62610
376.8521, 10.40736
377.3343, 9.822815
377.8164, 10.28231
378.2985, 11.25526
378.7806, 11.48022
379.2627, 10.52220
379.7448, 9.511566
380.2270, 8.362221
380.7091, 7.312973
381.1912, 6.452568
381.6733, 5.819359
382.1554, 5.545364
382.6375, 5.857750
383.1197, 6.998817
383.6018, 7.514824
384.0839, 7.114952
384.5660, 6.481483
385.0481, 5.761795
385.5302, 5.061554
386.0124, 4.544357
386.4945, 4.337975
386.9766, 4.413651
387.4587, 4.388542
387.9408, 4.405029
388.4229, 4.212318
388.9051, 3.421440
389.3872, 2.620110
389.8693, 2.489731
390.3514, 3.220772
390.8335, 4.215073
391.3156, 4.474907
391.7978, 3.767387
392.2799, 2.944847
392.7620, 1.608643
393.2441, 0.5129850
393.7262, 0.1921080
394.2083, 0.5109790
394.6905, 0.8870770
395.1726, 0.8237150
395.6547, 0.3815920
396.1368, 0.2005620
396.6189, 0.4473190
397.1010, 0.7315060
397.5832, 1.027962
398.0653, 1.253731
398.5474, 1.295937
399.0295, 1.103943
399.5116, 0.7524720
399.9937, 0.2604900
400.4759, 0.4656910
400.9580, 0.8370060
401.4401, 0.4667510
401.9222, 0.1375730
402.4043, 0.8095090
402.8864, 1.489037
403.3686, 1.824852
403.8507, 1.241287
404.3328, 2.2614000E-02
404.8149, 0.5372920
405.2970, 0.1687160
405.7791, 0.4915080
406.2613, 1.364586
406.7434, 2.194748
407.2255, 2.366066
407.7076, 1.178833
408.1897, 0.2520070
408.6718, 0.5646440
409.1540, 0.1832280
409.6361, 0.9014360
410.1182, 1.144150
410.6003, 1.098434
411.0824, 1.093597
411.5645, 1.126221
412.0467, 1.150551
412.5288, 1.134918
413.0109, 1.107201
413.4930, 1.146301
413.9751, 1.279716
414.4572, 1.368828
414.9394, 1.220207
415.4215, 0.8359070
415.9036, 0.6706390
416.3857, 0.8940890
416.8678, 1.203743
417.3499, 1.490593
417.8321, 1.671349
418.3142, 1.558365
418.7963, 1.029488
419.2784, 0.2581330
419.7605, 0.1425780
420.2426, 1.3840000E-02
420.7248, 0.2849040
421.2069, 0.8863750
421.6890, 1.490128
422.1711, 1.814217
422.6532, 1.830757
423.1353, 1.689247
423.6175, 1.537460
424.0996, 1.326492
424.5817, 1.370529
425.0638, 1.885262
425.5459, 2.400902
426.0280, 2.919830
426.5102, 3.281944
426.9923, 3.138542
427.4744, 2.236069
427.9565, 0.8859180
428.4386, 0.1742710
428.9207, 0.4865490
429.4029, 0.7602840
429.8850, 0.9788970
