##NAMES=Alluaudite
##RRUFFID=R160082
##IDEAL CHEMISTRY=[box]NaMn^2+^Fe^3+^_2_(PO_4_)_3_
##LOCALITY=Custer, South Dakota, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Dark green massive, associated with muscovite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R160082
230.8433, 2.350670
231.3254, 2.547089
231.8075, 2.671303
232.2896, 2.594414
232.7717, 2.187813
233.2539, 1.893684
233.7360, 1.752747
234.2181, 1.713844
234.7002, 1.652618
235.1823, 1.508339
235.6644, 1.433487
236.1466, 1.512672
236.6287, 1.849388
237.1108, 2.049232
237.5929, 2.046120
238.0750, 1.932220
238.5571, 1.880974
239.0393, 1.834541
239.5214, 1.946236
240.0035, 2.327652
240.4856, 3.165459
240.9677, 3.706703
241.4498, 3.838684
241.9320, 3.736542
242.4141, 3.683296
242.8962, 3.592255
243.3783, 3.698418
243.8604, 4.134590
244.3425, 5.038757
244.8247, 5.757713
245.3068, 6.183998
245.7889, 6.497795
246.2710, 6.988464
246.7531, 7.696976
247.2352, 8.541534
247.7174, 9.537094
248.1995, 10.73696
248.6816, 11.66492
249.1637, 12.11858
249.6458, 12.44571
250.1279, 13.16447
250.6101, 14.51080
251.0922, 15.92782
251.5743, 17.20467
252.0564, 18.30331
252.5385, 19.31627
253.0206, 20.23113
253.5028, 21.12874
253.9849, 22.11148
254.4670, 23.32558
254.9491, 24.38482
255.4312, 25.17414
255.9133, 25.67233
256.3955, 26.04189
256.8776, 26.23507
257.3597, 26.35487
257.8418, 26.52414
258.3239, 26.80310
258.8061, 26.97456
259.2882, 26.99168
259.7703, 26.86346
260.2524, 26.56964
260.7345, 26.01012
261.2166, 25.42434
261.6988, 25.02113
262.1809, 24.85669
262.6630, 24.75320
263.1451, 24.73748
263.6272, 24.78031
264.1093, 24.59151
264.5915, 24.05885
265.0736, 23.49097
265.5557, 23.11087
266.0378, 22.94518
266.5199, 22.92193
267.0020, 23.09702
267.4842, 23.41026
267.9663, 23.51130
268.4484, 23.29425
268.9305, 23.10741
269.4126, 23.20605
269.8947, 23.64567
270.3769, 24.13477
270.8590, 24.66145
271.3411, 25.21329
271.8232, 25.72269
272.3053, 26.15885
272.7874, 26.62943
273.2696, 27.17889
273.7517, 27.79642
274.2338, 28.69339
274.7159, 30.06095
275.1980, 31.53695
275.6801, 32.18203
