##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
1.720250e+002, 4.337659e+003
1.725072e+002, 4.347379e+003
1.729893e+002, 4.355641e+003
1.734714e+002, 4.363172e+003
1.739535e+002, 4.371303e+003
1.744356e+002, 4.380755e+003
1.749177e+002, 4.391043e+003
1.753999e+002, 4.403107e+003
1.758820e+002, 4.417506e+003
1.763641e+002, 4.428893e+003
1.768462e+002, 4.431181e+003
1.773283e+002, 4.426594e+003
1.778104e+002, 4.420909e+003
1.782926e+002, 4.416623e+003
1.787747e+002, 4.412995e+003
1.792568e+002, 4.408658e+003
1.797389e+002, 4.403411e+003
1.802210e+002, 4.398236e+003
1.807031e+002, 4.394223e+003
1.811853e+002, 4.391239e+003
1.816674e+002, 4.389056e+003
1.821495e+002, 4.388989e+003
1.826316e+002, 4.389594e+003
1.831137e+002, 4.386545e+003
1.835958e+002, 4.378799e+003
1.840780e+002, 4.370899e+003
1.845601e+002, 4.369271e+003
1.850422e+002, 4.373279e+003
1.855243e+002, 4.378124e+003
1.860064e+002, 4.381044e+003
1.864885e+002, 4.382818e+003
1.869707e+002, 4.385953e+003
1.874528e+002, 4.390765e+003
1.879349e+002, 4.396781e+003
1.884170e+002, 4.403401e+003
1.888991e+002, 4.410626e+003
1.893812e+002, 4.418349e+003
1.898634e+002, 4.426542e+003
1.903455e+002, 4.435171e+003
1.908276e+002, 4.443775e+003
1.913097e+002, 4.451657e+003
1.917918e+002, 4.460975e+003
1.922739e+002, 4.475885e+003
1.927561e+002, 4.496686e+003
1.932382e+002, 4.519748e+003
1.937203e+002, 4.544160e+003
1.942024e+002, 4.569620e+003
1.946845e+002, 4.594312e+003
1.951666e+002, 4.618352e+003
1.956488e+002, 4.640838e+003
1.961309e+002, 4.660308e+003
1.966130e+002, 4.677088e+003
1.970951e+002, 4.690131e+003
1.975772e+002, 4.701071e+003
1.980593e+002, 4.710041e+003
1.985415e+002, 4.706529e+003
1.990236e+002, 4.687429e+003
1.995057e+002, 4.658479e+003
1.999878e+002, 4.631830e+003
2.004699e+002, 4.607369e+003
2.009520e+002, 4.585723e+003
2.014342e+002, 4.567555e+003
2.019163e+002, 4.552827e+003
2.023984e+002, 4.540858e+003
2.028805e+002, 4.531776e+003
2.033626e+002, 4.525257e+003
2.038447e+002, 4.520565e+003
2.043269e+002, 4.517706e+003
2.048090e+002, 4.516601e+003
2.052911e+002, 4.517389e+003
2.057732e+002, 4.520206e+003
2.062553e+002, 4.524042e+003
2.067374e+002, 4.529076e+003
2.072196e+002, 4.534954e+003
2.077017e+002, 4.540484e+003
2.081838e+002, 4.545224e+003
2.086659e+002, 4.550916e+003
2.091480e+002, 4.558576e+003
2.096301e+002, 4.568570e+003
2.101123e+002, 4.579291e+003
2.105944e+002, 4.590832e+003
2.110765e+002, 4.603046e+003
2.115586e+002, 4.616236e+003
2.120407e+002, 4.632035e+003
2.125228e+002, 4.645173e+003
2.130050e+002, 4.652302e+003
2.134871e+002, 4.652276e+003
